Segment	Start	End	NGS_read_count
PB2	661	1780	1
PB2	498	1696	1
PB2	610	1655	1
PB2	438	1700	1
PB2	672	1599	1
PB2	706	1557	1
PB2	487	1807	1
PB2	492	1818	1
PB2	512	1581	1
PB2	598	1853	1
PB2	661	1670	1
PB2	455	1722	1
PB2	778	1650	1
PB2	566	1515	1
PB2	707	1579	1
PB2	670	1500	1
PB2	480	1499	1
PB2	490	1626	1
PB2	589	1856	1
PB2	757	1563	1
PB2	684	1494	1
PB2	690	1669	1
PB2	772	1531	1
PB2	457	1600	1
PB2	681	1819	1
PB2	533	1544	1
PB2	761	1600	1
PB2	394	1880	1
PB2	721	1777	1
PB2	416	1494	1
PB2	401	1761	1
PB2	530	1637	1
PB2	532	1725	1
PB2	675	1489	1
PB2	658	1556	1
PB2	551	1806	1
PB2	481	1504	1
PB2	426	1758	1
PB2	703	1628	1
PB2	423	1734	1
PB2	576	1835	1
PB2	608	1801	1
PB2	549	1861	1
PB2	447	1867	1
PB2	500	1774	1
PB2	727	1658	1
PB2	779	1852	1
PB2	502	1518	1
PB2	788	1594	1
PB2	449	1594	1
PB2	538	1580	1
PB2	534	1658	1
PB2	567	1758	1
PB2	627	1680	1
PB2	689	1543	1
PB2	465	1871	1
PB2	736	1611	1
PB2	653	1742	1
PB2	454	1773	1
PB2	663	1799	1
PB2	503	1542	1
PB2	639	1846	1
PB2	409	1822	1
PB2	476	1717	1
PB2	467	1735	1
PB2	410	1523	1
PB2	601	1701	1
PB2	468	1627	1
PB2	406	1650	1
PB2	787	1861	1
PB2	409	1675	1
PB2	503	1800	1
PB2	646	1783	1
PB2	539	1880	1
PB2	395	1569	1
PB2	483	1589	1
PB2	753	1630	1
PB2	490	1579	1
PB2	575	1872	1
PB2	454	1585	1
PB2	433	1496	1
PB2	552	1743	1
PB2	465	1485	1
PB2	649	1538	1
PB2	411	1539	1
PB2	586	1530	1
PB2	780	1528	1
PB2	669	1510	1
PB2	715	1686	1
PB2	517	1731	1
PB2	439	1835	1
PB2	731	1800	1
PB2	686	1809	1
PB2	769	1615	1
PB2	505	1557	1
PB2	396	1663	1
PB2	406	1542	1
PB2	467	1770	1
PB2	744	1556	1
PB2	654	1788	1
PB2	734	1774	1
PB2	481	1703	1
PB2	781	1664	1
PB2	601	1733	1
PB2	666	1531	1
PB2	747	1601	1
PB2	430	1620	1
PB2	680	1882	1
PB2	679	1741	1
PB2	674	1549	1
PB2	481	1609	1
PB2	540	1741	1
PB2	674	1877	1
PB2	637	1625	1
PB2	531	1708	1
PB2	609	1829	1
PB2	554	1876	1
PB2	659	1698	1
PB2	637	1871	1
PB2	515	1598	1
PB2	633	1670	1
PB2	547	1701	1
PB2	731	1700	1
PB2	667	1621	1
PB2	780	1726	1
PB2	621	1795	1
PB2	745	1619	1
PB2	410	1498	1
PB2	715	1490	1
PB2	620	1599	1
PB2	716	1552	1
PB2	691	1832	1
PB2	489	1869	1
PB2	428	1660	1
PB2	550	1716	1
PB2	664	1814	1
PB2	692	1627	1
PB2	491	1642	1
PB2	553	1718	1
PB2	569	1514	1
PB2	577	1499	1
PB2	415	1863	1
PB2	747	1729	1
PB2	685	1778	1
PB2	697	1579	1
PB2	516	1502	1
PB2	457	1697	1
PB2	734	1542	1
PB2	662	1603	1
PB2	765	1540	1
PB2	428	1541	1
PB2	507	1597	1
PB2	658	1688	1
PB2	612	1625	1
PB2	747	1788	1
PB2	601	1744	1
PB2	622	1549	1
PB2	467	1733	1
PB2	771	1708	1
PB2	587	1673	1
PB2	578	1569	1
PB2	401	1552	1
PB2	667	1798	1
PB2	707	1501	1
PB2	463	1758	1
PB2	759	1693	1
PB2	559	1785	1
PB2	498	1714	1
PB2	740	1692	1
PB2	664	1655	1
PB2	750	1853	1
PB2	429	1858	1
PB2	730	1567	1
PB2	533	1754	1
PB2	429	1841	1
PB2	649	1655	1
PB2	486	1694	1
PB2	777	1728	1
PB2	444	1845	1
PB2	756	1622	1
PB2	721	1516	1
PB2	695	1822	1
PB2	610	1729	1
PB2	660	1509	1
PB2	661	1655	1
PB2	471	1506	1
PB2	401	1515	1
PB2	778	1743	1
PB2	436	1517	1
PB2	720	1749	1
PB2	482	1672	1
PB2	656	1643	1
PB2	455	1494	1
PB2	611	1580	1
PB2	514	1634	1
PB2	601	1511	1
PB2	554	1637	1
PB2	409	1746	1
PB2	666	1660	1
PB2	574	1874	1
PB2	710	1883	1
PB2	568	1516	1
PB2	407	1695	1
PB2	469	1741	1
PB2	704	1548	1
PB2	570	1693	1
PB2	406	1800	1
PB2	588	1650	1
PB2	444	1586	1
PB2	637	1768	1
PB2	726	1716	1
PB2	678	1767	1
PB2	642	1736	1
PB2	771	1826	1
PB2	405	1646	1
PB2	491	1810	1
PB2	439	1659	1
PB2	754	1696	1
PB2	722	1517	1
PB2	621	1719	1
PB2	569	1586	1
PB2	634	1837	1
PB2	612	1555	1
PB2	407	1689	1
PB2	597	1613	1
PB2	767	1546	1
PB2	638	1704	1
PB2	412	1660	1
PB2	783	1563	1
PB2	684	1883	1
PB2	789	1785	1
PB2	551	1835	1
PB2	717	1602	1
PB2	479	1565	1
PB2	565	1688	1
PB2	478	1592	1
PB2	721	1768	1
PB2	576	1871	1
PB2	483	1809	1
PB2	641	1773	1
PB2	780	1818	1
PB2	426	1619	1
PB2	534	1730	1
PB2	723	1644	1
PB2	758	1501	1
PB2	587	1589	1
PB2	592	1773	1
PB2	704	1588	1
PB2	567	1494	1
PB2	696	1677	1
PB2	762	1735	1
PB2	771	1529	1
PB2	584	1556	1
PB2	571	1601	1
PB2	557	1777	1
PB2	544	1559	1
PB2	742	1674	1
PB2	514	1517	1
PB2	522	1499	1
PB2	730	1654	1
PB2	665	1700	1
PB2	693	1488	1
PB2	443	1726	1
PB2	756	1844	1
PB2	518	1516	1
PB2	685	1830	1
PB2	552	1656	1
PB2	724	1748	1
PB2	736	1603	1
PB2	463	1842	1
PB2	672	1715	1
PB2	498	1810	1
PB2	481	1879	1
PB2	525	1651	1
PB2	532	1547	1
PB2	493	1831	1
PB2	543	1673	1
PB2	400	1629	1
PB2	529	1858	1
PB2	441	1517	1
PB2	746	1745	1
PB2	760	1625	1
PB2	478	1646	1
PB2	696	1559	1
PB2	616	1546	1
PB2	413	1881	1
PB2	594	1780	1
PB2	716	1825	1
PB2	441	1657	1
PB2	483	1675	1
PB2	624	1606	1
PB2	510	1852	1
PB2	556	1836	1
PB2	469	1497	1
PB2	542	1797	1
PB2	439	1696	1
PB2	470	1780	1
PB2	482	1720	1
PB2	413	1694	1
PB2	494	1511	1
PB2	691	1668	1
PB2	709	1760	1
PB2	551	1762	1
PB2	644	1537	1
PB2	778	1844	1
PB2	399	1710	1
PB2	513	1628	1
PB2	563	1599	1
PB2	787	1877	1
PB2	665	1832	1
PB2	497	1520	1
PB2	710	1704	1
PB2	791	1586	1
PB2	576	1505	1
PB2	725	1524	1
PB2	702	1515	1
PB2	442	1551	1
PB2	635	1497	1
PB2	759	1533	1
PB2	771	1509	1
PB2	722	1849	1
PB2	480	1794	1
PB2	623	1645	1
PB2	495	1517	1
PB2	751	1657	1
PB2	736	1751	1
PB2	459	1785	1
PB2	565	1810	1
PB2	498	1534	1
PB2	771	1613	1
PB2	408	1491	1
PB2	729	1871	1
PB2	395	1751	1
PB2	627	1795	1
PB2	599	1729	1
PB2	667	1595	1
PB2	614	1791	1
PB2	418	1766	1
PB2	626	1623	1
PB2	725	1707	1
PB2	721	1536	1
PB2	740	1694	1
PB2	423	1592	1
PB2	773	1580	1
PB2	408	1747	1
PB2	763	1776	1
PB2	747	1701	1
PB2	550	1782	1
PB2	593	1817	1
PB2	525	1864	1
PB2	492	1516	1
PB2	452	1729	1
PB2	474	1760	1
PB2	442	1736	1
PB2	397	1598	1
PB2	545	1549	1
PB2	732	1639	1
PB2	567	1741	1
PB2	612	1495	1
PB2	760	1565	1
PB2	484	1616	1
PB2	728	1619	1
PB2	586	1527	1
PB2	755	1728	1
PB2	719	1593	1
PB2	572	1879	1
PB2	719	1785	1
PB2	438	1699	1
PB2	669	1733	1
PB2	513	1812	1
PB2	781	1549	1
PB2	750	1583	1
PB2	785	1699	1
PB2	588	1575	1
PB2	415	1788	1
PB2	498	1570	1
PB2	639	1856	1
PB2	427	1823	1
PB2	751	1818	1
PB2	619	1725	1
PB2	452	1677	1
PB2	544	1518	1
PB2	641	1858	1
PB2	613	1872	1
PB2	495	1691	1
PB2	415	1600	1
PB2	745	1611	1
PB2	630	1674	1
PB2	402	1594	1
PB2	771	1772	1
PB2	578	1874	1
PB2	548	1517	1
PB2	429	1879	1
PB2	761	1748	1
PB2	764	1505	1
PB2	517	1855	1
PB2	671	1510	1
PB2	461	1699	1
PB2	468	1746	1
PB2	768	1527	1
PB2	566	1625	1
PB2	457	1624	1
PB2	678	1659	1
PB2	477	1598	1
PB2	782	1486	1
PB2	469	1714	1
PB2	715	1532	1
PB2	671	1639	1
PB2	652	1795	1
PB2	774	1813	1
PB2	541	1675	1
PB2	440	1730	1
PB2	400	1576	1
PB2	524	1737	1
PB2	591	1696	1
PB2	577	1823	1
PB2	512	1507	1
PB2	543	1690	1
PB2	746	1816	1
PB2	692	1489	1
PB2	579	1497	1
PB2	789	1601	1
PB2	479	1850	1
PB2	461	1792	1
PB2	790	1882	1
PB2	731	1817	1
PB2	767	1504	1
PB2	512	1523	1
PB2	635	1633	1
PB2	509	1627	1
