Segment,Start,End,NGS_read_count
HA,151,1504,46
HA,152,1496,23
HA,187,1676,59
HA,188,1678,91
HA,197,1487,48
HA,213,1706,93
HA,218,1483,34
HA,229,1564,25
HA,331,1525,31
HA,351,1673,26
HA,1617,1716,135
M,78,990,36
M,99,998,288
M,104,991,19
M,108,1000,19
M,111,1016,813
M,115,994,131
M,115,1002,506
M,116,1008,1430
M,120,989,10
M,123,1011,20
M,123,1017,1058
M,124,1009,168
M,125,1009,214
M,125,1043,25
M,129,1014,144
M,135,996,55
M,138,1043,69
M,142,998,63
M,147,1044,24
M,152,1044,166
M,155,1064,1092
M,167,735,38
M,170,1040,12
M,223,1092,13
M,283,796,78
M,324,562,184
M,795,1075,27
NA,26,1108,76
NA,31,1237,55
NA,33,1376,12
NA,48,1049,32
NA,51,1260,132
NA,55,1260,25
NA,61,889,75
NA,61,1197,194
NA,63,387,38
NA,65,388,16
NA,65,1003,30
NA,66,1243,156
NA,68,391,521
NA,68,1239,24
NA,69,1173,38
NA,69,1306,11
NA,81,1446,18
NA,92,1309,41
NA,97,1253,20
NA,98,1057,16
NA,98,1339,172
NA,99,1279,29
NA,100,1013,16
NA,100,1293,16
NA,107,1182,12
NA,108,1323,26
NA,109,1319,275
NA,110,1237,205
NA,112,1230,101
NA,112,1290,13
NA,112,1431,12
NA,118,1170,84
NA,123,1325,128
NA,127,1297,20
NA,134,1302,33
NA,147,1207,22
NA,149,1180,15
NA,149,1315,12
NA,151,1190,211
NA,151,1401,77
NA,152,1325,54
NA,155,1287,71
NA,156,1243,106
NA,161,1196,25
NA,163,1379,39
NA,177,1238,11
NA,178,1317,104
NA,180,1170,24
NA,182,1370,78
NA,193,1237,137
NA,193,1340,59
NA,194,1295,83
NA,194,1369,28
NA,196,1223,196
NA,197,1313,16
NA,197,1420,12
NA,200,1164,13
NA,200,1434,155
NA,202,1244,82
NA,204,1285,27
NA,205,1323,17
NA,210,1265,63
NA,210,1412,18
NA,212,1176,10
NA,216,1268,135
NA,216,1465,15
NA,222,1454,42
NA,225,1237,10
NA,229,1433,12
NA,230,1395,526
NA,237,1424,30
NA,238,1157,31
NA,242,1296,55
NA,245,1342,35
NA,248,1239,11
NA,250,1174,23
NA,251,1197,42
NA,251,1420,18
NA,259,1431,11
NA,260,1256,58
NA,263,1278,28
NA,264,1305,114
NA,268,1412,19
NA,276,1152,100
NA,277,1207,30
NA,278,1251,135
NA,287,1154,33
NA,287,1351,227
NA,288,1153,18
NA,288,1287,32
NA,288,1289,124
NA,288,1371,14
NA,304,1177,973
NA,307,1314,59
NA,332,1176,263
NA,343,1302,43
NA,343,1305,31
NA,352,1218,12
NA,354,1231,53
NA,360,1164,16
NA,400,1289,874
NA,417,790,11
NA,460,1345,15
NA,464,982,16
NA,476,1362,351
NA,481,1156,138
NA,487,1223,11
NA,502,1346,10
NA,514,1183,16
NA,526,1436,147
NA,529,1265,67
NA,529,1447,43
NA,530,1349,11
NA,530,1463,16
NA,543,1250,307
NA,546,1431,59
NA,572,1287,73
NA,617,1382,34
NA,622,1385,11
NA,627,1244,32
NA,649,1263,26
NA,663,1420,715
NA,677,1464,72
NA,684,1476,30
NA,849,1229,46
NA,1198,1434,18
NA,1219,1360,68
NP,41,1439,33
NP,47,1544,52
NP,73,1456,26
NP,134,1622,34
NP,177,1535,71
PA,25,62,56
PA,48,1642,8
PA,54,1735,9
PA,98,2051,5
PA,101,1851,29
PA,101,2016,7
PA,150,2143,8
PA,159,1949,18
PA,170,2075,13
PA,173,2002,17
PA,180,2054,5
PA,191,1844,6
PA,192,1845,972
PA,194,1997,40
PA,204,2010,27
PA,207,2053,5
PA,217,1889,10
PA,223,1879,6
PA,223,2011,10
PA,229,1980,19
PA,240,1939,5
PA,240,2013,8
PA,241,2034,46
PA,241,2113,39
PA,242,2003,12
PA,249,2011,12
PA,254,1982,14
PA,255,1938,25
PA,258,2056,7
PA,268,1712,10
PA,270,2058,35
PA,275,2180,5
PA,285,2161,6
PA,293,1970,12
PA,295,1891,7
PA,298,1867,7
PA,309,1610,6
PA,315,2050,8
PA,322,1823,22
PA,329,2087,5
PA,335,2100,19
PA,336,1792,6
PA,343,1857,71
PA,353,1851,10
PA,356,1842,419
PA,357,1857,41
PA,365,2178,5
PA,371,2057,18
PA,372,1921,39
PA,375,1698,7
PA,401,2120,12
PA,405,1854,39
PA,418,1825,10
PA,424,1908,15
PA,425,1946,46
PA,428,2117,13
PA,440,1830,7
PA,449,2038,15
PA,477,2170,9
PA,477,2203,7
PA,490,1695,83
PA,490,1882,105
PA,496,1891,8
PA,505,1712,690
PA,510,1661,5
PA,511,1648,5
PA,514,1720,12
PA,518,2220,7
PA,530,1961,5
PA,564,1660,7
PA,579,1856,12
PA,581,1927,5
PA,603,1959,30
PA,618,1746,10
PA,620,1804,15
PA,731,1867,10
PA,883,2182,5
PA,1925,1956,27
PA,1994,2114,9
PA,2184,2217,6
PB1,90,1530,18
PB1,101,1874,42
PB1,108,2067,25
PB1,115,2101,1099
PB1,137,2090,45
