Segment,Start,End,NGS_read_count
HA,103,1581,18
HA,1269,1504,34
HA,126,1538,12
HA,137,1518,12
HA,156,1538,10
HA,157,1485,10
HA,175,1455,10
HA,185,1532,23
HA,189,1484,17
HA,189,1532,13
HA,189,1547,18
HA,201,1476,11
HA,204,1488,11
HA,206,1447,12
HA,208,1534,10
HA,286,1447,17
HA,316,1343,15
HA,326,1448,14
HA,370,1508,13
HA,47,107,10
HA,96,1518,21
M,100,811,11
M,121,853,23
M,124,811,15
M,132,939,31
M,195,906,10
M,205,796,11
M,233,831,15
M,256,998,10
M,278,696,11
M,278,796,26
M,303,746,12
M,308,745,29
M,308,808,10
M,310,745,29
M,324,781,10
M,325,746,13
M,326,745,10
M,342,667,13
M,342,796,17
M,365,924,14
M,391,710,44
M,394,667,19
M,394,766,15
M,398,828,83
M,400,801,11
M,434,762,18
M,490,644,15
M,523,665,10
M,707,964,10
M,745,797,13
NA,156,645,10
NA,164,1108,129
NA,175,1066,39
NA,195,1108,11
NA,213,1230,10
NA,226,1171,13
NA,346,1084,16
NA,50,573,10
NA,540,869,15
NA,541,1086,81
NP,1192,1295,18
NP,1199,1381,20
NP,1269,1322,16
NP,127,1380,11
NP,140,1287,18
NP,165,1278,33
NP,179,1201,18
NP,179,1406,10
NP,221,1322,12
NP,228,1270,13
NP,274,1166,18
NP,290,1210,10
NP,550,1401,12
NS1,385,690,14
PA,110,2034,14
PA,111,2063,10
PA,114,1872,46
PA,115,2019,15
PA,117,2008,10
PA,119,144,14
PA,119,2068,41
PA,119,2074,80
PA,120,143,17
PA,120,147,48
PA,120,157,15
PA,120,172,178
PA,120,180,34
PA,120,1808,12
PA,120,1844,10
PA,120,1873,22
PA,120,1879,20
PA,120,1916,10
PA,120,1945,10
PA,120,1948,58
PA,120,1960,55
PA,120,1967,27
PA,120,1974,29
PA,120,1984,12
PA,120,1987,251
PA,120,1990,148
PA,120,2002,25
PA,120,2027,26
PA,120,2063,89
PA,120,235,26
PA,121,1987,32
PA,122,185,13
PA,122,1870,16
PA,122,1916,22
PA,122,1945,110
PA,122,1960,12
PA,122,1974,154
PA,122,1990,11
PA,123,181,10
PA,123,2018,10
PA,123,236,34
PA,124,147,105
PA,124,180,67
PA,124,1844,11
PA,124,1879,15
PA,124,1937,99
PA,124,1945,86
PA,124,1948,35
PA,124,1960,741
PA,124,1974,71
PA,124,1978,13
PA,124,1990,119
PA,124,2017,20
PA,124,2042,13
PA,125,1923,13
PA,125,196,16
PA,125,1987,152
PA,126,1953,15
PA,127,1871,13
PA,128,1947,40
PA,129,1977,10
PA,129,1999,92
PA,130,1972,264
PA,131,2021,15
PA,132,1879,21
PA,132,1922,18
PA,132,1951,1252
PA,132,1960,14
PA,132,1974,23
PA,132,1978,38
PA,132,2063,11
PA,133,1991,29
PA,134,1969,10
PA,134,2074,23
PA,135,157,22
PA,135,172,12
PA,135,180,64
PA,135,1960,102
PA,135,1974,60
PA,135,1978,13
PA,135,1990,31
PA,135,2012,28
PA,135,2027,43
PA,135,2063,50
PA,135,248,12
PA,136,1965,27
PA,136,2012,19
PA,137,186,23
PA,137,1916,103
PA,137,2005,10
PA,137,2074,87
PA,138,1692,11
PA,138,172,233
PA,138,1745,15
PA,138,1789,15
PA,138,180,23
PA,138,1832,12
PA,138,1850,61
PA,138,1866,59
PA,138,1868,11
PA,138,1873,15
PA,138,188,19
PA,138,1906,17
PA,138,1928,29
PA,138,1937,56
PA,138,1948,246
PA,138,195,24
PA,138,1951,752
PA,138,1967,10
PA,138,1984,110
PA,138,1986,74
PA,138,1990,658
PA,138,2002,53
PA,138,2007,13
PA,138,2011,30
PA,138,2017,30
PA,138,2063,79
PA,138,2089,11
PA,138,235,16
PA,138,246,11
PA,138,259,27
PA,1390,2027,74
PA,139,169,29
PA,139,186,28
PA,139,1946,26
PA,139,1961,117
PA,139,1977,14
