Segment	Start	End	NGS_read_count
PB2	242	1926	1
PB2	382	2098	1
PB2	335	2010	1
PB2	244	1927	1
PB2	101	2070	1
PB2	213	2098	1
PB2	271	1899	1
PB2	240	1950	1
PB2	111	1801	1
PB2	140	1971	1
PB2	353	1894	1
PB2	261	1869	1
PB2	87	2021	1
PB2	286	1990	1
PB2	361	2106	1
PB2	325	1802	1
PB2	285	1902	1
PB2	342	1962	1
PB2	184	2047	1
PB2	343	2141	1
PB2	265	2005	1
PB2	349	2031	1
PB2	198	1920	1
PB2	78	1855	1
PB2	236	2100	1
PB2	360	1966	1
PB2	268	1858	1
PB2	235	2169	1
PB2	123	1851	1
PB2	251	1871	1
PB2	287	2029	1
PB2	62	1962	1
PB2	101	2022	1
PB2	243	2133	1
PB2	138	2001	1
PB2	207	1987	1
PB2	305	1911	1
PB2	289	2025	1
PB2	357	1876	1
PB2	269	1886	1
PB2	192	1904	1
PB2	284	2080	1
PB2	374	1919	1
PB2	246	1879	1
PB2	126	2061	1
PB2	328	2156	1
PB2	256	2170	1
PB2	359	1986	1
PB2	282	2182	1
PB2	378	1992	1
PB2	333	1813	1
PB2	78	2013	1
PB2	251	2157	1
PB2	110	1916	1
PB2	115	1909	1
PB2	285	1799	1
PB2	64	1929	1
PB2	314	1891	1
PB2	276	1954	1
PB2	276	2136	1
PB2	208	2151	1
PB2	346	1931	1
PB2	187	2035	1
PB2	341	2135	1
PB2	279	2175	1
PB2	193	1830	1
PB2	145	2089	1
PB2	231	2116	1
PB2	219	2170	1
PB2	207	1862	1
PB2	99	2145	1
PB2	293	1882	1
PB2	359	2015	1
PB2	77	2052	1
PB2	381	2040	1
PB2	333	2009	1
PB2	251	2078	1
PB2	282	1921	1
PB2	362	1891	1
PB2	160	1916	1
PB2	370	1973	1
PB2	160	1810	1
PB2	198	2110	1
PB2	65	2062	1
PB2	261	1901	1
PB2	153	1972	1
PB2	223	2079	1
PB2	202	2129	1
PB2	284	1797	1
PB2	101	1820	1
PB2	81	2079	1
PB2	344	1958	1
PB2	373	1878	1
PB2	146	2074	1
PB2	365	1858	1
PB2	122	2096	1
PB2	238	1939	1
PB2	267	1916	1
PB2	229	1980	1
PB2	201	1832	1
PB2	262	1921	1
PB2	136	2096	1
PB2	66	1971	1
PB2	260	1996	1
PB2	238	1907	1
PB2	199	2051	1
PB2	180	2091	1
PB2	281	1848	1
PB2	140	2017	1
PB2	348	1876	1
PB2	144	1852	1
PB2	212	2063	1
PB2	315	2053	1
PB2	132	2154	1
PB2	87	1993	1
PB2	372	1890	1
PB2	211	2118	1
PB2	257	2113	1
PB2	209	2086	1
PB2	182	1846	1
PB2	104	2113	1
PB2	226	1942	1
PB2	177	2165	1
PB2	297	2097	1
PB2	296	1828	1
PB2	324	2091	1
PB2	268	1860	1
PB2	67	1876	1
PB2	294	2029	1
PB2	97	1854	1
PB2	238	1924	1
PB2	293	1958	1
PB2	308	1987	1
PB2	326	1821	1
PB2	134	1967	1
PB2	396	1838	1
PB2	186	1880	1
PB2	216	2130	1
PB2	166	1832	1
PB2	248	1872	1
PB2	278	2091	1
PB2	286	2117	1
PB2	182	1842	1
PB2	352	2069	1
PB2	160	1865	1
PB2	330	2181	1
PB2	59	1890	1
PB2	305	2018	1
PB2	368	1933	1
PB2	317	1957	1
PB2	303	1798	1
PB2	296	1808	1
PB2	299	2070	1
PB2	82	2130	1
PB2	149	2075	1
PB2	146	2076	1
PB2	332	1818	1
PB2	77	1996	1
PB2	337	2019	1
PB2	350	2060	1
PB2	81	2008	1
PB2	75	1884	1
PB2	205	1816	1
PB2	256	2105	1
PB2	175	2128	1
PB2	97	1854	1
PB2	87	2014	1
PB2	53	1892	1
PB2	254	2186	1
PB2	230	1989	1
PB2	292	2014	1
PB2	102	2189	1
PB2	206	1821	1
PB2	227	1828	1
PB2	64	2134	1
PB2	276	2194	1
PB2	388	2050	1
PB2	382	2122	1
PB2	385	2017	1
PB2	297	2135	1
PB2	155	2113	1
PB2	143	1930	1
PB2	270	1880	1
PB2	105	2187	1
PB2	162	1834	1
PB2	77	1907	1
PB2	153	2156	1
PB2	187	2017	1
PB2	255	1806	1
PB2	62	2134	1
PB2	301	2181	1
PB2	142	2110	1
PB2	380	1860	1
PB2	70	1802	1
PB2	321	2014	1
PB2	252	1965	1
PB2	80	2118	1
PB2	269	2009	1
PB2	300	2022	1
PB2	305	1904	1
PB2	95	2181	1
PB2	353	1891	1
PB2	381	2187	1
PB2	325	2136	1
PB2	360	1829	1
PB2	203	1808	1
PB2	55	1920	1
PB2	335	1986	1
PB2	121	2147	1
PB2	77	1913	1
PB2	237	2017	1
PB2	225	1988	1
PB2	111	1816	1
PB2	354	1922	1
PB2	313	1925	1
PB2	207	2098	1
PB2	319	2063	1
PB2	100	2015	1
PB2	153	1853	1
PB2	54	2193	1
PB2	300	2124	1
PB2	316	1848	1
PB2	370	2194	1
PB2	110	1810	1
PB2	314	1868	1
PB2	103	2099	1
PB2	132	1883	1
PB2	128	1985	1
PB2	219	1882	1
PB2	139	1946	1
PB2	169	2005	1
PB2	223	2049	1
PB2	91	1875	1
PB2	340	1843	1
PB2	381	1797	1
PB2	193	1961	1
PB2	162	1930	1
PB2	105	2153	1
PB2	224	2012	1
PB2	314	2156	1
PB2	325	1835	1
PB2	108	2010	1
PB2	57	2117	1
PB2	127	1973	1
PB2	176	1843	1
PB2	248	2003	1
PB2	367	2190	1
PB2	69	1849	1
PB2	380	2129	1
PB2	275	2165	1
PB2	135	2176	1
PB2	109	2142	1
PB2	198	2009	1
PB2	107	2048	1
PB2	306	1967	1
PB2	219	1940	1
PB2	217	2080	1
PB2	68	1971	1
PB2	162	1881	1
PB2	333	2154	1
PB2	241	2077	1
PB2	146	2072	1
PB2	124	2049	1
PB2	385	2008	1
PB2	338	2159	1
PB2	383	1825	1
PB2	163	1922	1
PB2	106	1952	1
PB2	79	2121	1
PB2	351	1920	1
PB2	262	1884	1
PB2	106	1992	1
PB2	272	1814	1
PB2	338	2023	1
PB2	282	1856	1
PB2	141	1915	1
PB2	67	1849	1
PB2	222	2115	1
PB2	390	2159	1
PB2	152	2168	1
PB2	102	2039	1
PB2	69	1817	1
PB2	392	2152	1
PB2	89	2061	1
PB2	352	2097	1
PB2	378	2125	1
PB2	388	2196	1
PB2	239	2071	1
PB2	132	2015	1
PB2	187	1926	1
PB2	92	2080	1
PB2	330	1919	1
PB2	396	1978	1
PB2	341	2178	1
PB2	97	2135	1
PB2	82	2142	1
PB2	327	1833	1
PB2	80	2170	1
PB2	251	1877	1
PB2	145	1910	1
PB2	382	2075	1
PB2	185	2106	1
PB2	63	2179	1
PB2	312	2172	1
PB2	152	2078	1
PB2	332	2105	1
PB2	386	2012	1
PB2	331	1843	1
PB2	156	1835	1
PB2	189	1843	1
PB2	136	2128	1
PB2	62	1806	1
PB2	149	2081	1
PB2	135	1973	1
PB2	119	2092	1
PB2	227	2141	1
PB2	205	2038	1
PB2	155	1887	1
PB2	85	1878	1
PB2	163	2006	1
PB2	304	2047	1
PB2	82	2129	1
PB2	317	1984	1
PB2	142	2038	1
PB2	354	2192	1
PB2	386	1832	1
PB2	118	2127	1
PB2	96	2115	1
PB2	126	1839	1
PB2	122	2027	1
PB2	341	2052	1
PB2	260	1899	1
PB2	57	2031	1
PB2	107	2035	1
PB2	125	2061	1
PB2	136	2072	1
PB2	229	1877	1
PB2	63	2165	1
PB2	203	1822	1
PB2	332	2019	1
PB2	243	2080	1
PB2	360	1998	1
PB2	377	2173	1
PB2	310	2149	1
PB2	205	1833	1
PB2	162	1825	1
PB2	106	2175	1
PB2	226	2015	1
PB2	351	1898	1
PB2	294	2092	1
PB2	65	1984	1
PB2	245	1937	1
PB2	346	2098	1
PB2	323	1944	1
PB2	127	2009	1
PB2	396	2147	1
PB2	359	1934	1
PB2	231	1894	1
PB2	379	2055	1
PB2	192	1894	1
PB2	181	2175	1
PB2	148	1937	1
PB2	152	1883	1
PB2	148	2074	1
PB2	308	2094	1
PB2	61	2073	1
PB2	208	1884	1
PB2	99	1988	1
PB2	372	1822	1
PB2	307	2177	1
PB2	58	2101	1
PB2	211	2001	1
PB2	174	2130	1
PB2	317	1881	1
PB2	390	1856	1
PB2	337	1854	1
PB2	302	1978	1
PB2	300	2028	1
PB2	67	1883	1
PB2	84	1797	1
PB2	160	2185	1
PB2	382	1889	1
PB2	338	1962	1
PB2	375	1805	1
PB2	96	1937	1
PB2	157	2142	1
PB2	166	1799	1
PB2	155	2175	1
PB2	294	1920	1
PB2	304	2047	1
PB2	250	1886	1
PB2	300	2095	1
PB2	356	2136	1
PB2	316	1810	1
PB2	204	2096	1
PB2	146	1965	1
PB2	315	1906	1
PB2	323	1813	1
PB2	271	1954	1
PB2	87	2123	1
PB2	298	2119	1
PB2	129	1926	1
PB2	64	2151	1
PB2	106	2074	1
PB2	119	1910	1
PB2	315	1910	1
PB2	156	2104	1
PB2	151	1869	1
PB2	343	2020	1
PB2	71	1992	1
PB2	66	1842	1
PB2	103	2104	1
PB2	111	1986	1
PB2	101	1824	1
PB2	306	1888	1
PB2	82	2035	1
PB2	181	2039	1
PB2	109	1972	1
PB2	156	1991	1
PB2	381	1993	1
PB2	362	1937	1
PB2	395	2066	1
PB2	310	2040	1
PB2	280	1902	1
PB2	202	2033	1
PB2	320	1844	1
PB2	148	2004	1
PB2	195	2022	1
PB2	81	1942	1
PB2	81	1821	1
PB2	315	2183	1
PB2	86	1856	1
PB2	363	1852	1
PB2	218	1864	1
PB2	62	1985	1
PB2	198	1965	1
PB2	196	2012	1
PB2	394	1911	1
PB2	270	1850	1
PB2	179	1989	1
PB2	143	2155	1
PB2	64	2019	1
PB2	225	1987	1
PB2	198	1985	1
PB2	356	1839	1
PB2	324	2172	1
PB2	142	2128	1
PB2	267	1807	1
PB2	103	2044	1
PB2	206	2168	1
PB2	228	1992	1
PB2	135	1924	1
PB2	165	1865	1
PB2	336	1996	1
PB2	365	2019	1
PB2	71	2143	1
PB2	341	2026	1
PB2	309	2065	1
PB2	321	1890	1
PB2	207	1843	1
PB2	345	1822	1
PB2	337	1814	1
PB2	343	1904	1
PB2	220	1890	1
PB2	298	2015	1
PB2	201	2195	1
PB2	343	2089	1
PB2	216	2060	1
PB2	251	2177	1
PB2	65	1986	1
PB2	333	1869	1
PB2	301	2132	1
PB2	117	2095	1
PB2	350	1822	1
PB2	335	2054	1
PB2	129	2122	1
PB2	134	2067	1
PB2	58	1929	1
PB2	83	2065	1
PB2	238	2043	1
PB2	272	1956	1
PB2	169	1840	1
PB2	174	1799	1
PB2	149	1863	1
PB2	379	1993	1
PB2	310	1861	1
PB2	300	2041	1
PB2	347	2006	1
PB2	384	2072	1
PB2	96	1952	1
PB2	388	2046	1
PB2	97	1833	1
PB2	314	2067	1
PB2	345	2093	1
PB2	72	1839	1
PB2	365	2064	1
PB2	79	2012	1
PB2	313	1973	1
PB2	221	1835	1
PB2	382	2037	1
PB2	231	2066	1
PB2	170	1829	1
PB2	299	1905	1
PB2	317	2118	1
PB2	142	1847	1
PB2	161	1999	1
PB2	305	2065	1
PB2	234	1945	1
PB2	265	2051	1
PB2	361	1929	1
PB2	100	1809	1
PB2	208	2190	1
PB2	282	2098	1
PB2	110	2109	1
PB2	110	2086	1
PB2	231	1986	1
PB2	142	1903	1
PB2	252	2064	1
PB2	183	2009	1
PB2	98	2131	1
PB2	113	2015	1
PB2	127	1882	1
PB2	121	2024	1
PB2	393	1889	1
PB2	302	1875	1
PB2	163	1887	1
PB2	281	2004	1
PB2	176	1977	1
PB2	108	2059	1
PB2	388	1850	1
PB2	172	2087	1
PB2	148	1914	1
PB2	161	2042	1
PB2	202	2125	1
PB2	358	2152	1
PB2	180	1990	1
PB2	126	1908	1
PB2	289	2090	1
PB2	57	1826	1
PB2	346	1947	1
PB2	311	2097	1
PB2	160	2004	1
PB2	123	2076	1
PB2	107	1936	1
PB2	54	2102	1
PB2	276	2055	1
PB2	73	1821	1
PB2	255	2008	1
PB2	255	2019	1
PB2	372	1908	1
PB2	90	1814	1
PB2	75	1847	1
PB2	222	2043	1
PB2	131	1828	1
PB2	397	2066	1
PB2	184	1914	1
PB2	133	1834	1
PB2	284	2008	1
PB2	369	2048	1
PB2	202	2047	1
PB2	135	1832	1
PB2	307	2088	1
PB2	155	1957	1
PB2	294	1904	1
PB2	69	2030	1
PB2	50	1812	1
PB2	178	1917	1
PB2	136	1831	1
PB2	197	2195	1
PB2	57	1969	1
PB2	229	1943	1
