Segment,Start,End,NGS_read_count
HA,33,104,2
HA,39,1097,1
HA,50,111,4
HA,58,1533,4
HA,59,95,2
HA,59,165,1
HA,59,1403,1
HA,59,1416,2
HA,59,1418,2
HA,59,1507,4
HA,59,1532,2
HA,60,1441,5
HA,68,135,1
HA,80,1522,6
HA,80,1536,2
HA,80,1537,6
HA,81,1534,9
HA,91,1449,2
HA,91,1533,2
HA,91,1551,11
HA,92,127,1
HA,92,141,8
HA,92,1484,2
HA,92,1511,406
HA,92,1512,6
HA,93,1427,1
HA,93,1512,1
HA,94,1534,1
HA,94,1566,1
HA,95,1533,3
HA,96,1560,2
HA,97,1533,3
HA,98,1518,2
HA,102,131,1
HA,102,1533,98
HA,103,1440,1
HA,103,1468,1
HA,103,1538,2
HA,103,1613,3
HA,104,168,7
HA,108,1501,3
HA,108,1534,18
HA,115,1318,5
HA,123,1514,3
HA,123,1585,6
HA,124,1535,5
HA,125,155,15
HA,126,1350,1
HA,126,1447,1
HA,126,1468,3
HA,128,1534,2
HA,129,1525,8
HA,129,1534,1
HA,130,155,1
HA,131,1227,1
HA,131,1580,4
HA,132,1472,3
HA,132,1525,3
HA,133,1502,7
HA,133,1535,206
HA,134,1413,1
HA,139,1471,9
HA,139,1539,1
HA,140,1442,2
HA,140,1546,127
HA,140,1553,1
HA,140,1581,2
HA,144,1505,1
HA,148,1535,23
HA,149,1472,2
HA,152,1446,2
HA,152,1502,1
HA,152,1531,1
HA,152,1559,5
HA,153,1495,3
HA,153,1510,1
HA,153,1534,2
HA,154,1396,1
HA,154,1417,8
HA,154,1452,2
HA,154,1517,27
HA,154,1695,5
HA,156,1532,8
HA,156,1535,6
HA,158,1518,10
HA,161,1472,2
HA,161,1505,4
HA,162,1502,1
HA,162,1535,17
HA,162,1632,1
HA,163,1033,2
HA,164,1499,2
HA,166,1470,1
HA,166,1532,3
HA,167,1512,2
HA,171,1505,1
HA,174,1228,2
HA,174,1468,20
HA,177,1485,2
HA,179,1509,3
HA,185,1296,2
HA,187,1470,16
HA,195,1418,1
HA,198,1730,1
HA,203,1440,1
HA,206,1428,2
HA,206,1551,8
HA,207,1446,1
HA,208,1315,10
HA,208,1450,4
HA,210,1198,2
HA,210,1459,1
HA,214,1292,1
HA,215,1350,1
HA,215,1533,1
HA,217,1412,1
HA,218,1431,1
HA,227,1469,18
HA,231,1317,5
HA,231,1634,2
HA,233,1447,23
HA,233,1512,12
HA,233,1613,4
HA,233,1698,6
HA,234,1185,3
HA,234,1485,1
HA,236,1189,2
HA,236,1431,5
HA,237,1347,1
HA,243,1609,1
HA,252,910,4
HA,263,1104,1
HA,263,1125,2
HA,273,1214,1
HA,274,1402,2
HA,274,1403,2
HA,283,1375,1
HA,285,1348,3
HA,290,1394,1
HA,293,1386,1
HA,296,673,3
HA,303,1408,3
HA,308,1469,5
HA,315,1367,1
HA,316,1350,6
HA,323,1484,1
HA,348,1296,3
HA,374,1186,4
HA,382,1424,4
HA,382,1756,1
HA,408,1695,4
HA,431,1581,5
HA,485,1546,6
HA,530,1130,2
HA,531,1135,2
HA,547,987,1
HA,619,1681,2
HA,622,1142,1
HA,698,1087,2
HA,723,1469,2
HA,816,1405,4
HA,849,1176,1
HA,964,988,7
HA,1078,1115,1
HA,1123,1692,1
HA,1154,1574,1
HA,1159,1579,2
HA,1287,1310,1
HA,1427,1468,2
HA,1469,1598,1
HA,1580,1750,2
HA,1698,1750,1
HA,1700,1727,1
HA,1712,1737,2
HA,1723,1752,1
M,29,118,1
M,36,909,3
M,37,660,2
M,41,892,2
M,45,515,1
M,45,636,1
M,69,92,2
M,70,134,3
M,77,795,1
M,78,697,2
M,81,849,2
M,87,110,1
M,93,267,2
M,126,530,2
M,127,713,3
M,129,620,1
M,134,772,1
M,155,667,1
M,159,844,1
M,203,407,2
M,216,923,1
M,233,613,1
M,241,713,1
M,241,755,4
M,242,267,2
M,242,694,1
M,245,294,3
M,246,713,2
M,256,604,2
M,261,732,2
M,264,712,2
M,264,735,3
M,265,714,1
M,268,293,2
M,268,714,3
M,273,723,2
M,274,711,2
M,280,625,2
M,287,729,2
M,288,696,3
M,290,697,4
M,291,719,7
M,303,647,5
M,323,602,1
M,337,674,1
M,338,609,1
M,339,770,1
M,341,701,1
M,347,620,25
M,351,383,3
M,358,650,4
M,359,639,2
M,360,633,2
M,397,530,1
M,415,879,1
M,425,499,3
M,426,570,3
M,450,586,1
M,472,912,3
M,474,710,1
M,488,570,3
M,493,526,2
M,503,607,1
M,514,618,2
M,515,637,1
