Segment,Start,End,NGS_read_count
HA,45,1495,1
HA,46,1232,1
HA,46,1368,1
HA,47,93,1
HA,47,97,1
HA,48,77,1
HA,48,1485,3
HA,53,111,1
HA,55,1132,1
HA,56,109,1
HA,58,1320,1
HA,58,1404,1
HA,58,1479,1
HA,59,91,1
HA,59,95,1
HA,59,108,1
HA,59,139,1
HA,59,261,1
HA,59,351,1
HA,59,575,1
HA,59,1482,1
HA,71,93,1
HA,73,1500,1
HA,75,564,1
HA,77,1466,1
HA,77,1522,1
HA,85,112,1
HA,86,550,1
HA,87,348,1
HA,91,1449,1
HA,92,1440,1
HA,92,1484,1
HA,92,1500,1
HA,92,1518,1
HA,92,1699,1
HA,93,120,1
HA,93,131,1
HA,94,1117,1
HA,94,1387,1
HA,94,1450,1
HA,94,1534,1
HA,95,1185,1
HA,95,1445,1
HA,95,1500,1
HA,95,1547,1
HA,96,151,1
HA,96,1219,1
HA,96,1440,1
HA,96,1484,1
HA,96,1510,1
HA,96,1597,1
HA,97,1383,1
HA,97,1496,1
HA,98,1195,1
HA,98,1447,1
HA,98,1502,1
HA,99,1341,1
HA,101,944,1
HA,102,681,1
HA,102,1696,1
HA,103,151,1
HA,103,175,2
HA,103,296,1
HA,103,1428,1
HA,103,1440,2
HA,103,1447,3
HA,106,1487,1
HA,106,1501,1
HA,107,1483,2
HA,108,1420,1
HA,108,1480,1
HA,108,1529,1
HA,110,1499,1
HA,113,1347,1
HA,114,1545,1
HA,115,1504,1
HA,118,1476,1
HA,121,1356,1
HA,124,1637,1
HA,126,1400,1
HA,126,1418,1
HA,126,1570,1
HA,131,1463,1
HA,132,1472,2
HA,134,1374,1
HA,135,1418,1
HA,135,1470,1
HA,138,1483,1
HA,139,179,1
HA,139,261,1
HA,139,1384,1
HA,139,1471,1
HA,139,1500,2
HA,139,1525,1
HA,140,175,1
HA,140,1440,5
HA,140,1447,1
HA,140,1518,1
HA,140,1522,1
HA,140,1532,1
HA,141,1485,4
HA,143,193,1
HA,144,1536,1
HA,145,1502,1
HA,145,1663,1
HA,146,208,1
HA,146,1346,1
HA,147,204,1
HA,147,1647,2
HA,148,1512,1
HA,148,1659,1
HA,151,1487,1
HA,152,1362,5
HA,152,1644,1
HA,153,1433,1
HA,153,1450,1
HA,154,1357,1
HA,154,1530,1
HA,155,1648,1
HA,155,1656,1
HA,161,1508,1
HA,162,1535,1
HA,164,1490,1
HA,164,1647,1
HA,166,1288,1
HA,167,1544,1
HA,167,1589,1
HA,168,1645,1
HA,169,1666,1
HA,171,401,1
HA,174,981,1
HA,174,1418,1
HA,175,1645,1
HA,179,1471,1
HA,191,217,1
HA,193,1418,1
HA,195,1353,1
HA,195,1509,1
HA,206,234,1
HA,206,1306,2
HA,206,1345,1
HA,206,1428,1
HA,207,1536,1
HA,208,530,1
HA,210,234,2
HA,210,1345,1
HA,213,1372,1
HA,215,1484,1
HA,215,1514,1
HA,217,681,1
HA,220,1374,2
HA,220,1459,1
HA,225,1115,1
HA,225,1617,1
HA,232,1450,1
HA,233,1440,1
HA,234,1485,1
HA,235,265,1
HA,242,275,1
HA,244,1224,1
HA,250,1310,1
HA,250,1346,1
HA,251,1347,1
HA,252,300,1
HA,253,1300,1
HA,253,1536,1
HA,255,373,2
HA,257,520,1
HA,264,290,1
HA,264,1288,1
HA,265,1395,2
HA,265,1531,1
HA,266,314,1
HA,266,1404,1
HA,267,1415,1
HA,270,332,1
HA,271,313,1
HA,271,1224,1
HA,273,296,1
HA,278,319,1
HA,280,372,1
HA,282,431,1
HA,282,1305,1
HA,282,1531,1
HA,282,1546,2
HA,283,1329,2
HA,283,1337,1
HA,283,1354,1
HA,284,1275,1
HA,289,1327,1
HA,289,1357,1
HA,290,1430,1
HA,293,1342,1
HA,295,343,1
HA,295,1417,1
HA,296,325,1
HA,296,1336,4
HA,296,1369,1
HA,297,321,1
HA,300,361,1
HA,303,343,1
HA,304,1244,1
HA,304,1647,1
HA,306,1297,1
HA,307,375,1
HA,310,741,1
HA,312,355,1
HA,316,1306,1
HA,323,741,1
HA,329,1364,1
HA,332,1238,1
HA,334,1319,1
HA,342,374,1
HA,348,1227,1
HA,349,1320,1
HA,349,1325,1
HA,350,1484,1
HA,355,1295,1
HA,355,1649,1
HA,363,598,1
HA,364,405,1
HA,370,405,1
HA,370,919,1
HA,370,1224,1
HA,373,1489,1
HA,374,1240,1
HA,376,1199,2
HA,390,500,2
HA,394,1374,1
HA,397,1026,1
HA,397,1240,1
HA,400,1164,1
HA,404,440,1
HA,404,449,1
HA,404,457,1
HA,404,1138,1
HA,404,1285,1
HA,406,1251,1
HA,406,1324,1
HA,406,1530,1
HA,407,1230,1
HA,413,1268,1
HA,420,458,1
HA,424,1113,1
HA,430,1169,1
HA,430,1204,1
HA,432,1164,1
HA,435,471,1
HA,447,1205,1
HA,457,560,1
HA,459,1102,1
HA,459,1160,1
HA,459,1191,1
HA,462,1120,1
HA,463,514,1
HA,463,1235,1
HA,463,1240,1
HA,465,995,1
HA,465,1216,1
HA,465,1224,1
HA,466,954,1
HA,466,1111,1
HA,468,1199,1
HA,470,1225,1
HA,476,515,1
HA,476,984,1
HA,476,1163,2
HA,476,1211,1
HA,476,1214,1
HA,476,1381,1
HA,484,1156,1
HA,487,1258,1
HA,487,1318,1
HA,497,595,1
HA,498,1175,1
HA,502,981,1
HA,504,559,1
HA,512,1124,1
HA,514,1142,1
HA,516,541,1
HA,518,1046,1
HA,518,1099,1
HA,519,1119,1
HA,524,1050,1
HA,524,1231,1
HA,524,1238,1
HA,534,1127,1
HA,534,1133,1
HA,534,1145,1
HA,541,1079,1
HA,545,707,1
HA,546,1132,1
HA,551,1027,1
HA,557,1180,1
HA,558,659,1
HA,558,925,1
