Segment,Start,End,NGS_read_count
HA,74,116,1
HA,90,117,2
HA,76,145,1
HA,81,150,2
HA,82,150,2
HA,121,152,1
HA,93,159,78
HA,99,165,1
HA,106,172,2
HA,107,174,2
HA,78,176,4
HA,113,218,2
HA,180,223,1
HA,205,246,1
HA,209,250,1
HA,175,256,4
HA,259,276,2
HA,275,294,1
HA,244,295,57
HA,78,313,1
HA,257,315,6
HA,268,316,4
HA,288,321,1
HA,312,331,1
HA,219,339,2
HA,310,339,3
HA,327,345,1
HA,307,356,1
HA,250,398,1
HA,188,404,1
HA,383,405,2
HA,407,434,1
HA,262,442,1
HA,394,444,20
HA,441,450,1
HA,364,452,1
HA,93,453,1
HA,388,454,1
HA,305,455,4
HA,95,455,27
HA,311,459,3
HA,77,459,2
HA,195,460,5
HA,302,465,2
HA,217,469,3
HA,446,481,1
HA,270,487,4
HA,471,495,2
HA,258,497,2
HA,281,504,5
HA,261,509,1
HA,259,513,1
HA,266,514,6
HA,261,516,5
HA,258,517,2
HA,268,517,2
HA,269,519,9
HA,263,520,5
HA,262,521,8
HA,269,521,36
HA,285,521,11
HA,86,521,1
HA,270,522,1
HA,258,524,2
HA,281,526,2
HA,271,527,5
HA,230,530,3
HA,489,531,2
HA,280,532,1
HA,342,532,2
HA,451,533,1
HA,267,539,5
HA,212,540,2
HA,279,542,7
HA,187,545,1
HA,204,545,3
HA,408,545,1
HA,226,546,2
HA,183,556,3
HA,212,561,4
HA,485,561,2
HA,189,562,7
HA,284,562,2
HA,372,562,5
HA,285,588,2
HA,330,589,1
HA,531,592,1
HA,518,599,2
HA,274,615,3
HA,99,623,2
HA,567,630,1
HA,212,632,28
HA,560,632,1
HA,178,645,5
HA,576,649,2
HA,182,650,1
HA,185,651,2
HA,186,651,6
HA,188,654,3
HA,162,656,2
HA,459,657,2
HA,488,658,2
HA,182,659,1
HA,90,659,2
HA,436,664,2
HA,628,664,1
HA,199,665,49
HA,188,666,2
HA,185,668,2
HA,276,669,1
HA,182,671,2
HA,193,671,2
HA,646,671,1
HA,634,674,2
HA,398,675,3
HA,167,676,6
HA,449,676,3
HA,195,678,6
HA,488,678,1
HA,488,679,27
HA,657,679,2
HA,89,679,1
HA,510,680,2
HA,576,680,1
HA,625,680,1
HA,106,683,2
HA,585,703,3
HA,193,707,25
HA,183,708,2
HA,444,710,18
HA,661,718,1
HA,688,730,1
HA,636,732,2
HA,639,732,2
HA,629,739,2
HA,612,741,1
HA,630,741,2
HA,414,745,1
HA,93,745,1
HA,668,748,1
HA,674,748,1
HA,572,753,1
HA,650,757,3
HA,657,759,4
HA,678,759,2
HA,489,760,1
HA,716,761,1
HA,743,762,2
HA,213,763,2
HA,687,764,2
HA,718,767,1
HA,106,774,2
HA,192,774,2
HA,98,777,3
HA,436,780,1
HA,696,785,1
HA,237,787,1
HA,652,791,2
HA,264,792,4
HA,287,792,1
HA,65,792,2
HA,191,793,4
HA,575,796,1
HA,775,807,2
HA,78,817,3
HA,797,822,1
HA,82,823,3
HA,80,825,2
HA,787,827,1
HA,113,830,1
HA,776,830,7
HA,366,832,1
HA,289,833,2
HA,102,834,1
HA,67,834,1
HA,705,847,2
HA,104,848,1
HA,208,850,1
HA,808,852,54
HA,820,853,19
HA,766,855,1
HA,811,856,14
HA,163,860,2
HA,86,874,1
HA,168,875,2
HA,264,876,3
HA,191,877,1
HA,792,877,6
HA,751,878,2
HA,522,881,2
HA,265,884,2
HA,275,884,2
HA,633,884,1
HA,833,884,3
HA,713,887,4
HA,768,891,2
HA,838,893,1
HA,796,901,1
HA,877,901,2
HA,821,903,2
HA,642,905,3
HA,901,912,1
HA,877,914,1
HA,762,915,2
HA,303,916,3
HA,708,916,2
HA,906,917,1
HA,693,918,1
HA,517,919,1
HA,876,921,2
HA,882,922,2
HA,900,925,2
HA,575,926,2
HA,867,928,2
HA,795,932,1
HA,587,939,2
HA,782,939,2
HA,615,940,2
HA,655,944,2
HA,913,945,2
HA,834,950,9
HA,761,951,1
HA,895,951,2
HA,835,954,2
HA,744,955,2
HA,819,956,3
HA,351,960,1
HA,516,961,2
HA,654,962,2
HA,766,966,2
HA,703,968,1
HA,932,969,1
HA,944,969,3
HA,716,970,2
HA,926,970,1
HA,928,971,2
HA,686,972,10
HA,762,972,65
HA,303,973,2
HA,915,973,2
HA,444,974,2
HA,763,974,1
HA,688,975,1
HA,710,975,25
HA,541,982,2
HA,795,988,2
HA,268,994,1
HA,559,994,2
HA,635,995,1
HA,705,997,2
HA,747,1005,2
HA,675,1006,3
HA,706,1006,2
HA,450,1007,2
HA,91,1007,2
HA,672,1008,2
HA,890,1008,1
HA,413,1009,1
HA,979,1010,1
HA,672,1014,2
HA,893,1014,1
HA,578,1022,1
HA,760,1022,2
HA,820,1023,2
HA,254,1026,2
HA,820,1032,1
HA,1007,1034,1
HA,1010,1036,1
HA,1009,1037,1
HA,1008,1038,1
HA,820,1040,1
HA,990,1045,3
HA,268,1047,1
HA,987,1047,1
HA,941,1049,1
HA,565,1050,5
HA,993,1050,1
HA,948,1051,1
HA,820,1052,2
HA,989,1053,1
HA,820,1054,1
HA,993,1055,2
HA,958,1056,1
HA,952,1058,3
HA,992,1058,1
HA,1041,1059,1
HA,268,1061,2
HA,484,1061,1
HA,893,1063,1
HA,908,1063,1
HA,990,1064,2
HA,979,1065,1
HA,810,1067,3
HA,947,1067,4
HA,982,1067,1
HA,1038,1068,2
HA,130,1069,1
HA,529,1070,5
HA,191,1071,1
HA,357,1073,2
HA,881,1073,1
HA,192,1074,2
HA,987,1074,2
HA,775,1076,8
HA,819,1076,4
HA,750,1077,97
HA,629,1078,2
HA,546,1079,1
HA,943,1079,1
HA,798,1080,1
HA,694,1081,1
HA,822,1082,2
HA,766,1086,2
HA,1021,1087,1
HA,947,1091,1
HA,954,1091,2
