Segment	Start	End	NGS_read_count
PB2	397	2001	1
PB2	248	2141	1
PB2	354	2196	1
PB2	249	2128	1
PB2	597	2067	1
PB2	566	1839	1
PB2	239	2136	1
PB2	545	1935	1
PB2	378	2114	1
PB2	279	2041	1
PB2	272	1960	1
PB2	383	2030	1
PB2	454	1969	1
PB2	392	1942	1
PB2	354	2114	1
PB2	321	1961	1
PB2	500	2161	1
PB2	399	2021	1
PB2	309	2219	1
PB2	552	1877	1
PB2	277	1991	1
PB2	406	2109	1
PB2	560	1908	1
PB2	393	1935	1
PB2	463	1899	1
PB2	461	1845	1
PB2	305	1974	1
PB2	343	2054	1
PB2	438	1912	1
PB2	354	1918	1
PB2	243	2072	1
PB2	550	1983	1
PB2	499	2199	1
PB2	592	1900	1
PB2	250	1828	1
PB2	233	2008	1
PB2	348	2144	1
PB2	277	1967	1
PB2	326	2052	1
PB2	455	1994	1
PB2	540	1961	1
PB2	364	2022	1
PB2	340	1851	1
PB2	326	2134	1
PB2	229	2096	1
PB2	570	1858	1
PB2	425	2215	1
PB2	555	1952	1
PB2	309	2067	1
PB2	319	1927	1
PB2	302	2075	1
PB2	259	1914	1
PB2	578	1922	1
PB2	301	2101	1
PB2	334	2128	1
PB2	422	1968	1
PB2	360	2052	1
PB2	252	1886	1
PB2	582	2053	1
PB2	555	1868	1
PB2	437	2055	1
PB2	548	2061	1
PB2	252	1904	1
PB2	579	1950	1
PB2	381	2016	1
PB2	582	2019	1
PB2	419	2120	1
PB2	436	1889	1
PB2	420	2056	1
PB2	346	1953	1
PB2	271	1953	1
PB2	467	2199	1
PB2	481	1835	1
PB2	231	2215	1
PB2	286	2064	1
PB2	421	2009	1
PB2	565	1835	1
PB2	212	2168	1
PB2	413	1995	1
PB2	319	1983	1
PB2	487	1997	1
PB2	487	1959	1
PB2	379	2221	1
PB2	293	2039	1
PB2	464	2021	1
PB2	242	1847	1
PB2	395	1856	1
PB2	334	2162	1
PB2	497	1983	1
PB2	413	1852	1
PB2	228	1965	1
PB2	564	1845	1
PB2	434	1946	1
PB2	397	2049	1
PB2	402	1844	1
PB2	510	1836	1
PB2	345	2002	1
PB2	592	2187	1
PB2	565	1944	1
PB2	358	1914	1
PB2	455	1993	1
PB2	432	1901	1
PB2	395	2021	1
PB2	503	1998	1
PB2	311	2024	1
PB2	206	1862	1
PB2	240	2182	1
PB2	598	1849	1
PB2	507	1845	1
PB2	488	2135	1
PB2	238	1828	1
PB2	241	2026	1
PB2	525	2116	1
PB2	293	2070	1
PB2	522	2078	1
PB2	276	2042	1
PB2	543	1996	1
PB2	508	1872	1
PB2	241	2074	1
PB2	404	1911	1
PB2	473	2210	1
PB2	307	2161	1
PB2	404	1950	1
PB2	597	1953	1
PB2	320	2019	1
PB2	345	2014	1
PB2	498	2104	1
PB2	426	1838	1
PB2	253	2166	1
PB2	258	2162	1
PB2	544	2059	1
PB2	462	1952	1
PB2	524	2209	1
PB2	371	2054	1
PB2	447	1849	1
PB2	546	2097	1
PB2	540	2111	1
PB2	362	1997	1
PB2	298	1934	1
PB2	576	2144	1
PB2	450	2097	1
PB2	368	1999	1
PB2	374	1993	1
PB2	393	2161	1
PB2	442	1928	1
PB2	456	2117	1
PB2	329	1832	1
PB2	475	2106	1
PB2	424	2137	1
PB2	600	1848	1
PB2	226	1864	1
PB2	560	2090	1
PB2	418	2185	1
PB2	398	2069	1
PB2	251	2048	1
PB2	507	2121	1
PB2	380	1844	1
PB2	474	2128	1
PB2	586	2144	1
PB2	599	1829	1
PB2	361	1869	1
PB2	445	2126	1
PB2	426	2037	1
PB2	278	2019	1
PB2	319	2207	1
PB2	504	1962	1
PB2	522	2048	1
PB2	602	2042	1
PB2	248	1849	1
PB2	366	1946	1
PB2	519	2051	1
PB2	471	1986	1
PB2	378	1827	1
PB2	284	2128	1
PB2	519	2039	1
PB2	339	1950	1
PB2	462	2179	1
PB2	429	2047	1
PB2	257	2211	1
PB2	206	1872	1
PB2	239	1859	1
PB2	597	1825	1
PB2	429	2139	1
PB2	306	2220	1
PB2	569	2037	1
PB2	315	1917	1
PB2	299	2041	1
PB2	455	2089	1
PB2	589	2065	1
PB2	316	1963	1
PB2	590	1827	1
PB2	276	1868	1
PB2	477	1922	1
PB2	284	2159	1
PB2	464	2114	1
PB2	290	2182	1
PB2	493	1878	1
PB2	287	1964	1
PB2	512	2221	1
PB2	513	1953	1
PB2	563	2183	1
PB2	434	1824	1
PB2	234	2106	1
PB2	281	1993	1
PB2	534	2214	1
PB2	261	2024	1
PB2	543	2020	1
PB2	275	1975	1
PB2	332	1989	1
PB2	281	1879	1
PB2	549	2151	1
PB2	440	2000	1
PB2	512	2193	1
PB2	445	1999	1
PB2	444	2147	1
PB2	563	1893	1
PB2	339	1940	1
PB2	425	1921	1
PB2	245	2162	1
PB2	334	1980	1
PB2	223	1983	1
PB2	505	2142	1
PB2	385	1823	1
PB2	478	2165	1
PB2	278	1918	1
PB2	397	1931	1
PB2	545	2024	1
PB2	487	2207	1
PB2	575	1866	1
PB2	444	1850	1
PB2	546	1962	1
PB2	251	1964	1
PB2	471	1878	1
PB2	373	2097	1
PB2	299	1949	1
PB2	341	1888	1
PB2	526	1856	1
PB2	310	2033	1
PB2	365	2047	1
PB2	484	1991	1
PB2	304	2065	1
PB2	234	2137	1
PB2	331	1851	1
PB2	557	1878	1
PB2	282	2099	1
PB2	216	1916	1
PB2	376	2136	1
PB2	207	1961	1
PB2	303	2049	1
PB2	546	1897	1
PB2	249	1931	1
PB2	484	1880	1
PB2	484	1874	1
PB2	317	2210	1
PB2	289	2195	1
PB2	334	2144	1
PB2	522	1866	1
PB2	550	2180	1
PB2	469	1894	1
PB2	560	2097	1
PB2	531	1951	1
PB2	362	2177	1
PB2	477	1955	1
PB2	437	2115	1
PB2	442	2036	1
PB2	570	2086	1
PB2	587	2144	1
PB2	412	2002	1
PB2	545	2068	1
PB2	535	2179	1
PB2	554	2058	1
PB2	381	1997	1
PB2	289	2028	1
PB2	443	1912	1
PB2	590	2223	1
PB2	569	2031	1
PB2	371	2207	1
PB2	381	2048	1
PB2	532	2052	1
PB2	388	1926	1
PB2	320	1826	1
PB2	552	2060	1
PB2	423	1855	1
PB2	233	2099	1
PB2	557	1974	1
PB2	269	2120	1
PB2	429	2055	1
PB2	457	1842	1
PB2	489	1846	1
PB2	586	2032	1
PB2	581	2196	1
PB2	242	2025	1
PB2	355	1826	1
PB2	397	2102	1
PB2	231	1972	1
PB2	324	2205	1
PB2	559	2214	1
PB2	343	1938	1
PB2	559	2090	1
PB2	510	1917	1
PB2	442	1915	1
PB2	326	2172	1
PB2	382	1909	1
PB2	569	2053	1
PB2	442	2100	1
PB2	537	1987	1
PB2	370	1832	1
PB2	564	2131	1
PB2	292	2163	1
PB2	330	2061	1
PB2	596	1894	1
PB2	409	1907	1
PB2	359	2174	1
PB2	270	1921	1
PB2	593	2209	1
PB2	588	1864	1
PB2	396	2094	1
PB2	327	1996	1
PB2	567	2065	1
PB2	344	2169	1
PB2	389	2132	1
PB2	543	2213	1
