Segment	Start	End	NGS_read_count
PB2	279	1730	1
PB2	290	2091	1
PB2	201	2016	1
PB2	273	2048	1
PB2	260	1741	1
PB2	327	1923	1
PB2	391	1961	1
PB2	300	2068	1
PB2	219	2047	1
PB2	309	2090	1
PB2	190	1710	1
PB2	323	2022	1
PB2	358	1715	1
PB2	485	1920	1
PB2	300	2077	1
PB2	372	1945	1
PB2	455	1982	1
PB2	541	2027	1
PB2	505	1982	1
PB2	326	1929	1
PB2	287	2105	1
PB2	334	1889	1
PB2	499	2093	1
PB2	364	2043	1
PB2	519	1917	1
PB2	466	1812	1
PB2	301	1964	1
PB2	463	1721	1
PB2	493	1896	1
PB2	420	1924	1
PB2	378	1921	1
PB2	389	1728	1
PB2	266	1937	1
PB2	272	2105	1
PB2	470	1843	1
PB2	441	1781	1
PB2	511	1959	1
PB2	471	1904	1
PB2	261	1959	1
PB2	254	2016	1
PB2	506	1949	1
PB2	281	1924	1
PB2	532	1883	1
PB2	215	2000	1
PB2	471	1974	1
PB2	534	2015	1
PB2	557	2016	1
PB2	244	1840	1
PB2	491	2053	1
PB2	480	1759	1
PB2	555	1971	1
PB2	358	1960	1
PB2	377	1979	1
PB2	247	1966	1
PB2	354	1843	1
PB2	365	2031	1
PB2	420	1752	1
PB2	380	2100	1
PB2	221	2067	1
PB2	217	2103	1
PB2	446	1810	1
PB2	557	1711	1
PB2	213	1833	1
PB2	397	1882	1
PB2	466	1938	1
PB2	229	1872	1
PB2	324	2035	1
PB2	294	1816	1
PB2	210	1934	1
PB2	265	2027	1
PB2	416	2062	1
PB2	478	1744	1
PB2	375	1945	1
PB2	527	1963	1
PB2	287	1921	1
PB2	198	1747	1
PB2	492	2024	1
PB2	291	1733	1
PB2	572	2028	1
PB2	563	1925	1
PB2	220	2057	1
PB2	275	1795	1
PB2	584	2036	1
PB2	223	1919	1
PB2	449	1911	1
PB2	196	1933	1
PB2	207	1925	1
PB2	337	2083	1
PB2	349	1741	1
PB2	215	1939	1
PB2	268	2021	1
PB2	567	1919	1
PB2	355	2044	1
PB2	562	1795	1
PB2	472	1841	1
PB2	399	2060	1
PB2	195	1930	1
PB2	323	1994	1
PB2	246	1957	1
PB2	584	1731	1
PB2	563	1836	1
PB2	497	2026	1
PB2	455	2079	1
PB2	338	1791	1
PB2	481	1826	1
PB2	448	1862	1
PB2	541	1735	1
PB2	286	1713	1
PB2	194	2094	1
PB2	343	1867	1
PB2	361	1802	1
PB2	288	1953	1
PB2	187	1826	1
PB2	297	1879	1
PB2	514	1803	1
PB2	367	2056	1
PB2	403	1757	1
PB2	416	1885	1
PB2	342	1890	1
PB2	544	1946	1
PB2	316	1865	1
PB2	463	1974	1
PB2	354	2090	1
PB2	537	1826	1
PB2	258	1739	1
PB2	266	2075	1
PB2	455	1775	1
PB2	411	1919	1
PB2	464	1851	1
PB2	295	1820	1
PB2	227	1749	1
PB2	418	1825	1
PB2	493	1888	1
PB2	585	2105	1
PB2	259	1878	1
PB2	420	1982	1
PB2	287	1741	1
PB2	453	1963	1
PB2	529	1947	1
PB2	386	2067	1
PB2	220	1931	1
PB2	514	1913	1
PB2	208	1722	1
PB2	347	1752	1
PB2	269	2103	1
PB2	284	1910	1
PB2	435	1913	1
PB2	422	2055	1
PB2	198	1737	1
PB2	543	1998	1
PB2	215	1965	1
PB2	262	1892	1
PB2	409	2082	1
PB2	577	1805	1
PB2	202	1736	1
PB2	416	1903	1
PB2	253	1786	1
PB2	450	1795	1
PB2	283	2053	1
PB2	253	2018	1
PB2	504	1881	1
PB2	374	1838	1
PB2	313	1934	1
PB2	415	1708	1
PB2	336	1985	1
PB2	281	1756	1
PB2	215	1723	1
PB2	520	1859	1
PB2	515	2077	1
PB2	255	1910	1
PB2	231	1897	1
PB2	419	1827	1
PB2	330	2093	1
PB2	248	1919	1
PB2	296	1945	1
PB2	276	1978	1
PB2	192	1727	1
PB2	215	1865	1
PB2	311	1917	1
PB2	449	1817	1
PB2	360	1800	1
PB2	288	1983	1
PB2	191	1823	1
PB2	431	2056	1
PB2	299	2103	1
PB2	326	2084	1
PB2	309	1944	1
PB2	351	2055	1
PB2	384	1779	1
PB2	349	1990	1
PB2	452	1709	1
PB2	416	2104	1
PB2	482	1735	1
PB2	562	2102	1
PB2	343	1843	1
PB2	451	1709	1
PB2	191	2059	1
PB2	391	1723	1
PB2	313	1896	1
PB2	388	1763	1
PB2	533	2064	1
PB2	254	1972	1
PB2	464	1935	1
PB2	473	1773	1
PB2	263	2066	1
PB2	346	1786	1
PB2	551	1873	1
PB2	352	1833	1
PB2	197	2042	1
PB2	219	2069	1
PB2	560	1906	1
PB2	389	1835	1
PB2	443	1913	1
PB2	392	1794	1
PB2	566	2086	1
PB2	353	2080	1
PB2	330	1921	1
PB2	440	2054	1
PB2	507	2078	1
PB2	523	1944	1
PB2	191	1712	1
PB2	350	1916	1
PB2	584	2069	1
PB2	275	1838	1
PB2	573	1916	1
PB2	201	1798	1
PB2	213	2027	1
PB2	467	1833	1
PB2	526	1767	1
PB2	319	1735	1
PB2	239	1894	1
PB2	342	1921	1
PB2	336	2009	1
PB2	564	1967	1
PB2	446	1967	1
PB2	564	1921	1
PB2	583	1771	1
PB2	339	1888	1
PB2	398	2029	1
PB2	188	2054	1
PB2	205	1930	1
PB2	546	1838	1
PB2	571	1860	1
PB2	536	1894	1
PB2	433	2038	1
PB2	536	1988	1
PB2	490	2020	1
PB2	421	1840	1
PB2	355	2035	1
PB2	221	1955	1
PB2	210	1907	1
PB2	419	1744	1
PB2	276	2069	1
PB2	453	1753	1
PB2	521	1934	1
PB2	437	2068	1
PB2	410	2082	1
PB2	326	1773	1
PB2	498	2070	1
PB2	448	1857	1
PB2	263	1943	1
PB2	236	1775	1
PB2	299	1827	1
PB2	569	1816	1
PB2	265	2097	1
PB2	451	1770	1
PB2	554	1755	1
PB2	547	1784	1
PB2	495	1852	1
PB2	192	1726	1
PB2	361	2086	1
PB2	483	1999	1
PB2	553	1980	1
PB2	276	1956	1
PB2	445	1839	1
PB2	247	1960	1
PB2	582	1817	1
PB2	227	1798	1
PB2	571	1876	1
PB2	515	1734	1
PB2	251	2024	1
PB2	307	1991	1
PB2	333	1945	1
PB2	327	1997	1
PB2	369	2044	1
PB2	244	2059	1
PB2	226	1991	1
PB2	344	2077	1
PB2	380	1879	1
PB2	476	1963	1
PB2	271	1774	1
PB2	546	1712	1
PB2	202	1982	1
PB2	337	1860	1
PB2	534	1837	1
PB2	392	1849	1
PB2	259	1829	1
PB2	247	2058	1
PB2	273	1917	1
PB2	430	1708	1
PB2	209	1729	1
PB2	242	1729	1
PB2	558	1891	1
PB2	531	1720	1
PB2	446	1850	1
PB2	533	1809	1
PB2	572	1821	1
PB2	500	1821	1
PB2	343	1741	1
PB2	261	2011	1
PB2	405	1736	1
PB2	199	2097	1
PB2	541	1755	1
PB2	421	2015	1
PB2	584	1943	1
PB2	505	1983	1
PB2	200	1816	1
PB2	497	2103	1
PB2	281	1811	1
PB2	564	2079	1
PB2	270	1727	1
PB2	223	1831	1
PB2	417	1748	1
PB2	449	1808	1
PB2	411	1720	1
PB2	342	1927	1
PB2	567	1851	1
PB2	246	1860	1
PB2	514	1928	1
PB2	467	1742	1
PB2	268	2081	1
PB2	241	1968	1
PB2	503	2058	1
PB2	203	1959	1
PB2	475	1728	1
PB2	297	1856	1
PB2	244	2030	1
PB2	273	1833	1
PB2	190	1897	1
PB2	388	2062	1
PB2	394	2084	1
PB2	416	1932	1
PB2	577	1879	1
PB2	456	2035	1
PB2	198	2024	1
PB2	580	1851	1
PB2	315	1924	1
PB2	452	1854	1
PB2	371	1713	1
PB2	578	1754	1
PB2	540	1954	1
PB2	579	1788	1
PB2	462	1748	1
PB2	480	1872	1
PB2	579	1832	1
PB2	560	2051	1
PB2	538	2063	1
PB2	390	2046	1
PB2	366	2084	1
PB2	303	1881	1
PB2	554	2060	1
PB2	348	2035	1
PB2	330	1831	1
PB2	432	1928	1
PB2	537	2059	1
PB2	213	1712	1
PB2	282	1980	1
PB2	550	2007	1
PB2	342	1885	1
PB2	383	1718	1
PB2	405	1862	1
PB2	322	1820	1
PB2	308	1783	1
PB2	230	1996	1
PB2	298	1711	1
PB2	296	1709	1
PB2	470	1820	1
PB2	525	1781	1
PB2	564	1823	1
PB2	547	1919	1
PB2	461	1792	1
PB2	248	1954	1
PB2	587	1871	1
PB2	483	1983	1
PB2	343	1777	1
PB2	447	1871	1
PB2	382	1858	1
PB2	250	1966	1
PB2	312	1711	1
PB2	347	2089	1
PB2	308	1819	1
PB2	312	2062	1
PB2	253	2043	1
PB2	189	1751	1
PB2	570	1731	1
PB2	371	1908	1
PB2	579	1935	1
PB2	570	1825	1
PB2	400	2008	1
PB2	253	2022	1
PB2	429	1777	1
PB2	353	1784	1
PB2	499	1953	1
PB2	245	1946	1
PB2	284	2088	1
PB2	424	1782	1
PB2	492	1760	1
PB2	560	1725	1
PB2	187	2049	1
PB2	294	1888	1
PB2	274	1868	1
PB2	506	2029	1
PB2	461	1987	1
PB2	354	1764	1
PB2	455	1877	1
PB2	551	1895	1
PB2	387	2102	1
PB2	342	2024	1
PB2	382	2058	1
PB2	545	1935	1
PB2	557	1975	1
PB2	573	1985	1
PB2	581	1921	1
PB2	267	1717	1
PB2	325	1958	1
PB2	267	1961	1
PB2	430	1988	1
PB2	363	2001	1
PB2	561	2024	1
PB2	402	2031	1
PB2	341	1885	1
PB2	268	1957	1
PB2	464	1952	1
PB2	192	1724	1
PB2	537	1947	1
PB2	586	1904	1
PB2	203	1941	1
PB2	276	1732	1
PB2	197	1785	1
PB2	477	1846	1
PB2	569	1883	1
PB2	530	1735	1
PB2	582	1821	1
PB2	550	2075	1
PB2	410	1946	1
PB2	410	2063	1
PB2	389	1933	1
PB2	514	1983	1
PB2	459	1721	1
PB2	532	1970	1
PB2	482	1719	1
PB2	339	1822	1
PB2	365	1939	1
PB2	579	2079	1
PB2	333	1979	1
PB2	283	1879	1
PB2	206	2096	1
PB2	410	1971	1
PB2	305	1954	1
PB2	236	1800	1
PB2	315	1739	1
PB2	366	1803	1
PB2	310	1859	1
PB2	263	1818	1
PB2	255	2008	1
PB2	300	1835	1
PB2	324	1837	1
PB2	412	1733	1
PB2	508	1726	1
PB2	334	1792	1
PB2	402	2050	1
PB2	275	1946	1
PB2	398	2011	1
PB2	350	1919	1
PB2	384	1920	1
PB2	562	1968	1
PB2	211	1825	1
PB2	296	2107	1
PB2	478	1959	1
PB2	227	2058	1
PB2	424	2089	1
PB2	548	1806	1
PB2	327	1894	1
PB2	404	1998	1
PB2	559	1886	1
PB2	215	1992	1
PB2	529	1752	1
PB2	403	1853	1
PB2	524	1996	1
PB2	208	1793	1
PB2	355	1804	1
PB2	245	2071	1
PB2	348	1837	1
PB2	288	2059	1
PB2	267	1949	1
PB2	324	1846	1
PB2	466	2071	1
PB2	259	1769	1
PB2	267	1904	1
PB2	245	1823	1
PB2	297	1835	1
PB2	449	2058	1
PB2	394	1940	1
PB2	280	1833	1
PB2	270	1997	1
PB2	227	2018	1
PB2	343	2095	1
PB2	273	1877	1
PB2	231	1876	1
PB2	320	1821	1
PB2	442	1733	1
PB2	457	1869	1
PB2	390	1835	1
PB2	361	2085	1
PB2	393	1800	1
PB2	272	1723	1
PB2	303	2078	1
PB2	521	1839	1
PB2	422	1864	1
PB2	521	1882	1
PB2	341	1862	1
PB2	495	1972	1
PB2	508	1778	1
PB2	329	1831	1
PB2	360	2035	1
PB2	439	1713	1
PB2	375	1736	1
PB2	494	1765	1
PB2	288	2023	1
PB2	300	2084	1
PB2	434	1912	1
PB2	556	2065	1
PB2	540	1867	1
PB2	391	1871	1
PB2	459	1722	1
PB2	469	2001	1
PB2	241	1788	1
PB2	246	1803	1
PB2	530	1897	1
PB2	486	2053	1
PB2	271	2096	1
PB2	411	1938	1
PB2	424	2048	1
PB2	508	1855	1
PB2	389	1788	1
PB2	513	2067	1
PB2	366	2099	1
PB2	358	2107	1
PB2	202	1994	1
PB2	464	2099	1
PB2	381	2058	1
PB2	195	2065	1
PB2	420	1925	1
PB2	309	1983	1
PB2	499	2107	1
PB2	324	1904	1
PB2	361	2050	1
PB2	474	1792	1
PB2	534	1724	1
PB2	584	1913	1
PB2	294	1806	1
PB2	377	1805	1
PB2	576	1811	1
PB2	207	1954	1
PB2	518	1972	1
PB2	443	1921	1
PB2	385	1915	1
PB2	356	1886	1
PB2	551	1880	1
PB2	384	1875	1
PB2	292	2047	1
PB2	523	2079	1
PB2	514	1926	1
PB2	537	1843	1
PB2	357	1836	1
PB2	418	1919	1
PB2	201	1766	1
PB2	215	1743	1
PB2	475	1954	1
PB2	271	1787	1
PB2	191	1839	1
PB2	494	1785	1
PB2	391	1918	1
PB2	452	1779	1
PB2	477	2069	1
PB2	443	1818	1
PB2	446	1805	1
PB2	323	1925	1
PB2	232	1970	1
PB2	476	1899	1
PB2	319	1988	1
PB2	547	2004	1
PB2	370	2100	1
PB2	475	1862	1
PB2	464	2098	1
PB2	380	1775	1
PB2	218	1944	1
PB2	310	1812	1
PB2	476	2019	1
PB2	463	1740	1
PB2	513	1944	1
PB2	294	2022	1
PB2	513	2041	1
PB2	523	2001	1
PB2	262	2046	1
PB2	323	1766	1
PB2	267	1826	1
PB2	545	1966	1
PB2	344	1842	1
PB2	427	1736	1
PB2	268	1773	1
PB2	199	1941	1
PB2	494	1760	1
PB2	387	1894	1
PB2	402	2088	1
PB2	575	1917	1
PB2	452	1953	1
PB2	548	1970	1
PB2	551	1982	1
PB2	451	2100	1
PB2	362	1727	1
PB2	254	1874	1
PB2	576	1938	1
PB2	549	1711	1
PB2	341	1728	1
PB2	392	1948	1
PB2	522	1993	1
PB2	220	1833	1
PB2	559	1934	1
PB2	526	2052	1
PB2	469	1823	1
PB2	425	2042	1
PB2	466	1767	1
PB2	424	1783	1
PB2	266	2102	1
PB2	482	1840	1
PB2	309	1992	1
PB2	575	1752	1
PB2	253	2012	1
PB2	547	1877	1
PB2	202	2094	1
PB2	438	1878	1
PB2	333	1987	1
PB2	568	2088	1
PB2	217	1707	1
PB2	320	1983	1
PB2	249	1782	1
PB2	558	2056	1
PB2	288	1938	1
PB2	396	1712	1
PB2	294	1769	1
PB2	510	1911	1
PB2	376	1741	1
PB2	199	2104	1
PB2	413	1966	1
PB2	254	1913	1
PB2	277	1826	1
PB2	540	1961	1
PB2	228	2000	1
PB2	287	1778	1
PB2	254	1883	1
PB2	230	2032	1
PB2	491	1994	1
PB2	327	1772	1
PB2	237	1722	1
PB2	469	1766	1
PB2	335	1943	1
PB2	211	1855	1
PB2	234	1909	1
PB2	310	1841	1
PB2	490	1849	1
PB2	571	1737	1
PB2	520	1814	1
PB2	419	1739	1
PB2	372	1821	1
PB2	440	2102	1
PB2	367	1879	1
PB2	387	1817	1
PB2	237	1780	1
PB2	296	1911	1
PB2	460	1730	1
PB2	362	2032	1
PB2	253	1720	1
PB2	337	2021	1
PB2	570	1775	1
PB2	233	1736	1
PB2	217	2067	1
PB2	224	1997	1
PB2	522	2083	1
PB2	301	1850	1
PB2	285	2031	1
PB2	338	1880	1
PB2	204	1772	1
PB2	310	1835	1
PB2	303	1896	1
PB2	537	2097	1
PB2	528	2010	1
PB2	272	1865	1
PB2	583	2021	1
PB2	230	1734	1
PB2	196	1964	1
PB2	406	1873	1
PB2	211	1999	1
PB2	390	1797	1
PB2	256	1792	1
PB2	407	2046	1
PB2	507	1784	1
PB2	454	1855	1
PB2	228	2103	1
PB2	561	1904	1
PB2	392	1917	1
PB2	358	1781	1
PB2	408	1745	1
PB2	570	1766	1
PB2	503	1817	1
PB2	451	1944	1
PB2	207	1737	1
PB2	231	1980	1
PB2	236	2060	1
PB2	248	1966	1
PB2	273	1892	1
PB2	305	1925	1
PB2	203	2045	1
