Segment,Start,End,NGS_read_count
HA,30,1487,2
HA,31,1460,1
HA,32,1442,1
HA,32,1455,1
HA,32,1478,2
HA,32,1499,1
HA,33,1365,3
HA,33,1431,1
HA,35,1192,4
HA,37,1377,14
HA,37,1503,43
HA,41,1507,8
HA,42,1367,3
HA,43,815,1
HA,43,1455,1
HA,46,81,2
HA,46,100,1
HA,46,1449,1
HA,46,1467,3
HA,47,72,2
HA,47,93,2
HA,47,97,1
HA,47,99,5
HA,47,107,80
HA,47,115,3
HA,47,175,1
HA,47,741,2
HA,47,1276,2
HA,47,1346,3
HA,47,1418,2
HA,47,1428,2
HA,47,1432,3
HA,47,1447,7
HA,47,1453,1
HA,47,1464,1
HA,47,1532,4
HA,47,1603,1
HA,48,89,2
HA,48,105,1
HA,48,1128,1
HA,48,1485,2
HA,50,130,1
HA,50,1639,1
HA,51,774,1
HA,51,1369,6
HA,52,1655,3
HA,53,1344,4
HA,55,96,1
HA,55,1132,1
HA,55,1439,1
HA,57,1558,2
HA,58,1494,5
HA,58,1500,1
HA,59,97,3
HA,59,99,9
HA,59,104,2
HA,59,1228,1
HA,59,1343,1
HA,59,1365,2
HA,59,1459,4
HA,59,1478,11
HA,59,1484,2
HA,59,1532,3
HA,59,1613,1
HA,60,1346,9
HA,60,1429,8
HA,60,1441,2
HA,60,1561,1
HA,60,1700,2
HA,61,1520,7
HA,63,1493,9
HA,68,1488,1
HA,71,1447,1
HA,71,1498,6
HA,74,1477,7
HA,76,1504,4
HA,77,104,3
HA,77,1489,1
HA,77,1498,5
HA,77,1511,1
HA,77,1532,3
HA,77,1534,4
HA,77,1547,2
HA,79,1447,3
HA,80,114,6
HA,81,1509,1
HA,83,1484,9
HA,83,1507,1
HA,86,117,1
HA,86,1449,2
HA,87,159,4
HA,87,1432,1
HA,87,1447,14
HA,87,1498,3
HA,87,1502,6
HA,87,1503,1
HA,87,1511,2
HA,87,1518,2
HA,87,1532,13
HA,87,1538,21
HA,87,1547,8
HA,87,1560,10
HA,87,1581,3
HA,87,1602,3
HA,88,1485,16
HA,88,1529,4
HA,89,127,5
HA,89,165,2
HA,89,1448,1
HA,89,1470,1
HA,89,1499,4
HA,89,1532,11
HA,89,1538,1
HA,89,1545,2
HA,89,1547,1
HA,89,1650,7
HA,90,1441,3
HA,90,1490,4
HA,90,1500,1
HA,91,117,1
HA,91,1413,1
HA,91,1449,10
HA,91,1460,4
HA,91,1500,11
HA,91,1504,1
HA,91,1533,3
HA,92,115,1
HA,92,127,9
HA,92,167,7
HA,92,236,1
HA,92,1198,4
HA,92,1302,1
HA,92,1345,5
HA,92,1428,9
HA,92,1436,3
HA,92,1440,3
HA,92,1447,7
HA,92,1458,1
HA,92,1461,2
HA,92,1484,23
HA,92,1487,13
HA,92,1489,2
HA,92,1498,4
HA,92,1518,7
HA,92,1528,17
HA,92,1560,17
HA,92,1570,1
HA,92,1576,4
HA,92,1581,4
HA,93,1447,1
HA,93,1460,45
HA,93,1517,3
HA,93,1536,6
HA,93,1539,47
HA,93,1546,1
HA,93,1548,19
HA,94,1468,1
HA,94,1501,5
HA,94,1505,2
HA,94,1509,8
HA,94,1525,4
HA,94,1534,23
HA,94,1585,2
HA,95,1449,5
HA,95,1473,6
HA,95,1500,3
HA,95,1503,2
HA,95,1533,3
HA,96,120,2
HA,96,127,2
HA,96,324,1
HA,96,1306,1
HA,96,1370,1
HA,96,1428,3
HA,96,1436,1
HA,96,1440,3
HA,96,1447,5
HA,96,1453,2
HA,96,1484,20
HA,96,1490,2
HA,96,1518,32
HA,96,1544,2
HA,96,1546,2
HA,96,1551,2
HA,96,1560,12
HA,96,1570,7
HA,96,1581,2
HA,96,1650,1
HA,97,1533,25
HA,97,1536,3
HA,97,1539,12
HA,97,1548,52
HA,97,1595,2
HA,97,1614,6
HA,98,1345,6
HA,98,1447,17
HA,98,1484,13
HA,98,1489,6
HA,98,1507,6
HA,98,1518,1
HA,98,1532,17
HA,98,1538,20
HA,98,1547,9
HA,98,1560,11
HA,98,1567,7
HA,98,1613,4
HA,99,160,4
HA,99,1255,1
HA,99,1552,8
HA,100,1572,9
HA,102,1504,2
HA,102,1533,5
HA,103,1371,1
HA,103,1428,2
HA,103,1447,21
HA,103,1453,8
HA,103,1459,1
HA,103,1489,1
HA,103,1498,4
HA,103,1507,13
HA,103,1518,4
HA,103,1521,2
HA,103,1532,12
HA,103,1538,14
HA,103,1543,1
HA,103,1547,13
HA,103,1551,11
HA,103,1560,17
HA,103,1570,5
HA,103,1581,24
HA,104,128,18
HA,104,1488,3
HA,104,1529,8
HA,105,1533,1
HA,105,1571,2
HA,106,1281,1
HA,106,1447,4
HA,106,1487,25
HA,106,1504,2
HA,106,1560,4
HA,107,1439,1
HA,107,1441,1
HA,107,1506,6
HA,107,1537,3
HA,107,1548,6
HA,107,1649,1
HA,108,1396,1
HA,108,1544,4
HA,108,1654,2
HA,109,1506,1
HA,110,1389,2
HA,110,1547,4
HA,111,1532,4
HA,111,1647,3
HA,112,1498,5
HA,112,1499,1
HA,112,1503,9
HA,112,1519,2
HA,114,165,1
HA,114,1478,1
HA,114,1484,2
HA,114,1528,3
HA,114,1532,10
HA,114,1547,23
HA,114,1551,2
HA,114,1581,9
HA,115,176,3
HA,115,1441,9
HA,115,1519,4
HA,116,1449,2
HA,116,1500,7
HA,116,1546,6
HA,118,1467,1
HA,118,1482,2
HA,118,1533,6
HA,118,1578,5
HA,119,1532,6
HA,119,1538,4
HA,119,1547,6
HA,119,1551,2
HA,119,1581,1
HA,120,1499,4
HA,120,1537,1
HA,121,1393,3
HA,121,1489,2
HA,121,1546,2
HA,121,1637,4
HA,122,178,1
HA,123,738,1
HA,123,1491,351
HA,124,1447,11
HA,124,1507,39
HA,124,1518,1
HA,125,1504,1
HA,125,1508,3
HA,125,1533,1
HA,126,152,3
HA,126,159,1
HA,126,1187,2
HA,126,1243,1
HA,126,1343,2
HA,126,1350,5
HA,126,1428,1
HA,126,1432,3
HA,126,1440,3
HA,126,1447,4
HA,126,1453,2
HA,126,1470,2
HA,126,1489,1
HA,126,1498,5
HA,126,1507,2
HA,126,1518,12
HA,126,1529,1
HA,126,1532,40
HA,126,1538,20
HA,126,1543,2
HA,126,1544,5
HA,126,1547,52
HA,126,1551,1
HA,126,1560,23
HA,126,1581,2
HA,127,166,1
HA,127,1485,64
HA,127,1488,10
HA,128,169,2
HA,128,1530,2
HA,128,1549,5
HA,128,1631,16
HA,131,1417,3
HA,131,1446,3
HA,131,1483,16
HA,131,1497,3
HA,131,1506,2
HA,131,1512,5
HA,131,1517,6
HA,131,1531,1
HA,131,1537,4
HA,131,1549,2
HA,131,1559,5
HA,131,1573,2
HA,131,1630,2
