Segment,Start,End,NGS_read_count
HA,28,1339,1
HA,31,280,1
HA,36,73,1
HA,42,73,1
HA,42,91,1
HA,44,78,1
HA,70,167,1
HA,73,1630,1
HA,92,161,1
HA,98,139,1
HA,100,1665,1
HA,101,1600,1
HA,103,615,1
HA,105,1648,3
HA,109,1627,1
HA,114,162,1
HA,119,154,1
HA,119,1619,1
HA,122,1651,1
HA,128,1580,1
HA,135,1678,1
HA,136,1668,1
HA,138,1607,3
HA,138,1662,1
HA,139,1423,1
HA,139,1513,1
HA,139,1723,1
HA,140,1362,1
HA,140,1577,1
HA,142,1618,1
HA,144,1638,1
HA,152,1079,1
HA,152,1662,6
HA,153,1490,1
HA,153,1629,1
HA,154,340,1
HA,154,1588,1
HA,156,1603,1
HA,156,1750,1
HA,157,1599,1
HA,158,1354,1
HA,158,1554,1
HA,160,1618,1
HA,161,1621,1
HA,165,342,1
HA,165,1529,1
HA,166,1513,1
HA,166,1545,1
HA,166,1621,1
HA,166,1642,1
HA,174,1607,1
HA,179,1355,1
HA,179,1585,1
HA,180,210,1
HA,183,1583,1
HA,184,1590,1
HA,185,1571,12
HA,187,1517,1
HA,187,1664,1
HA,188,1129,1
HA,189,1577,1
HA,189,1641,1
HA,191,1490,1
HA,194,1581,1
HA,196,277,1
HA,198,1573,1
HA,199,1513,1
HA,199,1624,1
HA,200,1609,1
HA,204,238,1
HA,210,1514,1
HA,211,1625,1
HA,212,1406,1
HA,214,1536,1
HA,216,1662,1
HA,218,1492,1
HA,219,1617,1
HA,219,1624,1
HA,220,1580,1
HA,223,1533,1
HA,223,1590,1
HA,226,1467,1
HA,226,1559,1
HA,226,1659,1
HA,227,1313,1
HA,227,1490,1
HA,229,1590,4
HA,232,1663,1
HA,236,1514,1
HA,240,343,1
HA,241,1554,1
HA,243,1366,1
HA,244,879,1
HA,246,490,2
HA,249,1313,1
HA,249,1572,2
HA,250,1449,1
HA,250,1531,1
HA,251,305,1
HA,251,1506,1
HA,251,1529,2
HA,252,1676,1
HA,253,303,1
HA,258,1497,1
HA,262,1559,1
HA,263,336,1
HA,263,417,1
HA,263,1255,1
HA,264,1670,2
HA,265,820,1
HA,266,1448,1
HA,268,950,1
HA,271,1474,1
HA,275,1486,1
HA,276,1159,1
HA,278,934,1
HA,279,335,1
HA,279,1404,1
HA,279,1449,48
HA,279,1486,2
HA,279,1675,1
HA,283,1538,1
HA,289,1666,1
HA,291,1509,1
HA,292,315,1
HA,294,855,1
HA,294,1449,1
HA,295,1438,1
HA,297,1622,3
HA,298,1669,1
HA,300,343,1
HA,302,1326,4
HA,303,1406,1
HA,304,1364,1
HA,304,1446,1
HA,304,1493,1
HA,305,1421,1
HA,305,1515,1
HA,306,1512,1
HA,306,1608,1
HA,310,1500,1
HA,320,342,1
HA,320,1463,1
HA,320,1531,1
HA,322,1402,1
HA,322,1530,1
HA,324,1514,1
HA,325,1349,9
HA,331,1416,1
HA,333,1380,1
HA,334,1276,1
HA,334,1623,1
HA,334,1667,1
HA,335,1483,1
HA,337,383,1
HA,338,1090,1
HA,338,1668,1
HA,339,1360,2
HA,339,1392,1
HA,339,1429,1
HA,339,1440,1
HA,339,1447,2
HA,339,1483,2
HA,339,1512,1
HA,339,1590,1
HA,340,382,1
HA,340,419,1
HA,340,1273,1
HA,340,1309,1
HA,340,1366,1
HA,340,1381,1
HA,340,1414,1
HA,340,1417,2
HA,340,1449,2
HA,340,1450,2
HA,340,1451,3
HA,340,1492,2
HA,340,1545,1
HA,340,1649,1
HA,340,1665,1
HA,341,1306,1
HA,341,1348,1
HA,341,1429,1
HA,342,1502,1
HA,343,1418,1
HA,343,1419,1
HA,343,1465,1
HA,344,414,1
HA,344,1416,1
HA,344,1435,1
HA,344,1577,1
HA,345,1144,1
HA,345,1430,1
HA,349,1530,1
HA,356,1412,1
HA,357,1415,1
HA,359,401,1
HA,359,1259,1
HA,362,1416,1
HA,366,1278,1
HA,371,1367,1
HA,375,1435,1
HA,376,409,1
HA,378,411,1
HA,379,1670,1
HA,380,402,1
HA,380,408,1
HA,381,1227,1
HA,382,1380,1
HA,390,1414,1
HA,392,1352,28
HA,396,1117,1
HA,399,1068,1
HA,408,1408,1
HA,419,1404,1
HA,420,1239,9
HA,420,1240,1
HA,420,1601,1
HA,429,1667,1
HA,430,497,1
HA,435,491,1
HA,450,1383,1
HA,460,1307,36
HA,474,527,1
HA,482,1587,1
HA,484,1364,1
HA,485,518,1
HA,486,1266,1
HA,494,536,1
HA,500,1244,1
HA,503,743,1
HA,506,1189,1
HA,508,1313,1
HA,514,553,1
HA,517,1189,1
HA,518,1256,1
HA,531,1234,1
HA,533,1254,1
HA,545,826,1
HA,545,1350,1
HA,546,1238,1
HA,547,1064,1
HA,551,1348,1
HA,558,647,1
HA,561,1637,1
HA,562,1251,1
HA,563,1451,1
HA,565,1576,1
HA,571,1209,1
