Segment	Start	End	NGS_read_count
PA	411	1795	1
PA	218	2005	1
PA	503	1840	1
PA	512	2001	1
PA	446	1665	1
PA	475	1621	1
PA	409	1661	1
PA	350	1789	1
PA	277	1964	1
PA	184	1944	1
PA	225	1623	1
PA	305	1684	1
PA	195	1844	1
PA	337	1723	1
PA	248	1718	1
PA	181	1729	1
PA	218	1971	1
PA	238	1962	1
PA	165	1965	1
PA	535	1758	1
PA	448	1667	1
PA	472	1782	1
PA	417	1819	1
PA	384	1895	1
PA	427	1926	1
PA	182	1757	1
PA	382	1935	1
PA	311	1739	1
PA	314	1867	1
PA	317	1857	1
PA	297	1680	1
PA	247	1973	1
PA	463	1638	1
PA	445	1694	1
PA	191	1952	1
PA	269	1701	1
PA	423	1711	1
PA	401	1907	1
PA	540	1667	1
PA	390	1969	1
PA	234	1825	1
PA	451	1633	1
PA	232	1701	1
PA	461	1687	1
PA	501	1808	1
PA	165	1814	1
PA	533	1708	1
PA	440	1825	1
PA	547	1905	1
PA	303	1822	1
PA	509	1900	1
PA	335	1919	1
PA	460	1863	1
PA	421	1845	1
PA	403	1717	1
PA	241	1924	1
PA	390	1616	1
PA	399	1763	1
PA	290	2004	1
PA	407	1953	1
PA	358	1783	1
PA	508	1640	1
PA	386	1649	1
PA	427	1735	1
PA	501	1900	1
PA	192	1999	1
PA	311	1626	1
PA	395	1677	1
PA	308	1680	1
PA	518	1960	1
PA	191	1875	1
PA	182	1970	1
PA	300	1654	1
PA	263	1727	1
PA	182	1952	1
PA	361	1733	1
PA	535	1828	1
PA	238	1736	1
PA	191	1951	1
PA	427	1931	1
PA	329	1712	1
PA	335	1832	1
PA	464	1897	1
PA	527	1923	1
PA	231	1709	1
PA	461	1686	1
PA	467	1863	1
PA	391	1621	1
PA	235	1693	1
PA	368	1690	1
PA	295	1939	1
PA	415	1990	1
PA	460	1641	1
PA	306	1697	1
PA	506	1808	1
PA	165	1881	1
PA	274	1981	1
PA	523	1945	1
PA	497	1631	1
PA	386	1923	1
PA	362	1875	1
PA	387	1684	1
PA	335	1741	1
PA	411	1874	1
PA	559	1889	1
PA	350	1969	1
PA	495	1821	1
PA	432	1707	1
PA	232	1730	1
PA	418	1741	1
PA	468	1805	1
PA	253	1923	1
PA	181	1905	1
PA	431	1899	1
PA	425	2015	1
PA	179	1781	1
PA	433	1852	1
PA	328	2005	1
PA	544	1685	1
PA	444	1714	1
PA	547	1793	1
PA	315	1791	1
PA	206	1696	1
PA	413	1728	1
PA	555	1847	1
PA	542	2004	1
PA	501	1651	1
PA	492	1762	1
PA	383	1749	1
PA	256	1618	1
PA	487	1853	1
PA	525	1821	1
PA	404	1798	1
PA	246	1792	1
PA	308	1756	1
PA	363	1855	1
PA	222	1959	1
PA	419	1826	1
PA	406	1924	1
PA	334	1834	1
PA	393	1827	1
PA	214	1654	1
PA	336	1994	1
PA	275	1837	1
PA	528	1952	1
PA	273	2013	1
PA	385	1882	1
PA	180	1705	1
PA	465	1805	1
PA	393	1818	1
PA	173	1686	1
PA	209	1886	1
PA	556	2015	1
PA	475	1615	1
PA	349	1636	1
PA	351	1746	1
PA	165	1883	1
PA	550	1761	1
PA	341	1754	1
PA	411	1888	1
PA	192	1672	1
PA	352	1823	1
PA	370	1865	1
PA	436	2011	1
PA	496	1721	1
PA	453	1937	1
PA	515	2013	1
PA	180	1964	1
PA	505	1716	1
PA	471	1841	1
PA	290	1772	1
PA	446	1670	1
PA	529	1636	1
PA	191	1892	1
PA	236	1965	1
PA	306	1956	1
PA	271	1881	1
PA	287	1645	1
PA	168	1674	1
PA	430	1934	1
PA	521	1766	1
PA	328	1996	1
PA	342	1844	1
PA	324	1615	1
PA	510	1623	1
PA	204	1971	1
PA	335	1793	1
PA	414	1807	1
PA	161	1794	1
PA	184	1797	1
PA	202	1934	1
PA	432	1871	1
PA	239	1989	1
PA	262	1786	1
PA	291	1778	1
PA	422	1697	1
PA	305	1989	1
PA	179	2015	1
PA	520	1912	1
PA	418	1928	1
PA	218	1754	1
PA	488	2009	1
PA	168	1704	1
PA	418	1914	1
PA	365	1986	1
PA	482	1920	1
PA	453	1996	1
PA	201	1703	1
PA	379	2005	1
PA	541	1741	1
PA	470	1986	1
PA	162	1848	1
PA	311	1804	1
PA	302	1669	1
PA	294	1750	1
