Segment,Start,End,NGS_read_count
PB2,101,2157,5
PB2,107,2135,11
PB2,110,2152,8
PB2,112,2142,9
PB2,116,2085,117
PB2,116,2090,11
PB2,117,2130,9
PB2,117,2139,6
PB2,119,2161,9
PB2,122,2132,25
PB2,126,2060,5
PB2,126,2065,6
PB2,127,2157,14
PB2,127,720,11
PB2,127,777,10
PB2,129,1781,7
PB2,135,2159,5
PB2,135,2164,8
PB2,139,1961,32
PB2,141,2087,11
PB2,143,2048,5
PB2,143,2132,12
PB2,148,2065,5
PB2,148,2187,51
PB2,148,2217,39
PB2,150,2116,20
PB2,150,2191,13
PB2,151,2130,5
PB2,153,2210,74
PB2,154,2174,70
PB2,158,2119,8
PB2,162,2051,5
PB2,162,2079,5
PB2,162,2098,30
PB2,162,2104,5
PB2,164,2078,7
PB2,167,2126,381
PB2,170,2077,5
PB2,171,2075,37
PB2,176,2002,12
PB2,176,2169,14
PB2,177,2042,11
PB2,179,1981,5
PB2,179,2115,15
PB2,179,2205,8
PB2,181,2106,6
PB2,183,2048,6
PB2,190,2118,25
PB2,194,2104,31
PB2,198,2140,6
PB2,2053,2124,5
PB2,208,2275,7
PB2,212,2136,5
PB2,214,2023,12
PB2,215,2206,10
PB2,228,2069,47
PB2,228,2072,13
PB2,246,2172,50
PB2,249,2215,13
PB2,259,1994,10
PB2,265,2114,12
PB2,274,1946,16
PB2,277,1636,7
PB2,280,2170,12
PB2,281,2207,16
PB2,285,1688,24
PB2,286,1958,30
PB2,298,1403,13
PB2,303,1688,6
PB2,346,2204,5
PB2,470,1750,9
PB2,477,1732,6
PB2,547,1642,6
PB2,627,1931,17
PB2,627,1990,12
PB2,658,2002,11
PB2,660,2167,7
PB2,830,1950,5
PB2,84,2053,6
PB2,85,2138,12
PB2,88,2044,24
PB2,89,2157,8
PB2,94,2099,11
PB1,102,2024,5
PB1,103,2173,46
PB1,111,2046,7
PB1,111,2113,9
PB1,113,2141,6
PB1,113,2143,5
PB1,114,2147,16
PB1,114,2149,133
PB1,115,2045,40
PB1,115,2143,10
PB1,116,2142,60
PB1,1171,1952,26
PB1,120,2138,13
PB1,1234,2211,9
PB1,126,2165,8
PB1,126,2177,20
PB1,127,2142,7
PB1,129,2135,357
PB1,134,2172,8
PB1,136,2110,6
PB1,136,2180,14
PB1,137,1984,6
PB1,139,2141,26
PB1,142,2129,7
PB1,143,2090,55
PB1,147,2135,6
PB1,149,2092,11
PB1,151,2100,58
PB1,151,2142,15
PB1,154,2165,92
PB1,161,2045,5
PB1,164,2118,8
PB1,164,2203,146
PB1,166,2047,7
PB1,170,2129,5
PB1,171,2140,8
PB1,172,2073,7
PB1,179,2090,37
PB1,188,2054,14
PB1,189,2080,5
PB1,190,2087,7
PB1,192,2110,12
PB1,197,1968,48
PB1,197,2057,5
PB1,197,2110,11
PB1,199,2129,14
PB1,199,2230,17
PB1,200,2044,6
PB1,203,2068,7
PB1,203,2211,16
PB1,205,2118,7
PB1,2077,2113,6
PB1,2087,2109,5
PB1,208,2103,5
PB1,208,2109,9
PB1,208,2193,28
PB1,211,2173,27
PB1,272,2048,6
PB1,309,2020,5
PB1,318,2120,37
PB1,324,1856,10
PB1,328,2082,6
PB1,328,2258,9
PB1,335,1976,5
PB1,345,1940,8
PB1,362,2090,8
PB1,371,1544,5
PB1,374,2151,23
PB1,437,1981,6
PB1,445,2106,20
PB1,447,2014,9
PB1,498,1781,7
PB1,539,1753,9
PB1,53,2059,7
PB1,548,1947,18
PB1,548,2083,8
PB1,54,2110,9
PB1,68,1971,7
PB1,70,2150,5
PB1,83,2080,15
PB1,88,2138,5
PB1,92,2127,8
PB1,92,2143,6
PB1,94,2080,61
PB1,96,2159,29
PB1,97,2154,6
PB1,98,1922,62
PB1,98,2140,8
PA,105,2024,5
PA,128,1939,11
PA,138,1916,10
PA,138,1928,5
PA,139,2028,5
PA,142,2011,9
PA,153,2013,6
PA,157,1981,6
PA,158,1904,12
PA,161,2113,5
PA,163,1964,7
PA,164,2062,65
PA,168,1957,6
PA,169,1996,7
PA,171,2111,6
PA,174,1924,8
PA,181,2013,6
PA,182,1973,37
PA,183,2074,8
PA,187,2027,25
PA,207,1877,17
PA,212,1809,5
PA,216,1993,8
PA,233,1757,9
PA,237,1916,27
PA,237,1944,352
PA,245,1951,6
PA,249,2060,11
PA,252,1932,5
PA,312,1953,6
PA,322,2078,6
PA,322,2079,5
PA,497,1892,8
PA,520,2090,5
PA,539,1700,14
PA,64,1814,6
PA,797,2171,7
PA,83,2065,9
PA,903,2172,8
PA,905,2100,6
PA,96,2028,10
PA,97,1810,19
PA,98,1811,5
HA,102,1471,6
HA,103,1518,5
HA,122,1381,5
HA,1417,1681,11
HA,166,1447,21
HA,171,1468,7
HA,183,1509,5
HA,191,1404,19
HA,231,1428,17
HA,243,1609,8
HA,252,910,6
HA,262,1692,5
HA,263,1104,139
HA,263,1125,6
HA,390,500,6
HA,807,1072,6
NP,109,479,5
NP,1192,1295,18
NP,1220,1409,11
NP,124,495,7
NP,129,1378,5
NP,1367,1491,13
NP,1401,1542,5
NP,155,626,5
NP,193,1351,6
NP,204,1491,8
NP,205,1369,25
NP,205,1529,5
NP,206,671,5
NP,224,1291,9
NP,227,1358,9
NP,253,544,7
NP,290,1210,6
NP,290,1315,10
NP,292,1359,76
NP,296,531,686
NP,297,532,7
NP,325,578,6
NP,326,670,12
NP,327,1228,5
NP,328,498,5
NP,329,1372,6
NP,425,617,5
NP,432,1525,5
NP,478,523,6
NP,484,550,5
NP,495,1246,6
NP,495,1349,11
NP,496,1530,41
NP,497,1371,7
NP,506,1445,16
NP,508,1447,6
NP,514,592,5
NP,524,577,11
NP,526,1503,5
NP,534,634,5
NP,561,1446,8
NP,613,1338,6
NP,700,1145,6
NP,711,760,6
NP,764,1392,20
NP,766,1503,8
NP,795,1342,5
NP,898,1055,6
NA,175,1066,523
NA,197,1185,7
NA,198,292,9
NA,209,838,10
NA,211,966,5
NA,378,454,5
