Segment	Start	End	NGS_read_count
PB2	427	1778	1
PB2	475	1988	1
PB2	473	1849	1
PB2	514	1817	1
PB2	571	1754	1
PB2	607	1759	1
PB2	394	1930	1
PB2	419	1980	1
PB2	341	1794	1
PB2	444	1757	1
PB2	454	1811	1
PB2	363	1848	1
PB2	398	1873	1
PB2	216	1891	1
PB2	513	1867	1
PB2	396	1773	1
PB2	605	2001	1
PB2	498	2005	1
PB2	433	1854	1
PB2	499	1943	1
PB2	606	1934	1
PB2	325	1964	1
PB2	270	1940	1
PB2	609	2023	1
PB2	380	1912	1
PB2	446	1826	1
PB2	534	1853	1
PB2	381	1882	1
PB2	355	1728	1
PB2	525	1769	1
PB2	428	1911	1
PB2	514	1858	1
PB2	308	1760	1
PB2	416	2018	1
PB2	410	1990	1
PB2	254	1808	1
PB2	295	1959	1
PB2	385	1770	1
PB2	550	1956	1
PB2	355	1736	1
PB2	529	1806	1
PB2	274	1752	1
PB2	567	1847	1
PB2	297	1902	1
PB2	402	1765	1
PB2	334	1923	1
PB2	279	2098	1
PB2	323	2009	1
PB2	607	1933	1
PB2	471	1763	1
PB2	235	2107	1
PB2	320	1815	1
PB2	285	1961	1
PB2	433	1987	1
PB2	236	2058	1
PB2	359	1867	1
PB2	295	1930	1
PB2	216	1825	1
PB2	500	1716	1
PB2	554	1746	1
PB2	445	2060	1
PB2	468	1926	1
PB2	392	1942	1
PB2	556	2016	1
PB2	369	1969	1
PB2	228	1851	1
PB2	310	1936	1
PB2	236	1867	1
PB2	322	1880	1
PB2	271	1785	1
PB2	483	2094	1
PB2	553	1853	1
PB2	326	1921	1
PB2	524	1996	1
PB2	343	1740	1
PB2	252	1928	1
PB2	233	2074	1
PB2	348	2088	1
PB2	509	1793	1
PB2	611	1931	1
PB2	378	1869	1
PB2	571	2070	1
PB2	584	1851	1
PB2	228	1927	1
PB2	469	1805	1
PB2	433	1780	1
PB2	545	1892	1
PB2	588	1860	1
PB2	269	1784	1
PB2	464	1982	1
PB2	297	1886	1
PB2	441	2076	1
PB2	417	1997	1
PB2	407	1729	1
PB2	291	1767	1
PB2	413	1943	1
PB2	286	1945	1
PB2	393	1900	1
