Segment	Start	End	NGS_read_count
PB2	510	1998	1
PB2	681	1725	1
PB2	311	1920	1
PB2	355	2039	1
PB2	521	1718	1
PB2	681	1810	1
PB2	604	1859	1
PB2	405	2014	1
PB2	335	1982	1
PB2	473	1698	1
PB2	465	1880	1
PB2	355	1988	1
PB2	659	1676	1
PB2	620	1886	1
PB2	544	1684	1
PB2	500	2013	1
PB2	560	2047	1
PB2	376	1881	1
PB2	309	1828	1
PB2	588	1947	1
PB2	524	1720	1
PB2	304	1906	1
PB2	407	1928	1
PB2	510	1876	1
PB2	584	1858	1
PB2	568	1985	1
PB2	316	1872	1
PB2	638	1746	1
PB2	360	1973	1
PB2	313	1730	1
PB2	535	1865	1
PB2	571	1828	1
PB2	521	1760	1
PB2	550	1693	1
PB2	656	1685	1
PB2	592	1722	1
PB2	445	1899	1
PB2	585	1684	1
PB2	309	1802	1
PB2	538	1952	1
PB2	403	1708	1
PB2	413	2026	1
PB2	562	1823	1
PB2	522	2031	1
PB2	658	1734	1
PB2	524	1942	1
PB2	474	1843	1
PB2	398	1927	1
PB2	667	1912	1
PB2	402	1997	1
PB2	295	1794	1
PB2	531	1836	1
PB2	351	1867	1
PB2	417	2048	1
PB2	540	1785	1
PB2	301	2046	1
PB2	318	1749	1
PB2	358	1948	1
PB2	399	1922	1
PB2	461	1728	1
PB2	486	2021	1
PB2	336	1815	1
PB2	307	2002	1
PB2	400	1829	1
PB2	439	2035	1
PB2	284	1660	1
PB2	352	1662	1
PB2	561	1715	1
PB2	551	1778	1
PB2	539	1701	1
PB2	286	1777	1
PB2	554	1936	1
PB2	467	1869	1
PB2	556	1691	1
PB2	659	1660	1
PB2	475	1853	1
PB2	302	1689	1
PB2	289	1725	1
PB2	630	1960	1
PB2	590	1771	1
PB2	582	1937	1
PB2	580	2053	1
PB2	432	1760	1
PB2	311	1884	1
PB2	352	1733	1
PB2	507	1782	1
PB2	544	1850	1
PB2	413	1849	1
PB2	371	1956	1
PB2	629	1944	1
PB2	284	1944	1
PB2	290	1922	1
PB2	643	1989	1
PB2	560	1784	1
PB2	577	2051	1
PB2	451	1848	1
PB2	509	1930	1
PB2	526	1855	1
PB2	349	1943	1
PB2	675	2019	1
PB2	611	1841	1
PB2	645	1757	1
PB2	676	1732	1
PB2	536	1732	1
PB2	588	1793	1
PB2	631	1728	1
PB2	592	1933	1
PB2	297	1688	1
PB2	432	1843	1
PB2	343	1920	1
PB2	305	1738	1
PB2	358	2028	1
PB2	613	2018	1
PB2	663	1711	1
PB2	522	1743	1
PB2	582	1775	1
PB2	562	1727	1
PB2	486	1866	1
PB2	318	1888	1
PB2	665	1681	1
PB2	607	1985	1
PB2	294	1712	1
PB2	571	1692	1
PB2	478	1877	1
PB2	554	1774	1
PB2	490	1856	1
PB2	634	1853	1
PB2	362	1658	1
PB2	596	1916	1
PB2	459	1751	1
PB2	328	1748	1
PB2	436	1945	1
PB2	500	1907	1
PB2	363	1736	1
PB2	483	1924	1
PB2	631	1668	1
PB2	547	1759	1
PB2	529	1778	1
PB2	498	2013	1
PB2	321	1750	1
PB2	468	2009	1
PB2	457	1711	1
PB2	644	1976	1
PB2	667	1814	1
PB2	546	1755	1
PB2	500	1975	1
PB2	681	1784	1
PB2	380	1856	1
PB2	450	1673	1
PB2	329	1955	1
PB2	400	1843	1
PB2	483	2004	1
PB2	539	1976	1
PB2	377	1839	1
PB2	539	1844	1
PB2	422	1654	1
PB2	308	1718	1
PB2	588	1736	1
PB2	681	1843	1
PB2	650	1688	1
PB2	347	1663	1
PB2	677	1923	1
PB2	560	1939	1
PB2	355	1670	1
PB2	494	1963	1
PB2	524	1772	1
PB2	637	1900	1
PB2	565	1928	1
PB2	625	2008	1
PB2	525	1811	1
PB2	571	1841	1
PB2	616	1801	1
PB2	619	1962	1
PB2	500	1781	1
PB2	501	1999	1
PB2	331	1947	1
PB2	551	1935	1
PB2	668	1963	1
PB2	670	1856	1
PB2	469	1975	1
PB2	436	1745	1
PB2	374	1962	1
PB2	348	1965	1
PB2	324	1666	1
PB2	476	1851	1
PB2	372	1847	1
PB2	364	1805	1
PB2	483	1900	1
PB2	571	1962	1
PB2	322	1906	1
PB2	584	1690	1
PB2	675	1822	1
PB2	612	2048	1
PB2	311	1822	1
PB2	600	1854	1
PB2	369	1932	1
PB2	661	1727	1
PB2	665	1874	1
PB2	518	2038	1
PB2	428	1688	1
PB2	561	1734	1
PB2	368	1671	1
PB2	642	1846	1
PB2	306	1947	1
PB2	644	1667	1
PB2	404	1700	1
PB2	524	1792	1
PB2	386	1949	1
PB2	293	2034	1
PB2	414	1743	1
PB2	608	1933	1
PB2	679	2033	1
PB2	511	1683	1
PB2	619	1656	1
PB2	660	1715	1
PB2	670	1843	1
PB2	535	1703	1
PB2	597	1847	1
PB2	469	2007	1
PB2	651	2044	1
PB2	346	1843	1
PB2	399	1698	1
PB2	326	2003	1
PB2	301	1875	1
