Segment,Start,End,NGS_read_count
PA,57,80,114
PA,58,80,133
PA,58,1726,35
PA,79,166,33
PA,80,102,248
PA,100,2000,241
PA,105,1772,187
PA,113,1821,6025
PA,114,1960,29
PA,115,145,81
PA,115,1833,164
PA,122,165,255
PA,134,1915,80
PA,137,1972,63
PA,142,1884,69
PA,143,1397,144
PA,143,1928,88
PA,161,208,270
PA,165,216,1383
PA,166,1911,98
PA,166,1944,176
PA,167,235,273
PA,168,2030,110
PA,170,211,479
PA,173,1893,148
PA,173,1903,40
PA,173,1930,56
PA,173,1930,79
PA,174,1912,141
PA,176,1874,93
PA,184,1949,25
PA,185,1929,105
PA,187,1845,26
PA,188,1871,31
PA,188,1894,26
PA,188,1923,42
PA,191,1846,32
PA,194,2002,57
PA,195,1919,56
PA,196,1782,32
PA,196,1907,458
PA,198,1870,27
PA,200,1876,1089
PA,206,1800,75
PA,208,264,409
PA,208,1790,1883
PA,208,1813,895
PA,209,1805,66
PA,210,1888,163
PA,210,1913,86
PA,216,1909,12755
PA,218,276,72
PA,219,1972,548
PA,225,1803,83
PA,229,1892,115
PA,229,1901,29
PA,229,1925,93
PA,229,1930,32
PA,229,1952,858
PA,229,2029,79
PA,232,1914,26
PA,233,1789,527
PA,233,1919,6937
PA,236,2029,176
PA,238,1925,53
PA,241,1925,32
PA,247,1910,244
PA,253,1928,485
PA,257,1920,1452
PA,262,1805,48
PA,263,1930,133
PA,271,1726,25
PA,274,1929,275
PA,275,1777,776
PA,275,1779,28
PA,275,1844,58
PA,277,1903,36
PA,278,1813,217
PA,283,1720,170
PA,294,1843,137
PA,311,1773,47
PA,315,1813,279
PA,339,1704,34
PA,361,1654,70
PA,361,1911,409
PA,371,1774,34
PA,403,1790,617
PA,420,1917,35
PA,1434,1920,198
PA,1727,1792,25
PA,1837,1870,103
PA,1900,1925,1029
PA,1901,1930,54
PA,1951,2036,1467
PA,2005,2030,117
PA,2029,2052,159
PB1,37,1971,572
PB1,40,2067,120
PB1,63,129,2553
PB1,81,2061,266
PB1,81,2096,17
PB1,103,2036,21
PB1,110,2097,84
PB1,113,2096,1035
PB1,114,2108,3789
PB1,121,2055,474
PB1,127,2083,19
PB1,127,2086,16
PB1,140,2147,60
PB1,141,2146,59
PB1,145,2127,16
PB1,149,2032,468
PB1,153,2112,409
PB1,171,2083,84
PB1,172,2136,92
PB1,174,2000,701
PB1,175,1941,119
PB1,182,1971,165
PB1,183,2092,162
PB1,191,2033,7477
PB1,191,2086,77
PB1,191,2097,86
PB1,194,1976,63
PB1,196,2032,84
PB1,245,2178,64
PB1,247,1970,65
PB1,264,2034,89
PB1,274,1997,18
PB1,317,1882,26
PB1,342,2207,2635
PB1,364,1882,21
PB1,468,1847,81
PB2,63,93,333
PB2,92,1944,36
PB2,116,2112,53
PB2,137,2060,205
PB2,138,1990,1012
PB2,141,164,154
PB2,142,2126,111
PB2,144,2082,119
PB2,144,2105,19
PB2,147,2083,34
PB2,147,2093,108
PB2,147,2125,97
PB2,148,201,110
PB2,148,2044,15
PB2,148,2096,15
PB2,150,2063,81
PB2,151,2082,37
PB2,153,2033,52
PB2,158,2023,18
PB2,161,2021,317
PB2,161,2048,33
PB2,161,2080,229
PB2,165,2043,52
PB2,165,2080,99
PB2,165,2095,22481
PB2,166,2028,82
PB2,166,2076,421
PB2,167,2097,15
PB2,172,2043,89
PB2,182,2132,116
PB2,188,219,1356
PB2,190,2047,516
PB2,190,2086,790
PB2,191,2058,273
PB2,193,2030,229
PB2,195,2002,142
PB2,198,1950,42
PB2,200,2017,84
PB2,200,2020,15
PB2,200,2021,24
PB2,200,2061,18
PB2,200,2071,24
PB2,200,2080,47
PB2,200,2129,17
PB2,201,2033,44
PB2,201,2045,28
PB2,201,2063,15
PB2,202,2091,2766
PB2,206,2087,76
PB2,215,2194,62
PB2,216,2017,122
PB2,218,2044,16
PB2,234,2169,203
PB2,235,1948,84
PB2,247,2156,69
PB2,250,2045,304
PB2,252,1948,18
PB2,252,2056,1532
PB2,282,1984,697
PB2,307,1981,17
PB2,1975,2114,56
PB2,2115,2175,58
PB2,2151,2183,35
PB2,2154,2192,102
