"Start"	"End"	"Segment"	"NGS_read_count"
189	2193	"PB2"	1
226	1799	"PB2"	1
127	1932	"PB2"	1
183	2129	"PB2"	1
61	1902	"PB2"	1
84	1954	"PB2"	1
346	1888	"PB2"	1
116	2061	"PB2"	1
355	1884	"PB2"	1
145	1942	"PB2"	1
397	2176	"PB2"	1
308	1819	"PB2"	1
107	1891	"PB2"	1
83	2037	"PB2"	1
261	1986	"PB2"	1
186	1996	"PB2"	1
303	1905	"PB2"	1
350	2122	"PB2"	1
338	2174	"PB2"	1
236	1854	"PB2"	1
360	1956	"PB2"	1
116	1846	"PB2"	1
255	1934	"PB2"	1
349	2045	"PB2"	1
211	1862	"PB2"	1
283	2099	"PB2"	1
317	1819	"PB2"	1
387	1936	"PB2"	1
101	2052	"PB2"	1
182	2071	"PB2"	1
188	1859	"PB2"	1
265	2131	"PB2"	1
274	2118	"PB2"	1
74	1863	"PB2"	1
291	1976	"PB2"	1
199	2098	"PB2"	1
151	2186	"PB2"	1
103	2162	"PB2"	1
228	1994	"PB2"	1
264	2166	"PB2"	1
329	2041	"PB2"	1
111	1813	"PB2"	1
201	1826	"PB2"	1
91	2062	"PB2"	1
231	2125	"PB2"	1
157	1919	"PB2"	1
92	1888	"PB2"	1
339	1884	"PB2"	1
214	2156	"PB2"	1
313	1825	"PB2"	1
389	2052	"PB2"	1
266	1950	"PB2"	1
389	1973	"PB2"	1
54	2144	"PB2"	1
176	1810	"PB2"	1
208	2008	"PB2"	1
58	2028	"PB2"	1
238	1809	"PB2"	1
152	2127	"PB2"	1
124	1912	"PB2"	1
57	2156	"PB2"	1
338	1843	"PB2"	1
383	1885	"PB2"	1
255	2104	"PB2"	1
231	2059	"PB2"	1
255	2160	"PB2"	1
133	2192	"PB2"	1
254	2017	"PB2"	1
53	2055	"PB2"	1
292	2148	"PB2"	1
178	1991	"PB2"	1
168	1955	"PB2"	1
88	2131	"PB2"	1
136	2195	"PB2"	1
326	1851	"PB2"	1
223	2078	"PB2"	1
301	1892	"PB2"	1
351	2076	"PB2"	1
315	2059	"PB2"	1
374	1873	"PB2"	1
229	2103	"PB2"	1
158	2028	"PB2"	1
86	2111	"PB2"	1
285	2023	"PB2"	1
205	1846	"PB2"	1
58	1938	"PB2"	1
327	1887	"PB2"	1
303	2102	"PB2"	1
381	2107	"PB2"	1
193	1881	"PB2"	1
378	2152	"PB2"	1
142	1871	"PB2"	1
391	2034	"PB2"	1
233	2059	"PB2"	1
311	2102	"PB2"	1
382	1890	"PB2"	1
173	2108	"PB2"	1
67	1976	"PB2"	1
60	2043	"PB2"	1
51	2189	"PB2"	1
202	2121	"PB2"	1
266	2055	"PB2"	1
152	2031	"PB2"	1
249	2188	"PB2"	1
197	2100	"PB2"	1
162	2161	"PB2"	1
175	2059	"PB2"	1
79	1873	"PB2"	1
77	1920	"PB2"	1
297	1975	"PB2"	1
144	1845	"PB2"	1
202	2065	"PB2"	1
123	2043	"PB2"	1
382	2065	"PB2"	1
135	1924	"PB2"	1
75	1934	"PB2"	1
388	1874	"PB2"	1
195	1811	"PB2"	1
334	1808	"PB2"	1
220	1919	"PB2"	1
50	1820	"PB2"	1
333	1912	"PB2"	1
216	2110	"PB2"	1
179	1845	"PB2"	1
280	1808	"PB2"	1
158	1901	"PB2"	1
112	2008	"PB2"	1
294	1875	"PB2"	1
283	1976	"PB2"	1
341	2000	"PB2"	1
394	1978	"PB2"	1
195	1927	"PB2"	1
87	1996	"PB2"	1
146	1932	"PB2"	1
324	2092	"PB2"	1
127	2070	"PB2"	1
192	2047	"PB2"	1
168	1800	"PB2"	1
245	1874	"PB2"	1
394	1920	"PB2"	1
192	2105	"PB2"	1
312	2142	"PB2"	1
65	2017	"PB2"	1
201	1827	"PB2"	1
77	2190	"PB2"	1
106	1966	"PB2"	1
91	2140	"PB2"	1
225	1965	"PB2"	1
195	1984	"PB2"	1
391	1883	"PB2"	1
281	2058	"PB2"	1
308	1870	"PB2"	1
63	1801	"PB2"	1
132	1937	"PB2"	1
169	1802	"PB2"	1
151	2184	"PB2"	1
387	1988	"PB2"	1
271	1935	"PB2"	1
385	2053	"PB2"	1
306	2036	"PB2"	1
242	1859	"PB2"	1
240	2021	"PB2"	1
300	1882	"PB2"	1
179	1848	"PB2"	1
143	1865	"PB2"	1
73	1864	"PB2"	1
305	1996	"PB2"	1
272	2096	"PB2"	1
187	1798	"PB2"	1
195	1901	"PB2"	1
206	2111	"PB2"	1
74	1973	"PB2"	1
245	1917	"PB2"	1
224	2042	"PB2"	1
374	1854	"PB2"	1
197	1850	"PB2"	1
372	1845	"PB2"	1
69	1851	"PB2"	1
119	1956	"PB2"	1
286	2095	"PB2"	1
369	2070	"PB2"	1
66	2133	"PB2"	1
78	2174	"PB2"	1
75	2139	"PB2"	1
107	2112	"PB2"	1
290	1951	"PB2"	1
267	1910	"PB2"	1
397	2002	"PB2"	1
50	2002	"PB2"	1
117	2041	"PB2"	1
155	1941	"PB2"	1
241	1854	"PB2"	1
383	2179	"PB2"	1
