Segment,Start,End,NGS_read_count
HA,27,1367,1
HA,43,304,1
HA,57,1601,3
HA,67,1395,1
HA,67,1428,6
HA,71,110,2
HA,85,1461,1
HA,90,1512,1
HA,91,1472,3
HA,91,1526,1
HA,102,155,2
HA,103,1547,2
HA,112,163,2
HA,113,1404,1
HA,125,1535,3
HA,128,1406,2
HA,128,1535,2
HA,129,1405,1
HA,130,1488,1
HA,131,1471,1
HA,131,1519,1
HA,132,1406,1
HA,136,1509,1
HA,150,1507,1
HA,152,1518,1
HA,170,1471,5
HA,171,1513,1
HA,184,1446,2
HA,184,1453,3
HA,187,1560,2
HA,189,1616,2
HA,202,1313,2
HA,212,1472,1
HA,212,1535,13
HA,213,1536,1
HA,219,1471,1
HA,221,1428,1
HA,226,1427,2
HA,232,1435,1
HA,235,1393,3
HA,242,1316,1
HA,243,1363,2
HA,243,1383,2
HA,248,725,1
HA,250,1368,1
HA,252,1419,2
HA,259,1380,1
HA,264,1213,5
HA,268,1645,2
HA,271,1325,2
HA,271,1363,3
HA,271,1431,1
HA,326,1405,3
HA,360,1144,3
HA,383,1358,1
HA,385,1446,1
HA,388,1223,2
HA,403,1709,2
HA,404,1289,5
HA,412,1111,2
HA,415,1152,2
HA,427,1244,2
HA,428,1187,2
HA,429,1414,3
HA,431,1048,4
HA,432,570,2
HA,435,1172,2
HA,437,1530,1
HA,440,1123,1
HA,444,1036,1
HA,446,1273,1
HA,452,1206,2
HA,463,524,4
HA,470,1222,3
HA,476,1270,2
HA,482,1322,2
HA,487,1092,1
HA,498,765,3
HA,549,1109,4
HA,553,1088,3
HA,569,1213,3
HA,574,1006,2
HA,649,1635,2
HA,652,1035,2
HA,762,1358,3
HA,866,1380,2
HA,867,1127,2
HA,883,943,2
HA,916,1000,2
HA,916,1195,1
HA,977,1505,1
HA,977,1600,1
HA,996,1578,2
HA,1006,1043,3
HA,1067,1114,2
HA,1120,1152,2
HA,1168,1203,2
HA,1191,1271,4
HA,1280,1680,3
HA,1343,1484,2
HA,1358,1601,2
HA,1481,1582,2
HA,1548,1591,2
HA,1561,1586,1
HA,1577,1651,1
HA,1680,1715,2
M,43,537,3
M,53,131,1
M,74,184,2
M,79,333,4
M,87,837,1
M,110,731,4
M,141,797,2
M,145,184,7
M,145,815,1
M,151,304,1
M,172,746,2
M,173,764,2
M,179,573,2
M,181,817,2
M,187,383,4
M,190,518,2
M,191,757,2
M,193,819,3
M,193,895,2
M,200,236,1
M,200,737,4
M,229,761,2
M,242,796,2
M,245,283,2
M,245,723,3
M,252,731,7
M,252,782,3
M,253,802,1
M,254,778,1
M,264,713,1
M,268,808,2
M,286,751,2
M,287,829,1
M,291,759,2
M,296,675,1
M,305,744,1
M,314,864,2
M,315,655,4
M,317,803,4
M,328,766,1
M,330,923,4
M,341,778,1
M,343,412,2
M,343,455,1
M,354,380,1
M,354,381,1
M,358,579,1
M,368,613,2
M,379,437,3
M,379,668,2
M,379,683,2
M,382,465,1
M,382,655,9
M,383,813,5
M,384,649,2
M,384,712,1
M,384,746,1
M,386,816,2
M,396,424,1
M,401,678,2
M,406,946,1
M,408,492,2
M,419,552,5
M,422,750,10
M,443,550,4
M,465,556,4
M,478,635,2
M,482,608,16
M,489,564,4
M,504,758,2
M,510,539,2
M,526,600,2
M,532,556,1
M,539,584,3
M,548,620,1
M,550,949,1
M,565,715,2
M,580,606,3
M,580,621,2
M,598,623,1
M,617,921,1
M,633,673,2
M,636,662,2
M,640,731,8
M,641,669,2
M,740,777,2
M,749,922,1
M,753,812,1
M,785,828,1
M,785,830,1
M,815,841,1
M,880,914,4
M,891,928,3
M,905,929,1
NA,25,59,3
NA,31,101,5
NA,44,1131,1
NA,46,70,1
NA,57,79,2
NA,57,1206,1
NA,66,104,2
NA,66,1241,2
NA,66,1358,2
NA,68,1090,2
NA,69,1257,2
NA,70,106,1
NA,71,1133,2
NA,73,102,1
NA,78,1148,2
NA,78,1206,2
NA,80,1126,4
NA,81,1273,2
NA,84,1124,1
NA,84,1159,3
NA,92,1310,1
NA,94,1266,2
NA,96,1078,6
NA,96,1206,1
NA,99,1212,1
NA,100,1175,1
NA,100,1197,4
NA,100,1203,1
NA,100,1315,1
NA,104,1225,1
NA,105,1226,1
NA,109,1145,1
NA,110,1312,1
NA,115,1249,2
NA,116,1187,2
NA,116,1206,3
NA,121,1274,1
NA,126,1087,6
NA,127,1244,4
NA,128,1177,1
NA,131,1057,1
NA,133,1260,1
NA,135,1199,2
NA,135,1334,1
NA,136,1250,1
NA,139,1115,2
NA,140,1198,2
NA,140,1209,1
NA,142,1175,2
NA,145,1303,4
NA,149,1187,2
NA,150,1352,1
NA,157,1143,4
NA,158,1205,3
NA,159,1100,3
NA,160,1148,3
NA,163,1039,4
NA,164,1181,2
NA,164,1264,1
NA,165,280,1
NA,167,237,1
NA,167,673,2
NA,167,1081,4
NA,167,1255,13
NA,167,1304,2
NA,168,267,3
NA,169,372,3
NA,171,1225,2
NA,175,1162,1
NA,175,1362,2
NA,177,1203,1
NA,178,621,2
NA,178,1314,3
NA,181,1053,3
NA,196,1131,1
NA,197,1103,3
NA,197,1148,1
NA,198,1205,2
NA,201,258,2
NA,201,1114,3
NA,206,1252,1
NA,216,1203,6
NA,216,1307,1
NA,217,1253,3
NA,218,1238,7
NA,220,1136,1
NA,234,1088,2
NA,235,1126,2
NA,240,1214,1
NA,241,1072,1
NA,248,1095,3
NA,248,1153,4
NA,250,1138,2
NA,251,1122,3
NA,252,1148,1
NA,252,1256,1
NA,256,1126,1
NA,266,1108,1
NA,271,1147,1
NA,272,1360,1
NA,278,1029,4
NA,280,1103,1
NA,280,1206,1
NA,280,1319,4
NA,285,1127,2
NA,287,1043,2
NA,290,1000,2
NA,291,1141,1
NA,297,1094,2
NA,299,340,2
NA,301,933,2
NA,301,1165,6
NA,310,825,4
NA,314,1374,1
NA,334,1008,7
NA,339,1293,2
NA,341,896,2
NA,343,1388,1
NA,347,1000,4
NA,364,948,2
NA,367,811,2
NA,370,425,4
NA,377,1296,2
NA,385,1009,2
NA,385,1055,9
NA,390,886,3
NA,395,896,3
NA,398,814,5
NA,400,912,1
NA,401,935,2
NA,402,916,5
NA,402,917,3
NA,413,955,2
NA,414,892,2
NA,417,804,3
NA,423,571,2
NA,453,967,6
NA,464,510,2
NA,464,791,2
NA,464,1360,1
NA,465,895,2
NA,470,926,2
NA,481,922,3
NA,486,1189,3
NA,500,697,2
NA,501,636,1
NA,502,556,5
NA,507,896,3
NA,508,836,4
NA,508,871,2
NA,522,577,2
NA,534,1055,2
NA,568,652,1
NA,570,603,4
NA,576,682,2
NA,590,1270,3
NA,594,624,4
NA,598,725,2
NA,599,799,4
NA,601,1019,2
NA,649,725,1
NA,721,779,3
NA,778,915,2
NA,831,877,4
NA,834,1082,10
NA,915,956,2
NA,994,1028,2
NA,998,1204,1
NA,1020,1058,4
NA,1023,1120,2
NA,1176,1244,2
NA,1190,1239,1
NA,1267,1303,1
NA,1280,1383,1
NA,1289,1318,2
NA,1294,1348,3
NA,1344,1377,1
NA,1346,1373,1
NP,29,761,1
NP,39,1315,1
NP,63,1091,1
NP,69,1319,2
NP,74,340,2
NP,81,204,3
NP,91,1391,2
NP,111,1373,2
NP,119,1335,1
NP,127,277,1
NP,136,1021,1
NP,137,1360,1
NP,143,1320,1
NP,145,1310,1
NP,145,1328,1
NP,152,1345,2
NP,153,1332,1
NP,153,1340,1
NP,155,183,1
NP,155,1159,3
NP,155,1274,1
NP,155,1340,2
NP,155,1345,2
NP,159,1310,2
NP,160,1348,1
NP,164,893,2
NP,165,1382,2
NP,166,1278,2
NP,167,260,1
NP,170,1239,2
NP,174,1256,4
NP,174,1401,2
NP,182,1112,4
NP,182,1223,2
NP,182,1296,1
NP,183,1329,1
NP,183,1394,1
NP,184,1256,4
NP,184,1315,2
NP,187,1256,4
NP,188,1481,1
NP,189,1368,3
NP,193,1314,1
NP,195,354,1
NP,198,1266,14
NP,199,1054,2
NP,199,1097,4
NP,199,1285,1
NP,212,1199,3
NP,214,1225,4
NP,215,1447,2
NP,226,1196,1
NP,227,1199,1
NP,241,1184,2
NP,242,1289,1
NP,244,1231,2
NP,248,1321,2
NP,254,696,4
NP,257,1519,4
NP,266,1198,3
NP,269,1159,1
NP,276,1125,2
NP,278,1227,4
NP,278,1266,4
NP,282,1108,1
NP,283,1201,3
NP,284,1144,2
NP,285,363,1
NP,296,1168,2
NP,318,1131,1
NP,342,656,1
NP,342,1366,1
NP,349,1224,2
NP,350,664,7
NP,362,1083,2
NP,363,388,2
NP,365,1146,2
NP,366,1160,2
NP,379,413,3
NP,379,1123,2
NP,382,1144,7
NP,387,1104,5
NP,410,1111,1
NP,412,604,10
NP,414,1230,3
NP,418,1378,8
NP,421,538,4
NP,422,944,2
NP,434,1050,2
NP,468,653,4
NP,513,1150,2
NP,522,957,5
NP,526,1470,2
NP,536,684,2
NP,536,1383,3
NP,565,657,4
NP,579,736,1
NP,645,970,2
NP,658,1216,15
NP,658,1338,2
NP,663,1421,1
NP,667,853,2
NP,753,828,4
NP,840,1196,2
NP,961,987,4
NP,1029,1360,1
NP,1078,1133,3
NP,1080,1358,4
NP,1167,1207,3
NP,1180,1222,3
NP,1217,1340,3
NP,1283,1342,2
NP,1314,1342,2
NP,1323,1375,2
NP,1327,1355,2
NS,38,513,2
NS,48,75,2
NS,52,591,2
NS,52,612,1
NS,60,607,2
NS,70,168,3
NS,85,519,1
NS,88,211,1
NS,100,123,1
NS,100,337,2
NS,103,153,1
NS,106,629,1
NS,107,658,1
NS,111,146,1
NS,112,518,1
NS,121,273,1
NS,123,617,1
NS,137,717,2
NS,138,173,3
NS,139,517,2
NS,139,555,1
NS,144,591,1
NS,146,538,4
NS,159,689,4
NS,162,562,5
NS,163,185,1
NS,163,653,1
NS,167,792,1
NS,174,652,2
NS,175,627,1
NS,182,410,3
NS,183,676,1
NS,185,718,2
NS,186,548,4
NS,186,677,2
NS,187,604,3
NS,187,649,1
NS,188,680,3
NS,199,652,1
NS,201,233,6
NS,202,243,1
NS,202,666,3
NS,202,711,1
NS,204,241,1
NS,205,398,1
NS,205,711,1
NS,211,642,2
NS,215,716,5
NS,216,353,3
NS,216,488,1
NS,216,612,1
NS,219,650,2
NS,219,662,3
NS,220,603,3
NS,225,715,1
NS,233,602,6
NS,234,281,1
NS,234,577,2
NS,237,636,1
NS,241,363,4
NS,241,539,2
NS,244,600,2
NS,246,710,3
NS,247,677,2
NS,249,279,2
NS,250,743,1
NS,255,376,1
NS,280,519,3
NS,281,745,2
NS,288,508,1
NS,291,413,3
NS,291,559,2
NS,293,452,2
NS,295,611,1
NS,300,748,1
NS,301,729,1
NS,303,710,3
NS,314,565,1
NS,317,554,2
NS,320,607,2
NS,321,537,1
NS,322,419,4
NS,325,532,4
NS,327,379,1
NS,328,443,2
NS,333,538,1
NS,335,510,8
NS,339,398,2
NS,347,720,2
NS,352,831,1
NS,353,581,1
NS,354,518,2
NS,370,635,2
NS,372,535,2
NS,385,427,1
NS,386,416,3
NS,408,535,6
NS,426,552,2
NS,446,518,2
NS,469,593,1
NS,487,510,2
NS,502,526,2
NS,504,532,1
NS,508,531,1
NS,517,566,1
NS,536,574,10
NS,550,694,1
NS,553,595,1
NS,553,648,3
NS,563,645,1
NS,566,677,2
NS,604,630,2
NS,606,659,1
NS,644,676,4
NS,668,801,1
NS,707,729,1
NS,723,792,1
NS,738,794,1
NS,739,764,2
NS,778,822,1
PA,30,183,1
PA,35,102,3
PA,35,104,1
PA,37,168,1
PA,49,197,5
PA,49,362,4
PA,51,176,3
PA,53,1620,1
PA,54,738,2
PA,54,1888,1
PA,55,103,8
PA,55,165,1
PA,56,81,1
PA,56,87,8
PA,57,80,130
PA,57,174,4
PA,57,1720,17
PA,58,80,164
PA,58,85,12
PA,58,92,4
PA,58,142,1
PA,58,1726,45
PA,58,1901,2
PA,58,1971,17
PA,59,175,4
PA,60,109,3
PA,60,119,1
PA,62,114,1
PA,64,1938,1
PA,64,2051,1
PA,65,144,1
PA,65,340,1
PA,65,1594,2
PA,66,88,1
PA,66,1729,1
PA,68,237,1
PA,69,92,12
PA,72,104,2
PA,72,159,1
PA,74,2001,2
PA,77,135,1
PA,77,1814,1
PA,78,1782,1
PA,78,1930,3
PA,79,166,54
PA,80,102,275
PA,81,103,1
PA,82,134,1
PA,84,1898,1
PA,86,1856,2
PA,87,120,1
PA,88,175,1
PA,88,1723,1
PA,89,1922,1
PA,91,135,11
PA,91,1974,1
PA,91,2029,2
PA,93,2032,1
PA,94,1804,6
PA,96,1684,1
PA,96,1992,2
PA,97,1992,2
PA,97,2025,1
PA,98,1967,1
PA,99,1999,1
PA,100,2000,351
PA,103,1776,2
PA,104,1771,1
PA,105,1772,297
PA,105,1860,2
PA,105,1927,1
PA,106,142,2
PA,106,1893,1
PA,106,1930,2
PA,106,2030,1
PA,107,136,13
PA,108,213,1
PA,109,1817,1
PA,109,2049,1
PA,110,1818,14
PA,113,166,1
PA,113,1821,12483
PA,113,1910,1
PA,113,1923,2
PA,113,1943,309
PA,113,1983,4
PA,113,1995,10
PA,114,190,11
PA,114,1792,6
PA,114,1822,74
PA,114,1960,45
PA,114,1961,4
PA,114,1992,2
PA,115,145,95
PA,115,1833,200
PA,115,1917,2
PA,115,1959,2
PA,116,142,10
PA,116,1707,2
PA,116,1790,2
PA,116,1822,2
PA,116,1885,8
PA,116,1944,5
PA,116,2030,5
PA,117,175,8
PA,117,1666,2
PA,118,148,1
PA,118,1888,2
PA,118,1913,2
