Segment,Start,End,NGS_read_count
HA,28,1440,51
HA,55,1488,21
HA,62,1270,17
HA,81,1502,43
HA,83,1372,12
HA,94,1249,44
HA,106,1506,18
HA,110,1556,22
HA,116,1490,23
HA,128,1103,24
HA,144,1464,20
HA,156,1472,716
HA,160,1561,71
HA,210,707,11
HA,240,1370,21
M,63,345,49
M,423,751,107
M,512,654,20
M,656,756,16
NA,42,1117,73
NA,53,1213,66
NA,56,1101,123
NA,94,1193,51
NA,94,1256,31
NA,97,1197,66
NA,102,1204,52
NA,110,1323,34
NA,113,1274,401
NA,116,1171,1284
NA,122,1282,138
NA,126,1256,41
NA,127,1127,95
NA,129,1169,37
NA,131,1294,234
NA,132,1229,1089
NA,136,1163,44
NA,155,1258,474
NA,159,1052,245
NA,172,1298,52
NA,197,1159,30
NA,211,1078,484
NA,216,1283,55
NA,220,1153,122
NA,227,1079,71
NA,231,1202,374
NA,232,1113,79
NA,236,1190,49
NA,243,323,86
NA,259,1120,47
NA,269,1075,97
NA,272,1088,687
NA,290,1283,42
NA,293,1214,49
NA,327,1194,76
NA,344,1028,50
NA,362,1066,38
NP,101,1104,28
NP,110,1217,29
NP,164,1284,16
NP,235,1270,25
NS,67,668,24
PA,45,1995,14
PA,49,1695,32
PA,60,1713,21
PA,61,1779,578
PA,66,1946,11
PA,69,1561,214
PA,73,1817,17
PA,75,1937,50
PA,76,1941,71
PA,77,1956,38
PA,85,1825,605
PA,86,1776,11
PA,92,1708,716
PA,94,1993,29
PA,98,1966,27
PA,99,1860,10
PA,100,1933,16
PA,106,1720,10
PA,108,1910,11
PA,110,1893,18
PA,118,291,20
PA,118,1947,37
PA,119,1519,98
PA,119,1926,384
PA,122,1958,13
PA,123,1917,69
PA,124,1954,68
PA,124,1999,73
PA,125,1772,12
PA,126,1966,13
PA,128,1772,17
PA,129,163,18
PA,131,1935,50
PA,132,1953,12
PA,132,2005,528
PA,139,1965,48
PA,139,2006,10
PA,140,1980,127
PA,140,2025,14
PA,141,1913,49
PA,141,1932,22
PA,141,1939,80
PA,142,1793,4023
PA,142,1933,3353
PA,144,1926,31
PA,145,1965,52
PA,146,1933,14
PA,147,1917,28
PA,147,1943,17
PA,147,1947,28
PA,147,1997,23
PA,148,1729,12
PA,148,1825,134
PA,149,1768,374
PA,151,1944,27
PA,154,1936,18
PA,154,2078,12
PA,155,1789,14
PA,156,1939,27
PA,157,1841,11
PA,157,1932,15
PA,161,1892,11
PA,161,2112,27
PA,162,1890,259
PA,166,2006,10
PA,167,1895,98
PA,167,1961,110
PA,170,1861,10
PA,171,1892,16
PA,171,1921,99
PA,174,1846,17
PA,174,1913,14
PA,175,1831,13
PA,176,1797,15
PA,183,1892,11
PA,184,1888,38
PA,186,1810,755
PA,187,1925,127
PA,188,1948,358
PA,193,1623,37
PA,195,1464,100
PA,201,1843,462
PA,205,1787,83
PA,209,1793,17
PA,210,1832,48
PA,210,1916,14
PA,211,1862,589
PA,211,1924,116
PA,212,1792,53
PA,212,1872,11
PA,214,1966,75
PA,216,1839,349
PA,217,1885,1394
PA,217,1965,12
PA,219,1860,331
PA,219,1888,602
PA,219,1959,130
PA,220,1788,40
PA,220,1859,227
PA,220,2026,16
PA,221,1895,12
PA,223,1815,53
PA,229,1947,15
PA,230,1939,53
PA,231,1771,15
PA,231,1972,18
PA,233,1694,67
PA,235,1695,1436
PA,235,1824,794
PA,236,278,14
PA,237,1763,1443
PA,238,1822,366
PA,240,1379,99
PA,240,1892,114
PA,241,2046,188
PA,243,1872,53
PA,244,1893,10
PA,244,1934,11
PA,252,1812,13
PA,254,1824,395
PA,254,1944,690
PA,256,1892,61
PA,259,1765,14
PA,264,1884,45
PA,265,1841,322
PA,266,2019,23
PA,269,1908,14
PA,269,1965,133
PA,270,1841,35
PA,271,1848,100
PA,271,1920,20
PA,272,1685,15
PA,274,1800,41
PA,277,1883,10
PA,277,1917,489
PA,278,1769,10
PA,278,1840,35
PA,278,1843,13
PA,278,1903,51
PA,279,1796,195
PA,279,1892,236
