Segment,Start,End,NGS_read_count
HA,30,1466,1
HA,103,1482,1
HA,110,1440,1
HA,111,1472,1
HA,114,1420,1
HA,136,800,1
HA,150,1374,30
HA,150,1481,2
HA,150,1484,2
HA,156,1335,1
HA,179,1384,1
HA,180,1467,15
HA,183,1496,3
HA,190,1438,1
HA,190,1443,1
HA,190,1463,1
HA,199,1286,1
HA,201,1474,1
HA,202,1428,1
HA,202,1465,8
HA,202,1519,3
HA,212,1297,2
HA,212,1505,1
HA,246,270,1
HA,290,1344,1
HA,313,1236,1
HA,313,1336,2
HA,331,1307,2
HA,443,563,1
HA,468,1105,2
HA,526,722,1
HA,538,565,2
HA,639,1068,1
HA,669,814,1
HA,725,764,1
HA,792,1432,1
HA,1069,1418,1
HA,1074,1215,2
HA,1278,1430,1
HA,1336,1385,2
HA,1427,1457,5
HA,1438,1464,1
HA,1471,1503,1
HA,1475,1506,35
HA,1546,1576,2
M,27,716,61
M,180,701,1
M,183,716,1
M,280,734,1
M,477,784,1
NA,74,1228,3
NA,93,1241,2
NA,101,1077,1
NA,134,188,1
NA,170,1144,1
NA,186,1189,1
NA,190,1031,3
NA,202,1075,2
NA,249,1075,1
NA,263,1133,1
NA,286,1198,2
NA,713,763,1
NA,1202,1224,1
NP,35,120,2
NP,37,138,2
NP,85,325,3
NP,87,1242,1
NP,88,1324,1
NP,89,1345,1
NP,100,1187,1
NP,147,1327,1
NP,150,1242,1
NP,156,201,1
NP,160,201,1
NP,172,1133,1
NP,173,1165,2
NP,181,1240,3
NP,186,1215,1
NP,197,1164,1
NP,208,1114,1
NP,232,1143,1
NP,272,732,1
NP,277,1097,2
NP,290,1163,1
NP,310,903,1
NP,310,1164,1
NP,447,986,1
NP,488,973,4
NP,769,836,1
NP,771,1366,1
NP,925,1094,1
NP,1007,1040,1
NP,1007,1056,1
NP,1012,1056,1
NP,1023,1113,2
NP,1083,1112,1
NP,1199,1248,1
NP,1275,1351,3
NP,1277,1335,2
NP,1284,1322,1
NP,1287,1327,1
NP,1288,1319,1
NP,1297,1336,2
NP,1305,1327,1
NP,1418,1461,2
NS,31,504,60
NS,62,89,1
NS,152,504,1
NS,177,620,1
NS,189,244,1
NS,223,667,2
NS,232,509,1
NS,697,741,1
NS,705,756,1
PA,59,2050,1
PA,61,2025,1
PA,65,2053,2
PA,72,2004,6
PA,96,123,48
PA,102,1993,2
PA,111,144,1
PA,111,1954,5
PA,113,148,1
PA,114,1962,1
PA,138,1856,1
PA,139,1999,5
PA,141,1952,1
PA,143,1877,3
PA,143,1950,1
PA,147,189,2
PA,149,172,1
PA,154,1884,1
PA,155,1968,3
PA,164,192,18
PA,170,1952,15
PA,183,2050,57
PA,184,1877,96
PA,184,1878,1
PA,184,1940,1
PA,185,1908,1
PA,185,1937,1
PA,185,1955,4
PA,186,1921,1
PA,187,1928,3
PA,190,1979,2
PA,195,1807,1
PA,196,1838,1
PA,196,1952,1
PA,207,1949,1
PA,207,1953,2
PA,209,1753,2
PA,209,1912,62
PA,209,1953,1
PA,211,1945,1
PA,212,1923,1
PA,213,1786,1
PA,213,1885,5
