Segment,Start,End,NGS_read_count
HA,1008,1590,5
HA,102,1504,1
HA,102,1533,3
HA,103,1163,3
HA,103,1532,2
HA,103,1535,1
HA,103,1547,1
HA,103,1581,2
HA,104,142,8
HA,104,235,2
HA,105,1547,1
HA,106,1487,2
HA,107,1439,2
HA,107,980,4
HA,108,1396,4
HA,108,1534,1
HA,108,496,1
HA,1095,1410,1
HA,1101,1610,14
HA,1104,1587,2
HA,110,1545,3
HA,1115,1139,2
HA,1122,1705,1
HA,1123,1692,1
HA,1124,1586,1
HA,112,138,1
HA,114,1484,1
HA,114,1532,2
HA,114,1547,1
HA,114,1570,2
HA,1154,1574,22
HA,1156,1611,2
HA,115,1602,3
HA,116,1500,1
HA,120,1454,3
HA,120,1577,2
HA,121,1249,1
HA,121,1531,3
HA,121,198,1
HA,1229,1274,1
HA,1240,1377,2
HA,124,1447,1
HA,124,1593,2
HA,1251,1428,2
HA,126,1440,2
HA,126,1447,1
HA,126,1453,2
HA,126,1489,2
HA,126,1498,1
HA,126,1507,1
HA,126,1518,1
HA,126,1532,9
HA,126,1538,6
HA,126,1547,4
HA,126,1560,3
HA,126,1570,4
HA,126,1574,2
HA,127,1485,15
HA,127,1569,3
HA,1280,1306,2
HA,128,1495,1
HA,1305,1343,6
HA,1306,1346,2
HA,1315,1567,2
HA,131,1227,6
HA,131,1534,1
HA,131,1635,1
HA,1323,1471,10
HA,133,1543,2
HA,135,1428,4
HA,135,1457,3
HA,135,1489,1
HA,135,1538,4
HA,1363,1397,1
HA,136,1529,1
HA,137,1447,2
HA,137,1470,3
HA,137,1487,2
HA,137,1489,1
HA,137,1507,1
HA,137,1532,1
HA,137,167,3
HA,1384,1668,2
HA,140,1237,9
HA,140,1532,3
HA,140,1538,4
HA,140,1547,2
HA,140,1553,2
HA,141,1485,7
HA,141,1541,4
HA,142,1500,5
HA,143,1400,2
HA,1466,1594,1
HA,1479,1589,2
HA,147,1670,6
HA,148,1235,3
HA,148,1441,2
HA,148,1445,5
HA,1501,1681,3
HA,150,1484,2
HA,152,1417,2
HA,1531,1560,2
HA,1531,1602,3
HA,153,1505,1
HA,153,1552,2
HA,154,1282,1
HA,154,1400,2
HA,154,1530,2
HA,155,1468,1
HA,155,1484,2
HA,156,1459,1
HA,156,1532,2
HA,156,1547,1
HA,157,1614,12
HA,1580,1602,1
HA,158,1381,3
HA,158,1489,7
HA,158,1498,1
HA,1605,1703,1
HA,160,1349,2
HA,160,1446,3
HA,160,235,1
HA,1612,1650,1
HA,1623,1689,3
HA,1625,1656,2
HA,1629,1707,2
HA,164,1428,2
HA,164,1429,2
HA,164,1440,1
HA,164,1447,10
HA,164,1483,1
HA,164,1498,1
HA,164,1581,14
HA,165,1485,1
HA,166,1445,2
HA,166,1507,10
HA,166,1543,1
HA,1672,1732,2
HA,167,1485,3
HA,171,1386,1
HA,174,1482,1
HA,174,1532,1
HA,175,1429,2
HA,175,1454,144
HA,178,1171,2
HA,179,1516,2
HA,180,1469,4
HA,180,1515,3
HA,181,1530,1
HA,181,1566,2
HA,185,1453,2
HA,185,1498,2
HA,188,1415,1
HA,189,1560,4
HA,191,1502,1
HA,192,1413,2
HA,192,1508,1
HA,193,1458,1
HA,195,1418,2
HA,195,1459,2
HA,196,1465,1
HA,197,1447,3
HA,201,1508,1
HA,202,1466,2
HA,202,1484,2
HA,203,1286,2
HA,203,1448,2
HA,204,1380,2
HA,205,1471,4
HA,205,1504,1
HA,206,1232,2
HA,206,1345,1
HA,206,1401,1
HA,206,1447,5
HA,206,1464,3
HA,206,1484,8
HA,206,1487,2
HA,206,1489,10
HA,206,1498,1
HA,206,236,2
HA,207,1043,1
HA,208,1420,1
HA,208,1468,1
HA,210,1532,1
HA,210,236,1
HA,213,1468,165
HA,213,1584,3
HA,215,1470,3
HA,215,1484,1
HA,215,1645,4
HA,216,1448,2
HA,217,1455,4
HA,219,1456,1
HA,223,1504,1
HA,223,1600,1
HA,224,1466,2
HA,224,1484,3
HA,231,1417,1
HA,233,1345,2
HA,233,1428,4
HA,233,1447,3
HA,233,1498,2
HA,233,1532,2
HA,233,1602,2
HA,235,1029,9
HA,236,1441,3
HA,236,1490,1
HA,242,1675,1
HA,243,1609,36
HA,247,1468,2
HA,257,1644,2
HA,259,1085,1
HA,262,1692,4
HA,265,533,2
HA,266,1307,1
HA,271,1673,4
HA,274,1461,1
HA,278,1423,2
HA,279,1271,2
HA,279,973,2
HA,293,1322,1
HA,295,1467,3
HA,296,324,2
HA,298,1669,2
HA,314,1365,1
HA,314,456,2
HA,316,1428,2
HA,316,1447,1
HA,316,1547,2
HA,322,1712,3
HA,323,1306,2
HA,329,377,2
HA,32,1455,1
HA,32,1562,1
HA,334,1345,2
HA,339,1416,2
HA,344,1212,1
HA,344,1469,1
HA,348,1293,2
HA,349,1112,1
HA,350,1601,1
HA,352,1724,2
HA,358,1541,3
HA,35,1192,1
HA,368,1419,2
HA,37,1377,3
HA,37,1503,3
HA,382,1213,2
HA,382,1756,1
HA,384,1076,2
HA,385,1463,6
HA,390,500,3
HA,400,1422,1
HA,422,1285,2
HA,444,1459,3
HA,453,532,2
HA,456,1003,2
HA,462,1163,2
HA,463,1490,2
HA,465,1228,3
HA,46,1404,2
HA,476,1167,4
HA,477,1178,2
HA,47,107,84
HA,47,1167,2
HA,47,1499,1
HA,47,1602,1
HA,48,1488,3
HA,49,143,1
HA,49,182,3
HA,50,1646,1
HA,511,1685,1
HA,513,1112,2
HA,514,1345,2
HA,574,1447,2
HA,574,981,6
HA,59,104,2
HA,59,1403,6
HA,59,1455,1
HA,59,575,1
HA,59,97,3
HA,606,999,2
HA,619,1306,1
HA,631,1324,1
HA,665,1149,2
HA,705,1032,1
HA,715,1542,1
HA,726,896,2
HA,72,1713,1
HA,74,1579,1
HA,77,1090,2
HA,77,196,1
HA,782,1359,1
HA,79,1447,1
HA,79,1719,3
HA,80,106,11
HA,815,906,2
HA,816,1405,4
HA,81,1585,8
HA,83,1394,1
HA,83,1440,3
HA,855,891,2
HA,85,1352,1
HA,85,1461,13
HA,85,1581,2
HA,879,1142,2
HA,87,1187,1
HA,87,120,1
HA,87,1359,2
HA,87,1551,2
HA,87,1581,5
HA,88,1200,2
HA,88,1485,1
HA,89,136,1
HA,89,1484,3
HA,89,165,1
HA,89,1650,4
HA,900,1509,1
HA,90,1487,2
HA,91,132,1
HA,926,971,1
HA,92,136,1
HA,92,1447,4
HA,92,1498,1
HA,92,1560,1
HA,931,1673,1
HA,934,1676,2
HA,93,1539,1
HA,93,1548,4
HA,94,1534,3
HA,953,1670,4
HA,95,1473,2
HA,96,1365,3
HA,96,1551,5
HA,96,1560,1
HA,96,1581,6
HA,96,1631,3
HA,97,1419,2
HA,97,1548,4
HA,98,1518,2
HA,99,139,4
HA,99,1491,2
M,100,125,1
M,101,870,2
M,103,834,3
M,106,341,1
M,108,890,1
M,112,731,2
M,113,147,1
M,114,907,1
M,115,830,4
M,119,516,1
M,119,927,29
M,121,852,4
M,121,853,105
M,124,808,2
M,124,811,2
M,126,741,80
M,126,934,2
M,130,332,4
M,130,629,1
M,131,173,2
M,132,828,4
M,132,939,514
M,134,379,2
M,134,455,1
M,134,558,4
M,134,941,1
M,135,942,13
M,144,845,1
M,146,933,1
M,148,910,1
M,153,418,1
M,153,512,16
M,153,812,2
M,155,411,2
M,155,514,15
M,157,912,1
M,160,564,2
M,160,759,2
M,162,605,3
M,163,654,2
M,164,939,2
M,167,637,1
M,179,538,4
M,188,690,2
M,195,829,2
M,198,934,1
M,202,840,2
M,224,336,7
M,228,517,2
M,231,920,1
M,237,817,2
M,239,618,5
M,242,950,1
M,243,933,1
M,247,891,7
M,250,957,1
M,251,583,1
M,257,695,1
M,25,895,1
M,260,699,1
M,260,818,1
M,262,695,1
M,264,640,2
M,265,291,1
M,266,899,1
M,272,563,2
M,273,864,2
M,276,653,1
M,278,301,1
M,278,311,2
M,278,327,2
M,278,702,1
M,278,745,4
M,278,748,2
M,278,756,3
M,279,301,1
M,279,311,4
M,282,444,2
M,285,716,1
M,285,936,13
M,286,557,3
M,288,776,3
