Segment	Start	End	NGS_read_count
PB2	487	1935	1
PB2	589	1953	1
PB2	548	1723	1
PB2	603	1734	1
PB2	625	2070	1
PB2	274	1934	1
PB2	567	1851	1
PB2	562	2023	1
PB2	420	1735	1
PB2	369	1900	1
PB2	270	1872	1
PB2	510	1778	1
PB2	546	1826	1
PB2	442	2071	1
PB2	276	1740	1
PB2	248	1728	1
PB2	511	1918	1
PB2	625	2049	1
PB2	609	1802	1
PB2	543	1814	1
PB2	634	1964	1
PB2	344	1694	1
PB2	494	1941	1
PB2	619	1804	1
PB2	303	1820	1
PB2	426	1799	1
PB2	631	2024	1
PB2	604	2047	1
PB2	594	1764	1
PB2	404	1854	1
PB2	622	2019	1
PB2	498	2049	1
PB2	540	1846	1
PB2	341	1912	1
PB2	278	1998	1
PB2	300	1987	1
PB2	300	1813	1
PB2	462	1707	1
PB2	411	1722	1
PB2	445	2038	1
PB2	570	2049	1
PB2	547	1721	1
PB2	458	1906	1
PB2	637	2083	1
PB2	370	1923	1
PB2	413	1851	1
PB2	599	1909	1
PB2	630	2059	1
PB2	388	1988	1
PB2	491	2052	1
PB2	394	1879	1
PB2	505	1893	1
PB2	468	2062	1
PB2	344	1764	1
PB2	341	2022	1
PB2	561	1841	1
PB2	574	1939	1
PB2	488	1715	1
PB2	460	1833	1
PB2	511	1865	1
PB2	597	2000	1
PB2	603	1858	1
PB2	600	1951	1
PB2	501	1948	1
PB2	457	1772	1
PB2	526	1803	1
PB2	316	2059	1
PB2	278	1888	1
PB2	354	1971	1
PB2	576	1810	1
PB2	274	1789	1
PB2	621	1867	1
PB2	593	1841	1
PB2	472	1837	1
PB2	385	1715	1
PB2	319	1931	1
PB2	633	1696	1
PB2	423	1988	1
PB2	408	1859	1
PB2	340	2014	1
PB2	341	1740	1
PB2	275	1762	1
PB2	638	1985	1
PB2	396	1813	1
PB2	410	1788	1
PB2	351	1721	1
PB2	366	1988	1
PB2	472	1928	1
PB2	366	1892	1
PB2	365	2009	1
PB2	533	1724	1
PB2	325	2079	1
PB2	635	2053	1
PB2	479	2019	1
PB2	259	2000	1
PB2	421	1727	1
PB2	397	2075	1
PB2	523	1765	1
PB2	334	1755	1
PB2	571	1844	1
PB2	357	1841	1
PB2	519	1998	1
PB2	593	1826	1
PB2	544	1816	1
PB2	287	1975	1
PB2	492	1748	1
PB2	284	1799	1
PB2	571	1930	1
PB2	531	2077	1
PB2	322	1881	1
PB2	523	1705	1
PB2	430	1850	1
PB2	322	1693	1
PB2	534	2083	1
PB2	479	1845	1
PB2	394	1896	1
PB2	415	2056	1
PB2	444	1712	1
PB2	316	1846	1
PB2	582	1981	1
PB2	572	2050	1
PB2	590	1816	1
PB2	296	1891	1
PB2	487	1920	1
PB2	358	1966	1
PB2	358	1903	1
PB2	413	1967	1
PB2	424	1827	1
PB2	267	1956	1
PB2	372	1820	1
PB2	308	2002	1
PB2	545	1897	1
PB2	266	1897	1
PB2	379	2054	1
PB2	410	1981	1
PB2	392	1860	1
PB2	521	1782	1
PB2	466	1814	1
PB2	546	2057	1
PB2	317	2064	1
PB2	542	1918	1
PB2	495	2065	1
PB2	296	1900	1
PB2	399	2049	1
PB2	603	1995	1
PB2	351	1764	1
PB2	558	2029	1
PB2	258	1837	1
PB2	323	1990	1
PB2	418	2024	1
PB2	400	2017	1
PB2	353	1783	1
PB2	561	1854	1
PB2	584	1754	1
PB2	565	1815	1
PB2	468	1914	1
PB2	621	1726	1
PB2	491	2012	1
PB2	314	1778	1
PB2	575	1915	1
PB2	592	1885	1
PB2	349	1891	1
PB2	298	1797	1
PB2	537	2017	1
PB2	603	1766	1
PB2	315	1833	1
PB2	515	1717	1
PB2	591	2036	1
PB2	644	1908	1
PB2	594	1973	1
PB2	643	1948	1
PB2	530	1929	1
PB2	633	1851	1
PB2	509	2041	1
PB2	395	1994	1
PB2	413	1817	1
PB2	314	1822	1
PB2	285	1738	1
PB2	459	1852	1
PB2	617	1720	1
PB2	553	1811	1
PB2	298	1692	1
PB2	337	1846	1
PB2	588	1813	1
PB2	299	1916	1
PB2	299	2085	1
PB2	367	1894	1
PB2	380	1759	1
PB2	596	1811	1
PB2	453	1897	1
PB2	382	1829	1
PB2	545	2080	1
PB2	292	2020	1
PB2	444	1980	1
PB2	564	1702	1
PB2	421	1961	1
PB2	358	1856	1
PB2	576	2002	1
PB2	567	1862	1
PB2	444	1891	1
PB2	569	1740	1
PB2	501	1813	1
PB2	520	1813	1
PB2	471	1981	1
PB2	622	1710	1
PB2	504	2046	1
PB2	571	1708	1
PB2	535	1817	1
PB2	542	2047	1
PB2	639	1875	1
PB2	454	1751	1
PB2	609	1894	1
PB2	454	1831	1
PB2	323	1702	1
PB2	261	1937	1
PB2	280	1828	1
PB2	492	1692	1
PB2	338	1793	1
PB2	538	1718	1
PB2	395	2069	1
PB2	402	2042	1
PB2	396	1793	1
PB2	319	1871	1
PB2	342	1925	1
PB2	641	2025	1
PB2	638	1765	1
PB2	639	1966	1
PB2	629	1843	1
PB2	484	1704	1
