Segment	Start	End	NGS_read_count
PB2	688	1656	1
PB2	365	1766	1
PB2	536	1711	1
PB2	335	1746	1
PB2	494	1780	1
PB2	300	1756	1
PB2	548	1623	1
PB2	514	1612	1
PB2	459	2006	1
PB2	567	1840	1
PB2	695	1797	1
PB2	681	1660	1
PB2	638	1784	1
PB2	575	1856	1
PB2	361	1615	1
PB2	352	1890	1
PB2	670	1945	1
PB2	331	1985	1
PB2	340	1801	1
PB2	647	1848	1
PB2	330	1962	1
PB2	327	1658	1
PB2	428	1756	1
PB2	328	1708	1
PB2	449	1823	1
PB2	632	1757	1
PB2	446	1930	1
PB2	379	1877	1
PB2	458	1684	1
PB2	329	1937	1
PB2	327	1697	1
PB2	329	1639	1
PB2	551	1669	1
PB2	679	1982	1
PB2	671	1905	1
PB2	563	1923	1
PB2	599	1676	1
PB2	556	1920	1
PB2	299	1773	1
PB2	442	1863	1
PB2	581	1709	1
PB2	500	1906	1
PB2	413	1791	1
PB2	436	1926	1
PB2	568	1717	1
PB2	453	1649	1
PB2	350	1992	1
PB2	617	1791	1
PB2	573	1788	1
PB2	410	1850	1
PB2	306	1762	1
PB2	313	1874	1
PB2	413	1921	1
PB2	482	1646	1
PB2	459	1752	1
PB2	632	1826	1
PB2	617	1699	1
PB2	584	1866	1
PB2	457	1813	1
PB2	582	1852	1
PB2	335	1828	1
PB2	400	1800	1
PB2	402	1845	1
PB2	622	1963	1
PB2	572	1731	1
PB2	511	1666	1
PB2	631	1926	1
PB2	430	1935	1
PB2	645	1660	1
PB2	316	2011	1
PB2	457	1712	1
PB2	398	1976	1
PB2	383	1983	1
PB2	371	1882	1
PB2	694	1788	1
PB2	529	1973	1
PB2	466	1739	1
PB2	356	1726	1
PB2	533	1947	1
PB2	305	1884	1
PB2	382	1994	1
PB2	491	1860	1
PB2	509	1870	1
PB2	333	1735	1
PB2	348	1953	1
PB2	307	1940	1
PB2	391	1868	1
PB2	423	1979	1
PB2	393	1733	1
PB2	653	1620	1
PB2	389	1970	1
PB2	319	1758	1
PB2	486	1837	1
PB2	610	1656	1
PB2	524	1697	1
PB2	364	1881	1
PB2	472	1818	1
PB2	596	1977	1
PB2	562	1963	1
PB2	414	1884	1
PB2	479	1875	1
PB2	392	1864	1
PB2	301	1839	1
PB2	464	1804	1
PB2	508	1951	1
PB2	654	1993	1
PB2	631	1902	1
PB2	442	1682	1
PB2	453	1749	1
PB2	650	1840	1
PB2	551	1974	1
PB2	469	1849	1
PB2	373	1944	1
PB2	528	1999	1
PB2	543	1683	1
PB2	373	1694	1
PB2	557	1827	1
PB2	414	1998	1
PB2	533	1620	1
PB2	620	1984	1
PB2	401	1967	1
PB2	420	1770	1
PB2	429	1651	1
PB2	540	1735	1
PB2	446	1769	1
PB2	593	1967	1
PB2	458	1907	1
PB2	679	1912	1
PB2	488	1918	1
PB2	558	1699	1
PB2	455	1619	1
PB2	478	1679	1
PB2	398	1963	1
PB2	691	1946	1
PB2	412	1975	1
PB2	402	1628	1
PB2	496	1960	1
PB2	477	1917	1
PB2	660	1849	1
PB2	673	1898	1
PB2	378	1657	1
PB2	443	1947	1
PB2	648	1894	1
PB2	628	1750	1
PB2	471	1659	1
PB2	610	1847	1
PB2	434	1615	1
PB2	415	1679	1
PB2	363	1813	1
PB2	446	1949	1
PB2	587	1727	1
PB2	348	1726	1
PB2	668	1867	1
PB2	571	1712	1
PB2	470	1725	1
PB2	594	1742	1
PB2	354	1860	1
PB2	579	1769	1
PB2	347	1696	1
PB2	695	1628	1
PB2	572	1812	1
PB2	411	1866	1
PB2	474	1896	1
PB2	630	1803	1
PB2	493	1732	1
PB2	518	1939	1
PB2	567	1863	1
PB2	316	1638	1
PB2	378	1780	1
PB2	499	1669	1
PB2	436	2002	1
PB2	341	1941	1
PB2	316	1826	1
PB2	659	1665	1
PB2	462	1937	1
PB2	660	1669	1
PB2	471	1801	1
PB2	623	1660	1
PB2	493	1689	1
PB2	658	1954	1
PB2	576	1929	1
PB2	671	1625	1
PB2	550	1770	1
PB2	452	2005	1
PB2	400	1623	1
PB2	401	1867	1
PB2	657	1685	1
PB2	605	1619	1
PB2	332	1694	1
PB2	528	1958	1
PB2	603	1834	1
PB2	350	1875	1
PB2	677	1853	1
PB2	473	1884	1
PB2	345	1906	1
PB2	375	1785	1
PB2	342	1977	1
PB2	403	1830	1
PB2	554	1745	1
PB2	314	1678	1
PB2	557	1914	1
PB2	632	1642	1
PB2	401	1668	1
PB2	348	1939	1
PB2	573	1951	1
PB2	338	1739	1
PB2	373	1786	1
PB2	698	1852	1
PB2	309	1972	1
PB2	369	1711	1
PB2	513	1784	1
PB2	545	1678	1
PB2	326	1878	1
PB2	632	1758	1
PB2	603	1733	1
PB2	360	1846	1
PB2	570	1787	1
PB2	376	1976	1
PB2	630	1731	1
PB2	420	1801	1
PB2	511	1699	1
PB2	534	1629	1
PB2	526	2011	1
PB2	390	1622	1
PB2	559	1807	1
PB2	661	1971	1
PB2	316	1789	1
PB2	501	1952	1
PB2	532	1758	1
PB2	640	1776	1
PB2	504	1942	1
PB2	486	1619	1
PB2	359	1621	1
PB2	657	1818	1
PB2	594	1743	1
PB2	320	1639	1
PB2	609	1970	1
PB2	615	1832	1
PB2	435	1680	1
PB2	388	1648	1
PB2	474	1903	1
PB2	469	1761	1
PB2	321	1721	1
PB2	627	1781	1
PB2	317	1709	1
PB2	510	1751	1
PB2	658	1845	1
PB2	586	1905	1
PB2	637	1618	1
PB2	685	1842	1
PB2	386	1759	1
PB2	601	1988	1
PB2	567	1965	1
PB2	525	1788	1
PB2	327	1827	1
PB2	669	1939	1
PB2	320	1978	1
PB2	612	1805	1
PB2	618	1898	1
PB2	629	1921	1
PB2	374	1815	1
PB2	308	1801	1
PB2	608	1659	1
PB2	586	1986	1
PB2	462	1917	1
PB2	697	1817	1
PB2	388	1834	1
PB2	360	1915	1
PB2	459	1938	1
PB2	596	1773	1
PB2	694	1888	1
PB2	335	1793	1
PB2	438	1963	1
PB2	453	1966	1
PB2	537	1773	1
PB2	383	2005	1
PB2	621	1677	1
PB2	658	1685	1
PB2	678	1617	1
PB2	606	1956	1
PB2	550	1898	1
PB2	651	1999	1
PB2	355	1789	1
PB2	332	1928	1
PB2	619	1981	1
PB2	402	1787	1
PB2	495	1817	1
PB2	351	1862	1
PB2	637	1913	1
PB2	586	1969	1
PB2	411	1731	1
PB2	435	1658	1
PB2	678	1810	1
PB2	372	1894	1
PB2	435	1698	1
PB2	407	1897	1
PB2	411	1612	1
PB2	650	1734	1
PB2	417	1743	1
PB2	464	1753	1
PB2	413	1947	1
PB2	660	2003	1
PB2	699	1903	1
PB2	303	1658	1
PB2	592	1965	1
PB2	482	1970	1
PB2	688	2006	1
PB2	536	1636	1
PB2	635	1827	1
PB2	587	1616	1
PB2	644	1702	1
PB2	328	2006	1
PB2	385	1929	1
PB2	563	1930	1
PB2	548	1803	1
PB2	591	1682	1
PB2	332	1939	1
PB2	467	1991	1
PB2	590	1775	1
PB2	431	1976	1
PB2	345	1626	1
PB2	446	1839	1
PB2	608	1902	1
PB2	328	1709	1
PB2	349	1742	1
PB2	674	1743	1
PB2	690	1624	1
PB2	545	1973	1
PB2	684	1749	1
PB2	606	1963	1
PB2	536	1800	1
PB2	573	1724	1
PB2	622	1768	1
PB2	328	1991	1
PB2	674	1674	1
PB2	550	1734	1
PB2	315	1651	1
PB2	488	1757	1
PB2	686	2005	1
PB2	359	1949	1
PB2	411	1996	1
PB2	466	1612	1
PB2	593	1859	1
PB2	550	1788	1
PB2	456	1990	1
PB2	338	1669	1
PB2	339	2003	1
PB2	496	1736	1
PB2	655	1750	1
PB2	661	2005	1
PB2	314	1788	1
PB2	314	1963	1
PB2	661	1846	1
PB2	432	1764	1
PB2	656	1935	1
PB2	637	1626	1
PB2	524	1690	1
PB2	687	1615	1
PB2	557	1881	1
PB2	393	1679	1
PB2	489	1846	1
PB2	651	1620	1
PB2	404	1872	1
PB2	546	2006	1
PB2	359	1815	1
PB2	521	1851	1
PB2	352	1812	1
PB2	320	1807	1
PB2	649	1643	1
PB2	599	1932	1
PB2	529	1807	1
PB2	444	1740	1
PB2	487	1728	1
PB2	539	1709	1
PB2	428	1989	1
PB2	325	1768	1
PB2	452	1663	1
PB2	367	1738	1
PB2	319	1826	1
PB2	586	1957	1
PB2	597	1623	1
PB2	559	1995	1
