Segment,Start,End,NGS_read_count
HA,26,1434,1
HA,28,1136,2
HA,28,1281,1
HA,28,1356,2
HA,28,1375,1
HA,28,1440,49
HA,32,1504,1
HA,33,357,1
HA,36,1520,1
HA,37,1565,1
HA,39,1041,1
HA,39,1158,1
HA,39,1364,1
HA,42,1372,1
HA,43,1483,1
HA,44,1523,1
HA,44,1543,2
HA,46,1338,2
HA,47,1554,1
HA,48,1193,2
HA,50,1408,8
HA,50,1453,4
HA,50,1469,2
HA,51,135,2
HA,55,1446,1
HA,55,1488,23
HA,55,1503,3
HA,56,1263,2
HA,57,1449,2
HA,57,1452,1
HA,60,1355,2
HA,60,1387,2
HA,61,1462,1
HA,62,1270,16
HA,62,1406,1
HA,62,1462,1
HA,63,1220,1
HA,64,1513,2
HA,65,1376,22
HA,65,1543,2
HA,66,1336,1
HA,68,1499,1
HA,68,1544,4
HA,69,1487,2
HA,72,1520,1
HA,72,1550,3
HA,72,1555,2
HA,73,1218,1
HA,73,1429,3
HA,74,1231,6
HA,74,1456,1
HA,74,1499,1
HA,75,1337,3
HA,76,1390,2
HA,76,1525,7
HA,77,1518,1
HA,79,1366,1
HA,79,1429,1
HA,79,1481,1
HA,80,1224,1
HA,80,1420,2
HA,81,1502,55
HA,81,1600,2
HA,82,1228,25
HA,82,1386,1
HA,83,1372,16
HA,84,1235,1
HA,85,1555,2
HA,85,1558,2
HA,85,1560,1
HA,88,1341,1
HA,88,1431,3
HA,88,1483,1
HA,90,1472,4
HA,91,1456,3
HA,94,1249,133
HA,96,1038,1
HA,98,1339,1
HA,99,1386,2
HA,99,1488,1
HA,100,1285,2
HA,100,1465,1
HA,102,1285,3
HA,103,1410,5
HA,104,1494,1
HA,105,1476,3
HA,105,1505,11
HA,106,1434,1
HA,106,1465,1
HA,106,1506,21
HA,107,1351,1
HA,107,1608,1
HA,108,1016,4
HA,108,1451,4
HA,109,1480,4
HA,109,1500,2
HA,110,1556,27
HA,111,1370,1
HA,111,1422,2
HA,111,1443,4
HA,113,1371,1
HA,113,1381,1
HA,113,1472,4
HA,113,1561,5
HA,114,1490,2
HA,115,1543,1
HA,116,1490,31
HA,118,1431,2
HA,119,1112,1
HA,119,1514,1
HA,120,1464,1
HA,120,1481,3
HA,120,1505,6
HA,121,1447,1
HA,121,1555,2
HA,123,1541,4
HA,128,1103,29
HA,130,1363,2
HA,130,1433,2
HA,131,1471,2
HA,131,1481,1
HA,133,1433,2
HA,134,1370,6
HA,135,1436,4
HA,136,1338,1
HA,140,1376,2
HA,141,1411,1
HA,142,1462,1
HA,143,1474,3
HA,144,1064,1
HA,144,1464,23
HA,145,1470,2
HA,146,176,1
HA,148,1504,1
