Segment,Start,End,NGS_read_count
PB2,1245,1395,1
PB2,1725,1991,1
PB2,207,2097,2
PB1,1271,1340,1
PB1,1709,1770,1
PB1,2053,2082,1
PB1,425,1450,1
PA,570,1976,1
HA,1295,1339,1
HA,1323,1471,1
NP,327,362,1
NP,681,892,1
NS,392,430,1
PB2,1952,1976,1
PB1,625,1878,18
PB2,1064,1182,1
PB2,1099,2141,1
PB2,1104,1193,1
PB2,1104,1198,1
PB2,1131,1195,1
PB2,1135,1603,2
PB2,1141,1204,1
PB2,1143,1206,2
PB2,1228,1639,1
PB2,1385,1611,1
PB2,1420,1477,1
PB2,1453,1634,1
PB2,1497,2148,3
PB2,1510,1594,1
PB2,1517,1642,2
PB2,1546,1641,1
PB2,1560,1923,1
PB2,1591,1625,1
PB2,1609,1665,1
PB2,1614,1673,1
PB2,1717,1772,1
PB2,1732,1793,1
PB2,1760,1803,2
PB2,1784,1831,21
PB2,1816,1937,1
PB2,1819,1967,1
PB2,1851,1952,1
PB2,1871,1962,1
PB2,192,2011,1
PB2,195,2012,434
PB2,196,2071,1
PB2,1982,2124,1
PB2,1990,2147,1
PB2,1997,2070,20
PB2,199,2117,17
PB2,2026,2078,1
PB2,2030,2100,1
PB2,2045,2082,1
PB2,2045,2214,1
PB2,2061,2131,1
PB2,213,2047,1
PB2,2186,2217,1
PB2,252,2004,1
PB2,258,2001,1
PB2,293,2014,1
PB2,295,1982,190
PB2,305,2057,1
PB2,351,1773,10
PB2,361,1829,190
PB2,365,2026,1
PB2,396,1064,1
PB2,412,523,1
PB2,413,1752,1
PB2,422,444,4
PB2,434,1594,3
PB2,440,1772,3
PB2,443,1779,1
PB2,449,1151,1
PB2,454,1828,1
PB2,469,515,1
PB2,492,583,1
PB2,496,1752,45
PB2,498,1830,4
PB2,500,1745,1
PB2,510,555,2
PB2,516,1883,13
PB2,520,1790,1
PB2,535,1691,1
PB2,627,736,2
PB2,633,1534,18
PB2,633,1738,149
PB2,655,1051,1
