Segment,Start,End,NGS_read_count
PB2,150,2206,34
PB2,171,2194,35
PB2,173,2086,21
PA,193,1872,44
PA,303,2070,14
PA,313,1853,23
PB2,316,1879,35
PA,351,1907,324
PB2,378,1792,17
PA,424,1691,17
PA,463,1743,75
PB2,151,2205,34
PB2,172,2193,35
PB2,174,2085,21
PA,195,1870,44
PA,304,2069,14
PA,314,1852,23
PB2,318,1877,35
PA,353,1905,324
PB2,381,1789,17
PA,425,1690,17
PA,466,1740,75
PA,630,1860,30
PB1,310,1859,35
PB1,214,1956,27
PA,221,1983,12
PA,170,1951,41
HA,95,1550,15
PB1,95,2034,25
PB1,96,2033,25
HA,98,1547,15
PA,137,1947,15
PA,146,1973,15
PB2,147,2080,19
PB2,150,2206,125
PB2,157,2140,12
PB2,161,2151,11
PA,163,1975,16
PB2,168,2120,19
PA,170,1900,17
PA,171,1963,13
PB2,171,2194,226
PB2,172,2051,11
PB2,173,2086,237
PA,174,1999,44
PB1,190,1977,32
PA,193,1872,459
PB1,195,2109,23
PB1,199,2071,19
PB1,205,2128,11
PB2,216,2006,13
PA,219,1708,58
PB2,225,2040,31
PB2,225,2120,17
PA,231,1861,12
PA,238,1933,49
PA,239,1969,30
PB1,249,1476,40
PA,254,1869,63
PA,256,1723,33
PB2,257,1974,11
PB2,257,2000,48
PA,258,1843,18
PB2,261,2032,24
PB2,267,1932,130
PB1,268,2053,12
PB1,268,2070,15
PB2,271,2047,11
PB2,274,2014,27
PB2,275,1968,16
PA,301,1816,13
PA,303,2070,97
PB1,308,1958,21
PA,313,1853,285
PA,315,1671,37
PB2,316,1879,335
PB2,318,2000,18
PB2,319,1947,11
PB1,320,2031,18
PB2,324,1920,127
PB2,327,1777,13
PB1,327,1857,11
PA,350,1806,38
PA,351,1907,3924
PB1,360,1775,70
PA,366,1765,20
PB1,375,1857,40
PB2,378,1792,104
PA,396,1727,11
PA,409,1738,20
PB1,419,1913,19
PA,424,1691,138
PA,449,1727,12
PA,458,1736,13
PB1,459,1655,26
PB2,462,1920,50
PA,463,1743,693
PB1,465,1722,12
PB2,467,1758,32
PA,474,1824,30
PB1,526,1743,18
PA,538,1546,48
PA,556,1875,27
PA,565,1575,31
PA,581,1634,79
PB1,642,1728,11
PA,667,1883,32
PB2,724,1886,17
PA,139,1945,15
PA,147,1972,15
PB2,148,2079,19
PB2,151,2205,125
PB2,158,2139,12
PB2,164,2148,11
PA,166,1972,16
PB2,169,2119,19
PA,172,1898,17
PA,172,1962,13
PB2,172,2193,226
PB2,173,2050,11
PB2,174,2085,237
PA,175,1998,44
PB1,191,1976,32
PA,195,1870,459
PB1,196,2108,23
PB1,201,2069,19
PB1,206,2127,11
PB2,218,2004,13
PA,220,1707,58
PB2,228,2037,31
PB2,226,2119,17
PA,233,1859,12
PA,239,1932,49
PA,240,1968,30
PB1,250,1475,40
PA,255,1868,63
PA,257,1722,33
PB2,259,1972,11
PB2,259,1998,48
PA,259,1842,18
PB2,262,2031,24
PB2,268,1931,130
PB1,270,2051,12
PB1,270,2068,15
PB2,272,2046,11
PB2,276,2012,27
PB2,276,1967,16
PA,303,1814,13
PA,304,2069,97
PB1,309,1957,21
PA,314,1852,285
PA,316,1670,37
PB2,318,1877,335
PB2,319,1999,18
PB2,321,1945,11
PB1,321,2030,18
PB2,325,1919,127
PB2,330,1774,13
PB1,329,1855,11
PA,351,1805,38
PA,353,1905,3924
PB1,361,1774,70
PA,367,1764,20
PB1,376,1856,40
PB2,381,1789,104
PA,395,1728,11
PA,410,1737,20
PB1,420,1912,19
PA,425,1690,138
PA,452,1724,12
PA,460,1734,13
PB1,460,1654,26
PB2,464,1918,50
PA,466,1740,693
PB1,466,1721,12
PB2,468,1757,32
PA,475,1823,30
PB1,527,1742,18
PA,540,1544,48
PA,557,1874,27
PA,566,1574,31
PA,582,1633,79
PB1,644,1726,11
PA,670,1880,32
PB2,725,1885,17
PA,369,1723,15
PA,235,1936,31
PB2,217,2138,38
PB2,330,2317,12
PA,231,1932,23
PA,23,1724,14
PA,21,1865,12
PB1,21,1933,13
PB2,213,2134,27
PB2,23,2110,16
PB1,524,1694,13
PB2,496,1690,12
PA,555,1751,70
PA,481,1690,17
PB1,501,1715,13
PB2,565,1788,15
PA,630,1860,240
PA,458,1690,56
PA,446,1705,39
PA,173,1457,37
PA,409,1706,11
PA,417,1724,20
PB2,429,1751,22
PB1,442,1780,13
PA,449,1800,17
PB1,418,1792,103
PA,342,1723,31
PA,374,1783,27
PB1,442,1864,119
HA,140,1562,15
PA,182,1630,66
PA,345,1865,14
PB1,310,1859,299
PB1,284,1837,12
PB2,328,1886,33
PA,263,1824,18
PA,202,1796,19
PA,264,1863,17
PB1,307,1915,25
PB1,319,1931,17
PA,205,1818,51
PA,175,1846,20
PA,250,1958,114
PA,151,1859,13
PB1,214,1956,322
PB2,258,2006,19
PA,226,1976,18
PA,221,1983,137
PB2,249,2025,19
PA,170,1951,274
PB2,202,1984,43
PB2,193,2048,69
PB1,245,2106,32
PB2,137,2001,12
PB1,182,2048,13
PB1,176,2064,33
PB2,162,2076,16
PB1,192,2112,13
PB2,208,2139,18
PB2,148,2099,17
PB2,121,2139,12
PB1,86,2147,11
PB1,95,2034,410
PB1,96,2033,410
PB2,107,2139,67
PB2,150,2206,312
NP,163,1321,1319
PA,166,2041,723
PB1,169,2109,7447
PB2,271,2047,31
PA,351,1907,2654
PB2,109,2137,67
PB2,151,2205,312
NP,165,1319,1319
PA,168,2039,723
PB1,171,2107,7447
PB2,272,2046,31
PA,353,1905,2654
PA,466,1743,42
