Segment	Start	End	NGS_read_count
PB2	370	2031	1
PB2	524	2126	1
PB2	568	2100	1
PB2	256	2016	1
PB2	463	2121	1
PB2	395	2037	1
PB2	224	2010	1
PB2	543	2098	1
PB2	382	2000	1
PB2	366	2146	1
PB2	228	1958	1
PB2	347	2086	1
PB2	562	2079	1
PB2	256	1968	1
PB2	401	1990	1
PB2	587	2160	1
PB2	414	1887	1
PB2	453	2165	1
PB2	507	1895	1
PB2	507	1829	1
PB2	422	1988	1
PB2	226	2128	1
PB2	586	2149	1
PB2	553	1839	1
PB2	223	1981	1
PB2	606	2044	1
PB2	392	2084	1
PB2	366	2045	1
PB2	521	2010	1
PB2	425	1981	1
PB2	560	2055	1
PB2	380	2018	1
PB2	365	1838	1
PB2	332	2059	1
PB2	341	1945	1
PB2	266	2197	1
PB2	316	1840	1
PB2	327	1899	1
PB2	587	2173	1
PB2	273	1861	1
PB2	254	2088	1
PB2	597	2149	1
PB2	606	1832	1
PB2	544	2186	1
PB2	307	2171	1
PB2	227	1831	1
PB2	395	1940	1
PB2	540	2015	1
PB2	295	1958	1
PB2	508	1885	1
PB2	323	2196	1
PB2	343	2114	1
PB2	353	1926	1
PB2	553	1903	1
PB2	245	2073	1
PB2	409	2150	1
PB2	230	1799	1
PB2	554	1988	1
PB2	234	1806	1
PB2	223	1923	1
PB2	222	1937	1
PB2	314	1903	1
PB2	585	1883	1
PB2	591	2081	1
PB2	287	2129	1
PB2	243	2191	1
PB2	281	1814	1
PB2	451	1863	1
PB2	523	2128	1
PB2	612	2179	1
PB2	262	1819	1
PB2	605	1871	1
PB2	260	1825	1
PB2	304	2043	1
PB2	434	1809	1
PB2	554	2013	1
PB2	412	2182	1
PB2	537	2113	1
PB2	397	1959	1
PB2	308	2010	1
PB2	502	2014	1
PB2	518	1893	1
PB2	408	1934	1
PB2	336	2049	1
PB2	309	2169	1
PB2	496	2098	1
PB2	261	1977	1
PB2	450	2047	1
PB2	490	1877	1
PB2	619	1996	1
PB2	429	1977	1
PB2	418	2014	1
PB2	438	1990	1
PB2	433	1846	1
PB2	436	1923	1
PB2	363	1933	1
PB2	518	1928	1
PB2	235	2159	1
PB2	382	2072	1
PB2	272	1820	1
PB2	366	1949	1
PB2	472	2052	1
PB2	463	2029	1
PB2	289	2156	1
PB2	412	2190	1
PB2	576	2042	1
PB2	303	2141	1
PB2	241	2099	1
PB2	241	2165	1
PB2	572	2187	1
PB2	511	1941	1
PB2	526	2046	1
PB2	390	2053	1
PB2	237	2020	1
PB2	586	1879	1
PB2	515	1804	1
PB2	480	1921	1
PB2	505	1898	1
PB2	588	2070	1
PB2	557	1931	1
PB2	382	1903	1
PB2	437	1908	1
PB2	252	1858	1
PB2	414	2134	1
PB2	321	1922	1
PB2	295	2182	1
PB2	366	1946	1
PB2	355	2156	1
PB2	315	2196	1
PB2	515	1930	1
PB2	595	2008	1
PB2	607	1994	1
PB2	621	2000	1
PB2	391	2173	1
PB2	501	2097	1
PB2	456	1807	1
PB2	607	1871	1
PB2	570	1799	1
PB2	387	1801	1
PB2	370	2051	1
PB2	273	2076	1
PB2	395	1998	1
PB2	243	2071	1
PB2	282	2133	1
PB2	519	1915	1
PB2	222	2154	1
PB2	431	2085	1
PB2	262	1861	1
PB2	259	2108	1
PB2	561	2095	1
PB2	540	2098	1
PB2	242	2165	1
PB2	256	2056	1
PB2	526	2005	1
PB2	403	2037	1
PB2	476	1920	1
PB2	418	1996	1
PB2	532	2001	1
PB2	454	1961	1
PB2	570	2184	1
PB2	487	1949	1
PB2	563	2148	1
PB2	527	2166	1
PB2	348	1884	1
PB2	541	1818	1
PB2	520	1924	1
PB2	618	1961	1
PB2	292	1923	1
PB2	404	1862	1
PB2	257	1940	1
PB2	350	1901	1
PB2	242	1834	1
PB2	593	1875	1
PB2	532	2082	1
PB2	616	2079	1
PB2	586	2130	1
PB2	509	2081	1
PB2	609	2017	1
PB2	465	1856	1
PB2	574	2110	1
PB2	224	2115	1
PB2	408	1995	1
PB2	318	1903	1
PB2	243	1950	1
PB2	256	2024	1
PB2	442	2086	1
PB2	593	1909	1
PB2	565	1977	1
PB2	281	1949	1
PB2	395	2172	1
PB2	335	1848	1
PB2	364	2149	1
PB2	491	1839	1
PB2	272	1962	1
PB2	233	1868	1
PB2	314	1936	1
PB2	330	1938	1
PB2	569	2195	1
PB2	398	2084	1
PB2	559	2036	1
PB2	222	1869	1
PB2	364	2024	1
PB2	403	2063	1
PB2	563	2129	1
PB2	253	2190	1
PB2	523	2019	1
PB2	535	1964	1
PB2	344	1811	1
PB2	263	2197	1
PB2	503	2154	1
PB2	322	2012	1
PB2	423	1844	1
PB2	262	1946	1
PB2	269	2001	1
PB2	585	2020	1
PB2	438	2191	1
PB2	249	2168	1
PB2	546	1874	1
PB2	559	1935	1
PB2	561	2034	1
PB2	396	2063	1
PB2	442	2032	1
PB2	559	2058	1
PB2	365	1899	1
PB2	507	1996	1
PB2	261	2010	1
PB2	464	1961	1
PB2	512	2112	1
PB2	547	2115	1
PB2	225	1889	1
PB2	387	1836	1
PB2	276	2116	1
PB2	267	1923	1
PB2	565	2029	1
PB2	456	2130	1
PB2	407	1843	1
PB2	605	1870	1
PB2	364	1967	1
PB2	306	2050	1
PB2	604	2145	1
PB2	429	2085	1
PB2	281	2117	1
PB2	434	1958	1
PB2	408	1834	1
PB2	616	2093	1
PB2	381	1972	1
PB2	385	2038	1
PB2	333	1896	1
PB2	568	1919	1
PB2	578	2126	1
PB2	238	1970	1
PB2	258	2088	1
PB2	263	2182	1
PB2	259	1907	1
PB2	261	2104	1
PB2	467	1977	1
PB2	409	2143	1
PB2	349	1806	1
PB2	285	1888	1
PB2	350	1811	1
PB2	618	2093	1
PB2	561	2047	1
PB2	289	2000	1
PB2	221	1807	1
PB2	548	1981	1
PB2	594	1883	1
PB2	615	1807	1
PB2	346	1864	1
PB2	429	2157	1
PB2	479	2059	1
PB2	321	2103	1
PB2	570	2011	1
PB2	448	1921	1
PB2	415	1886	1
PB2	478	2013	1
PB2	358	1858	1
PB2	431	1939	1
PB2	407	2035	1
PB2	290	2141	1
PB2	281	1903	1
PB2	532	2076	1
PB2	479	2073	1
PB2	374	2071	1
PB2	591	1979	1
PB2	310	2162	1
PB2	363	1947	1
PB2	513	2169	1
PB2	365	2115	1
PB2	228	2176	1
PB2	536	2003	1
PB2	262	2112	1
PB2	614	1810	1
PB2	580	2128	1
PB2	275	2083	1
PB2	522	1801	1
PB2	460	2188	1
PB2	295	2191	1
PB2	274	1900	1
PB2	566	1826	1
PB2	385	2147	1
PB2	329	2082	1
PB2	348	1939	1
PB2	324	1825	1
PB2	596	2141	1
PB2	464	1993	1
PB2	561	2018	1
PB2	432	2175	1
PB2	481	1807	1
PB2	590	2024	1
PB2	537	2156	1
PB2	288	1956	1
PB2	387	1896	1
PB2	614	2137	1
PB2	318	1908	1
PB2	527	2189	1
PB2	514	2036	1
PB2	502	1968	1
PB2	248	1899	1
PB2	288	1908	1
PB2	427	2012	1
PB2	506	1832	1
PB2	433	1855	1
PB2	553	1976	1
PB2	401	1927	1
PB2	543	1884	1
PB2	547	1889	1
PB2	568	1856	1
PB2	328	1903	1
PB2	299	2081	1
PB2	371	2040	1
PB2	343	2194	1
PB2	528	2046	1
PB2	531	1893	1
PB2	458	1914	1
PB2	304	2033	1
PB2	505	2079	1
PB2	619	2180	1
PB2	596	1855	1
PB2	513	1916	1
PB2	298	1820	1
PB2	460	2134	1
PB2	342	1890	1
PB2	564	2051	1
PB2	432	1883	1
PB2	573	1848	1
PB2	574	2006	1
PB2	287	2006	1
PB2	593	2048	1
PB2	244	2137	1
PB2	519	1830	1
PB2	544	2078	1
PB2	590	1989	1
PB2	313	2185	1
PB2	516	1914	1
PB2	389	2118	1
PB2	585	2010	1
PB2	416	2025	1
PB2	544	2024	1
PB2	290	2154	1
PB2	325	1869	1
PB2	413	2052	1
PB2	240	1881	1
PB2	373	2063	1
PB2	566	1952	1
PB2	369	1911	1
PB2	351	1937	1
PB2	294	1814	1
PB2	549	2094	1
PB2	544	2112	1
PB2	325	1803	1
PB2	603	2053	1
PB2	265	1842	1
PB2	392	2085	1
PB2	435	2160	1
PB2	437	2159	1
PB2	376	1906	1
PB2	605	1959	1
PB2	299	2012	1
PB2	476	1841	1
PB2	462	1876	1
PB2	420	2170	1
PB2	305	1879	1
PB2	611	2020	1
PB2	329	2177	1
PB2	376	2142	1
PB2	257	1836	1
PB2	554	2027	1
PB2	395	1920	1
PB2	330	1957	1
PB2	282	1830	1
PB2	366	1880	1
PB2	445	1880	1
PB2	571	1888	1
PB2	319	1885	1
PB2	285	2031	1
PB2	312	1992	1
PB2	232	2045	1
PB2	236	1940	1
PB2	308	1936	1
PB2	427	2018	1
PB2	548	1913	1
PB2	272	1838	1
PB2	431	2131	1
PB2	381	2116	1
PB2	437	1907	1
PB2	390	1879	1
PB2	350	2032	1
PB2	515	2030	1
PB2	435	1874	1
PB2	522	1930	1
PB2	493	2186	1
PB2	539	2146	1
PB2	231	1931	1
PB2	332	2036	1
PB2	284	2063	1
PB2	587	1955	1
PB2	542	2051	1
PB2	456	2098	1
PB2	468	1835	1
PB2	327	1825	1
PB2	339	1887	1
PB2	575	1903	1
PB2	279	2022	1
PB2	291	1912	1
PB2	221	1811	1
PB2	547	2015	1
PB2	593	1961	1
PB2	226	1956	1
PB2	508	2175	1
PB2	461	1953	1
PB2	399	2034	1
PB2	521	2196	1
PB2	270	1957	1
PB2	256	2064	1
PB2	325	1843	1
PB2	501	1969	1
PB2	224	1870	1
PB2	461	1830	1
PB2	487	1832	1
PB2	529	1950	1
PB2	547	1852	1
PB2	317	2109	1
PB2	380	2032	1
PB2	242	2064	1
PB2	368	1884	1
PB2	468	1941	1
PB2	546	1855	1
PB2	513	2100	1
PB2	551	2129	1
PB2	568	1845	1
PB2	534	2110	1
PB2	230	1866	1
PB2	311	1943	1
PB2	457	2021	1
PB2	295	2100	1
PB2	564	1934	1
PB2	411	1933	1
PB2	334	1921	1
PB2	595	1944	1
PB2	581	2197	1
PB2	249	1966	1
PB2	458	1990	1
PB2	316	2163	1
PB2	455	1963	1
PB2	362	2042	1
PB2	519	1821	1
PB2	355	2091	1
PB2	269	2194	1
PB2	393	2113	1
PB2	506	1981	1
PB2	258	2144	1
PB2	505	2173	1
PB2	572	1805	1
PB2	361	2178	1
PB2	460	2017	1
PB2	497	1872	1
PB2	235	1856	1
PB2	443	1826	1
PB2	487	2025	1
PB2	295	1807	1
PB2	310	1870	1
PB2	409	2014	1
PB2	393	1867	1
PB2	423	1882	1
PB2	541	2166	1
PB2	443	1874	1
PB2	224	1819	1
PB2	480	1905	1
PB2	409	2174	1
PB2	465	2193	1
PB2	571	2109	1
PB2	298	2136	1
PB2	558	1860	1
PB2	572	2115	1
