Segment	Start	End	NGS_read_count
PB2	595	2003	1
PB2	618	2056	1
PB2	664	1864	1
PB2	596	2084	1
PB2	335	1801	1
PB2	684	2018	1
PB2	450	2062	1
PB2	554	1802	1
PB2	454	1791	1
PB2	341	2009	1
PB2	611	1871	1
PB2	367	1975	1
PB2	539	1998	1
PB2	613	2025	1
PB2	435	1878	1
PB2	506	1850	1
PB2	312	1950	1
PB2	499	1912	1
PB2	507	2049	1
PB2	458	2023	1
PB2	418	2104	1
PB2	562	2028	1
PB2	491	2128	1
PB2	469	2096	1
PB2	626	1910	1
PB2	343	2093	1
PB2	535	1814	1
PB2	406	2072	1
PB2	588	1757	1
PB2	488	2037	1
PB2	660	1823	1
PB2	380	1871	1
PB2	356	1994	1
PB2	305	2041	1
PB2	492	1977	1
PB2	623	1818	1
PB2	478	2124	1
PB2	516	1841	1
PB2	402	1843	1
PB2	401	1996	1
PB2	596	2004	1
PB2	498	1988	1
PB2	625	1730	1
PB2	650	1934	1
PB2	398	2036	1
PB2	486	1740	1
PB2	333	1884	1
PB2	380	1752	1
PB2	684	1750	1
PB2	514	1765	1
PB2	581	1821	1
PB2	581	1838	1
PB2	460	1984	1
PB2	373	1869	1
PB2	572	1857	1
PB2	447	1754	1
PB2	316	1790	1
PB2	502	1875	1
PB2	412	2073	1
PB2	388	1744	1
PB2	352	2062	1
PB2	631	1839	1
PB2	598	1764	1
PB2	560	1900	1
PB2	497	1833	1
PB2	362	1831	1
PB2	652	1841	1
PB2	622	1797	1
PB2	577	1851	1
PB2	548	1822	1
PB2	683	1875	1
PB2	635	1901	1
PB2	337	1878	1
PB2	686	1805	1
PB2	330	2086	1
PB2	567	2046	1
PB2	318	1783	1
PB2	606	2098	1
PB2	602	1919	1
PB2	666	1945	1
PB2	331	1925	1
PB2	493	2005	1
PB2	515	1734	1
PB2	481	2045	1
PB2	656	1930	1
PB2	348	2088	1
PB2	297	1832	1
PB2	348	2104	1
PB2	495	2055	1
PB2	613	1883	1
PB2	561	2086	1
PB2	391	1825	1
PB2	528	2048	1
PB2	666	1805	1
PB2	377	2084	1
PB2	399	1745	1
PB2	336	2082	1
PB2	585	1963	1
PB2	483	1865	1
PB2	405	1947	1
PB2	446	2107	1
PB2	566	1767	1
PB2	654	2120	1
PB2	327	2006	1
PB2	448	1794	1
PB2	307	1858	1
PB2	637	1741	1
PB2	304	1837	1
PB2	362	2092	1
PB2	660	2085	1
PB2	626	2098	1
PB2	600	1910	1
PB2	578	2088	1
PB2	598	1957	1
PB2	550	1919	1
PB2	548	1795	1
PB2	339	1909	1
PB2	312	1768	1
PB2	379	1852	1
