Segment,Start,End,NGS_read_count
HA,84,1487,1
HA,85,1504,2
HA,87,1518,2
HA,88,1516,5
HA,90,1490,1
HA,91,1479,1
HA,92,186,1
HA,92,1409,2
HA,92,1447,1
HA,93,1477,1
HA,94,1450,1
HA,95,1547,3
HA,96,250,1
HA,96,1428,1
HA,97,1533,2
HA,101,1511,1
HA,103,1489,1
HA,103,1570,1
HA,104,128,1
HA,106,235,1
HA,106,1458,2
HA,107,140,2
HA,107,1413,1
HA,111,1505,2
HA,112,655,2
HA,114,1374,2
HA,114,1529,1
HA,115,1498,2
HA,117,142,1
HA,117,153,2
HA,118,1587,2
HA,119,1241,2
HA,119,1471,2
HA,120,1442,2
HA,120,1455,1
HA,120,1502,3
HA,121,1546,2
HA,122,1438,1
HA,122,1529,1
HA,124,1513,2
HA,126,1498,1
HA,126,1502,1
HA,126,1547,1
HA,128,1344,1
HA,128,1423,2
HA,128,1451,1
HA,129,1505,1
HA,131,1445,1
HA,131,1470,1
HA,131,1499,1
HA,133,1507,2
HA,134,1504,1
HA,134,1523,2
HA,135,1394,2
HA,135,1532,4
HA,135,1559,1
HA,136,1320,1
HA,136,1504,1
HA,136,1516,2
HA,136,1548,1
HA,136,1584,2
HA,137,1489,1
HA,137,1511,2
HA,138,1386,1
HA,138,1506,2
HA,138,1552,2
HA,138,1586,2
HA,139,1354,1
HA,140,1489,2
HA,140,1502,2
HA,140,1504,2
HA,140,1529,2
HA,140,1535,2
HA,141,1407,1
HA,141,1485,2
HA,142,1428,2
HA,145,1447,1
HA,145,1453,2
HA,146,1468,2
HA,146,1508,4
HA,146,1528,1
HA,149,1646,1
HA,150,423,2
HA,150,1365,2
HA,150,1487,2
HA,151,1455,1
HA,151,1471,2
HA,151,1489,2
HA,151,1537,1
HA,152,1545,2
HA,153,1458,1
HA,153,1559,2
HA,155,1480,2
HA,156,1470,2
HA,156,1488,1
HA,156,1599,2
HA,157,183,2
HA,157,1473,1
HA,157,1524,2
HA,158,1477,1
HA,158,1547,2
HA,161,1472,1
HA,161,1508,2
HA,162,1512,2
HA,163,1361,1
HA,163,1500,1
HA,163,1545,4
HA,164,1228,1
HA,164,1501,2
HA,165,1481,1
HA,165,1500,2
HA,165,1547,2
HA,165,1548,2
HA,166,1347,1
HA,166,1428,2
HA,166,1438,2
HA,166,1500,1
HA,167,196,1
HA,167,1415,1
HA,167,1544,2
HA,167,1546,2
HA,168,1445,3
HA,168,1477,3
HA,168,1480,1
HA,168,1483,2
HA,168,1517,2
HA,168,1524,2
HA,168,1566,2
HA,171,1386,1
HA,172,1417,2
HA,174,1317,2
HA,174,1415,2
HA,174,1442,4
HA,174,1445,2
HA,174,1524,1
HA,175,1345,1
HA,175,1500,2
HA,176,1444,1
HA,176,1504,2
HA,177,1440,2
HA,178,1456,1
HA,179,1313,1
HA,179,1472,1
HA,179,1493,1
HA,180,1338,1
HA,180,1446,1
HA,180,1452,1
HA,180,1469,2
HA,181,216,1
HA,181,1332,1
HA,181,1341,3
HA,181,1435,2
HA,181,1497,2
HA,181,1536,2
HA,181,1584,2
HA,182,1387,1
HA,182,1417,2
HA,182,1484,1
HA,183,1491,1
HA,184,1515,1
HA,185,236,1
HA,185,1327,2
HA,185,1412,2
HA,185,1448,1
HA,186,1468,2
HA,186,1470,2
HA,188,1406,2
HA,189,1405,2
HA,190,704,1
HA,190,1321,1
HA,190,1390,1
HA,191,1439,2
HA,191,1475,2
HA,191,1517,1
HA,191,1579,2
HA,192,1362,2
HA,192,1482,1
HA,192,1500,2
HA,193,1282,1
HA,193,1432,3
HA,193,1441,2
HA,193,1453,2
HA,193,1454,2
HA,193,1503,2
HA,193,1512,2
HA,194,1384,1
HA,194,1414,2
HA,194,1445,1
HA,194,1481,2
HA,194,1548,2
HA,195,291,1
HA,195,1389,2
HA,195,1475,1
HA,195,1503,2
HA,196,1317,2
HA,196,1389,2
HA,201,1421,2
HA,201,1448,2
HA,201,1466,1
HA,201,1467,2
HA,202,1347,2
HA,203,1418,1
HA,203,1442,2
HA,203,1519,2
HA,204,228,2
HA,204,1385,1
HA,204,1471,2
HA,205,1260,1
HA,206,1447,2
HA,206,1484,2
HA,206,1504,2
HA,206,1570,2
HA,207,1429,2
HA,207,1518,1
HA,208,1461,1
HA,208,1510,2
HA,208,1528,1
HA,208,1559,2
HA,209,1504,1
HA,209,1529,1
HA,210,1365,2
HA,213,834,1
HA,213,1320,2
HA,213,1365,2
HA,213,1376,1
HA,214,1335,1
HA,214,1565,2
HA,215,1382,1
HA,215,1471,2
HA,215,1484,1
HA,215,1532,3
HA,216,1490,1
HA,216,1562,2
HA,218,1309,1
HA,218,1373,2
HA,218,1576,2
HA,219,1431,1
HA,222,1295,1
HA,223,1112,3
