Segment,Start,End,NGS_read_count
HA,38,191,1
HA,38,1324,1
HA,39,635,1
HA,39,1318,1
HA,40,1296,1
HA,50,210,1
HA,52,1264,515
HA,62,304,2
HA,67,1384,6
HA,80,161,1
HA,88,157,6
HA,90,1473,22
HA,90,1538,1
HA,91,211,1
HA,93,1419,1
HA,98,1372,1
HA,98,1568,5
HA,100,1019,1
HA,102,206,2
HA,106,1303,1
HA,110,1474,6
HA,111,1294,6
HA,115,1130,1
HA,115,1456,1
HA,119,872,1
HA,122,1349,1
HA,123,904,14
HA,124,1562,22
HA,128,1475,1
HA,129,1368,1
HA,137,803,2
HA,140,1468,369
HA,140,1469,2
HA,142,209,2
HA,143,682,1
HA,149,175,3
HA,149,1475,58
HA,153,178,2
HA,154,1393,18
HA,154,1479,1
HA,167,1707,1
HA,168,1463,1
HA,172,557,1
HA,174,1383,3
HA,176,1386,1
HA,177,282,2
HA,177,1559,1
HA,182,1443,2
HA,183,1379,12
HA,188,1318,2
HA,188,1375,1
HA,188,1408,22
HA,188,1460,6
HA,188,1651,1
HA,203,1015,1
HA,206,1538,1
HA,208,1340,6
HA,209,1473,13
HA,214,1650,1
HA,215,1385,1
HA,217,1390,15
HA,218,1383,2
HA,220,1303,4
HA,220,1381,2
HA,224,1475,2
HA,227,1150,8
HA,229,1164,2
HA,233,1601,1
HA,235,1315,1
HA,236,294,2
HA,237,1040,1
HA,238,1346,2
HA,240,1621,1
HA,242,1371,4
HA,242,1423,26
HA,242,1592,2
HA,243,1440,17
HA,244,1295,2
HA,249,783,1
HA,250,405,2
HA,250,1439,1
HA,250,1675,2
HA,251,1663,1
HA,252,1299,1
HA,252,1384,35
HA,254,1373,4
HA,254,1559,1
HA,255,1363,2
HA,257,582,2
HA,257,1305,15
HA,259,1358,2
HA,260,374,2
HA,262,1359,6
HA,262,1434,16
HA,263,1379,7
HA,265,1462,4
HA,266,800,2
HA,266,1538,4
HA,270,1435,7
HA,274,1327,1
HA,274,1377,7
HA,276,782,2
HA,279,768,17
HA,279,1538,2
HA,279,1580,1
HA,280,769,1
HA,282,1098,1
HA,283,418,1
HA,284,789,11
HA,289,750,1
HA,291,1391,9
HA,294,682,2
HA,296,776,1
HA,303,507,1
HA,304,1372,5
HA,308,936,2
HA,309,1286,17
HA,309,1301,24
HA,309,1473,3
HA,309,1475,103
HA,310,1368,55
HA,310,1384,4
HA,310,1476,1
HA,311,579,2
HA,316,825,2
HA,317,1091,1
HA,318,895,1
HA,319,1097,2
HA,319,1286,2
HA,319,1455,2
HA,319,1673,1
HA,327,1218,1
HA,327,1560,1
HA,328,1238,2
HA,332,1211,4
HA,332,1215,1
HA,332,1413,2
HA,332,1420,5
HA,349,1012,1
HA,349,1458,2
HA,355,1431,4
HA,360,1409,1
HA,362,747,8
HA,363,1239,3
HA,364,391,3
HA,364,1320,3
HA,373,905,1
HA,376,667,1
HA,392,917,2
HA,402,1315,2
HA,403,1645,1
HA,404,952,1
HA,405,1265,5
HA,406,642,2
HA,406,1003,2
HA,406,1625,1
HA,416,584,2
HA,416,969,1
HA,418,948,2
HA,420,1142,2
HA,422,1115,2
HA,424,571,1
HA,429,1545,1
HA,432,1105,2
HA,433,821,1
HA,444,1058,2
HA,445,1378,2
HA,446,1374,2
HA,456,957,1
HA,522,693,1
HA,526,1565,2
HA,527,1115,11
HA,528,1219,1
HA,537,578,2
HA,538,596,2
HA,575,931,2
HA,576,1457,2
HA,582,931,2
HA,584,1403,4
HA,593,1416,1
HA,593,1589,1
HA,601,1599,1
HA,605,1064,1
HA,605,1297,1
HA,605,1393,2
HA,607,1232,2
