Segment,Start,End,NGS_read_count
HA,66,103,2
HA,71,105,4
HA,97,790,1
HA,120,1645,1
HA,143,1684,2
HA,180,1565,4
HA,182,1581,14
HA,183,1583,1
HA,195,1629,3
HA,209,1636,1
HA,211,1565,1
HA,212,1272,1
HA,212,1629,26
HA,215,1578,1
HA,218,265,2
HA,228,1535,2
HA,232,1570,1
HA,233,1587,2
HA,236,1561,2
HA,236,1588,1
HA,236,1648,1
HA,237,1561,9
HA,237,1586,6
HA,238,1684,3
HA,242,1472,11
HA,269,1585,1
HA,278,1479,3
HA,278,1560,1
HA,278,1562,3
HA,278,1641,1
HA,279,1589,2
HA,280,1560,6
HA,280,1585,4
HA,284,1066,2
HA,362,1474,1
HA,362,1548,2
HA,363,1483,1
HA,364,1423,3
HA,366,1524,5
HA,367,1480,5
HA,367,1484,13
HA,367,1535,1
HA,367,1565,1
HA,367,1570,7
HA,368,1460,4
HA,368,1466,2
HA,368,1571,1
HA,373,1724,136
HA,375,1466,1
HA,376,1457,1
HA,377,1484,2
HA,378,1460,9
HA,382,1587,4
HA,411,1450,1
HA,412,1458,13
HA,413,1556,6
HA,422,1452,1
HA,500,1472,5
HA,511,1288,1
HA,511,1459,3
HA,709,1185,1
HA,718,1672,2
HA,721,1069,1
HA,748,817,1
HA,758,833,2
HA,834,1264,1
HA,846,982,1
HA,879,918,2
HA,894,998,1
HA,946,977,1
HA,953,976,1
HA,1212,1580,2
HA,1458,1480,11
HA,1560,1586,2
HA,1702,1804,1
M,26,902,1
M,28,217,1
M,36,74,4
M,64,909,51
M,64,911,223
M,65,912,1
M,71,926,5
M,83,696,1
M,85,196,2
M,86,979,1
M,89,992,1
M,90,915,2
M,94,141,13
M,95,153,19
M,95,990,1
M,95,991,5
M,96,226,2
M,96,990,84
M,96,1029,4
M,97,1027,16
M,101,138,185
M,101,913,2
M,102,134,2
M,102,1009,1
M,104,993,1
M,105,1019,6
M,107,1004,5
M,107,1007,3
M,107,1032,3
M,107,1064,2
M,107,1068,2
M,108,1008,859
M,108,1029,43
M,108,1034,10
M,109,991,7
M,109,1009,1
M,111,1052,4
M,112,1028,69
M,113,154,1
M,113,1018,1
M,113,1033,4
M,114,1032,2
M,116,1058,8
M,117,1037,1
M,117,1048,3
M,118,983,255
M,120,1039,12
M,121,1033,105
M,121,1053,27
M,122,155,2
M,124,209,7
M,124,1055,4
M,125,1081,1
M,126,1013,49
M,128,157,47
M,129,1060,2
M,129,1069,4
M,130,1012,13
M,130,1052,2
M,132,1050,1
M,132,1064,4
M,133,1053,1
M,133,1055,302
M,133,1058,31
M,134,700,1
M,134,999,2
M,134,1032,17
M,135,1055,63
M,135,1058,2
M,139,1028,1
M,140,1032,38
M,140,1068,4
M,141,181,13
M,141,1029,1
M,141,1030,73
M,141,1057,64
M,141,1059,54
M,143,1048,15
M,144,1028,4
M,144,1066,43
M,145,1055,10
M,147,1054,2
M,148,468,2
M,148,1033,4
M,148,1049,37
M,149,178,1
M,151,1047,6
M,151,1055,2
M,152,189,7
M,152,863,36
M,152,1042,12
M,152,1058,84
M,153,1033,1
M,153,1069,2
M,154,672,1
M,154,1066,13
M,159,1066,9
M,161,1068,199
M,162,1079,2
M,163,1030,1
M,166,1054,4
M,167,1052,2
M,169,1074,1
M,171,1072,29
M,172,1060,86
M,172,1061,3
M,173,200,4
M,173,1044,4
M,173,1082,2
M,175,929,1
M,176,1065,118
M,176,1080,2
M,179,1040,190
M,181,1102,1
M,182,921,16
M,184,1075,42
M,184,1080,1
M,186,1050,10
M,188,1068,13
M,189,1029,26
M,189,1086,1
M,190,1113,5
M,192,1009,3
M,192,1075,1
M,193,370,5
M,193,1063,500
M,194,1008,2
M,201,1026,3
M,201,1052,44
M,201,1086,2
M,201,1113,3
M,202,452,3
M,202,922,22
M,202,1060,65
M,203,1025,1
M,204,1099,1
M,205,1033,5
M,205,1058,2
M,207,1028,2
M,208,1065,25
M,214,864,5
M,216,1112,1
M,217,1085,6
M,217,1112,4
M,217,1113,1228
M,218,1033,2
M,218,1114,2
M,220,1047,1
M,223,1062,1
M,224,1066,1
M,225,1086,14
M,225,1113,1
M,226,1086,6
M,227,909,1
M,228,1030,2
M,228,1062,23
M,236,1029,122
M,239,748,1
M,240,861,2
M,249,934,1
M,250,1055,1
M,250,1056,34
M,251,1045,2
M,251,1115,1
M,255,1059,1
M,284,863,18
M,306,866,1
M,314,743,8
M,315,339,1
M,317,430,51
M,332,1053,1
M,333,1054,2
M,347,386,2
M,347,394,1
M,365,1024,2
M,374,560,3
M,377,647,2
M,381,723,2
M,396,863,2
M,403,989,1
M,404,740,1
M,406,428,21
M,409,568,3
M,425,448,1
M,426,688,1
M,437,933,1
M,449,719,1
M,460,1064,12
M,477,1016,1
M,477,1046,2
M,513,821,1
M,518,638,1
M,576,814,1
M,576,1126,2
M,587,626,1
M,598,718,13
M,601,654,1
M,602,691,54
M,605,744,1
M,631,655,2
M,634,727,1
M,655,925,1
M,662,1016,10
M,665,1019,1
M,674,901,2
M,674,1039,1
M,676,713,2
M,719,1010,1
M,954,994,1
M,961,1103,1
M,1084,1111,1
M,1085,1113,35
NA,55,1481,1
NA,96,1323,2
NA,107,1240,1
NA,118,1297,76
NA,119,1312,2
NA,129,1307,2
NA,132,1276,1
NA,132,1326,1
NA,148,1299,1
NA,161,1306,5
NA,163,422,28
NA,166,1256,2
NA,172,1253,2
NA,176,1243,2
NA,186,1301,1
NA,246,299,2
NA,324,1123,1
NA,344,1087,3
NA,347,1102,3
NA,348,1447,1
NA,349,1093,5
NA,367,394,1
NA,391,1265,1
NA,392,1090,1
NA,392,1207,1
NA,403,1087,1
NA,407,1027,58
NA,422,977,4
NA,440,1117,2
NA,468,1017,1
NA,469,1234,1
NA,478,1335,1
NA,488,1459,9
NA,572,814,3
NA,596,954,1
NA,603,652,3
NA,685,944,1
NA,693,743,1
NA,696,813,1
NA,709,743,1
NA,722,820,1
NA,739,926,1
NA,776,834,2
NA,970,1242,1
NA,1010,1099,9
NA,1294,1327,1
NP,34,110,1
NP,86,1642,2
NP,116,1557,2
NP,118,1626,8
NP,123,1613,5
NP,123,1636,2
NP,131,1407,7
NP,134,1582,3
NP,138,1582,1
NP,150,1402,2
NP,158,1535,1
NP,187,1420,1
NP,195,1515,1
NP,195,1600,1
NP,198,1547,23
NP,202,1402,1
NP,237,1474,1
NP,250,1514,1
NP,252,1536,3
NP,254,1459,1
NP,255,1625,1
NP,273,1250,1
NP,277,1510,3
NP,294,1638,53
NP,296,1396,2
NP,296,1404,1
NP,376,1575,1
NP,387,1282,1
NP,472,1275,1
NP,488,1243,2
NP,491,1267,1
NP,495,1303,2
NP,497,645,1
NP,508,1306,1
NP,516,802,2
NP,521,1317,2
NP,524,1270,1
NP,537,1177,3
NP,540,1295,2
NP,543,1192,4
NP,543,1206,1
NP,556,1563,1
NP,564,1406,4
NP,565,1270,3
NP,575,1673,1
NP,619,1142,1
NP,651,1174,1
NP,714,1258,6
NP,829,939,3
NP,850,878,3
NP,851,885,2
NP,894,1246,3
NP,968,1277,5
NP,1185,1710,3
NP,1186,1707,113
NP,1202,1246,2
NP,1273,1506,1
NP,1381,1461,1
NP,1556,1645,1
NS,167,862,11
NS,179,855,1
NS,287,769,1
NS,809,846,2
NS,851,897,1
