Segment,Start,End,NGS_read_count
HA,103,1447,61
HA,103,1489,13
HA,103,1538,14
HA,105,1473,13
HA,1154,1574,10
HA,123,1491,29
HA,126,1345,10
HA,126,1532,10
HA,127,1485,17
HA,158,1547,12
HA,164,1538,33
HA,171,1386,18
HA,174,1228,11
HA,174,1513,35
HA,175,1454,12
HA,185,1484,16
HA,189,1440,18
HA,189,1447,15
HA,192,1373,14
HA,192,1470,12
HA,192,1485,13
HA,206,1440,31
HA,206,236,15
HA,208,1420,4774
HA,208,1534,581
HA,212,1460,24
HA,215,1487,12
HA,218,1431,13
HA,227,1435,12
HA,235,1482,15
HA,235,1650,10
HA,243,1609,19
HA,264,1350,12
HA,281,1543,14
HA,303,1447,25
HA,316,1350,15
HA,32,1545,11
HA,37,1377,13
HA,47,107,282
HA,77,1547,26
HA,86,1460,15
HA,89,1547,20
HA,92,127,24
HA,92,1447,14
HA,93,1553,366
HA,94,1534,19
HA,98,1547,10
M,121,853,10
M,132,939,96
M,153,797,11
M,279,310,12
M,279,668,15
M,279,773,10
M,298,757,16
M,310,808,16
M,311,767,10
M,324,347,10
M,324,752,10
M,363,668,11
M,365,924,15
M,373,550,15
M,373,667,18
M,373,696,13
M,391,710,46
M,394,667,0
M,394,766,68
M,398,828,140
M,414,744,16
M,418,667,10
M,434,762,53
M,462,657,12
M,563,910,24
M,578,600,16
M,707,964,12
M,719,758,20
M,747,811,14
M,803,907,11
NA,1180,1215,11
NA,155,1094,22
NA,156,1108,10
NA,175,1066,15
NA,270,1108,14
NA,272,1199,15
NA,328,1232,11
NA,340,985,308
NA,507,885,17
NA,540,869,11
NA,541,1086,16
NA,591,999,693
NA,78,1231,11
NP,113,1289,10
NP,1192,1295,11
NP,1194,1306,10
NP,121,1381,0
NP,1241,1270,19
NP,1363,1399,10
NP,165,209,17
NP,223,1200,13
NP,223,1270,10
NP,223,1277,103
NP,230,1274,11
NP,234,1277,65
NP,234,1308,100
NP,260,1290,11
NP,274,378,25
NP,275,1211,13
NP,296,531,15
NP,308,1019,11
NP,331,1200,12
NP,475,1127,34
NS1,213,672,20
NS1,214,646,11
NS1,219,641,136
NS1,255,624,11
NS1,274,537,13
NS1,340,370,23
NS1,404,470,11
PA,104,1914,123
PA,105,1941,14
PA,110,1960,66
PA,110,1997,19
PA,112,2064,0
PA,114,1872,198
PA,116,217,21
PA,118,157,25
PA,118,1967,69
PA,120,147,65
PA,120,157,723
PA,120,164,18
PA,120,168,20
PA,120,172,1381
PA,120,1799,38
PA,120,180,62
PA,120,1844,21
PA,120,1879,93
PA,120,1945,997
PA,120,1948,484
PA,120,1960,1104
PA,120,1974,20
PA,120,1978,12
PA,120,1984,42
PA,120,1990,65
PA,120,2027,10
PA,120,2063,105
PA,120,235,10
PA,121,147,13
PA,121,189,40
PA,121,1953,17
PA,121,196,30
PA,121,1965,1340
PA,121,2012,21
PA,121,2063,10
PA,122,157,0
PA,122,172,68
PA,122,185,320
PA,122,1852,12
PA,122,1945,0
PA,122,195,28
PA,122,1953,31
PA,122,1964,27
PA,122,1974,200
PA,122,1986,10
PA,122,1990,978
PA,122,2027,14
PA,123,148,15
PA,123,1941,10
PA,123,2064,135
PA,123,2074,18
PA,123,236,1353
PA,124,147,70
PA,124,172,24
PA,124,180,209
PA,124,185,386
PA,124,1929,11
PA,124,1940,6904
PA,124,1945,40
PA,124,1948,225
PA,124,1960,63
PA,124,1967,35
PA,124,1974,1455
PA,124,1978,30
PA,124,1984,19
PA,124,1990,72
PA,124,2027,15
PA,124,2063,39
PA,125,1941,10
PA,125,1953,22
PA,125,1965,93
PA,125,1987,11
PA,125,2074,24
PA,126,1990,13
PA,127,1871,35
PA,128,1876,175
PA,129,1977,79
PA,129,1999,116
PA,129,2054,14
PA,130,1926,78
PA,132,164,18
PA,132,168,15
PA,132,185,11
PA,132,1951,536
PA,132,1960,13
PA,132,1974,51
PA,132,1978,30
PA,133,173,0
PA,133,1904,130
PA,133,1938,61
PA,133,1991,375
PA,133,249,23
PA,1345,2092,99
PA,134,1969,97
PA,135,168,10
PA,135,180,89
PA,135,1886,392
PA,135,1929,529
PA,135,1960,35
PA,135,1974,186
PA,135,1978,87
PA,135,1990,19
PA,135,2027,16
PA,135,246,63
PA,136,1947,10
PA,136,1948,121
PA,136,196,27
PA,137,1904,16
PA,137,1916,6821
PA,137,1946,10
PA,137,2068,12
PA,137,2074,490
PA,138,172,860
PA,138,180,268
PA,138,1832,20
PA,138,1850,257
PA,138,1868,10
PA,138,188,42
PA,138,1902,35
PA,138,1915,25
PA,138,1916,118
PA,138,1937,513
PA,138,1948,4383
PA,138,195,659
PA,138,1951,665
PA,138,1964,210
PA,138,1984,74
PA,138,1986,291
PA,138,1990,2368
PA,138,2002,28
PA,138,2011,18
PA,138,2012,21
PA,138,2017,64
PA,138,2042,19
PA,138,2063,71
PA,138,208,79
PA,138,2088,0
PA,138,246,46
PA,138,248,10
PA,138,343,61
PA,138,371,10
PA,139,1068,23
PA,139,169,1489
PA,139,1800,38
PA,139,186,22
PA,139,1887,379
PA,139,1923,45
PA,139,1946,249
PA,139,1961,344
PA,139,1979,111
PA,139,1989,86
PA,139,2028,164
PA,140,166,118
PA,140,1810,24
PA,140,1881,11
PA,142,172,15
PA,142,188,12
PA,142,1937,725
PA,142,1951,1699
PA,142,1960,55
PA,142,1974,64
PA,142,1978,4284
PA,142,1990,22
PA,142,2011,16
PA,142,2012,13
PA,142,2027,11
PA,142,2085,34
PA,142,248,38
PA,143,1966,18
PA,143,1985,508
