Segment,Start,End,NGS_read_count
HA,28,1269,1
HA,32,1338,1
HA,33,800,4
HA,34,984,1
HA,37,64,2
HA,38,1656,3
HA,39,968,2
HA,40,165,1
HA,40,1161,1
HA,40,1180,1
HA,40,1431,6
HA,44,480,1
HA,46,475,1
HA,47,1437,1
HA,49,1169,1
HA,50,813,3
HA,55,1003,1
HA,56,102,2
HA,56,1579,1
HA,63,1635,1
HA,66,1027,1
HA,71,105,2
HA,72,1023,1
HA,95,1099,1
HA,102,847,1
HA,104,701,8
HA,107,1490,2
HA,108,360,1
HA,109,845,1
HA,110,707,3
HA,110,1020,1
HA,110,1307,7
HA,112,1523,1
HA,112,1649,1
HA,114,178,1
HA,117,988,1
HA,118,1037,1
HA,120,397,1
HA,120,470,1
HA,124,401,1
HA,125,1318,1
HA,129,776,1
HA,130,888,3
HA,132,1054,1
HA,133,217,1
HA,133,848,2
HA,134,402,1
HA,136,1247,1
HA,137,1497,1
HA,140,801,1
HA,141,207,2
HA,143,203,1
HA,145,870,1
HA,146,1495,1
HA,148,629,1
HA,182,713,1
HA,185,247,1
HA,191,871,1
HA,191,1691,1
HA,194,1630,1
HA,195,1684,17
HA,207,1570,19
HA,209,1157,1
HA,209,1654,1
HA,210,701,1
HA,210,1576,12
HA,211,1037,1
HA,211,1673,7
HA,212,1071,2
HA,213,707,1
HA,213,1713,1
HA,214,990,1
HA,214,1483,1
HA,215,628,1
HA,215,1309,2
HA,215,1348,1
HA,216,1594,1
HA,217,1033,1
HA,217,1163,3
HA,218,1077,21
HA,219,1628,17
HA,220,466,1
HA,220,854,7
HA,221,387,1
HA,222,917,2
HA,222,1022,2
HA,223,1290,1
HA,225,1555,2
HA,226,1025,2
HA,226,1671,1
HA,227,473,1
HA,227,1589,1
HA,227,1688,1
HA,228,420,1
HA,230,1035,1
HA,231,869,1
HA,233,1159,2
HA,234,1070,1
HA,234,1518,5
HA,234,1645,3
HA,235,1519,1
HA,236,1563,1
HA,236,1711,12
HA,237,475,1
HA,237,1480,2
HA,237,1586,3
HA,237,1631,3
HA,238,1103,1
HA,238,1152,1
HA,238,1471,1
HA,238,1674,1
HA,239,866,1
HA,239,1034,1
HA,241,712,1
HA,242,485,1
HA,243,341,1
HA,243,1025,1
HA,243,1083,1
HA,244,1040,1
HA,252,1500,2
HA,253,418,1
HA,254,1526,1
HA,257,1505,84
HA,258,1695,2
HA,269,335,1
HA,269,1207,1
HA,271,1633,2
HA,275,852,1
HA,279,872,1
HA,279,1802,4
HA,280,729,1
HA,281,1157,1
HA,281,1445,4
HA,284,909,2
HA,284,1066,23
HA,284,1108,1
HA,284,1147,1
HA,284,1577,2
HA,294,1348,1
HA,341,1566,1
HA,342,1437,1
HA,346,1557,13
HA,349,476,1
HA,350,735,1
HA,353,472,1
HA,357,468,1
HA,359,820,1
HA,362,1495,2
HA,362,1527,48
HA,366,1811,2
HA,368,1592,1
HA,374,1591,13
HA,375,1628,14
HA,375,1649,1
HA,379,968,1
HA,383,714,1
HA,384,415,1
HA,384,1589,1
HA,384,1628,4
HA,388,1265,1
HA,390,685,1
HA,390,1268,1
HA,391,483,1
HA,392,1488,2
HA,392,1544,2
HA,392,1566,1
HA,392,1577,29
HA,393,870,1
HA,393,1472,3
HA,426,1488,1
HA,427,1284,1
HA,431,1172,2
HA,431,1247,1
HA,442,1650,1
HA,443,833,1
HA,443,885,1
HA,445,1587,1
HA,493,996,1
HA,494,1406,1
HA,495,1078,1
HA,497,685,1
HA,497,1154,2
HA,498,718,1
HA,499,1219,1
HA,499,1566,1
HA,508,936,1
HA,509,1038,3
HA,510,1154,1
HA,514,1427,1
HA,562,1285,3
HA,614,1014,1
HA,614,1587,1
HA,646,686,1
HA,648,1029,1
HA,651,725,1
HA,667,1052,1
HA,668,1265,1
HA,697,1691,1
HA,699,1082,1
HA,702,1093,1
HA,708,841,1
HA,708,889,2
HA,708,994,1
HA,714,772,2
HA,714,1409,2
HA,715,1556,1
HA,717,868,1
HA,717,994,1
HA,717,1633,2
HA,721,902,1
HA,723,1728,1
HA,729,1075,1
HA,731,858,1
HA,735,980,1
HA,736,1668,4
HA,752,775,1
HA,753,1172,1
HA,753,1199,1
HA,758,801,3
HA,758,1177,1
HA,768,1319,1
HA,781,1180,1
HA,785,1102,1
HA,787,1199,22
HA,801,991,1
HA,801,1396,1
HA,802,1837,1
HA,803,828,1
HA,803,1654,1
HA,803,1806,1
HA,805,1096,1
HA,817,840,1
HA,825,1013,2
HA,826,1206,2
HA,826,1548,1
HA,828,889,1
HA,833,1021,1
HA,839,1300,1
HA,841,1330,1
HA,842,1159,1
HA,842,1313,1
HA,846,1014,3
HA,849,1009,1
HA,850,1163,1
HA,871,947,1
HA,880,1558,1
HA,885,1164,1
HA,887,1690,1
HA,889,1149,1
HA,889,1426,1
HA,893,986,1
HA,896,1564,1
HA,896,1646,1
HA,897,1320,2
HA,899,933,1
HA,899,1205,16
HA,899,1348,1
HA,911,1018,1
HA,913,964,1
HA,913,1286,1
HA,926,1269,1
HA,932,981,1
HA,936,1287,1
HA,940,1179,1
HA,943,1095,1
HA,944,1016,1
HA,947,979,2
HA,953,976,2
HA,957,1170,3
HA,957,1638,1
HA,958,1037,2
HA,962,1000,1
HA,975,1669,1
HA,977,1429,1
HA,992,1328,1
HA,992,1574,1
HA,993,1348,1
HA,1002,1676,1
HA,1007,1429,1
HA,1008,1650,1
HA,1016,1425,1
HA,1019,1076,1
HA,1031,1251,1
HA,1032,1519,10
HA,1044,1666,1
HA,1049,1330,1
HA,1056,1311,1
HA,1061,1559,1
HA,1063,1640,1
HA,1073,1409,1
HA,1073,1578,1
HA,1074,1522,5
HA,1075,1159,2
HA,1075,1171,1
HA,1080,1537,1
HA,1091,1159,1
HA,1093,1544,1
HA,1094,1503,1
HA,1094,1640,1
HA,1102,1517,1
HA,1107,1483,1
HA,1110,1330,1
HA,1113,1465,1
HA,1114,1319,1
HA,1115,1151,2
HA,1123,1529,1
HA,1126,1852,1
HA,1132,1318,1
HA,1135,1579,1
HA,1135,1637,1
HA,1136,1578,8
HA,1140,1422,2
HA,1175,1349,1
HA,1179,1466,4
HA,1191,1287,1
HA,1193,1496,1
HA,1210,1317,2
HA,1211,1425,1
HA,1212,1465,1
HA,1213,1289,1
HA,1213,1425,1
HA,1213,1571,1
HA,1214,1632,1
HA,1230,1577,1
HA,1244,1414,1
HA,1288,1316,1
HA,1289,1356,2
HA,1299,1339,1
HA,1327,1524,1
HA,1328,1359,1
HA,1335,1635,1
HA,1336,1545,1
HA,1341,1429,4
HA,1344,1395,1
HA,1345,1578,2
HA,1348,1594,1
HA,1354,1420,1
