Segment	Start	End	NGS_read_count
PB2	677	1732	1
PB2	547	1800	1
PB2	652	1791	1
PB2	337	2053	1
PB2	296	2059	1
PB2	351	2062	1
PB2	385	1865	1
PB2	616	2099	1
PB2	403	1860	1
PB2	427	1939	1
PB2	476	2039	1
PB2	529	1754	1
PB2	540	2030	1
PB2	572	1807	1
PB2	301	1858	1
PB2	540	1774	1
PB2	413	2059	1
PB2	609	1903	1
PB2	523	1742	1
PB2	437	1892	1
PB2	596	2077	1
PB2	569	1774	1
PB2	586	1967	1
PB2	521	1908	1
PB2	601	1803	1
PB2	612	1977	1
PB2	417	2002	1
PB2	618	1864	1
PB2	579	1717	1
PB2	443	1911	1
PB2	621	1734	1
PB2	598	2054	1
PB2	509	1801	1
PB2	339	1860	1
PB2	335	1895	1
PB2	320	1848	1
PB2	296	2104	1
PB2	546	1719	1
PB2	414	1754	1
PB2	623	1759	1
PB2	311	1834	1
PB2	455	1722	1
PB2	486	2061	1
PB2	535	1927	1
PB2	524	2060	1
PB2	480	2098	1
PB2	401	2074	1
PB2	532	1924	1
PB2	523	1919	1
PB2	600	1730	1
PB2	659	2045	1
PB2	585	1870	1
PB2	674	1741	1
PB2	512	1839	1
PB2	570	1918	1
PB2	677	1947	1
PB2	625	2070	1
PB2	435	1935	1
PB2	389	1878	1
PB2	434	1751	1
PB2	454	1916	1
PB2	325	2026	1
PB2	583	1757	1
PB2	455	1828	1
PB2	641	2022	1
PB2	623	1836	1
PB2	452	1742	1
PB2	468	1823	1
PB2	557	2014	1
PB2	407	1863	1
PB2	569	1911	1
PB2	677	2016	1
PB2	415	2002	1
PB2	436	1785	1
PB2	468	2012	1
PB2	459	1903	1
PB2	681	1836	1
PB2	318	2108	1
PB2	349	1752	1
PB2	351	1850	1
PB2	466	2032	1
PB2	610	1776	1
PB2	515	2069	1
PB2	534	1987	1
PB2	477	1760	1
PB2	603	1871	1
PB2	441	1758	1
PB2	346	1797	1
PB2	530	1779	1
PB2	631	1921	1
PB2	674	1784	1
PB2	496	1903	1
PB2	605	1730	1
