Segment,Start,End,NGS_read_count
HA,25,1645,1
HA,26,1507,2
HA,26,1581,2
HA,26,1609,1
HA,27,1429,1
HA,27,1452,1
HA,27,1502,1
HA,27,1517,1
HA,27,1547,2
HA,30,99,1
HA,30,127,1
HA,30,1487,2
HA,30,1581,2
HA,30,1636,1
HA,31,1363,1
HA,32,127,1
HA,32,1455,1
HA,32,1461,1
HA,32,1468,1
HA,32,1545,3
HA,32,1562,2
HA,32,1605,1
HA,32,1647,1
HA,33,464,1
HA,33,1498,1
HA,33,1511,1
HA,33,1568,1
HA,34,1439,5
HA,34,1495,2
HA,34,1536,1
HA,34,1544,1
HA,34,1547,2
HA,34,1548,1
HA,34,1550,3
HA,34,1558,2
HA,34,1561,1
HA,34,1597,1
HA,34,1600,1
HA,34,1626,1
HA,35,1192,1
HA,35,1468,1
HA,35,1472,8
HA,35,1514,4
HA,35,1526,1
HA,35,1585,1
HA,36,1496,1
HA,36,1558,5
HA,36,1646,1
HA,36,1663,1
HA,37,1241,1
HA,37,1377,1
HA,37,1503,36
HA,37,1532,1
HA,37,1568,1
HA,37,1592,2
HA,38,1433,1
HA,39,1097,4
HA,39,1550,1
HA,39,1552,1
HA,40,1516,1
HA,41,1487,4
HA,41,1507,2
HA,41,1548,1
HA,41,1581,2
HA,41,1609,1
HA,41,1613,1
HA,42,1448,3
HA,42,1499,2
HA,42,1554,2
HA,42,1599,1
HA,43,695,1
HA,43,1562,2
HA,44,1212,1
HA,44,1444,1
HA,44,1537,2
HA,44,1629,1
HA,45,1508,1
HA,46,75,1
HA,46,108,1
HA,46,1460,1
HA,46,1462,1
HA,46,1476,1
HA,46,1480,1
HA,46,1481,4
HA,46,1500,2
HA,46,1504,3
HA,46,1508,1
HA,46,1515,6
HA,46,1524,1
HA,46,1533,2
HA,46,1535,2
HA,46,1557,1
HA,46,1558,2
HA,46,1565,18
HA,46,1583,1
HA,46,1584,2
HA,46,1600,2
HA,46,1652,1
HA,46,1655,1
HA,47,72,1
HA,47,93,2
HA,47,97,7
HA,47,99,4
HA,47,107,1
HA,47,115,2
HA,47,236,1
HA,47,1343,2
HA,47,1418,4
HA,47,1428,10
HA,47,1440,3
HA,47,1447,17
HA,47,1465,1
HA,47,1489,1
HA,47,1498,1
HA,47,1502,7
HA,47,1503,2
HA,47,1507,1
HA,47,1518,13
HA,47,1532,3
HA,47,1538,15
HA,47,1547,3
HA,47,1551,1
HA,47,1560,3
HA,47,1570,9
HA,47,1574,10
HA,47,1575,1
HA,47,1581,57
HA,47,1602,2
HA,47,1609,3
HA,47,1613,3
HA,47,1635,2
HA,47,1681,1
HA,48,89,7
HA,48,105,6
HA,48,1462,1
HA,48,1485,21
HA,48,1488,5
HA,48,1604,1
HA,49,1303,2
HA,49,1473,1
HA,49,1497,1
HA,49,1546,1
HA,49,1558,2
HA,49,1573,1
HA,49,1601,2
HA,49,1633,1
HA,50,1431,1
HA,51,1369,2
HA,51,1540,73
HA,51,1601,1
HA,52,1446,1
HA,52,1501,1
HA,52,1510,1
HA,52,1517,2
HA,52,1527,3
HA,52,1531,3
HA,52,1536,1
HA,52,1537,5
HA,52,1546,3
HA,52,1548,1
HA,52,1565,9
HA,52,1580,3
HA,52,1608,1
HA,52,1655,2
HA,53,1559,1
HA,53,1584,2
HA,53,1601,1
HA,53,1611,1
HA,53,1665,1
HA,54,1444,3
HA,54,1649,2
HA,55,1439,2
HA,55,1517,3
HA,55,1534,1
HA,55,1544,1
HA,55,1545,1
HA,55,1608,1
HA,55,1612,1
HA,56,1420,1
HA,56,1504,1
HA,56,1596,2
HA,57,1522,3
HA,57,1615,1
