Segment	Start	End	NGS_read_count
PB2	393	2193	1
PB2	398	1855	1
PB2	431	1892	1
PB2	57	2065	1
PB2	219	2205	1
PB2	191	2237	1
PB2	193	2056	1
PB2	312	2190	1
PB2	366	2062	1
PB2	327	2171	1
PB2	303	2075	1
PB2	122	1842	1
PB2	428	1988	1
PB2	99	2049	1
PB2	148	1995	1
PB2	235	2012	1
PB2	122	2121	1
PB2	276	2060	1
PB2	166	2093	1
PB2	206	1909	1
PB2	404	1979	1
PB2	258	2004	1
PB2	219	2049	1
PB2	116	1943	1
PB2	372	2146	1
PB2	136	1893	1
PB2	160	2088	1
PB2	323	1889	1
PB2	423	2064	1
PB2	182	2221	1
PB2	313	2177	1
PB2	204	2205	1
PB2	272	2185	1
PB2	129	2077	1
PB2	155	2145	1
PB2	453	2200	1
PB2	419	2138	1
PB2	223	2088	1
PB2	127	1972	1
PB2	176	1951	1
PB2	133	2003	1
PB2	269	1879	1
PB2	272	2084	1
PB2	403	1885	1
PB2	128	1925	1
PB2	199	1899	1
PB2	401	1902	1
PB2	127	2186	1
PB2	168	2148	1
PB2	67	2221	1
PB2	379	2176	1
PB2	167	1878	1
PB2	317	1964	1
PB2	246	2239	1
PB2	279	2094	1
PB2	285	2199	1
PB2	374	1903	1
PB2	346	1894	1
PB2	302	2080	1
PB2	353	1963	1
PB2	243	1844	1
PB2	442	2143	1
PB2	98	2086	1
PB2	430	1850	1
PB2	304	2191	1
PB2	257	1900	1
PB2	301	2125	1
PB2	272	2088	1
PB2	429	1916	1
PB2	311	2023	1
PB2	112	2162	1
PB2	391	2137	1
PB2	439	2131	1
PB2	72	1922	1
PB2	357	2153	1
PB2	322	2179	1
PB2	132	2231	1
PB2	68	1842	1
PB2	303	2001	1
PB2	423	1903	1
PB2	365	1946	1
PB2	276	1949	1
PB2	79	2052	1
PB2	288	1930	1
PB2	239	1863	1
PB2	204	2089	1
PB2	87	2155	1
PB2	55	2233	1
PB2	115	1927	1
PB2	205	2075	1
PB2	220	2048	1
PB2	325	2021	1
PB2	407	1988	1
PB2	268	1962	1
PB2	262	2228	1
PB2	287	2095	1
PB2	213	1909	1
PB2	91	2149	1
PB2	151	2218	1
PB2	292	2149	1
PB2	293	2143	1
PB2	209	2088	1
PB2	399	2057	1
PB2	281	2224	1
PB2	408	2036	1
PB2	74	2102	1
PB2	208	2192	1
PB2	416	2142	1
PB2	276	1862	1
PB2	102	1938	1
PB2	275	1844	1
PB2	331	2007	1
PB2	162	2014	1
PB2	274	1986	1
PB2	333	1909	1
PB2	195	2013	1
PB2	338	2137	1
PB2	340	2166	1
PB2	103	2126	1
PB2	136	1888	1
PB2	67	1960	1
PB2	230	1962	1
PB2	225	2097	1
PB2	371	2109	1
PB2	128	1977	1
PB2	377	1954	1
PB2	122	2217	1
PB2	232	1994	1
PB2	327	2122	1
PB2	127	1981	1
PB2	157	1917	1
PB2	392	2023	1
PB2	329	1936	1
PB2	316	2112	1
PB2	321	2233	1
PB2	177	2031	1
PB2	438	1983	1
PB2	381	1964	1
PB2	440	1909	1
PB2	87	1910	1
PB2	347	1882	1
PB2	180	2002	1
PB2	264	2012	1
PB2	127	2092	1
PB2	161	2019	1
PB2	280	1981	1
PB2	124	1958	1
PB2	302	2175	1
PB2	423	2019	1
PB2	132	2222	1
PB2	409	2216	1
PB2	192	2031	1
PB2	321	2134	1
PB2	255	1863	1
PB2	137	2188	1
PB2	240	1916	1
PB2	399	1871	1
PB2	415	2012	1
PB2	193	1839	1
PB2	96	2030	1
PB2	340	2008	1
PB2	106	2099	1
PB2	170	2128	1
PB2	151	2021	1
PB2	172	2191	1
PB2	411	2018	1
PB2	316	2013	1
PB2	61	2170	1
PB2	166	2221	1
PB2	274	2069	1
PB2	152	2040	1
PB2	256	2164	1
PB2	101	1894	1
PB2	64	2051	1
PB2	98	1961	1
PB2	97	1930	1
PB2	203	1964	1
PB2	225	2098	1
PB2	160	1908	1
PB2	337	1874	1
PB2	166	2045	1
PB2	314	2167	1
PB2	320	2170	1
PB2	146	1938	1
PB2	350	2239	1
PB2	310	2069	1
PB2	368	2206	1
PB2	120	2138	1
PB2	391	2181	1
PB2	437	2119	1
PB2	421	1986	1
PB2	250	1993	1
PB2	96	2229	1
PB2	452	2211	1
PB2	359	2041	1
PB2	263	1994	1
PB2	308	1872	1
PB2	82	1883	1
PB2	416	1939	1
PB2	404	2071	1
PB2	437	2166	1
PB2	370	2109	1
PB2	333	2207	1
PB2	320	2000	1
PB2	347	2030	1
PB2	178	2042	1
PB2	63	1855	1
PB2	276	2103	1
PB2	429	1937	1
PB2	261	2184	1
PB2	287	1984	1
PB2	140	2074	1
PB2	435	2147	1
PB2	349	2205	1
PB2	55	1948	1
PB2	64	1845	1
PB2	224	2012	1
PB2	230	2049	1
PB2	227	2059	1
PB2	207	1941	1
PB2	145	2098	1
PB2	421	1974	1
PB2	283	2167	1
PB2	239	2104	1
PB2	310	2192	1
PB2	419	2127	1
PB2	362	2155	1
