Segment,Start,End,NGS_read_count
HA,25,1637,1
HA,26,61,1
HA,88,1750,1
HA,92,1484,1
HA,94,1544,1
HA,97,1548,3
HA,103,1570,1
HA,106,1487,1
HA,140,1561,1
HA,165,1475,1
HA,168,1544,1
HA,174,1535,1
HA,193,1519,1
HA,197,1651,1
HA,210,1343,1
HA,216,1484,1
HA,218,1430,2
HA,219,1514,1
HA,220,1382,1
HA,224,1489,1
HA,268,1548,1
HA,286,1281,1
HA,305,1432,1
HA,323,1370,1
HA,355,1211,1
HA,368,1327,1
HA,369,1345,1
HA,369,1580,1
HA,375,1399,1
HA,378,1165,1
HA,405,1348,1
HA,464,1471,1
HA,574,1453,1
HA,697,907,1
HA,1240,1503,1
HA,1546,1581,3
M,25,895,1
M,52,741,30
M,146,741,8
M,285,936,1
M,326,667,1
M,512,667,1
NA,25,1278,1
NA,62,1384,1
NA,105,1030,1
NA,123,1097,1
NA,144,190,2
NA,149,1066,1
NA,152,1069,1
NA,155,1237,1
NA,158,355,1
NA,175,1091,3
NA,186,1083,1
NA,198,292,1
NA,206,1176,1
NA,217,993,2
NA,223,1098,2
NA,226,1097,1
NA,230,1176,1
NA,230,1181,1
NA,259,1092,1
NA,261,845,1
NA,310,825,1
NA,318,1174,1
NA,340,930,1
NA,344,793,1
NA,345,1213,1
NA,348,691,1
NA,364,932,1
NA,365,877,1
NA,373,409,1
NA,375,972,1
NA,380,979,1
NA,382,926,1
NA,382,1030,1
NA,392,1011,1
NA,417,987,1
NA,438,945,6
NA,452,1244,4
NA,474,899,1
NA,478,895,1
NA,483,981,1
NA,484,793,1
NA,535,1001,1
NA,541,1086,3
NA,558,1189,2
NA,569,791,3
NA,686,1394,1
NA,707,1170,2
NP,29,1541,2
NP,38,1541,1
NP,41,1540,1
NP,42,1544,1
NP,47,1541,2
NP,78,1543,1
NP,79,1540,1
NP,80,1542,1
NP,83,1541,1
NP,89,1541,1
NP,90,1541,1
NP,92,1542,2
NP,93,1541,1
NP,113,1541,1
NP,137,1544,2
NP,138,1544,1
NP,139,1355,1
NP,139,1543,1
NP,139,1544,1
NP,140,1541,1
NP,151,1542,1
NP,152,1342,1
NP,153,1342,1
NP,158,1319,1
NP,164,1322,2
NP,164,1542,1
NP,218,1277,1
NP,223,1288,1
NP,234,1277,1
NP,237,1245,1
NP,240,1322,1
NP,241,1541,1
NP,258,1199,1
NP,272,1543,1
NP,272,1544,1
NP,274,1277,1
NP,276,1544,1
NP,279,1181,1
NP,296,531,1
NP,326,670,1
NP,328,1335,1
NP,332,1159,1
NP,338,1541,1
NP,387,1547,1
NP,419,1108,2
NP,433,1020,1
NP,452,1048,1
NP,475,933,1
NP,548,1157,1
NP,652,1048,1
NP,817,1183,1
NP,831,1417,1
NP,924,1546,1
NP,1014,1047,1
NP,1076,1112,1
NS,31,589,2
NS,57,530,25
NS,59,867,1
NS,85,868,1
NS,105,866,1
NS,109,530,2
NS,110,673,1
NS,146,696,3
NS,147,704,1
NS,186,711,1
NS,198,606,5
NS,198,676,1
NS,200,646,1
NS,203,866,1
NS,206,599,31
NS,212,696,1
NS,215,644,4
NS,217,629,1
NS,223,584,1
NS,231,591,1
NS,236,616,1
NS,237,692,1
NS,238,586,1
NS,241,730,1
NS,257,582,1
NS,259,868,1
NS,263,799,1
NS,271,695,1
NS,297,774,1
NS,345,602,1
NS,356,516,5
NS,375,583,1
NS,391,619,1
NS,754,776,1
PA,25,1542,1
PA,25,1836,1
PA,26,1223,1
PA,26,1800,2
PA,26,2189,1
PA,82,1953,1
PA,85,1632,1
PA,120,143,1
PA,120,1852,1
PA,120,1974,1
PA,121,2074,1
PA,122,1960,1
PA,123,148,1
PA,123,1942,2
PA,123,2074,1
PA,124,172,1
PA,138,172,1
PA,138,1948,1
PA,138,1990,1
PA,139,1478,1
PA,139,1946,1
PA,139,1966,1
PA,139,1979,1
PA,140,2087,2
PA,142,1967,1
PA,144,1923,2
PA,144,1970,2
PA,146,185,1
PA,146,1726,1
PA,146,1974,5
PA,146,2011,1
PA,148,1840,1
PA,150,1860,3
PA,153,1833,1
PA,153,2041,1
PA,156,188,1
PA,156,1990,1
PA,157,1979,1
PA,160,1950,7
PA,160,1953,2
PA,162,1906,1
PA,164,1946,1
PA,165,1976,3
PA,166,1830,1
PA,167,319,1
PA,167,1990,2
PA,167,2011,1
PA,167,2042,1
PA,169,1952,7
PA,170,1969,1
PA,171,1886,1
PA,171,1901,1
PA,171,1945,1
PA,171,1964,1
PA,172,1458,4
PA,174,1847,2
PA,174,2000,4
PA,177,1944,1
PA,177,1989,1
PA,178,2038,1
PA,179,1986,1
PA,179,2002,1
PA,179,2042,1
PA,180,1900,3
PA,180,1906,1
PA,181,1631,5
PA,181,1691,1
PA,182,1924,1
PA,183,1856,1
PA,188,1851,1
PA,192,1957,2
PA,194,1873,10
PA,194,2042,1
PA,195,1454,1
PA,195,1808,1
PA,197,221,16
PA,197,1954,3
PA,197,1995,1
PA,198,1996,1
PA,199,1917,1
PA,200,1983,1
PA,201,1797,3
PA,204,1819,5
PA,207,1948,1
PA,207,1990,1
PA,207,2063,1
PA,208,1952,1
PA,209,1996,2
PA,211,1737,1
PA,212,1575,1
PA,221,1890,1
PA,222,1879,1
PA,223,1960,1
PA,225,1977,4
PA,228,1808,1
PA,230,1724,1
PA,230,2215,2
PA,234,1937,1
PA,238,1934,2
PA,239,1970,4
PA,239,1996,1
PA,239,1997,1
PA,242,1858,1
PA,244,1707,1
PA,244,1945,1
PA,245,1850,1
PA,245,1990,1
PA,247,1724,1
PA,247,1868,1
PA,247,2017,1
PA,249,1875,1
PA,249,1959,5
PA,250,1666,1
PA,250,1868,1
PA,250,1921,1
PA,251,1857,2
PA,254,1870,5
PA,256,1724,3
PA,257,1754,1
PA,257,1880,1
PA,257,2074,1
PA,258,1844,1
PA,258,1879,1
PA,258,1967,1
PA,259,1727,1
PA,262,1811,2
PA,262,1825,2
PA,263,1864,3
PA,267,1854,1
PA,268,1879,1
PA,268,1901,1
PA,268,1902,1
PA,268,1915,1
PA,269,320,3
PA,269,1930,1
PA,272,623,1
PA,272,1801,2
PA,272,1893,2
PA,275,1867,1
PA,276,1824,1
PA,277,1844,1
PA,277,1869,1
PA,277,1886,1
PA,280,1834,1
PA,280,1850,1
PA,283,1853,1
PA,283,2044,2
PA,285,1487,1
PA,285,1780,1
PA,285,1884,2
PA,287,1876,1
PA,289,1813,1
PA,289,1832,1
PA,291,1808,1
PA,293,1884,1
PA,295,372,1
PA,297,343,1
PA,297,1844,1
PA,299,1834,1
