Segment,Start,End,NGS_read_count
PB2,191,2008,60
PB2,192,2009,41657
PB2,196,2013,64
PB2,199,2117,948
PB2,248,2000,24
PB2,294,1981,4823
PB2,333,1910,928
PB2,351,1773,110
PB2,360,1828,3350
PB2,440,1772,18
PB2,496,1752,256
PB2,497,1829,15
PB2,514,1881,82
PB2,630,1735,715
PB2,631,1532,65
PB2,670,1955,42
PB2,1782,1829,10
PB2,1810,1899,30
PB2,1996,2069,7
PB2,620,1924,28
PB2,673,2105,26
PB2,742,2077,15
PB1,83,113,16
PB1,128,1004,34
PB1,128,2080,1462
PB1,211,1980,46
PB1,254,1796,151
PB1,296,534,3
PB1,395,1806,120
PB1,476,1870,43
PB1,509,1624,31
PB1,560,740,15
PB1,566,1689,28
PB1,574,1832,151
PB1,577,1875,1998
PB1,630,1645,89
PB1,645,1591,65
PB1,711,1579,310
PB1,781,1543,46
PB1,807,1457,90
PB1,921,1181,32
PB1,954,1110,41
PB1,994,1151,25
PB1,997,1374,30
PB1,1080,1394,0
PB1,1816,1926,97
PB1,159,2011,35
PB1,555,1857,25
PA,83,2026,942
PA,128,1958,45
PA,160,1836,17
PA,312,1871,11592
PA,313,1872,53
PA,381,1883,4953
PA,386,1710,2880
PA,413,1604,847
PA,455,1439,44
PA,474,1674,828
PA,500,1467,60
PA,501,1468,10699
PA,502,1469,14
PA,554,1450,641
PA,555,1709,305
PA,595,1408,522
PA,655,1460,45
PA,762,1633,39
PA,1283,1331,17
PA,1873,1959,148
PA,1945,1988,57
PA,351,1998,22
PA,382,1884,16
NS,332,506,68
NS,609,622,19
NS,317,544,14
NS,352,416,14
NS,355,429,31
NS,409,531,20
NP,143,1286,197
NP,553,628,39
NP,582,819,76
NP,627,639,20
NP,1063,1084,26
NP,436,1334,39
NP,438,1327,27
NP,479,1395,30
NA,193,959,289
NA,344,955,659
NA,346,951,686
NA,731,769,29
NA,870,1327,5
NA,271,997,51
M,397,650,16
M,462,705,146
M,501,578,244
M,511,653,31
M,749,775,42
M,353,428,22
M,478,553,116
M,894,929,20
HA,368,1305,116
HA,696,1117,89
HA,699,1026,0
HA,788,863,75
HA,1041,1205,20
HA,1203,1225,21
HA,1284,1354,16
PB2,115,2126,26
PB2,301,1901,14
PB2,406,2014,37
PB2,244,1861,22
PB2,424,1994,42
PB2,620,1924,41
PB2,673,2105,41
PB2,742,2077,27
PB1,134,1987,264
PB1,524,1769,386
PB1,794,822,30
PB1,939,952,55
PB1,159,2011,33
PB1,555,1857,15
PA,162,2026,335
PA,254,1874,479
PA,278,1764,16
PA,364,1831,538
PA,491,1378,595
PA,518,1710,18557
PA,519,1711,34
PA,557,1540,3297
PA,562,1632,15
PA,647,1760,4003
PA,770,1576,8930
PA,432,1614,27
PA,517,1709,17
PA,1977,1998,18
NS,423,446,341
NS,355,429,19
NP,242,1329,45
NP,311,1135,23
NP,436,1334,21
NP,438,1327,20
NP,476,1385,16
NA,283,848,62
NA,582,745,36
NA,582,790,960
NA,271,997,41
M,353,428,14
M,478,553,60
HA,293,1277,773
HA,736,1033,48
PB2,397,1766,15
PB2,424,1826,242
PB2,497,1887,32
PB2,559,1622,87
PB2,673,2105,150
PB2,228,2057,18
PB2,580,2109,16
PB2,620,1924,32
PB2,676,1927,14
PB2,742,2077,39
PB1,303,1934,151
PB1,314,2040,17
PB1,319,1938,372
PB1,327,1880,131
PB1,343,2097,405
PB1,347,1892,5011
PB1,361,1915,15
PB1,429,1728,335
PB1,555,1857,14
PB1,1982,2025,19
PB1,75,2128,18
PB1,134,2164,65
PB1,135,2163,317
PB1,146,2108,112
PB1,159,2011,76
PB1,166,2046,73
PB1,189,1994,29
PB1,193,2127,40
PB1,215,2102,16
PB1,256,2185,225
PB1,305,1903,25
PB1,315,2017,76
PB1,320,1895,32
PB1,350,1927,15
PB1,356,1840,24
PB1,366,1854,16
PB1,2083,2109,73
PB1,2228,2245,14
PA,205,1943,62
PA,244,1944,2648
PA,257,1902,310
PA,270,1834,28
PA,276,1882,702
PA,284,1919,1719
PA,300,1841,1094
PA,366,1698,316
PA,389,1751,37
PA,398,1697,18
PA,409,1714,41
PA,449,1730,31
PA,121,2074,103
PA,137,1951,68
PA,156,2025,133
PA,161,2001,25
PA,181,1978,14
PA,183,1915,16
PA,200,1930,29
PA,208,1978,40
PA,224,1918,39
PA,230,1933,15
PA,243,2009,45
NS,355,429,19
NP,479,1395,29
NP,436,1334,36
NP,438,1327,39
NP,476,1385,33
NP,487,1401,15
NA,271,997,14
M,353,428,49
M,478,553,74
M,511,653,28
M,601,704,22
M,619,664,24
M,622,763,16
M,639,703,19
HA,208,1445,85
HA,231,1445,42
