Segment,Start,End,NGS_read_count
PB2,138,167,19253
PB2,117,164,1407
PB2,269,2202,1978
PB2,164,206,1875
PB2,206,2152,810
PB2,107,164,2348
PB2,2132,2204,3670
PB2,176,2122,862
PB2,135,252,161
PB2,371,2195,183
PB2,217,2204,2443
PB2,240,2138,798
PB2,264,2199,131
PB2,159,2139,4413
PB2,117,2139,5268
PB2,184,210,3334
PB2,151,2085,290
PB2,148,2137,2960
PB2,2125,2172,73
PB2,142,2140,2113
PB2,318,2123,693
PB2,115,2012,852
PB2,216,2107,1769
PB2,238,2153,1869
PB2,198,2100,790
PB2,121,160,586
PB2,128,2123,748
PB2,152,1975,126
PB2,191,2195,3229
PB2,163,2139,1975
PB2,191,2152,3799
PB2,199,2152,880
PB2,152,2153,456
PB2,199,2139,2037
PB2,186,2096,629
PB2,118,218,1554
PB2,265,2139,1310
PB2,208,2139,1605
PB2,217,2196,1674
PB2,153,2026,20
PB2,129,161,2493
PB2,156,2139,548
PB2,109,2152,887
PB2,163,2107,81
PB2,191,2159,1766
PB2,116,2077,480
PB2,2132,2160,924
PB2,217,2153,1163
PB2,138,2135,1054
PB2,177,2042,340
PB2,216,2139,1408
PB2,253,2182,274
PB2,152,376,220
PB2,217,2139,309
PB2,249,2215,180
PB2,448,2159,213
PB2,118,150,1021
PB2,191,217,831
PB2,90,192,208
PB2,128,164,1328
PB2,157,2066,258
PB2,121,2139,411
PB2,215,2140,770
PB2,91,2004,372
PB2,116,2140,987
PB2,152,2065,445
PB2,158,2140,870
PB2,207,2140,259
PB2,300,2004,463
PB2,82,144,1221
PB2,90,131,329
PB2,118,2153,368
PB2,140,2140,286
PB2,218,2005,114
PB2,226,2061,223
PB2,246,2172,147
PB2,94,122,143
PB2,163,2152,1694
PB2,179,2005,130
PB2,210,2133,133
PB2,258,2195,723
PB2,128,2152,898
PB2,1968,2203,463
PB2,121,2065,186
PB2,123,2154,494
PB2,135,2139,548
PB2,166,2135,579
PB2,175,200,219
PB2,191,2048,178
PB2,210,2086,103
PB2,215,2199,510
PB2,107,1937,199
PB2,108,2140,303
PB2,109,152,126
PB2,130,2026,255
PB2,130,2139,422
PB2,130,2152,218
PB2,152,2152,945
PB2,154,2056,325
PB2,163,1969,253
PB2,199,2195,335
PB2,2132,2196,376
PB2,328,1975,117
PB2,121,2083,288
PB2,128,2139,562
PB2,133,2140,122
PB2,152,2139,915
PB2,159,2152,1363
PB2,173,2162,130
PB2,183,2067,145
PB2,190,2100,120
PB2,194,2176,239
PB2,195,2098,144
PB2,210,2154,944
PB2,216,2067,127
PB2,226,2163,134
PB2,258,1975,317
PB2,295,1953,51
PB2,88,118,428
PB2,91,123,335
PB2,112,2142,294
PB2,139,2036,236
PB2,159,2006,225
PB2,178,2123,301
PB2,184,2152,443
PB2,189,2236,170
PB2,191,2123,101
PB2,191,2203,516
PB2,204,2139,209
PB2,2124,2196,69
PB2,2129,2195,365
PB2,217,2007,197
PB2,223,2242,137
PB2,252,2204,273
PB2,108,165,39
PB2,117,160,57
PB2,121,144,239
PB2,135,209,145
PB2,135,2159,206
PB2,151,2139,706
PB2,153,219,874
PB2,161,2026,129
PB2,162,2095,108
PB2,173,2039,94
PB2,178,2159,313
PB2,179,2151,316
PB2,184,2153,270
PB2,190,2140,548
PB2,191,2006,105
PB2,193,2158,142
PB2,208,2107,80
PB2,208,2114,171
PB2,2123,2212,82
PB2,224,2151,78
PB2,224,2202,499
PB2,225,2096,124
PB2,236,1945,118
PB2,252,1976,129
PB2,318,937,123
PB2,961,2065,91
PB2,107,209,574
PB2,108,2088,94
PB2,117,153,164
PB2,117,200,117
PB2,121,153,121
PB2,127,2077,221
PB2,159,2114,168
PB2,159,2159,256
PB2,188,2164,234
PB2,207,2062,119
PB2,215,2080,82
PB2,215,2109,54
PB2,2171,2196,508
PB2,217,1976,296
PB2,258,2004,137
PB2,259,1994,95
PB2,471,1816,93
PB2,90,136,280
PB2,922,2211,83
PB2,97,122,208
PB2,98,130,179
PB2,98,2005,69
PB2,107,142,70
PB2,108,2085,53
PB2,109,131,682
PB2,109,136,149
PB2,109,164,472
PB2,109,2135,65
PB2,109,2159,39
PB2,110,2108,61
PB2,110,2157,143
PB2,111,169,162
PB2,115,266,132
PB2,116,2080,141
PB2,116,2100,67
PB2,117,192,69
PB2,117,1969,54
PB2,117,2107,106
PB2,117,2114,82
PB2,117,2156,77
PB2,119,2161,159
PB2,119,2197,55
PB2,120,2080,73
PB2,120,2140,1705
PB2,121,164,474
PB2,122,153,122
PB2,122,2160,59
PB2,122,218,917
PB2,124,180,157
PB2,127,2095,422
PB2,127,2098,98
PB2,127,2140,483
PB2,128,184,66
PB2,128,2059,199
PB2,128,2156,136
PB2,128,2159,62
PB2,128,2182,301
PB2,128,2203,37
PB2,129,2176,442
PB2,132,2152,108
PB2,134,2140,323
PB2,135,2152,152
PB2,138,2139,121
PB2,139,2139,116
PB2,141,2139,364
PB2,143,2139,747
PB2,143,2152,398
PB2,143,2195,67
PB2,148,2139,57
PB2,150,2140,128
PB2,151,192,122
PB2,151,2140,623
PB2,152,184,189
PB2,152,1976,216
PB2,152,2135,57
PB2,152,2156,98
PB2,152,217,62
PB2,152,2195,37
PB2,152,2203,75
PB2,153,1970,49
PB2,155,2140,297
PB2,156,2152,180
PB2,156,2156,146
PB2,158,2117,60
PB2,159,192,122
PB2,159,2040,313
PB2,159,2088,73
PB2,159,2156,109
PB2,159,217,79
PB2,159,2203,65
PB2,160,201,105
PB2,160,2062,96
PB2,161,2077,107
PB2,162,2104,203
PB2,162,2140,715
PB2,163,192,318
PB2,163,1975,421
PB2,163,209,71
PB2,163,2156,239
PB2,163,2159,196
PB2,163,2164,177
PB2,163,217,135
PB2,163,2195,101
PB2,163,2203,79
PB2,164,2066,144
PB2,164,2084,318
PB2,167,2155,43
PB2,170,192,96
PB2,172,2138,80
PB2,176,2150,129
PB2,176,2202,53
PB2,179,2138,320
PB2,179,2194,62
PB2,179,2202,72
PB2,182,2140,125
PB2,183,2139,709
PB2,183,2164,56
PB2,184,2172,113
PB2,185,2138,174
PB2,185,216,118
PB2,185,2170,122
PB2,185,2205,106
PB2,186,2198,107
PB2,186,2224,17
PB2,187,2102,81
PB2,187,2139,119
PB2,189,252,71
PB2,190,1939,666
PB2,190,2161,81
PB2,191,1975,137
PB2,191,2003,76
PB2,191,2058,71
PB2,191,2061,110
PB2,191,2065,185
PB2,191,2164,162
PB2,191,2211,69
PB2,192,2041,208
PB2,192,2115,38
PB2,192,2140,586
PB2,196,2153,67
PB2,198,2095,107
PB2,198,2137,82
PB2,198,2140,260
PB2,198,2206,44
PB2,199,1975,105
PB2,199,2003,309
PB2,199,2006,61
PB2,199,2065,178
PB2,199,2083,100
PB2,199,2102,40
PB2,199,2203,123
PB2,200,2165,28
PB2,201,1937,52
PB2,201,2003,112
PB2,201,2139,81
PB2,201,2152,180
PB2,201,2203,171
PB2,202,2133,223
PB2,203,2085,70
PB2,203,2140,96
PB2,2047,2139,137
PB2,204,2152,177
PB2,204,2159,113
PB2,204,2195,110
PB2,204,2203,61
PB2,2052,2139,81
PB2,2053,2153,122
PB2,2053,2160,74
PB2,2074,2152,39
PB2,207,2077,119
PB2,208,2061,70
PB2,208,2160,76
PB2,209,2160,73
PB2,209,2196,326
PB2,209,2204,511
PB2,210,2008,134
PB2,2114,2140,121
PB2,2123,2153,126
PB2,2129,2152,110
PB2,2131,2156,274
PB2,2131,2212,71
PB2,2133,2213,834
PB2,215,2085,167
PB2,216,1969,79
PB2,216,2012,213
PB2,216,2040,85
PB2,216,2080,66
PB2,216,2114,112
PB2,2171,2204,172
PB2,217,2160,319
PB2,218,2173,228
PB2,223,2152,123
PB2,224,2138,84
PB2,224,2194,246
PB2,224,2205,149
PB2,239,1976,453
PB2,240,2205,28
PB2,248,2009,196
PB2,251,2012,83
PB2,251,2139,127
PB2,252,1983,354
PB2,252,2212,60
PB2,258,1969,137
PB2,258,2006,146
PB2,258,2012,74
PB2,258,2152,153
PB2,258,2164,130
PB2,258,2203,134
PB2,259,2150,36
PB2,263,2136,64
PB2,264,2176,90
PB2,265,1969,82
PB2,266,1976,275
PB2,266,2004,173
PB2,266,2196,232
PB2,266,2204,143
PB2,276,1968,89
PB2,276,1974,78
PB2,276,2151,421
PB2,295,1975,96
PB2,300,1975,70
PB2,322,1974,380
PB2,328,1709,23
PB2,390,2195,50
PB2,450,1793,76
PB2,468,1793,74
PB2,668,1671,54
PB2,84,2006,41
PB2,88,192,114
PB2,90,129,99
PB2,90,133,66
PB2,90,144,74
PB2,91,119,525
PB2,92,116,138
PB2,97,1975,108
PB1,102,2024,498
PB1,103,2173,110
PB1,107,2029,122
PB1,108,2148,30
PB1,110,2128,69
PB1,1124,2071,122
PB1,112,2074,335
PB1,112,2200,19
PB1,113,168,445
PB1,113,1897,3986
PB1,113,1995,72
PB1,113,2056,194
PB1,113,2061,105
PB1,113,2094,56
PB1,113,2110,579
PB1,113,2129,1331
PB1,113,2132,35
PB1,113,2141,152
PB1,113,2149,72
PB1,113,2158,167
PB1,113,2162,27
PB1,113,2165,775
PB1,113,2177,137
PB1,113,219,467
PB1,114,141,241
PB1,114,150,506
PB1,114,172,122
PB1,114,2017,75
PB1,114,2072,108
PB1,114,2147,44
PB1,115,140,1094
PB1,115,2056,379
PB1,115,2094,72
PB1,115,2110,148
PB1,115,2165,55
PB1,116,169,393
PB1,116,2142,227
PB1,117,1968,149
PB1,119,149,93
PB1,119,168,93
PB1,119,200,192
PB1,119,2054,46
PB1,119,2091,53
PB1,119,2094,84
PB1,119,2129,531
PB1,119,2132,78
PB1,119,2139,59
PB1,120,1927,151
PB1,120,2111,229
PB1,120,2159,50
PB1,1212,2139,78
PB1,1212,2141,25
PB1,1244,2084,125
PB1,124,2110,184
PB1,126,149,741
PB1,126,165,124
PB1,126,1988,143
PB1,126,200,55
PB1,126,2016,37
PB1,126,2061,489
PB1,126,2091,152
PB1,126,2110,1146
PB1,126,2139,153
PB1,126,2158,325
PB1,126,2165,194
PB1,126,2177,156
PB1,127,169,282
PB1,127,2130,1759
PB1,127,2133,294
PB1,130,2110,154
PB1,130,2129,72
PB1,130,2149,91
PB1,132,163,134
PB1,132,200,182
PB1,132,2054,125
PB1,132,2085,90
PB1,132,2091,98
PB1,132,2094,124
PB1,132,2110,181
PB1,132,2139,196
PB1,132,2158,130
PB1,132,2165,105
PB1,132,2177,69
PB1,133,176,37
PB1,133,2050,80
PB1,133,2130,1528
PB1,133,2133,137
PB1,133,2142,86
PB1,133,2150,238
PB1,136,2014,206
PB1,136,2080,98
PB1,136,2113,66
PB1,136,2166,479
PB1,137,1091,121
PB1,137,1185,60
PB1,137,165,389
PB1,137,168,1665
PB1,137,1928,445
PB1,137,196,94
PB1,137,1971,169
PB1,137,1988,604
PB1,137,2011,179
PB1,137,2030,138
PB1,137,2037,199
PB1,137,2041,95
PB1,137,2056,616
PB1,137,2061,529
PB1,137,2085,856
PB1,137,2094,213
PB1,137,2105,131
PB1,137,2110,3844
PB1,137,2115,93
PB1,137,2129,11100
