Segment,Start,End,NGS_read_count
HA,33,1471,1
HA,37,1377,1
HA,37,1503,18
HA,41,1722,1
HA,42,1499,1
HA,43,1503,1
HA,46,1565,9
HA,47,93,1
HA,47,1428,6
HA,47,1440,1
HA,47,1447,10
HA,47,1538,6
HA,47,1581,68
HA,47,1722,1
HA,48,1485,17
HA,51,1540,60
HA,52,1537,1
HA,52,1565,7
HA,59,1507,1
HA,59,1532,6
HA,59,1547,6
HA,59,1581,17
HA,60,1465,7
HA,61,1520,15
HA,62,1564,1
HA,65,1489,17
HA,65,1581,6
HA,65,1599,6
HA,68,1617,1
HA,69,1472,1
HA,69,1534,15
HA,71,1447,1
HA,71,1602,6
HA,72,1542,9
HA,72,1555,6
HA,72,1713,10
HA,72,1718,1
HA,73,1528,9
HA,74,96,1
HA,74,98,1
HA,74,103,2
HA,75,1514,20
HA,76,1547,10
HA,77,1434,1
HA,77,1591,6
HA,77,1613,6
HA,78,1548,6
HA,78,1578,1
HA,79,1559,1
HA,79,1719,9
HA,80,1536,13
HA,81,1585,34
HA,83,1481,11
HA,83,1543,19
HA,83,1591,6
HA,83,1650,8
HA,83,1726,1
HA,84,1494,6
HA,84,1500,6
HA,84,1558,24
HA,84,1589,7
HA,84,1600,7
HA,85,1522,10
HA,85,1532,1
HA,85,1538,20
HA,85,1545,6
HA,85,1547,6
HA,85,1583,7
HA,85,1719,103
HA,86,1514,5
HA,86,1529,12
HA,86,1600,6
HA,87,1428,2
HA,87,1457,8
HA,87,1518,19
HA,87,1532,7
HA,87,1565,10
HA,87,1581,24
HA,88,1450,9
HA,88,1485,11
HA,88,1530,10
HA,89,1547,17
HA,89,1548,7
HA,89,1557,7
HA,89,1577,2
HA,90,1487,6
HA,90,1489,6
HA,90,1518,2
HA,90,1519,1
HA,90,1561,6
HA,91,1476,2
HA,91,1500,7
HA,91,1530,2
HA,91,1536,8
HA,91,1551,1
HA,91,1554,61
HA,91,1604,15
HA,92,1453,14
HA,92,1484,62
HA,92,1498,7
HA,92,1518,9
HA,92,1546,12
HA,92,1570,6
HA,92,1576,6
HA,92,1581,46
HA,92,1602,8
HA,92,1604,8
HA,93,1417,2
HA,93,1458,11
HA,93,1510,7
HA,93,1512,14
HA,93,1545,9
HA,93,1548,20
HA,93,1612,16
HA,93,1614,9
HA,93,1665,6
HA,94,1396,6
HA,94,1495,1
HA,94,1509,6
HA,94,1534,35
HA,95,1389,1
HA,95,1545,4
HA,95,1548,4
HA,95,1551,1
HA,95,1600,12
HA,96,1484,14
HA,96,1504,1
HA,96,1518,26
HA,96,1560,7
HA,96,1568,7
HA,96,1569,24
HA,96,1570,8
HA,96,1574,37
HA,96,1581,10
HA,96,1602,17
HA,97,1461,1
HA,97,1471,1
HA,97,1508,11
HA,97,1524,6
HA,97,1533,21
HA,97,1536,15
HA,97,1539,17
HA,97,1548,26
HA,97,1558,29
HA,97,1565,11
HA,97,1584,25
HA,97,1589,23
HA,97,1600,12
HA,97,1610,1
HA,97,1627,10
HA,98,1447,1
HA,98,1496,9
HA,98,1498,9
HA,98,1511,2
HA,98,1518,37
HA,98,1532,8
HA,98,1537,27
HA,98,1543,7
HA,98,1547,18
HA,98,1553,6
HA,98,1574,6
HA,98,1598,10
HA,98,1602,12
HA,98,1613,1
HA,98,1631,6
HA,98,1650,8
HA,98,1677,1
HA,99,1516,9
HA,99,1582,18
HA,100,1564,12
HA,100,1569,1
HA,102,1504,1
HA,102,1515,20
HA,103,138,1
