Segment,Start,End,NGS_read_count
PA,293,1998,2324
PA,293,1983,48
PA,293,2049,78
PA,293,2074,17
PA,293,1930,2
PA,293,358,1
PA,308,434,623
PA,308,1995,11391
PA,308,1996,5
PA,308,1997,11
PA,308,2012,2
PA,427,1826,36684
PA,427,1828,8
PA,427,1162,2
PA,291,356,1110
PA,291,2026,2
PA,291,2050,4693
PA,291,2064,14
PA,592,1758,2534
PA,237,2091,23383
PA,237,2017,88
PA,237,2061,13
PA,237,2051,4
PA,452,1878,3255
PA,452,2056,146
PA,284,2028,3343
PA,284,1977,29
PA,284,1952,2
PA,284,2029,2
PA,242,1999,10136
PA,242,2068,1123
PA,242,1790,3
PA,242,2001,2
PA,242,325,2
PA,287,1964,569
PA,665,1724,4322
PA,665,1726,1
PA,253,2062,8090
PA,253,1990,3
PA,285,1953,407
PA,285,1962,2
PA,285,2052,17
PA,285,387,2
PA,224,696,1121
PA,224,2114,458
PA,224,2134,15
PA,224,1987,11
PA,224,2118,2
PA,263,2024,1219
PA,330,2012,1943
PA,257,1941,817
PA,257,1943,2
PA,304,2120,1498
PA,304,430,1
PA,590,1789,1062
PA,590,1756,2
PA,590,1757,2
PA,302,2044,575
PA,228,2021,4
PA,434,1963,113
PA,434,1904,275
PA,538,1823,439
PA,538,1719,5
PA,538,1860,2
PA,244,2097,162
PA,244,2070,2
PA,244,1789,1
PA,297,2038,1384
PA,297,2105,56
PA,196,1985,457
PA,289,2049,15
PA,289,2048,3
PA,289,354,1
PA,476,1889,506
PA,651,1791,241
PA,279,2020,1
PA,496,2017,753
PA,660,703,2
PA,247,1792,1504
PA,247,2037,2
PA,335,1895,225
PA,335,1767,4
PA,523,1726,13
PA,523,617,4
PA,298,1986,1074
PA,298,2039,3
PA,298,1964,2
PA,233,2035,452
PA,233,2083,97
PA,318,2124,87
PA,318,2028,3
PA,318,2034,2
PA,292,357,2
PA,292,1999,3
PA,292,2051,1
PA,334,1905,135
PA,334,1841,284
PA,334,1961,6
PA,334,2022,1
PA,436,1790,35
PA,245,2064,242
PA,453,1900,198
PA,386,1959,327
PA,386,2028,28
PA,386,1819,1
PA,195,1937,18
PA,177,2121,4
PA,282,2051,141
PA,282,2089,15
PA,282,2026,1
PA,414,1980,105
PA,479,1919,808
PA,479,1311,2
PA,276,1931,10
PA,276,2022,82
PA,276,2049,4
PA,276,2090,10
PA,320,2028,185
PA,320,1997,2
PA,320,330,1
PA,433,1841,41
PA,433,505,2
PA,433,1915,16
PA,511,1845,91
PA,180,2007,16
PA,624,1742,10
PA,442,1942,104
PA,346,1965,12
PA,346,1966,10
PA,256,2016,335
PA,544,1761,49
PA,544,1771,15
PA,544,1351,1
PA,462,1947,33
PA,462,1020,1
PA,454,2000,7
PA,454,1901,1
PA,117,179,22
PA,117,2022,8
PA,306,1994,3
PA,306,2064,40
PA,306,1997,2
PA,1361,1913,4
PA,604,1669,3
PA,238,1973,31
PA,493,1828,11
PA,493,1941,5
PA,258,2052,53
PA,258,2054,2
PA,411,1653,14
PA,561,1953,10
PA,1223,2146,3
PA,350,1987,51
PA,194,1954,9
PA,194,2139,16
PA,194,2146,2
PA,446,1841,5
PA,446,485,1
PA,229,2063,90
PA,229,2083,3
PA,450,1824,4
PA,450,1885,6
PA,450,1879,2
PA,450,1876,2
PA,450,1877,1
PA,602,1814,23
PA,362,1970,28
PA,362,1964,147
PA,379,1943,11
PA,379,1954,2
PA,581,1161,2
PA,581,1678,1
PA,206,2104,17
PA,536,1941,105
PA,536,1821,1
PA,174,2114,104
PA,307,1994,28
PA,283,2025,38
PA,283,2028,3
PA,143,1015,3
PA,312,2128,55
PA,312,1963,14
PA,758,1696,11
PA,391,1966,22
PA,391,1953,8
PA,328,649,17
PA,328,2011,4
PA,328,2097,3
PA,328,2012,2
PA,359,1990,6
PA,359,1094,4
PA,359,2024,2
PA,321,2031,56
PA,321,397,2
PA,711,1215,1
PA,422,1825,10
PA,1159,1657,1
PA,566,1664,28
PA,566,1778,7
PA,566,1726,2
PA,390,1942,21
PA,390,1956,11
PA,407,1870,4
PA,407,1858,6
PA,558,2137,44
PA,568,1772,4
PA,568,1712,2
PA,568,1152,3
PA,266,2052,83
PA,266,315,3
PA,415,1889,10
PA,161,177,1
PA,428,1827,23
PA,460,1933,143
PA,360,1927,14
PA,360,2025,9
PA,214,1208,2
PA,281,2100,18
PA,281,1988,4
PA,757,1633,32
PA,145,465,2
PA,370,1880,16
PA,370,2074,2
PA,526,1640,9
PA,526,1811,4
PA,526,1758,3
PA,527,1841,26
PA,527,1828,27
PA,527,1772,3
PA,162,1857,5
PA,432,1870,121
PA,432,1840,1
PA,480,1964,4
PA,480,1874,1
PA,209,2002,27
PA,209,2054,5
PA,142,1337,3
PA,473,1872,2
PA,235,2091,11
PA,235,2033,14
PA,235,2089,6
PA,235,2051,2
PA,251,2144,24
PA,783,1542,12
PA,355,1861,8
PA,241,1988,20
PA,241,780,2
PA,241,2095,1
PA,618,1718,2
PA,106,2067,26
PA,354,1949,10
PA,539,1849,12
PA,394,1947,14
PA,264,2035,18
PA,53,1927,1
PA,470,1884,11
PA,470,1776,22
PA,445,1928,10
PA,445,1895,1
PA,1259,1835,2
PA,75,1959,2
PA,702,1704,1
PA,719,1742,19
PA,267,2038,9
PA,236,2091,4
PA,236,2069,3
PA,628,1595,9
PA,611,1098,2
PA,1273,1784,2
PA,1264,1398,6
PA,112,2058,8
PA,179,2025,2
PA,239,2093,8
PA,261,2031,21
PA,424,1823,17
PA,424,1610,1
PA,424,1862,1
PA,424,1826,3
PA,372,1980,4
PA,497,1882,10
PA,303,2017,3
PA,303,1990,1
PA,348,1935,9
PA,636,2183,7
PA,752,1196,3
PA,600,1763,4
PA,234,1915,5
PA,234,2088,1
PA,331,2085,22
PA,331,2013,1
PA,331,1874,3
PA,324,333,22
PA,139,1657,4
PA,855,1617,6
PA,288,2050,2
PA,191,514,1
PA,1467,1501,2
PA,869,1661,40
PA,426,1826,3
PA,502,1683,35
PA,149,1996,4
PA,149,1042,2
PA,455,1329,13
PA,1119,1636,2
PA,650,1705,10
PA,105,127,2
PA,1049,1623,1
PA,65,1966,5
PA,221,2111,4
PA,221,693,1
PA,221,2112,2
PA,309,1996,14
PA,309,324,2
PA,309,327,1
PA,212,2024,31
PA,212,257,2
PA,448,1877,1
PA,448,1684,1
PA,696,1883,5
PA,495,1919,4
PA,495,1813,6
PA,495,1876,2
PA,495,2016,1
PA,2188,2197,22
PA,366,1928,1
PA,366,1902,3
PA,66,889,1
PA,249,1794,1
PA,240,2066,2
PA,1048,1107,9
PA,376,2011,2
PA,376,1864,6
PA,506,527,4
PA,410,1955,21
PA,410,1652,1
PA,425,480,1
PA,425,1825,3
PA,425,1863,1
PA,425,1646,1
PA,499,2033,14
PA,499,1861,3
PA,408,1903,1
PA,408,1957,2
PA,1278,1791,2
PA,387,1148,2
PA,110,170,1
PA,575,1841,1
PA,575,973,2
PA,575,1159,2
PA,903,1542,9
PA,403,1845,1
PA,265,2053,2
PA,1217,1463,1
PA,290,356,2
PA,290,2051,2
PA,273,1424,2
PA,794,840,1
PA,889,985,2
PA,760,1498,4
PA,243,2000,15
PA,243,2001,6
PA,467,1657,1
PA,375,2033,2
PA,697,755,4
PA,333,1894,2
PA,333,1907,1
PA,332,1903,1
PA,471,1782,5
PA,485,1670,8
PA,1019,1086,1
PA,525,1759,2
PA,562,1784,4
PA,965,1440,1
PA,655,1703,2
PA,296,334,9
PA,296,1984,1
PA,657,1704,4
PA,1818,2072,7
PA,722,1682,2
PA,398,2045,2
PA,634,1702,2
PA,634,1818,2
PA,634,1723,4
PA,254,2063,16
PA,329,2022,3
PA,402,2140,4
PA,402,1159,1
PA,156,1665,1
PA,489,1750,2
PA,713,1544,6
PA,1624,1658,8
PA,294,2052,8
PA,294,1999,1
PA,294,368,1
PA,1233,1347,4
PA,666,1725,1
PA,477,1398,1
PA,648,1687,1
PA,286,2022,1
PA,286,1954,1
PA,1418,1694,1
PA,437,1977,1
PA,490,2017,2
PA,490,1813,1
PA,1969,2045,4
PA,108,177,2
PA,438,1979,5
PA,498,2018,2
PA,593,1884,1
PA,401,2138,3
PA,1337,1793,2
PA,1337,1488,2
PA,60,2001,4
PA,60,884,1
PA,409,1777,3
PA,97,165,3
PA,663,1722,7
PA,472,1885,6
PA,388,1905,2
PA,512,1960,2
PA,595,1192,3
PA,311,1395,2
PA,383,1956,2
PA,591,1758,2
PA,1045,1600,4
PA,327,2009,2
PA,150,1024,2
PA,537,1951,8
PA,537,1717,1
PA,1185,1747,2
PA,887,925,3
PA,491,1866,1
PA,252,2061,9
PA,252,2062,1
PA,656,1680,4
PA,656,1126,1
PA,656,1321,1
PA,193,2000,2
PA,908,1445,1
PA,695,1669,2
PA,543,1880,1
PA,543,1823,2
PA,459,1392,1
PA,630,1643,6
PA,171,2129,2
PA,314,2130,1
PA,1480,1622,3
PA,647,2144,1
PA,1160,1335,1
PA,612,1668,1
PA,612,1824,3
PA,246,1984,2
PA,1315,2138,2
PA,494,1549,3
PA,494,2017,1
PA,1485,1524,2
PA,533,1520,1
PA,1919,2098,1
PA,223,1986,1
PA,223,2140,2
PA,166,193,1
PA,389,1331,2
PA,389,1842,4
PA,389,1565,1
PA,377,2012,2
PA,690,1718,1
PA,1940,2017,2
PA,122,168,2
PA,481,1109,2
PA,92,208,1
PA,812,858,2
PA,160,193,1
PA,160,1311,1
PA,589,1788,3
PA,734,926,1
PA,146,647,2
PA,1936,1947,2
PA,565,1545,1
PA,1805,1957,2
PA,746,863,2
PA,404,1843,2
PA,475,1857,2
PA,315,2082,2
PA,315,329,1
PA,185,1951,2
PA,423,1886,2
PA,520,1517,1
PA,1063,2175,2
PA,524,1807,2
PA,580,598,1
PA,1975,2051,3
PA,607,1743,2
PA,172,2074,2
PA,586,1730,2
PA,646,681,3
PA,469,1504,2
PA,222,2090,2
PA,164,526,1
PA,694,1714,2
PA,478,1918,1
PA,400,1790,2
PA,642,1949,2
PA,77,1783,2
PA,419,1770,2
PA,620,1823,2
PA,205,1832,1
PA,582,1013,1
PA,928,1715,1
PA,260,2054,1
PA,1358,1397,1
PA,836,1525,1
PA,295,2051,1
PA,1483,1657,1
PA,43,1932,1
PA,157,324,1
PA,1603,2148,1
PA,644,1092,1
PA,395,1834,1
PA,803,842,2
PA,430,1992,1
PA,643,1667,1
PA,1143,1393,1
PA,482,1396,1
PA,420,1713,1
PA,594,1760,1
PA,397,1895,2
PA,1967,2007,1
PA,301,427,1
PA,213,2106,1
PA,1004,1572,1
PA,211,315,1
PA,598,1166,1
PA,560,1459,1
PA,951,1000,1
PB2,208,2150,63912
PB2,208,2153,6
PB2,208,2152,62
PB2,208,2151,3
PB2,2211,2247,1854
PB2,500,2019,524
PB2,309,2069,6318
PB2,309,2071,2
PB2,309,2073,3
PB2,277,2015,2352
PB2,789,2187,1899
PB2,789,2188,2
PB2,341,2142,838
PB2,292,2024,2058
PB2,1984,2016,278
PB2,283,2102,789
PB2,248,2204,379
PB2,248,2226,1
PB2,248,2106,4
PB2,206,2154,5545
PB2,206,2150,16
PB2,206,2152,2
PB2,206,2210,4
PB2,443,1942,4984
PB2,313,2064,226
PB2,313,2038,2
PB2,273,2220,1853
PB2,273,2221,4
PB2,273,2222,2
PB2,323,1982,216
PB2,416,2050,195
PB2,200,2191,2
PB2,216,2166,146
PB2,216,2182,12
PB2,216,2180,2
PB2,511,1830,782
PB2,511,2001,3
PB2,687,1830,396
PB2,1430,2249,407
PB2,1430,2250,4
PB2,1430,2248,1
PB2,389,1956,733
PB2,389,2064,6
PB2,389,2020,9
PB2,389,2043,8
PB2,389,1042,2
PB2,551,1789,175
PB2,204,2172,77
PB2,204,2154,10
PB2,204,2153,2
PB2,204,2155,1
PB2,408,2103,10
PB2,408,2010,66
PB2,518,1822,102
PB2,166,212,88
PB2,584,1848,242
PB2,512,1753,62
PB2,512,1831,3
PB2,512,1621,4
PB2,512,2025,3
PB2,231,2176,171
PB2,231,2118,4
PB2,289,2102,14
PB2,308,2015,181
PB2,308,2069,3
PB2,516,1866,225
PB2,516,1890,4
PB2,516,1983,3
PB2,279,2152,73
PB2,279,2100,2
PB2,491,1977,81
PB2,491,1909,113
PB2,291,2128,21
PB2,291,2153,7
PB2,306,2163,73
PB2,306,2068,1
PB2,306,2066,4
PB2,268,2241,501
PB2,268,2215,2
PB2,267,2098,164
PB2,267,2181,72
PB2,331,407,146
PB2,588,1889,33
PB2,140,1987,76
PB2,537,1782,459
PB2,545,1982,9
PB2,207,2130,38
PB2,207,2149,8
PB2,207,2182,11
PB2,207,2157,1
PB2,457,2007,43
PB2,393,2205,18
PB2,468,1877,102
PB2,468,1326,10
PB2,245,2188,25
PB2,245,327,2
PB2,245,2201,1
PB2,209,2151,92
PB2,209,2157,5
PB2,209,1299,1
PB2,305,2073,19
PB2,305,2062,1
PB2,354,2086,10
PB2,253,2228,8
PB2,246,2153,120
PB2,391,2063,19
PB2,134,1832,30
PB2,134,175,1
PB2,568,1864,45
PB2,250,2094,72
PB2,250,2101,9
PB2,250,2206,1
PB2,650,1871,52
PB2,579,1873,56
PB2,579,1796,13
PB2,579,1871,1
PB2,565,1944,58
PB2,263,2181,51
PB2,263,2183,1
PB2,251,424,1
PB2,640,1921,57
PB2,212,2118,49
PB2,212,2223,23
PB2,297,2036,21
PB2,177,2234,36
PB2,698,776,6
PB2,507,1866,41
PB2,191,2221,2
PB2,369,2078,32
PB2,228,2135,2
PB2,548,1942,74
PB2,681,1824,1
PB2,809,1568,13
PB2,1826,1937,9
PB2,330,2036,15
PB2,330,406,1
PB2,452,1954,30
PB2,312,1975,25
PB2,741,1783,125
PB2,552,1920,2
PB2,1098,1512,5
PB2,621,1844,53
PB2,229,2202,6
PB2,229,2166,6
PB2,241,2166,20
PB2,666,1744,4
PB2,561,2018,6
PB2,561,1940,1
PB2,563,1877,23
PB2,217,287,56
PB2,217,2206,3
PB2,290,2184,8
PB2,290,2025,1
PB2,290,2022,1
PB2,205,2153,4
PB2,412,1989,7
PB2,601,1828,14
PB2,210,280,20
PB2,210,287,1
PB2,1489,2212,1
PB2,1292,1370,2
PB2,1292,1473,2
PB2,381,883,2
PB2,381,2066,3
PB2,1601,1633,6
PB2,334,2251,10
PB2,911,1387,3
PB2,438,1983,32
PB2,438,491,2
PB2,715,1721,3
PB2,693,1974,10
PB2,383,2055,7
PB2,583,1847,2
PB2,583,1778,11
PB2,616,1808,44
PB2,272,2219,3
PB2,280,2100,2
PB2,797,1661,2
PB2,1235,1261,1
PB2,165,211,3
PB2,165,1950,1
PB2,258,586,2
PB2,558,1837,54
PB2,399,2035,9
PB2,399,899,1
PB2,265,302,4
PB2,265,2066,2
PB2,199,2189,11
PB2,493,1933,26
PB2,582,609,13
PB2,941,1619,8
PB2,162,2135,2
PB2,440,1941,4
PB2,689,1821,18
PB2,1750,1788,6
PB2,266,2241,2
PB2,2212,2248,10
PB2,455,2089,3
PB2,455,1964,9
PB2,455,2017,1
PB2,441,1940,26
PB2,441,1941,2
PB2,1501,2045,2
PB2,121,683,12
PB2,543,1747,2
PB2,1418,1496,2
PB2,235,2135,16
PB2,852,1506,4
PB2,852,1112,1
PB2,852,906,1
PB2,506,1922,4
PB2,506,1924,20
PB2,348,2091,19
PB2,348,2070,2
PB2,638,1979,19
PB2,874,2187,1
PB2,320,1969,21
PB2,707,2051,1
PB2,172,2192,2
PB2,527,1690,2
PB2,234,2198,6
PB2,234,2195,2
PB2,179,2168,2
PB2,262,2196,12
PB2,453,1809,1
PB2,453,1834,3
PB2,559,1433,2
PB2,559,1851,2
PB2,372,2010,6
PB2,136,366,2
PB2,1880,1923,3
PB2,307,2068,3
PB2,368,2077,6
PB2,877,1500,2
PB2,877,2043,3
PB2,479,1925,7
PB2,648,927,2
PB2,708,1721,5
PB2,317,2156,4
PB2,1454,1496,1
PB2,1680,1775,2
PB2,2208,2244,1
PB2,340,2141,2
PB2,705,855,2
PB2,705,2097,2
PB2,164,310,5
PB2,108,2127,1
PB2,515,1939,4
PB2,398,531,3
PB2,1555,1590,7
PB2,295,2023,2
PB2,321,2083,7
PB2,822,1616,1
PB2,329,1972,9
PB2,329,2181,1
PB2,310,2070,5
PB2,728,759,4
PB2,539,665,2
PB2,539,1923,1
PB2,397,1709,1
PB2,175,2182,8
PB2,1004,1063,2
PB2,749,1597,2
PB2,1313,2064,4
PB2,790,802,2
PB2,1403,1453,1
PB2,359,1722,1
PB2,635,651,2
PB2,1083,2115,2
PB2,147,1469,2
PB2,377,2006,2
PB2,153,221,14
PB2,365,1278,2
PB2,710,900,1
PB2,270,2217,2
PB2,270,2186,6
PB2,1852,1868,2
PB2,113,185,2
PB2,541,1981,3
PB2,387,1954,2
PB2,387,1955,1
PB2,1981,2013,1
PB2,946,2051,1
PB2,160,2063,2
PB2,346,2083,14
PB2,723,783,1
PB2,390,1067,1
PB2,390,2023,2
PB2,185,2174,2
PB2,1645,2094,2
PB2,257,2134,2
PB2,257,2191,1
PB2,437,1836,9
PB2,163,381,2
PB2,499,2018,1
PB2,499,627,2
PB2,239,2208,2
PB2,214,284,2
PB2,575,2060,2
PB2,575,1894,1
PB2,178,301,4
PB2,505,2046,2
PB2,505,1910,1
PB2,879,1587,5
PB2,828,2103,2
PB2,1417,1456,5
PB2,580,1917,1
PB2,580,601,2
PB2,226,265,1
PB2,117,2047,2
PB2,243,424,3
PB2,124,500,2
PB2,124,627,3
PB2,502,1470,3
PB2,386,1953,2
PB2,685,1855,4
PB2,685,1828,2
PB2,423,1942,5
PB2,218,2187,1
PB2,218,2168,1
PB2,237,1669,3
PB2,471,1866,7
PB2,333,1932,1
PB2,1165,1367,2
PB2,504,2110,4
PB2,504,2023,2
PB2,504,2098,2
PB2,219,286,1
PB2,219,291,2
PB2,1306,1855,1
PB2,860,1591,1
PB2,510,1829,2
PB2,510,2106,1
PB2,1299,1488,1
PB2,1298,1365,2
PB2,718,1057,1
PB2,522,1923,2
PB2,1245,2104,1
PB2,157,2198,2
PB2,1476,1562,4
PB2,1154,1218,1
PB2,608,1743,1
PB2,747,1145,2
PB2,192,2204,2
PB2,550,1858,2
PB2,1340,1653,1
PB2,729,1676,6
PB2,594,2106,1
PB2,529,884,2
PB2,683,1626,2
PB2,338,2142,1
PB2,375,2044,2
PB2,542,1926,3
PB2,712,1657,4
PB2,2106,2123,1
PB2,100,312,1
PB2,186,2048,2
PB2,193,2182,2
PB2,85,1599,1
PB2,2302,2311,2
PB2,418,1722,2
PB2,367,395,2
PB2,968,1462,1
PB2,927,1634,3
PB2,159,2102,2
PB2,328,340,2
PB2,202,285,2
PB2,202,2170,1
PB2,775,1601,2
PB2,573,1886,3
PB2,1642,2101,2
PB2,704,1788,1
PB2,215,1998,2
PB2,476,2060,6
PB2,901,1476,1
PB2,242,1992,2
PB2,311,2062,1
PB2,603,1588,2
PB2,198,2059,3
PB2,198,2188,1
PB2,211,307,2
PB2,1963,2060,1
PB2,847,1692,5
PB2,613,1712,3
PB2,1170,1270,1
PB2,609,895,2
PB2,660,806,2
PB2,709,1704,2
PB2,392,1242,1
PB2,392,2085,2
PB2,536,1598,1
PB2,513,1863,1
PB2,513,2026,1
PB2,701,748,1
PB2,129,218,1
PB2,1157,1252,1
PB2,716,2198,1
PB2,285,2104,1
PB2,1231,2163,1
PB2,519,1823,1
PB2,875,2188,1
PB2,420,2085,1
PB2,194,351,1
PB2,411,1988,1
PB2,576,1894,1
PB2,576,631,1
PB2,326,404,1
PB2,155,223,1
PB2,227,2179,1
PB2,190,1402,1
PB2,644,1925,1
PB2,607,1871,1
PB2,691,798,1
PB2,299,2067,1
PB2,904,2056,1
PB2,1036,1138,1
PB2,158,744,1
PB2,1673,1715,1
PB2,1010,1252,1
PB1,309,2154,49612
PB1,309,2155,14
PB1,309,2157,3
PB1,309,2153,1
PB1,309,2243,2
PB1,309,2160,1
PB1,372,2075,1295
PB1,372,2015,6448
PB1,372,2072,60
PB1,372,389,1
PB1,372,2017,1
PB1,372,2016,1
PB1,434,2042,111
PB1,233,2144,1196
PB1,233,307,33
PB1,233,2130,25
PB1,233,852,5
PB1,233,2193,1
PB1,230,2138,18383
PB1,230,2139,6
PB1,230,2143,1
PB1,230,2156,2
PB1,202,2180,14
PB1,202,1163,2
PB1,409,2028,1822
PB1,409,2114,101
PB1,409,1686,2
PB1,409,2029,2
PB1,337,2185,2924
PB1,337,2115,4
PB1,337,2041,5
PB1,337,2187,2
PB1,298,2150,14193
PB1,298,2152,2
PB1,377,1913,8907
PB1,377,1914,6
PB1,377,2133,1
PB1,377,2049,1
PB1,551,1889,1631
PB1,444,1974,3354
PB1,444,1975,1
PB1,621,2064,923
PB1,283,2145,53
PB1,281,2155,1348
PB1,334,2090,334
PB1,2152,2195,1956
PB1,361,2114,23
PB1,362,2021,192
PB1,362,2145,38
PB1,362,2121,14
PB1,190,2099,1433
PB1,190,2100,4
PB1,437,2037,254
PB1,437,1995,16
PB1,437,1872,6
PB1,659,1762,477
PB1,263,2155,324
PB1,2053,2076,5
PB1,636,1833,16
PB1,636,1879,20
PB1,416,2038,1
PB1,416,2056,80
PB1,288,2131,816
PB1,414,2036,196
PB1,592,1904,70
PB1,592,634,14
PB1,592,2004,8
PB1,592,665,1
PB1,368,385,410
PB1,371,2016,68
PB1,371,2074,1
PB1,342,2119,211
PB1,342,2120,1
PB1,426,2076,5
PB1,426,1866,1
PB1,214,2195,172
PB1,214,2206,22
PB1,214,1941,6
PB1,304,2149,26
PB1,384,2056,45
PB1,384,1963,27
PB1,491,1903,603
PB1,491,2137,1
PB1,471,1968,76
PB1,376,2039,91
PB1,376,1913,2
PB1,219,2178,32
PB1,219,2207,1
PB1,219,2245,2
PB1,219,2185,4
PB1,497,2279,72
PB1,229,2154,274
PB1,229,2137,14
PB1,229,1485,2
PB1,676,1904,166
PB1,178,1958,2
PB1,178,1784,1
PB1,348,2152,16
PB1,348,2130,1
PB1,496,1914,102
PB1,496,2278,1
PB1,633,1817,69
PB1,462,1939,129
PB1,766,1741,53
PB1,504,1987,84
PB1,504,1970,2
PB1,504,2005,1
PB1,418,1992,172
PB1,436,2040,8
PB1,436,2004,7
PB1,435,482,19
PB1,435,1932,2
PB1,250,2140,17
PB1,250,2013,2
PB1,459,2035,25
PB1,522,1731,77
PB1,284,2203,24
PB1,777,1725,71
PB1,353,2031,323
PB1,353,2134,2
PB1,272,2151,2
PB1,272,2160,16
PB1,938,2170,13
PB1,1482,1509,2
PB1,433,1972,3
PB1,433,2033,2
PB1,623,1894,8
PB1,149,2004,10
PB1,415,2007,9
PB1,415,2082,1
PB1,415,2090,5
PB1,415,1952,1
PB1,242,2150,21
PB1,466,2104,145
PB1,1993,2087,1
PB1,146,348,4
PB1,146,178,1
PB1,251,2157,51
PB1,327,2150,17
PB1,327,2049,1
