Segment	Start	End	NGS_read_count
PB2	436	2041	1
PB2	165	2003	1
PB2	275	1829	1
PB2	532	1996	1
PB2	203	1886	1
PB2	367	1969	1
PB2	448	1983	1
PB2	530	2204	1
PB2	490	1994	1
PB2	273	1815	1
PB2	230	1868	1
PB2	342	1906	1
PB2	223	2067	1
PB2	550	1838	1
PB2	410	2187	1
PB2	505	1833	1
PB2	532	1877	1
PB2	373	2196	1
PB2	165	2135	1
PB2	400	2112	1
PB2	270	2096	1
PB2	405	1924	1
PB2	224	1840	1
PB2	200	2053	1
PB2	261	2073	1
PB2	516	2019	1
PB2	400	2188	1
PB2	176	1860	1
PB2	410	2205	1
PB2	498	2127	1
PB2	230	1892	1
PB2	220	2134	1
PB2	270	2016	1
PB2	180	2090	1
PB2	421	1860	1
PB2	455	2077	1
PB2	266	2064	1
PB2	162	1856	1
PB2	200	2130	1
PB2	540	2183	1
PB2	367	1933	1
PB2	389	1998	1
PB2	456	1935	1
PB2	224	1956	1
PB2	244	2200	1
PB2	438	2115	1
PB2	265	2060	1
PB2	251	1965	1
PB2	206	2128	1
PB2	170	2077	1
PB2	296	2119	1
PB2	414	2017	1
PB2	405	1835	1
PB2	284	1826	1
PB2	441	1929	1
PB2	384	1876	1
PB2	428	1965	1
PB2	394	1956	1
PB2	522	2048	1
PB2	263	2183	1
PB2	227	2205	1
PB2	511	2045	1
PB2	207	1984	1
PB2	270	1834	1
PB2	551	1830	1
PB2	494	1954	1
PB2	378	1987	1
PB2	395	2076	1
PB2	516	1982	1
PB2	458	2025	1
PB2	372	2094	1
PB2	326	1863	1
PB2	419	2049	1
PB2	302	1987	1
PB2	293	1990	1
PB2	480	1856	1
PB2	299	2148	1
PB2	293	2204	1
PB2	426	2023	1
PB2	544	2150	1
PB2	269	2154	1
PB2	333	2124	1
PB2	374	1925	1
PB2	299	1912	1
PB2	471	1889	1
PB2	495	1879	1
PB2	228	1928	1
PB2	414	1932	1
PB2	391	1954	1
PB2	243	1847	1
PB2	159	2158	1
PB2	264	1970	1
PB2	169	2061	1
PB2	301	2209	1
PB2	500	2021	1
PB2	324	2064	1
PB2	536	2075	1
PB2	388	2013	1
PB2	224	1946	1
PB2	266	1901	1
PB2	519	2060	1
PB2	321	1942	1
PB2	499	1895	1
PB2	335	1836	1
PB2	261	1885	1
PB2	531	2080	1
PB2	209	2097	1
PB2	471	1898	1
PB2	429	2174	1
PB2	419	2102	1
PB2	231	1875	1
PB2	214	1947	1
PB2	181	2020	1
PB2	380	1818	1
PB2	486	1903	1
PB2	220	1960	1
PB2	191	2113	1
PB2	401	1990	1
PB2	308	2156	1
PB2	220	1861	1
PB2	337	1858	1
PB2	380	1982	1
PB2	318	2085	1
PB2	290	1815	1
PB2	210	1957	1
PB2	543	1953	1
PB2	302	2066	1
PB2	545	2120	1
PB2	356	1861	1
PB2	338	1998	1
PB2	416	2089	1
PB2	177	2161	1
PB2	513	2054	1
PB2	352	2168	1
PB2	363	1821	1
PB2	395	2196	1
PB2	389	1914	1
PB2	429	2060	1
PB2	346	1882	1
PB2	448	1883	1
PB2	370	2036	1
PB2	303	2050	1
PB2	501	1849	1
PB2	540	2029	1
PB2	366	2084	1
PB2	208	1900	1
PB2	538	1881	1
PB2	237	2155	1
PB2	365	2200	1
PB2	543	1922	1
PB2	517	2001	1
PB2	287	2045	1
PB2	402	1841	1
PB2	457	2119	1
PB2	454	1859	1
PB2	363	2030	1
PB2	353	2208	1
PB2	244	1992	1
PB2	464	2158	1
PB2	414	1934	1
PB2	256	1918	1
PB2	456	2067	1
PB2	427	1973	1
PB2	258	2083	1
PB2	499	1858	1
PB2	175	2197	1
PB2	270	2006	1
PB2	155	2097	1
PB2	409	2043	1
PB2	549	2188	1
PB2	240	1949	1
PB2	464	2141	1
PB2	327	1892	1
PB2	458	2156	1
PB2	419	1915	1
PB2	228	2079	1
PB2	437	2043	1
PB2	466	1901	1
PB2	184	1975	1
PB2	284	2041	1
PB2	475	1898	1
PB2	464	1844	1
PB2	396	2131	1
PB2	355	1982	1
PB2	509	2106	1
PB2	223	2116	1
PB2	359	2195	1
PB2	194	2072	1
PB2	412	2138	1
PB2	492	2161	1
PB2	522	1872	1
PB2	346	1907	1
PB2	533	2084	1
PB2	533	2179	1
PB2	347	1849	1
PB2	306	2016	1
PB2	368	1858	1
PB2	548	2010	1
PB2	523	2128	1
PB2	445	2049	1
PB2	348	2095	1
PB2	337	1948	1
PB2	416	1886	1
PB2	418	1977	1
PB2	172	2091	1
PB2	200	2101	1
PB2	448	2095	1
PB2	445	2185	1
PB2	169	1925	1
PB2	209	2186	1
PB2	310	1860	1
PB2	304	1934	1
PB2	514	1934	1
PB2	446	2183	1
PB2	389	2052	1
PB2	293	2148	1
PB2	540	1851	1
PB2	405	1946	1
PB2	183	1952	1
PB2	398	2153	1
PB2	372	2197	1
PB2	430	2007	1
