Segment,Start,End,NGS_read_count
HA,32,1073,1
HA,35,916,1
HA,36,1640,2
HA,37,68,1
HA,37,1075,1
HA,42,1671,2
HA,44,1501,1
HA,45,1735,1
HA,46,1239,1
HA,47,962,1
HA,55,348,1
HA,55,1308,1
HA,76,1671,1
HA,81,931,1
HA,83,1058,1
HA,91,868,1
HA,91,1107,1
HA,91,1108,1
HA,91,1287,1
HA,91,1672,3
HA,92,1108,1
HA,93,872,1
HA,132,1015,1
HA,143,1021,1
HA,197,920,1
HA,197,1498,4
HA,198,935,1
HA,198,1141,2
HA,199,914,1
HA,202,245,5
HA,202,789,2
HA,202,1371,1
HA,202,1514,2
HA,204,1056,1
HA,264,865,1
HA,264,1014,1
HA,264,1015,1
HA,266,1017,2
HA,267,1085,2
HA,267,1308,1
HA,270,348,2
HA,270,962,2
HA,272,340,2
HA,272,1016,1
HA,371,1248,1
HA,372,1069,2
HA,634,951,1
HA,634,1343,2
HA,638,1011,1
HA,638,1686,2
HA,639,1340,2
HA,800,979,1
HA,800,1285,1
HA,803,1301,1
HA,811,951,1
HA,820,1467,2
HA,821,1484,1
HA,912,1012,1
HA,913,960,1
HA,913,995,1
HA,913,1099,1
HA,926,969,1
HA,928,1672,1
HA,930,1348,2
HA,946,1751,1
HA,948,1304,1
HA,948,1689,1
HA,963,1230,4
HA,963,1695,1
HA,975,1468,2
HA,977,1287,1
HA,979,1469,2
HA,982,1686,2
HA,985,1053,2
HA,986,1287,1
HA,988,1350,1
HA,993,1141,2
HA,994,1114,2
HA,1023,1074,2
HA,1023,1229,2
HA,1023,1651,1
HA,1026,1058,1
HA,1031,1132,1
HA,1031,1518,2
HA,1033,1735,1
HA,1040,1673,1
HA,1041,1151,2
HA,1071,1118,1
HA,1072,1110,1
HA,1073,1745,1
HA,1078,1353,2
HA,1078,1737,1
HA,1079,1745,1
HA,1081,1342,2
HA,1089,1118,190
HA,1090,1116,2
HA,1093,1655,1
HA,1094,1734,1
HA,1098,1496,2
HA,1098,1737,2
HA,1099,1244,2
HA,1099,1669,1
HA,1100,1413,1
HA,1101,1285,1
HA,1111,1247,2
HA,1112,1345,1
HA,1116,1693,1
HA,1124,1737,1
HA,1126,1500,1
HA,1128,1342,1
HA,1128,1752,1
HA,1128,1755,1
HA,1129,1673,1
HA,1130,1656,2
HA,1130,1738,2
HA,1140,1411,1
HA,1141,1483,1
HA,1147,1504,1
HA,1155,1354,2
HA,1161,1357,1
HA,1163,1696,1
HA,1165,1246,1
HA,1165,1358,2
HA,1170,1276,1
HA,1171,1260,1
HA,1171,1350,2
HA,1172,1685,1
HA,1176,1246,1
HA,1177,1234,1
HA,1255,1288,1
HA,1266,1499,1
HA,1266,1518,1
HA,1272,1360,1
HA,1284,1736,1
HA,1312,1467,1
HA,1319,1685,1
HA,1329,1504,1
HA,1365,1674,1
HA,1383,1639,1
HA,1392,1466,2
HA,1392,1498,1
HA,1491,1652,1
HA,1491,1686,2
HA,1493,1689,2
HA,1510,1656,1
M,33,146,1
M,33,327,1
M,33,579,1
M,33,741,1
M,33,866,1
M,35,69,1
M,35,411,1
M,35,936,2
M,35,937,1
M,36,292,1
M,36,564,1
M,36,885,1
M,37,177,1
M,48,584,1
M,48,696,1
M,49,946,1
M,50,267,1
M,50,642,1
M,51,243,1
M,51,345,1
M,52,752,1
M,53,166,1
M,53,864,1
M,55,825,4
M,56,283,1
M,57,585,2
M,60,326,1
M,60,367,1
M,60,400,1
M,61,137,1
M,61,168,1
M,61,268,1
M,61,389,1
M,61,464,1
M,61,472,1
M,61,539,1
M,61,547,2
M,61,722,2
M,61,757,1
M,62,556,1
M,62,577,1
M,62,783,1
M,62,841,1
M,63,818,1
M,63,864,1
M,64,174,1
M,64,184,1
M,64,682,1
M,64,805,1
M,64,822,1
M,65,566,1
M,66,582,2
M,67,339,1
M,67,529,1
M,67,950,1
M,68,363,1
M,70,951,1
M,72,290,1
M,72,882,1
M,73,134,2
M,73,412,1
M,73,694,1
M,73,706,1
M,74,290,1
M,75,190,1
M,75,703,1
M,75,846,1
M,76,389,2
M,76,441,1
M,78,927,1
M,80,221,1
M,80,338,1
M,80,1013,3
M,80,1043,1
M,81,179,1
M,81,309,1
M,82,203,2
M,82,791,1
M,83,162,1
M,83,170,1
M,83,567,1
M,84,214,1
M,85,1014,1
M,87,361,1
M,87,949,1
M,88,405,1
M,88,564,1
M,88,571,1
M,99,1042,1
M,99,1046,3
M,100,649,1
M,101,229,2
M,101,388,2
M,101,390,1
M,101,806,1
M,101,974,1
M,102,1012,1
M,103,265,1
M,103,821,2
M,103,1011,1
M,114,472,1
M,114,683,1
M,114,690,1
M,115,280,1
M,115,693,1
M,115,697,2
M,116,487,1
M,116,954,1
M,117,149,1
M,117,218,1
M,117,460,1
M,117,592,1
M,117,913,1
M,118,264,1
M,118,886,1
M,118,1016,4
M,119,404,1
M,119,951,1
M,119,1057,1
M,120,329,1
M,120,547,2
M,120,922,1
M,121,210,2
M,122,144,2
M,122,486,1
M,122,566,2
M,122,1039,1
M,123,230,1
M,123,277,2
M,123,280,2
M,123,418,1
M,123,789,2
M,123,936,1
M,124,202,5
M,124,740,1
M,124,786,1
M,125,293,1
M,125,1013,17
M,125,1040,1
M,127,883,1
M,127,1013,7
M,127,1034,4
M,127,1054,2
M,129,228,1
M,129,446,1
M,129,495,1
M,130,802,1
M,130,881,1
M,130,1031,1
M,131,373,1
M,140,471,1
M,140,584,1
M,140,844,1
M,142,429,1
M,143,548,1
M,143,586,2
M,143,935,2
M,145,266,1
M,145,565,1
M,145,584,1
M,147,1041,18
M,149,564,1
M,149,689,2
M,149,918,4
M,150,689,2
M,150,852,1
M,150,1047,5
M,152,472,1
M,153,1047,1
M,154,259,2
M,154,574,1
M,154,912,1
M,154,1047,1
M,155,621,1
M,156,274,1
M,157,181,2
M,157,390,1
M,157,494,1
M,157,565,1
M,157,636,1
M,157,697,1
M,157,740,1
M,157,841,1
M,157,1018,1
M,158,361,1
M,158,577,2
M,158,701,1
M,159,185,1
M,159,403,1
M,160,406,1
M,160,911,2
M,161,327,1
M,161,951,2
M,162,473,2
M,162,965,1
M,163,642,2
M,164,722,2
M,164,912,1
M,167,474,1
M,167,848,1
M,167,1029,1
M,168,352,1
M,168,445,3
M,168,654,2
M,168,684,2
M,168,692,1
M,168,705,1
M,168,739,1
M,169,408,2
M,169,588,2
M,170,784,2
M,170,846,1
M,171,214,2
M,171,569,1
M,171,1018,5
M,171,1054,1
M,172,348,1
M,172,390,2
M,172,624,1
M,172,1016,1
M,173,347,2
M,173,817,2
M,173,939,1
M,174,259,1
M,174,935,1
M,175,244,2
M,175,721,1
M,176,322,2
M,176,583,2
M,177,768,1
M,178,753,2
M,179,227,2
M,179,721,2
M,180,224,1
M,180,942,2
M,180,1035,1
M,181,207,2
M,181,214,1
M,181,621,2
M,181,685,1
M,181,820,2
M,182,345,2
M,182,486,2
M,182,940,10
M,183,215,2
M,183,340,2
M,183,486,2
M,183,566,2
M,183,696,1
M,183,942,9
M,183,1018,1
M,184,511,1
M,184,1016,16
M,184,1023,1
M,185,963,2
M,185,1014,2
M,186,436,1
M,186,937,1
M,186,940,7
M,187,343,2
M,187,829,2
M,188,559,1
M,188,951,1
M,189,353,2
M,189,741,1
M,189,1017,17
M,190,245,1
M,190,277,2
M,190,834,2
M,191,719,1
M,191,859,2
M,191,1055,1
M,192,308,1
M,192,567,2
M,193,549,1
M,193,905,3
M,194,216,2
M,194,473,2
M,194,705,1
M,194,822,1
M,194,885,2
M,194,923,2
M,195,591,1
M,196,642,1
M,196,916,18
M,197,644,1
M,197,789,2
M,197,791,2
M,199,688,2
M,199,754,1
M,200,664,1
M,208,460,1
M,208,506,1
M,209,400,1
M,209,704,2
M,209,759,2
M,210,355,2
M,210,949,1
M,210,1011,1
M,213,756,1
M,214,353,1
M,214,478,1
M,214,623,1
M,214,939,1
M,215,795,2
M,216,906,2
M,217,574,1
M,218,245,1
M,218,468,1
M,218,866,1
M,219,361,1
M,219,447,1
M,219,641,1
M,220,823,2
M,220,943,1
M,221,563,2
M,221,1017,1
M,223,305,1
M,223,796,1
M,223,912,1
M,223,937,1
M,224,371,1
M,224,825,2
M,224,1037,2
M,225,266,1
M,225,352,2
M,225,697,1
M,225,807,2
M,226,274,1
M,226,310,2
M,226,479,1
M,226,636,2
M,227,427,1
M,228,590,1
M,228,685,2
M,228,846,1
M,229,280,1
M,229,565,2
M,229,653,1
M,229,922,2
M,229,1058,1
M,230,328,2
M,230,636,1
M,231,768,1
M,231,837,2
M,232,411,1
M,232,945,1
M,232,960,1
M,233,591,2
M,233,803,2
M,234,280,2
M,235,423,2
M,235,540,1
M,235,704,2
M,235,893,1
M,235,912,1
M,235,1029,1
M,236,753,1
M,236,801,2
M,236,960,1
M,237,290,3
M,237,481,2
M,237,706,1
M,237,848,1
M,237,944,10
M,237,962,2
M,238,267,1
M,238,292,1
M,238,293,2
M,238,361,2
M,238,415,2
M,238,460,2
M,238,557,1
M,238,694,1
M,238,949,2
M,238,951,2
M,238,1018,2
M,238,1019,2
M,238,1052,2
M,239,264,2
M,239,268,1
M,239,274,2
M,239,281,1
M,239,599,1
M,240,366,1
M,240,548,2
M,240,707,1
M,241,433,2
M,241,589,2
M,241,822,2
M,241,894,1
M,241,920,2
M,243,321,2
M,243,461,2
M,243,732,3
M,244,410,2
M,244,785,2
M,244,820,2
M,244,844,1
M,245,549,2
M,246,567,1
M,246,587,2
M,246,936,2
M,249,376,1
M,249,758,2
M,249,934,1
M,250,427,1
M,250,944,2
M,251,593,1
M,252,503,2
M,254,784,1
M,254,797,2
M,254,849,1
M,254,891,1
M,254,905,1
M,254,1040,1
M,255,733,2
M,263,788,1
M,265,497,1
M,268,292,1
M,268,332,1
M,268,375,1
M,268,622,1
M,268,704,1
M,268,758,1
M,268,790,1
M,268,807,1
M,268,912,1
M,268,918,1
M,268,935,1
M,268,947,1
M,268,1041,1
M,269,702,1
M,269,710,1
M,269,1011,1
M,270,589,3
M,270,727,1
M,271,446,1
M,271,809,1
M,272,433,2
M,272,439,1
M,272,540,1
M,272,562,1
M,272,743,1
M,272,870,2
M,273,849,1
M,273,1033,1
M,276,325,1
M,276,413,1
M,276,442,2
M,277,565,2
M,277,732,1
M,277,796,1
M,279,496,2
M,279,568,2
M,279,1019,1
M,280,305,1
M,281,354,2
M,282,831,1
M,283,915,1
M,283,964,1
M,284,468,2
M,285,591,2
M,285,689,2
M,285,796,2
M,285,941,1
M,286,349,2
M,287,362,2
M,287,583,2
M,287,914,2
M,287,1029,1
M,288,682,1
M,289,671,1
M,290,538,1
M,290,571,1
M,290,807,1
M,290,885,1
M,290,945,30
M,290,1025,1
M,291,565,2
M,291,800,2
M,291,1056,1
M,292,352,2
M,292,552,2
M,292,637,2
M,292,691,2
M,292,694,2
M,292,699,1
M,292,722,1
M,292,830,2
M,292,874,1
M,292,1035,1
M,293,318,2
M,293,399,1
M,293,549,2
M,293,939,2
M,294,363,1
M,294,407,2
M,294,934,2
M,295,318,3
M,295,863,1
M,295,1012,1
M,296,331,2
M,296,523,2
M,296,685,2
M,297,531,2
M,298,553,1
M,299,1016,2
M,301,339,2
M,310,354,1
M,310,912,1
M,312,821,1
M,313,538,1
M,313,1036,1
M,316,390,1
M,317,413,1
M,317,540,1
M,318,966,2
M,319,460,1
M,319,462,2
M,319,539,1
M,319,552,1
M,319,684,1
M,319,822,2
M,319,893,2
M,320,427,2
M,320,432,1
M,320,591,1
M,320,813,2
M,320,828,1
M,320,830,1
M,320,864,1
M,321,759,1
M,323,355,1
M,323,943,2
M,324,728,1
M,324,735,2
M,325,949,1
M,327,528,1
M,327,553,1
M,327,705,2
M,327,752,2
M,327,1049,1
M,328,352,2
M,328,936,1
M,329,361,3
M,329,390,2
M,329,758,2
M,329,1020,1
M,329,1052,1
M,330,413,1
M,330,953,1
M,331,585,3
M,331,586,2
M,331,722,2
M,332,484,1
M,332,705,1
M,332,916,1
M,333,392,1
M,333,722,2
M,333,806,1
M,333,944,1
M,334,822,2
M,335,489,1
M,337,375,2
M,337,582,2
M,338,632,2
M,339,396,1
M,339,684,2
M,339,1048,1
M,340,789,1
M,342,534,1
M,342,686,1
M,343,739,1
M,343,837,1
M,343,842,2
M,344,631,1
M,344,848,23
M,346,847,1
M,346,939,34
M,347,963,2
M,348,401,2
M,348,433,2
M,348,496,1
M,348,571,2
M,348,703,1
M,348,739,2
M,348,759,1
M,349,532,1
M,349,565,1
M,350,479,1
M,350,841,10
M,351,958,1
M,352,420,2
M,353,755,8
M,354,489,1
M,354,704,2
M,354,923,2
M,354,1034,2
M,355,698,2
M,356,549,2
M,356,567,1
M,357,422,2
M,357,565,2
M,359,795,2
M,360,913,1
M,361,465,2
M,363,462,2
M,363,643,2
M,364,460,2
M,365,393,1
M,365,735,2
M,365,839,2
M,367,560,1
M,367,591,2
M,367,820,2
M,368,400,1
M,368,427,2
M,368,445,1
M,368,697,1
M,369,869,1
M,370,689,2
M,370,843,2
M,371,503,2
M,372,555,3
M,372,766,1
M,372,844,1
M,373,497,2
M,373,532,2
M,374,494,3
M,374,696,1
M,375,399,2
M,375,575,2
M,375,580,1
M,375,799,2
M,375,863,1
M,376,427,2
M,376,490,2
M,376,554,161
M,376,562,2
M,376,711,1
M,377,761,1
M,378,743,1
M,378,905,2
M,378,924,1
M,380,427,1
M,380,708,4
M,380,848,1
M,381,511,1
M,382,836,2
M,382,926,2
M,384,722,9
M,385,477,2
M,394,565,1
M,394,567,1
M,394,741,4
M,395,610,1
M,395,624,1
M,396,543,2
M,400,473,2
M,400,926,1
M,403,489,1
M,404,700,2
M,406,492,2
M,406,707,2
M,406,872,1
M,407,505,2
M,409,560,1
M,409,952,1
M,414,645,1
M,414,685,1
M,414,741,1
M,415,636,1
M,415,655,1
M,415,693,1
M,415,697,1
M,415,789,2
M,415,882,1
M,415,928,2
M,416,475,2
M,416,534,1
M,416,739,1
M,417,743,2
M,417,803,2
M,417,846,2
M,417,895,1
M,417,941,1
M,418,893,1
M,419,913,1
M,421,752,2
M,422,804,2
M,422,1037,1
M,423,555,2
M,423,829,1
M,424,477,1
M,429,506,1
M,429,705,2
M,430,963,2
M,431,845,2
M,432,539,2
M,432,965,1
M,432,1046,1
M,434,733,2
M,434,919,1
M,436,945,1
M,438,944,1
M,439,862,2
M,440,795,1
M,441,581,2
M,441,819,2
M,442,464,1
M,442,553,2
M,442,915,2
M,443,785,2
M,443,928,2
M,443,1003,1
M,443,1056,1
M,444,467,1
M,444,688,2
M,445,727,2
M,446,522,2
M,447,842,1
M,449,909,1
M,450,808,2
M,450,840,1
M,451,490,1
M,452,770,1
M,454,492,2
M,454,553,2
M,454,595,2
M,456,822,2
M,457,567,2
M,457,720,1
M,466,583,1
M,469,963,2
M,470,574,1
M,470,577,2
M,471,539,3
M,471,542,2
M,471,564,2
M,471,610,2
M,471,696,4
M,471,803,1
M,471,830,2
M,471,938,1
M,472,547,2
M,472,636,1
M,472,935,1
M,473,550,1
M,476,643,1
M,484,508,1
M,484,702,2
M,484,1036,1
M,485,786,2
M,487,565,7
M,487,884,1
M,487,931,1
M,489,527,2
M,489,574,1
M,490,770,2
M,490,834,2
M,490,904,1
M,490,913,1
