Segment	Start	End	NGS_read_count
PB2	80	1936	1
PB2	85	2103	1
PB2	270	1884	1
PB2	146	1879	1
PB2	235	2120	1
PB2	239	2004	1
PB2	132	1811	1
PB2	309	1958	1
PB2	212	1854	1
PB2	71	1986	1
PB2	250	2160	1
PB2	206	2041	1
PB2	391	1885	1
PB2	139	1838	1
PB2	219	2092	1
PB2	172	2102	1
PB2	200	2156	1
PB2	349	1953	1
PB2	436	2139	1
PB2	371	2140	1
PB2	128	1993	1
PB2	199	2041	1
PB2	308	2060	1
PB2	88	2164	1
PB2	64	2033	1
PB2	172	2067	1
PB2	114	1830	1
PB2	326	2148	1
PB2	86	2053	1
PB2	85	1956	1
PB2	165	2126	1
PB2	312	1844	1
PB2	422	2113	1
PB2	420	2073	1
PB2	131	1884	1
PB2	378	1830	1
PB2	127	1811	1
PB2	268	1843	1
PB2	197	2079	1
PB2	419	2153	1
PB2	65	1884	1
PB2	326	1817	1
PB2	90	1861	1
PB2	98	1777	1
PB2	425	2096	1
PB2	263	1962	1
PB2	356	2163	1
PB2	53	1793	1
PB2	211	1887	1
PB2	239	1965	1
PB2	254	1877	1
PB2	261	2124	1
PB2	107	2089	1
PB2	229	1974	1
PB2	120	2108	1
PB2	89	2094	1
PB2	172	1951	1
PB2	80	1809	1
PB2	228	1913	1
PB2	433	1956	1
PB2	399	2022	1
PB2	271	1982	1
PB2	102	2160	1
PB2	162	1896	1
PB2	379	1860	1
PB2	413	1883	1
PB2	112	1983	1
PB2	235	1777	1
PB2	221	2158	1
PB2	95	2020	1
PB2	134	1838	1
PB2	198	1964	1
PB2	321	1973	1
PB2	286	2117	1
PB2	139	1861	1
PB2	264	2134	1
PB2	326	1923	1
PB2	338	1837	1
PB2	226	1874	1
PB2	50	2004	1
PB2	402	2061	1
PB2	258	1892	1
PB2	122	2037	1
PB2	334	1993	1
PB2	399	1850	1
PB2	326	1909	1
PB2	250	1889	1
PB2	218	1874	1
PB2	268	2043	1
PB2	162	2116	1
PB2	78	1816	1
PB2	331	1860	1
PB2	269	2083	1
PB2	261	1884	1
PB2	209	1805	1
PB2	347	1920	1
PB2	294	1807	1
PB2	400	1854	1
PB2	275	1906	1
PB2	101	1775	1
PB2	178	2046	1
PB2	221	1785	1
PB2	203	1922	1
PB2	278	2094	1
PB2	322	1978	1
PB2	287	2022	1
PB2	254	2163	1
PB2	175	1811	1
PB2	341	1822	1
PB2	159	2157	1
PB2	150	2075	1
PB2	434	1926	1
PB2	316	1949	1
PB2	366	2059	1
PB2	136	1824	1
PB2	101	2018	1
PB2	286	1787	1
PB2	414	1935	1
PB2	57	2111	1
PB2	197	1795	1
PB2	300	2121	1
PB2	91	2128	1
PB2	390	1986	1
PB2	198	1894	1
PB2	128	2111	1
PB2	109	2013	1
PB2	113	1812	1
PB2	87	2114	1
PB2	100	1873	1
PB2	409	1957	1
PB2	137	1868	1
PB2	283	1815	1
PB2	385	2072	1
PB2	237	1789	1
PB2	199	1870	1
PB2	396	2077	1
PB2	148	2071	1
PB2	215	1818	1
PB2	382	2107	1
PB2	362	2012	1
PB2	247	1864	1
PB2	146	1828	1
PB2	80	2082	1
PB2	80	2164	1
PB2	214	2037	1
PB2	251	2057	1
PB2	378	2040	1
PB2	408	1969	1
PB2	203	1998	1
PB2	371	2058	1
PB2	159	1790	1
PB2	167	1997	1
PB2	348	1833	1
PB2	89	2089	1
PB2	298	1808	1
PB2	196	1870	1
PB2	424	2137	1
PB2	208	1802	1
PB2	209	2082	1
