Segment	Start	End	NGS_read_count
PB2	361	1820	1
PB2	456	1788	1
PB2	521	1767	1
PB2	443	1818	1
PB2	445	1847	1
PB2	531	1799	1
PB2	246	1575	1
PB2	384	1625	1
PB2	179	1510	1
PB2	516	1727	1
PB2	427	1519	1
PB2	208	1823	1
PB2	216	1530	1
PB2	410	1760	1
PB2	418	1618	1
PB2	259	1573	1
PB2	412	1515	1
PB2	196	1767	1
PB2	509	1491	1
PB2	522	1672	1
PB2	556	1718	1
PB2	185	1822	1
PB2	391	1845	1
PB2	340	1771	1
PB2	251	1714	1
PB2	236	1841	1
PB2	450	1800	1
PB2	204	1641	1
PB2	294	1833	1
PB2	492	1757	1
PB2	444	1542	1
PB2	565	1718	1
PB2	518	1573	1
PB2	246	1790	1
PB2	387	1568	1
PB2	526	1500	1
PB2	494	1739	1
PB2	478	1765	1
PB2	499	1657	1
PB2	185	1531	1
PB2	272	1517	1
PB2	549	1512	1
PB2	347	1720	1
PB2	407	1832	1
PB2	313	1641	1
PB2	382	1830	1
PB2	258	1718	1
PB2	340	1826	1
PB2	282	1552	1
PB2	328	1473	1
PB2	223	1514	1
PB2	257	1617	1
PB2	455	1674	1
PB2	270	1829	1
PB2	333	1716	1
PB2	558	1793	1
PB2	202	1555	1
PB2	243	1487	1
PB2	242	1676	1
PB2	236	1476	1
PB2	196	1700	1
PB2	336	1765	1
PB2	277	1551	1
PB2	353	1661	1
PB2	548	1603	1
PB2	278	1578	1
PB2	552	1746	1
PB2	516	1836	1
PB2	397	1696	1
PB2	289	1552	1
PB2	207	1677	1
PB2	549	1831	1
PB2	361	1862	1
PB2	456	1829	1
PB2	373	1855	1
PB2	336	1835	1
PB2	524	1803	1
PB2	416	1560	1
PB2	291	1486	1
PB2	518	1600	1
PB2	433	1719	1
PB2	234	1704	1
PB2	180	1583	1
PB2	284	1691	1
PB2	304	1819	1
PB2	200	1484	1
PB2	202	1748	1
PB2	249	1625	1
PB2	438	1556	1
PB2	213	1521	1
PB2	530	1775	1
PB2	455	1722	1
PB2	297	1654	1
PB2	332	1805	1
PB2	401	1755	1
PB2	212	1607	1
PB2	193	1652	1
PB2	358	1849	1
PB2	460	1789	1
PB2	268	1559	1
PB2	420	1480	1
PB2	427	1548	1
PB2	447	1634	1
PB2	551	1681	1
PB2	255	1798	1
PB2	408	1547	1
PB2	237	1652	1
PB2	174	1815	1
PB2	184	1804	1
PB2	513	1746	1
PB2	343	1741	1
PB2	523	1692	1
PB2	466	1811	1
PB2	345	1807	1
PB2	537	1549	1
PB2	402	1620	1
PB2	294	1643	1
PB2	456	1507	1
PB2	421	1821	1
PB2	529	1849	1
PB2	282	1533	1
PB2	337	1532	1
PB2	445	1855	1
PB2	420	1788	1
PB2	261	1532	1
PB2	290	1706	1
PB2	294	1568	1
PB2	370	1572	1
PB2	492	1512	1
PB2	234	1710	1
PB2	489	1548	1
PB2	200	1811	1
PB2	287	1568	1
PB2	455	1630	1
PB2	452	1683	1
PB2	192	1648	1
PB2	410	1811	1
PB2	310	1655	1
PB2	541	1681	1
PB2	397	1550	1
PB2	493	1594	1
PB2	565	1536	1
PB2	165	1537	1
PB2	419	1575	1
PB2	488	1478	1
PB2	410	1539	1
PB2	490	1639	1
PB2	467	1576	1
PB2	499	1709	1
PB2	259	1652	1
PB2	224	1745	1
PB2	291	1753	1
PB2	508	1801	1
PB2	520	1599	1
PB2	393	1813	1
PB2	357	1705	1
PB2	302	1783	1
PB2	483	1495	1
PB2	377	1559	1
PB2	474	1780	1
PB2	199	1600	1
PB2	408	1738	1
PB2	494	1620	1
PB2	434	1774	1
PB2	422	1571	1
PB2	174	1598	1
PB2	194	1731	1
PB2	326	1673	1
PB2	398	1532	1
PB2	490	1555	1
PB2	483	1580	1
PB2	318	1758	1
PB2	210	1631	1
PB2	453	1787	1
PB2	467	1661	1
PB2	475	1714	1
PB2	230	1621	1
PB2	178	1732	1
PB2	463	1476	1
PB2	474	1704	1
PB2	253	1860	1
PB2	187	1690	1
PB2	241	1825	1
PB2	346	1629	1
PB2	378	1850	1
PB2	194	1484	1
PB2	416	1501	1
PB2	310	1838	1
PB2	369	1735	1
PB2	320	1533	1
PB2	230	1474	1
PB2	286	1484	1
PB2	278	1712	1
PB2	188	1809	1
PB2	547	1607	1
PB2	340	1731	1
PB2	452	1753	1
PB2	538	1689	1
PB2	498	1626	1
PB2	471	1497	1
PB2	256	1671	1
