Segment	Start	End	NGS_read_count
PA	89	1164	1
PA	242	1277	1
PA	391	1322	1
PA	333	1407	1
PA	82	1164	1
PA	320	1351	1
PA	219	1241	1
PA	238	1246	1
PA	131	1242	1
PA	71	1519	1
PA	438	1394	1
PA	359	1135	1
PA	309	1347	1
PA	442	1153	1
PA	143	1140	1
PA	97	1188	1
PA	92	1309	1
PA	174	1393	1
PA	149	1382	1
PA	65	1487	1
PA	357	1395	1
PA	414	1327	1
PA	66	1413	1
PA	349	1285	1
PA	377	1296	1
PA	69	1157	1
PA	96	1205	1
PA	418	1256	1
PA	304	1515	1
PA	384	1470	1
PA	65	1271	1
PA	315	1384	1
PA	102	1184	1
PA	164	1300	1
PA	410	1496	1
PA	72	1387	1
PA	244	1408	1
PA	413	1324	1
PA	119	1203	1
PA	143	1513	1
PA	286	1153	1
PA	180	1453	1
PA	209	1315	1
PA	92	1408	1
PA	267	1146	1
PA	345	1429	1
PA	355	1510	1
PA	68	1505	1
PA	290	1254	1
PA	250	1314	1
PA	281	1399	1
PA	78	1388	1
PA	176	1488	1
PA	296	1159	1
PA	195	1343	1
PA	351	1299	1
PA	113	1514	1
PA	89	1231	1
PA	277	1484	1
PA	77	1235	1
PA	266	1462	1
PA	346	1195	1
PA	116	1521	1
PA	300	1467	1
PA	219	1291	1
PA	342	1162	1
PA	250	1286	1
PA	114	1524	1
PA	343	1407	1
PA	159	1319	1
PA	408	1236	1
PA	281	1262	1
PA	295	1506	1
PA	428	1390	1
PA	117	1188	1
PA	395	1424	1
PA	172	1388	1
PA	238	1509	1
PA	266	1291	1
PA	53	1186	1
PA	317	1199	1
PA	100	1370	1
PA	220	1308	1
PA	72	1453	1
PA	219	1498	1
PA	340	1256	1
PA	209	1204	1
PA	190	1348	1
PA	185	1459	1
PA	129	1304	1
PA	420	1532	1
PA	239	1371	1
PA	185	1402	1
PA	420	1378	1
PA	128	1153	1
PA	396	1316	1
PA	210	1473	1
PA	175	1289	1
PA	221	1415	1
PA	365	1298	1
PA	146	1529	1
PA	99	1198	1
PA	99	1489	1
PA	422	1300	1
PA	293	1322	1
PA	66	1252	1
PA	254	1360	1
PA	172	1440	1
PA	229	1416	1
PA	350	1474	1
PA	173	1135	1
PA	376	1534	1
PA	446	1442	1
PA	345	1189	1
PA	439	1252	1
PA	87	1177	1
PA	214	1337	1
PA	233	1227	1
PA	282	1368	1
PA	240	1464	1
PA	101	1187	1
PA	196	1214	1
PA	351	1498	1
PA	384	1291	1
PA	115	1534	1
PA	220	1360	1
PA	239	1404	1
PA	214	1346	1
PA	337	1408	1
PA	332	1239	1
PA	77	1489	1
PA	58	1290	1
PA	436	1475	1
PA	268	1260	1
PA	130	1360	1
PA	95	1473	1
PA	275	1196	1
PA	318	1518	1
PA	193	1337	1
PA	172	1494	1
PA	428	1397	1
PA	117	1186	1
PA	344	1315	1
PA	322	1481	1
PA	148	1189	1
PA	225	1215	1
PA	210	1244	1
PA	310	1217	1
PA	107	1455	1
PA	166	1476	1
PA	248	1507	1
PA	306	1252	1
PA	85	1321	1
PA	122	1403	1
PA	93	1261	1
PA	417	1477	1
PA	175	1266	1
PA	280	1165	1
PA	245	1289	1
PA	377	1321	1
PA	329	1244	1
PA	178	1172	1
PA	274	1172	1
PA	381	1404	1
PA	231	1464	1
PA	206	1227	1
PA	323	1280	1
PA	445	1378	1
PA	201	1247	1
PA	295	1142	1
PA	367	1360	1
PA	408	1516	1
PA	427	1306	1
PA	302	1345	1
PA	323	1276	1
PA	434	1361	1
PA	391	1508	1
PA	417	1450	1
PA	101	1171	1
PA	225	1352	1
PA	444	1342	1
PA	428	1479	1
PA	343	1208	1
PA	160	1352	1
PA	376	1294	1
PA	275	1400	1
PA	375	1180	1
PA	361	1461	1
PA	400	1534	1
PA	411	1213	1
PA	108	1430	1
PA	349	1175	1
PA	104	1182	1
PA	352	1265	1
PA	401	1445	1
PA	80	1382	1
PA	97	1199	1
PA	229	1374	1
PA	80	1158	1
PA	259	1488	1
PA	261	1425	1
PA	235	1449	1
PA	418	1308	1
PA	117	1335	1
PA	221	1510	1
PA	67	1232	1
PA	214	1212	1
PA	168	1287	1
PA	181	1276	1
PA	384	1387	1
PA	280	1335	1
PA	251	1154	1
PA	209	1264	1
PA	51	1215	1
PA	386	1276	1
PA	375	1527	1
PA	243	1464	1
PA	154	1260	1
PA	255	1180	1
PA	235	1461	1
PA	55	1329	1
PA	131	1481	1
PA	238	1287	1
PA	397	1223	1
PA	371	1406	1
PA	105	1296	1
PA	216	1404	1
PA	115	1486	1
PA	115	1525	1
PA	129	1303	1
PA	238	1369	1
