Segment	Start	End	NGS_read_count
PB2	117	1821	1
PB2	416	1802	1
PB2	200	1778	1
PB2	110	1810	1
PB2	419	1921	1
PB2	278	1848	1
PB2	109	1875	1
PB2	120	2080	1
PB2	452	2109	1
PB2	84	2133	1
PB2	393	2118	1
PB2	360	2074	1
PB2	232	1802	1
PB2	246	2082	1
PB2	253	2047	1
PB2	103	1918	1
PB2	393	2057	1
PB2	106	1869	1
PB2	376	2119	1
PB2	425	1904	1
PB2	138	1837	1
PB2	265	2054	1
PB2	263	2125	1
PB2	179	2018	1
PB2	289	2132	1
PB2	155	1913	1
PB2	352	2151	1
PB2	401	2010	1
PB2	100	1926	1
PB2	340	1916	1
PB2	323	2170	1
PB2	183	2021	1
PB2	366	1838	1
PB2	105	1784	1
PB2	367	1883	1
PB2	277	1790	1
PB2	283	1798	1
PB2	198	2011	1
PB2	449	2072	1
PB2	147	2152	1
PB2	349	1903	1
PB2	395	2155	1
PB2	57	1773	1
PB2	322	2102	1
PB2	292	2110	1
PB2	177	1986	1
PB2	90	1987	1
PB2	428	1816	1
PB2	236	1815	1
PB2	222	2029	1
PB2	144	1832	1
PB2	296	2095	1
PB2	402	1913	1
PB2	228	1880	1
PB2	187	1773	1
PB2	125	1829	1
PB2	77	2045	1
PB2	339	1788	1
PB2	189	1973	1
PB2	202	2040	1
PB2	190	2020	1
PB2	380	1849	1
PB2	321	1899	1
PB2	322	2159	1
PB2	67	1960	1
PB2	102	2103	1
PB2	212	1948	1
PB2	408	2145	1
PB2	134	1986	1
PB2	271	2150	1
PB2	234	1791	1
PB2	68	2055	1
PB2	231	1876	1
PB2	251	1902	1
PB2	58	1866	1
PB2	287	1797	1
PB2	384	2090	1
PB2	205	1934	1
PB2	257	2126	1
PB2	346	1919	1
PB2	394	1810	1
PB2	307	2008	1
PB2	250	2109	1
PB2	413	1809	1
PB2	169	1937	1
PB2	286	1927	1
PB2	354	1997	1
PB2	180	1778	1
PB2	144	2005	1
PB2	447	1980	1
PB2	124	1773	1
PB2	246	1855	1
PB2	121	1929	1
PB2	241	1883	1
PB2	302	1802	1
PB2	120	2128	1
PB2	185	2157	1
PB2	112	2159	1
PB2	364	2147	1
PB2	393	2144	1
PB2	390	1917	1
PB2	90	2099	1
PB2	356	1872	1
PB2	287	1876	1
PB2	79	1993	1
PB2	300	1833	1
PB2	375	2137	1
PB2	171	2076	1
PB2	209	1979	1
PB2	432	2140	1
PB2	374	2163	1
PB2	393	1802	1
PB2	405	2079	1
PB2	298	1808	1
PB2	238	1897	1
PB2	317	1911	1
PB2	202	1944	1
PB2	136	2103	1
PB2	86	1997	1
PB2	276	1897	1
PB2	333	2031	1
PB2	202	1952	1
PB2	275	1984	1
PB2	69	1838	1
PB2	297	1867	1
PB2	294	1994	1
PB2	169	1960	1
PB2	450	2018	1
PB2	82	1983	1
PB2	362	1771	1
PB2	453	1995	1
PB2	298	1941	1
PB2	444	2092	1
PB2	454	2057	1
PB2	248	1822	1
PB2	248	2083	1
PB2	242	2051	1
PB2	130	1796	1
PB2	441	2156	1
PB2	97	2119	1
PB2	271	2041	1
PB2	454	2006	1
PB2	103	1843	1
PB2	183	2083	1
PB2	436	2161	1
PB2	342	1897	1
PB2	66	1979	1
PB2	232	1864	1
PB2	397	2157	1
PB2	91	1916	1
PB2	121	2063	1
PB2	124	2064	1
PB2	434	1948	1
PB2	266	1775	1
PB2	218	2045	1
PB2	348	1997	1
PB2	340	2040	1
PB2	58	2055	1
PB2	282	2170	1
PB2	76	1955	1
PB2	192	2155	1
PB2	263	1868	1
PB2	298	1938	1
PB2	234	1957	1
PB2	322	2038	1
PB2	186	2112	1
PB2	445	1791	1
PB2	67	2077	1
PB2	294	2090	1
PB2	364	1828	1
PB2	166	2076	1
PB2	59	2117	1
PB2	353	1811	1
PB2	333	1797	1
PB2	395	2149	1
PB2	431	1899	1
PB2	144	1912	1
PB2	331	1850	1
PB2	395	1882	1
PB2	103	2094	1
PB2	454	1862	1
PB2	379	1987	1
PB2	413	1838	1
PB2	380	2041	1
PB2	228	2105	1
PB2	94	2140	1
PB2	296	2043	1
PB2	355	1951	1
PB2	444	1936	1
PB2	236	2166	1
PB2	119	2161	1
PB2	387	2012	1
PB2	135	1901	1
PB2	246	1982	1
PB2	360	2037	1
PB2	401	2090	1
PB2	293	1854	1
PB2	252	1822	1
PB2	333	2094	1
PB2	302	1925	1
PB2	388	1969	1
PB2	279	1780	1
PB2	428	2069	1
PB2	272	2100	1
PB2	89	2115	1
PB2	400	1802	1
PB2	319	2065	1
PB2	181	1939	1
PB2	397	2003	1
PB2	400	2170	1
PB2	449	1799	1
PB2	369	2095	1
PB2	356	2111	1
PB2	139	1952	1
PB2	209	1927	1
PB2	174	1893	1
PB2	56	1801	1
PB2	87	2105	1
PB2	292	2067	1
PB2	400	2090	1
PB2	288	1847	1
PB2	311	2010	1
PB2	239	2122	1
PB2	329	2158	1
PB2	328	2038	1
PB2	344	1980	1
PB2	443	2071	1
PB2	77	2037	1
PB2	169	1782	1
PB2	100	2004	1
PB2	146	2001	1
PB2	396	1958	1
PB2	102	1796	1
PB2	353	2126	1
PB2	387	2076	1
PB2	235	1839	1
PB2	439	1993	1
PB2	111	1971	1
PB2	260	2106	1
PB2	453	1933	1
PB2	420	1806	1
PB2	226	1898	1
PB2	157	1813	1
PB2	227	2129	1
PB2	394	2081	1
PB2	259	2087	1
PB2	320	1879	1
PB2	103	2155	1
PB2	214	2100	1
PB2	411	1872	1
PB2	293	1981	1
PB2	436	2092	1
PB2	190	1930	1
PB2	166	2126	1
PB2	121	2112	1
PB2	298	1902	1
PB2	299	2121	1
PB2	425	1895	1
PB2	407	1778	1
PB2	331	1981	1
PB2	322	2078	1
PB2	286	1998	1
PB2	115	1920	1
PB2	74	1896	1
PB2	334	2143	1
PB2	241	1985	1
PB2	276	1945	1
PB2	413	2049	1
PB2	168	1978	1
PB2	261	2080	1
PB2	159	2127	1
PB2	109	1858	1
PB2	200	1970	1
PB2	119	2108	1
PB2	100	1945	1
PB2	389	2060	1
PB2	151	2132	1
PB2	309	1979	1
PB2	386	2058	1
PB2	80	1796	1
PB2	273	2020	1
PB2	362	1776	1
PB2	350	2052	1
PB2	273	1775	1
PB2	277	2110	1
PB2	255	2104	1
PB2	366	1844	1
PB2	428	1770	1
PB2	435	1788	1
PB2	452	1915	1
PB2	388	2125	1
PB2	377	2056	1
PB2	327	2000	1
PB2	351	1927	1
PB2	424	2056	1
PB2	276	2115	1
PB2	77	2112	1
PB2	403	1844	1
PB2	429	2042	1
PB2	328	2049	1
PB2	109	1961	1
PB2	383	2091	1
PB2	295	2026	1
PB2	423	1844	1
PB2	193	1969	1
PB2	250	2160	1
PB2	194	2057	1
PB2	370	1835	1
PB2	160	1969	1
PB2	276	1813	1
PB2	268	2113	1
PB2	452	1866	1
PB2	126	1958	1
PB2	447	1988	1
PB2	285	1920	1
PB2	282	1871	1
PB2	252	1838	1
PB2	245	1985	1
PB2	313	1871	1
PB2	84	1780	1
PB2	453	1844	1
PB2	450	1976	1
PB2	399	1843	1
PB2	338	1833	1
PB2	270	2137	1
PB2	364	1942	1
PB2	226	1868	1
PB2	121	1966	1
PB2	442	2056	1
PB2	153	2010	1
PB2	285	1927	1
PB2	210	1955	1
PB2	107	1775	1
PB2	72	2088	1
PB2	317	1970	1
PB2	190	2058	1
PB2	213	1979	1
PB2	116	1986	1
PB2	449	1856	1
PB2	352	2137	1
PB2	158	1856	1
PB2	401	2134	1
PB2	324	2020	1
PB2	199	2129	1
PB2	321	2018	1
PB2	222	2104	1
PB2	201	1882	1
PB2	393	2041	1
PB2	373	1930	1
PB2	396	1957	1
PB2	228	2019	1
PB2	128	2130	1
PB2	67	2029	1
PB2	346	2130	1
PB2	125	1810	1
PB2	105	2112	1
PB2	415	2080	1
PB2	451	2044	1
PB2	203	1819	1
PB2	174	2100	1
PB2	377	2148	1
PB2	205	2039	1
PB2	329	1998	1
PB2	315	1840	1
PB2	175	2021	1
PB2	107	1972	1
PB2	157	1912	1
PB2	123	1835	1
PB2	129	1978	1
PB2	211	2094	1
PB2	140	1800	1
PB2	226	1915	1
PB2	86	1794	1
PB2	74	1790	1
PB2	171	2040	1
PB2	444	2103	1
PB2	143	1854	1
PB2	406	2113	1
PB2	134	1800	1
PB2	436	1957	1
PB2	244	1839	1
PB2	411	1954	1
PB2	221	2057	1
PB2	450	1985	1
PB2	191	1924	1
PB2	121	2028	1
PB2	380	1838	1
PB2	398	2108	1
PB2	255	1840	1
PB2	88	1916	1
PB2	78	1987	1
PB2	231	2035	1
PB2	312	2057	1
