Segment,Start,End,NGS_read_count
PB2,397,1766,15
PB2,424,1826,242
PB2,497,1887,32
PB2,559,1622,87
PB2,673,2105,150
PB2,228,2057,18
PB2,580,2109,16
PB2,620,1924,32
PB2,676,1927,14
PB2,742,2077,39
PB1,303,1934,151
PB1,314,2040,17
PB1,319,1938,372
PB1,327,1880,131
PB1,343,2097,405
PB1,347,1892,5011
PB1,361,1915,15
PB1,429,1728,335
PB1,555,1857,14
PB1,1982,2025,19
PB1,75,2128,18
PB1,134,2164,65
PB1,135,2163,317
PB1,146,2108,112
PB1,159,2011,76
PB1,166,2046,73
PB1,189,1994,29
PB1,193,2127,40
PB1,215,2102,16
PB1,256,2185,225
PB1,305,1903,25
PB1,315,2017,76
PB1,320,1895,32
PB1,350,1927,15
PB1,356,1840,24
PB1,366,1854,16
PB1,2083,2109,73
PB1,2228,2245,14
PA,205,1943,62
PA,244,1944,2648
PA,257,1902,310
PA,270,1834,28
PA,276,1882,702
PA,284,1919,1719
PA,300,1841,1094
PA,366,1698,316
PA,389,1751,37
PA,398,1697,18
PA,409,1714,41
PA,449,1730,31
PA,121,2074,103
PA,137,1951,68
PA,156,2025,133
PA,161,2001,25
PA,181,1978,14
PA,183,1915,16
PA,200,1930,29
PA,208,1978,40
PA,224,1918,39
PA,230,1933,15
PA,243,2009,45
NS,355,429,19
NP,479,1395,29
NP,436,1334,36
NP,438,1327,39
NP,476,1385,33
NP,487,1401,15
NA,271,997,14
M,353,428,49
M,478,553,74
M,511,653,28
M,601,704,22
M,619,664,24
M,622,763,16
M,639,703,19
HA,208,1445,85
HA,231,1445,42
