Segment,Start,End,NGS_read_count
HA,34,117,1
HA,37,1377,1
HA,38,1443,1
HA,39,133,2
HA,39,140,1
HA,44,336,1
HA,45,69,2
HA,45,123,1
HA,46,69,1
HA,46,108,5
HA,46,1250,2
HA,46,1533,1
HA,47,159,1
HA,47,700,2
HA,48,1485,1
HA,50,96,1
HA,52,77,1
HA,55,958,1
HA,56,79,1
HA,56,1450,1
HA,58,1530,1
HA,59,93,1
HA,59,1343,1
HA,63,110,3
HA,63,1469,1
HA,64,1515,1
HA,64,1570,2
HA,65,138,1
HA,65,1343,3
HA,65,1532,1
HA,67,1546,1
HA,69,1510,1
HA,70,1474,7
HA,79,127,2
HA,80,1488,1
HA,82,1697,1
HA,83,1453,3
HA,83,1545,1
HA,87,1417,1
HA,87,1519,2
HA,87,1635,5
HA,88,155,1
HA,88,1529,1
HA,90,1465,1
HA,91,1548,4
HA,92,1502,8
HA,93,1277,1
HA,93,1548,4
HA,95,1473,1
HA,96,1441,1
HA,96,1478,1
HA,97,1414,1
HA,97,1415,1
HA,97,1548,10
HA,98,1678,1
HA,100,1566,1
HA,101,1584,1
HA,102,1500,2
HA,102,1533,3
HA,103,187,2
HA,103,1547,7
HA,103,1551,4
HA,104,128,1
HA,104,137,2
HA,104,1542,4
HA,106,1551,1
HA,107,440,1
HA,107,1439,1
HA,107,1555,3
HA,110,1500,2
HA,112,1519,1
HA,114,1545,1
HA,115,1576,1
HA,116,454,1
HA,117,221,1
HA,117,1529,2
HA,119,141,1
HA,119,1459,1
HA,122,1708,1
HA,124,1518,1
HA,124,1535,7
HA,125,689,1
HA,125,1494,1
HA,126,151,4
HA,126,1359,2
HA,126,1447,7
HA,126,1470,115
HA,126,1532,4
HA,126,1535,1
HA,126,1546,1
HA,127,1544,1
HA,131,154,1
HA,133,1517,2
HA,133,1535,1
HA,133,1574,11
HA,135,439,1
HA,137,165,1
HA,137,167,5
HA,137,194,1
HA,137,1574,1
HA,139,1584,6
HA,139,1589,1
HA,140,1459,1
HA,140,1498,1
