Segment	Start	End	NGS_read_count
PB2	520	2035	1
PB2	627	1890	1
PB2	694	1765	1
PB2	490	1981	1
PB2	362	1997	1
PB2	589	1830	1
PB2	537	1848	1
PB2	423	1988	1
PB2	378	2065	1
PB2	363	1971	1
PB2	396	2059	1
PB2	496	1788	1
PB2	703	1823	1
PB2	478	1843	1
PB2	683	1721	1
PB2	605	1782	1
PB2	483	2060	1
PB2	503	1771	1
PB2	599	1887	1
PB2	470	1800	1
PB2	516	1792	1
PB2	461	1870	1
PB2	365	1738	1
PB2	456	1799	1
PB2	350	1802	1
PB2	317	1990	1
PB2	697	1867	1
PB2	331	1996	1
PB2	648	2012	1
PB2	368	1782	1
PB2	518	1973	1
PB2	683	1703	1
PB2	468	1729	1
PB2	610	1896	1
PB2	374	1703	1
PB2	504	2065	1
PB2	454	2025	1
PB2	596	2095	1
PB2	651	2090	1
PB2	336	1719	1
PB2	670	2028	1
PB2	591	1729	1
PB2	399	2001	1
PB2	336	2020	1
PB2	435	1968	1
PB2	377	1780	1
PB2	600	1707	1
PB2	477	1918	1
PB2	450	1783	1
PB2	594	2001	1
PB2	437	2078	1
PB2	519	1704	1
PB2	343	1715	1
PB2	654	1816	1
PB2	436	1717	1
PB2	471	1757	1
PB2	306	2011	1
PB2	399	1753	1
PB2	453	1852	1
PB2	631	1816	1
PB2	328	1889	1
PB2	526	2041	1
PB2	473	1857	1
PB2	618	1931	1
PB2	315	1802	1
PB2	536	1864	1
PB2	340	1811	1
PB2	450	2016	1
PB2	565	1785	1
PB2	461	1768	1
PB2	426	1809	1
PB2	415	1804	1
PB2	591	1831	1
PB2	580	1816	1
PB2	460	1785	1
PB2	511	1847	1
PB2	489	1746	1
PB2	584	2031	1
PB2	573	1701	1
PB2	315	2051	1
PB2	315	1883	1
PB2	342	2035	1
PB2	444	2015	1
PB2	527	2039	1
PB2	565	2028	1
PB2	590	1805	1
PB2	601	1919	1
PB2	410	2055	1
PB2	454	1881	1
PB2	411	1890	1
PB2	416	1771	1
PB2	680	1765	1
PB2	425	2000	1
PB2	560	2044	1
PB2	608	1789	1
PB2	552	2055	1
PB2	683	2072	1
PB2	320	1754	1
PB2	437	1958	1
PB2	590	2065	1
PB2	356	1859	1
PB2	409	1706	1
PB2	680	1860	1
PB2	394	1822	1
PB2	609	1748	1
PB2	316	1807	1
PB2	339	1731	1
PB2	418	1810	1
PB2	569	1989	1
PB2	319	2067	1
PB2	503	1887	1
PB2	529	2033	1
PB2	498	1798	1
PB2	345	1899	1
PB2	628	2057	1
PB2	574	2025	1
PB2	364	1738	1
PB2	334	1822	1
PB2	597	2058	1
PB2	673	2017	1
PB2	613	1938	1
PB2	644	1943	1
PB2	384	1966	1
PB2	391	1976	1
PB2	655	1774	1
PB2	486	1753	1
PB2	552	1922	1
PB2	461	1808	1
PB2	356	2009	1
PB2	340	1729	1
PB2	640	1884	1
PB2	648	1880	1
PB2	360	1832	1
PB2	312	2091	1
PB2	337	1866	1
PB2	603	1896	1
PB2	343	1733	1
PB2	468	2066	1
PB2	477	1818	1
PB2	585	2052	1
PB2	512	1769	1
PB2	616	1962	1
PB2	687	1730	1
PB2	319	1962	1
PB2	486	1764	1
PB2	549	2052	1
PB2	567	1937	1
PB2	614	1705	1
PB2	659	1909	1
PB2	511	1825	1
PB2	334	2050	1
PB2	333	1745	1
PB2	507	1852	1
PB2	501	1798	1
PB2	561	1950	1
PB2	316	2031	1
PB2	424	1782	1
PB2	474	2012	1
PB2	484	1739	1
PB2	332	1826	1
PB2	611	1875	1
PB2	683	1973	1
PB2	455	1777	1
PB2	537	1772	1
PB2	318	1849	1
PB2	354	1814	1
PB2	417	1715	1
PB2	319	1799	1
PB2	396	1741	1
PB2	614	1766	1
PB2	369	1838	1
PB2	676	2092	1
PB2	679	1929	1
PB2	550	1903	1
PB2	343	1986	1
PB2	599	1853	1
PB2	380	2040	1
PB2	580	2070	1
PB2	461	1945	1
PB2	661	2043	1
PB2	457	1896	1
PB2	511	1865	1
PB2	690	1768	1
PB2	579	1745	1
PB2	704	1790	1
PB2	448	1722	1
PB2	403	2040	1
PB2	505	1787	1
PB2	530	1738	1
PB2	524	1818	1
