Segment	Start	End	NGS_read_count
PB2	672	1799	1
PB2	632	1892	1
PB2	436	1630	1
PB2	688	1638	1
PB2	762	1847	1
PB2	422	1791	1
PB2	649	1920	1
PB2	627	1616	1
PB2	511	1809	1
PB2	552	1949	1
PB2	498	1658	1
PB2	746	1615	1
PB2	728	1617	1
PB2	585	1923	1
PB2	509	1605	1
PB2	710	1670	1
PB2	433	1697	1
PB2	461	1740	1
PB2	533	1850	1
PB2	619	1921	1
PB2	572	1910	1
PB2	412	1919	1
PB2	530	1630	1
PB2	455	1771	1
PB2	439	1703	1
PB2	585	1852	1
PB2	400	1622	1
PB2	616	1809	1
PB2	551	1660	1
PB2	487	1923	1
PB2	559	1628	1
PB2	499	1932	1
PB2	656	1947	1
PB2	414	1905	1
PB2	750	1725	1
PB2	502	1853	1
PB2	405	1951	1
PB2	594	1709	1
PB2	402	1759	1
PB2	662	1621	1
PB2	569	1808	1
PB2	654	1723	1
PB2	620	1826	1
PB2	444	1932	1
PB2	697	1811	1
PB2	653	1708	1
PB2	474	1930	1
PB2	755	1889	1
PB2	594	1890	1
PB2	698	1609	1
PB2	450	1674	1
PB2	662	1938	1
PB2	562	1766	1
PB2	731	1610	1
PB2	658	1726	1
PB2	659	1676	1
PB2	629	1723	1
PB2	591	1699	1
PB2	478	1803	1
PB2	763	1767	1
PB2	780	1654	1
PB2	555	1694	1
PB2	765	1884	1
PB2	559	1933	1
PB2	616	1593	1
PB2	474	1759	1
PB2	642	1592	1
PB2	525	1596	1
PB2	561	1927	1
PB2	693	1809	1
PB2	463	1655	1
PB2	756	1821	1
PB2	568	1757	1
PB2	705	1938	1
PB2	677	1785	1
PB2	423	1649	1
PB2	449	1713	1
PB2	535	1798	1
PB2	410	1829	1
PB2	637	1912	1
PB2	608	1642	1
PB2	588	1619	1
PB2	656	1740	1
PB2	736	1925	1
PB2	537	1577	1
PB2	522	1577	1
PB2	712	1899	1
PB2	608	1801	1
PB2	475	1949	1
PB2	628	1595	1
PB2	574	1683	1
PB2	774	1680	1
PB2	642	1711	1
PB2	592	1762	1
PB2	598	1670	1
PB2	469	1908	1
PB2	685	1889	1
PB2	445	1849	1
PB2	700	1614	1
PB2	445	1711	1
PB2	791	1791	1
PB2	476	1706	1
PB2	762	1579	1
PB2	471	1922	1
PB2	441	1841	1
PB2	663	1861	1
PB2	401	1878	1
PB2	719	1688	1
PB2	740	1645	1
PB2	482	1617	1
PB2	784	1749	1
PB2	527	1695	1
PB2	587	1929	1
PB2	697	1675	1
PB2	495	1947	1
PB2	410	1903	1
PB2	683	1825	1
PB2	504	1598	1
PB2	553	1948	1
PB2	589	1628	1
PB2	521	1702	1
PB2	498	1735	1
PB2	680	1921	1
PB2	626	1590	1
PB2	664	1591	1
PB2	757	1715	1
PB2	768	1793	1
PB2	745	1874	1
PB2	559	1716	1
PB2	397	1691	1
PB2	477	1877	1
PB2	790	1730	1
PB2	691	1849	1
PB2	438	1708	1
PB2	447	1593	1
PB2	686	1628	1
PB2	422	1733	1
PB2	696	1650	1
PB2	419	1871	1
PB2	506	1661	1
PB2	637	1627	1
PB2	776	1964	1
PB2	503	1577	1
PB2	548	1596	1
PB2	460	1738	1
PB2	786	1729	1
PB2	741	1624	1
PB2	740	1745	1
PB2	790	1746	1
PB2	753	1733	1
PB2	650	1591	1
PB2	466	1646	1
PB2	465	1787	1
PB2	589	1574	1
PB2	490	1819	1
PB2	518	1942	1
PB2	424	1702	1
PB2	433	1778	1
PB2	750	1807	1
PB2	542	1687	1
PB2	438	1834	1
PB2	508	1911	1
PB2	422	1836	1
PB2	738	1789	1
PB2	400	1684	1
PB2	544	1767	1
PB2	751	1708	1
PB2	768	1596	1
PB2	737	1804	1
PB2	500	1603	1
PB2	498	1786	1
PB2	565	1714	1
PB2	566	1728	1
PB2	726	1865	1
PB2	580	1741	1
PB2	557	1698	1
PB2	599	1602	1
PB2	528	1669	1
PB2	423	1930	1
PB2	430	1865	1
PB2	481	1958	1
PB2	676	1884	1
PB2	564	1959	1
PB2	687	1840	1
PB2	707	1820	1
PB2	698	1935	1
PB2	652	1579	1
PB2	585	1918	1
PB2	412	1573	1
PB2	709	1575	1
PB2	539	1609	1
PB2	475	1798	1
PB2	757	1833	1
PB2	416	1781	1
PB2	449	1765	1
PB2	460	1608	1
PB2	667	1603	1
PB2	753	1817	1
PB2	747	1607	1
PB2	718	1867	1
PB2	524	1697	1
PB2	729	1827	1
PB2	630	1821	1
PB2	663	1768	1
PB2	681	1621	1
PB2	470	1628	1
PB2	465	1587	1
PB2	626	1678	1
PB2	730	1684	1
PB2	398	1674	1
PB2	723	1682	1
PB2	606	1894	1
PB2	508	1928	1
PB2	447	1590	1
PB2	631	1669	1
PB2	633	1826	1
PB2	739	1744	1
PB2	681	1758	1
PB2	531	1748	1
PB2	549	1926	1
PB2	679	1912	1
PB2	442	1818	1
PB2	470	1813	1
PB2	499	1688	1
PB2	468	1948	1
PB2	463	1961	1
PB2	649	1566	1
PB2	513	1948	1
PB2	708	1621	1
PB2	467	1623	1
PB2	400	1769	1
PB2	765	1712	1
PB2	505	1765	1
PB2	444	1718	1
PB2	676	1577	1
PB2	578	1740	1
PB2	599	1772	1
PB2	708	1732	1
PB2	733	1787	1
PB2	607	1835	1
PB2	741	1649	1
PB2	603	1852	1
PB2	549	1699	1
PB2	437	1815	1
PB2	549	1862	1
PB2	551	1837	1
PB2	509	1846	1
PB2	782	1959	1
PB2	576	1965	1
PB2	678	1836	1
PB2	490	1726	1
PB2	693	1833	1
PB2	508	1680	1
PB2	469	1880	1
PB2	704	1925	1
PB2	477	1629	1
PB2	518	1681	1
PB2	512	1931	1
PB2	633	1742	1
PB2	492	1608	1
PB2	410	1598	1
PB2	659	1779	1
PB2	728	1775	1
PB2	670	1609	1
PB2	614	1726	1
PB2	753	1950	1
PB2	593	1779	1
PB2	463	1610	1
PB2	706	1766	1
PB2	604	1601	1
PB2	604	1874	1
PB2	642	1904	1
PB2	455	1677	1
PB2	625	1708	1
PB2	732	1785	1
