Segment,Start,End,NGS_read_count
PB2,108,2140,8
PB2,109,2152,8
PB2,115,2012,6
PB2,116,2140,11
PB2,117,144,5
PB2,117,2139,32
PB2,118,218,9
PB2,120,2140,7
PB2,121,2139,25
PB2,121,2156,6
PB2,122,218,12
PB2,127,2140,5
PB2,128,164,7
PB2,128,2139,9
PB2,128,2152,12
PB2,128,2182,5
PB2,129,2176,32
PB2,138,167,68
PB2,143,2152,8
PB2,148,2137,17
PB2,158,2140,5
PB2,159,2195,6
PB2,162,2205,5
PB2,183,2139,5
PB2,190,2206,5
PB2,191,2152,23
PB2,191,2159,15
PB2,191,2195,15
PB2,207,2140,6
PB2,209,2196,11
PB2,2132,2160,6
PB2,217,2196,5
PB2,238,2153,10
PB2,252,2196,5
PB1,113,1392,5
PB1,113,2061,11
PB1,113,2094,5
PB1,113,2129,28
PB1,113,2141,6
PB1,113,2165,11
PB1,113,2177,11
PB1,113,2258,10
PB1,114,201,14
PB1,114,2204,11
PB1,115,2105,6
PB1,116,2142,10
PB1,119,2132,11
PB1,126,149,6
PB1,126,1988,5
PB1,126,2056,5
PB1,126,2110,16
PB1,126,2158,7
PB1,126,2165,5
PB1,127,2130,11
PB1,132,2085,5
PB1,133,2130,19
PB1,136,2099,6
PB1,136,2102,8
PB1,136,2113,6
PB1,136,2166,9
PB1,137,165,9
PB1,137,168,14
PB1,137,1988,8
PB1,137,2085,14
PB1,137,2094,23
PB1,137,2105,5
PB1,137,2110,41
PB1,137,2129,165
PB1,137,2137,6
PB1,137,2141,22
PB1,137,2149,16
PB1,137,2158,16
PB1,137,2162,10
PB1,137,2165,49
PB1,137,2177,28
PB1,138,172,24
PB1,138,2072,5
PB1,138,2092,7
PB1,138,2247,8
PB1,139,2056,290
PB1,139,2110,15
PB1,139,2129,9
PB1,139,2141,17
PB1,139,2165,7
PB1,142,171,5
PB1,143,2111,9
PB1,143,2128,6
PB1,143,2164,6
PB1,145,2168,15
PB1,146,2129,36
PB1,148,2085,31
PB1,148,2110,39
PB1,148,2129,25
PB1,148,2177,7
PB1,148,224,7
PB1,149,201,19
PB1,149,2055,5
PB1,149,2204,5
PB1,150,173,13
PB1,155,2062,7
PB1,157,2085,6
PB1,157,2177,8
PB1,157,2258,11
PB1,158,2130,16
PB1,158,2163,5
PB1,161,2080,8
PB1,162,2056,8
PB1,162,2085,5
PB1,162,2110,46
PB1,162,2129,45
PB1,162,2149,15
PB1,162,2165,27
PB1,162,2177,6
PB1,163,2092,17
PB1,163,2204,46
PB1,164,200,7
PB1,164,2016,8
PB1,164,2071,6
PB1,164,2091,8
PB1,164,2129,33
PB1,164,2141,40
PB1,164,2194,6
PB1,165,1972,6
PB1,165,2111,17
PB1,165,2166,12
PB1,167,2056,6
PB1,167,2061,9
PB1,167,2085,6
PB1,167,2110,80
PB1,167,2158,6
PB1,167,2177,7
PB1,1688,2258,10
PB1,168,2130,55
PB1,168,2142,6
PB1,168,2145,5
PB1,171,2055,6
PB1,1754,1860,8
PB1,183,2129,5
PB1,184,2071,6
PB1,184,2110,9
PB1,184,2139,7
PB1,190,2129,5
PB1,192,2016,8
PB1,192,2091,17
PB1,192,2110,16
PB1,192,2129,11
PB1,192,2149,11
PB1,192,2165,7
PB1,193,2056,5
PB1,193,2259,10
PB1,195,2014,6
PB1,195,2016,9
PB1,195,2071,5
PB1,195,2091,7
PB1,195,2110,36
PB1,195,2129,13
PB1,195,2165,6
PB1,1988,2111,10
PB1,198,2080,8
PB1,199,2030,7
PB1,199,2037,10
PB1,199,2056,7
PB1,199,2061,5
PB1,199,2085,6
PB1,199,2110,49
PB1,199,2132,7
PB1,199,2177,12
PB1,199,2258,6
PB1,200,2015,6
PB1,200,2072,5
PB1,201,2093,35
PB1,2052,2107,6
PB1,2053,2110,9
PB1,2053,2129,6
PB1,2054,2092,6
PB1,2061,2106,6
PB1,2070,2110,7
PB1,2104,2129,5
PB1,2109,2230,7
PB1,2109,2246,8
PB1,2110,2166,8
PB1,2128,2165,19
PB1,2128,2177,7
PB1,212,2102,9
PB1,213,2045,9
PB1,213,2129,15
PB1,213,2158,5
PB1,2140,2165,16
PB1,2176,2234,8
