Segment,Start,End,NGS_read_count
HA,166,1447,79
HA,263,1104,18
M,738,824,14
NA,175,1066,814
NP,292,1359,200
NP,296,531,154
NP,495,1349,19
NP,496,1530,62
NP,497,1371,21
NP,506,1445,20
NS,125,674,219
NS,345,415,33
NS,56,431,48
PB1,103,2173,80
PB1,129,2135,425
PB1,211,2173,18
PB2,139,1961,59
PB2,148,2187,269
PB2,148,2217,37
PB2,167,2126,1107
PB2,246,2172,121
PB2,249,2215,25
PB2,274,1946,41
PB2,280,1924,21
PB2,286,1958,147
HA,102,1515,6
HA,103,1518,9
HA,104,1582,8
HA,106,1567,6
HA,107,1573,8
HA,108,1586,8
HA,111,1594,6
HA,113,1504,11
HA,114,1581,10
HA,114,1650,6
HA,119,1645,6
HA,129,1596,7
HA,132,1529,10
HA,140,1489,6
HA,1417,1681,11
HA,141,1512,8
HA,143,1634,17
HA,143,1648,6
HA,148,1593,7
HA,149,1533,11
HA,149,1584,22
HA,149,1684,6
HA,1517,1722,8
HA,152,1679,7
HA,1567,1637,6
HA,158,1498,8
HA,158,1518,7
HA,1630,1677,6
HA,164,1498,16
HA,166,1699,8
HA,171,1468,12
HA,173,1705,6
HA,174,1228,7
HA,174,1581,14
HA,174,1722,7
HA,178,1460,9
HA,182,1480,6
HA,183,1509,6
HA,188,1637,6
HA,192,1651,8
HA,193,1478,6
HA,193,1498,10
HA,194,1648,6
HA,195,1397,14
HA,195,1481,7
HA,197,1678,8
HA,204,1417,6
HA,206,1581,9
HA,214,1691,6
HA,216,1700,6
HA,231,1428,122
HA,262,1692,17
HA,274,1576,20
HA,297,1363,8
HA,368,1392,6
HA,47,1581,16
HA,51,1540,10
HA,59,1581,8
HA,69,1534,7
HA,71,1602,6
HA,81,1585,8
HA,84,1589,7
HA,85,1719,20
HA,91,1554,13
HA,91,1604,7
HA,92,1581,6
HA,93,1512,7
HA,93,1545,9
HA,93,1614,9
HA,94,1534,9
HA,95,1600,12
HA,96,1574,7
HA,96,1602,9
HA,97,1533,9
HA,97,1558,7
HA,97,1600,6
HA,98,1518,10
HA,99,1582,6
M,132,939,7
M,606,709,6
NA,1166,1329,12
NA,121,1114,7
NA,146,1191,7
NA,159,1333,6
NA,197,1185,6
NA,209,838,34
NA,211,966,21
NA,213,1119,10
NA,238,836,9
NA,360,1029,23
NA,397,1002,8
NA,77,1183,6
NA,98,1270,12
NP,109,479,36
NP,121,1379,7
NP,124,495,7
NP,131,1386,6
NP,155,626,10
NP,164,1364,7
NP,178,1399,11
NP,181,1335,11
NP,183,1375,7
NP,195,1287,59
NP,200,1288,6
NP,200,1310,11
NP,200,1493,12
NP,204,1311,7
NP,204,1491,93
NP,205,1227,9
NP,205,1369,355
NP,205,1384,28
NP,206,671,14
NP,207,1351,18
NP,224,1291,75
NP,227,1540,6
NP,242,1321,6
NP,261,1309,7
NP,270,1306,8
NP,273,1263,6
NP,290,1315,21
NP,327,1228,24
NP,329,1372,10
NP,356,1397,43
NP,366,1295,17
NP,382,1310,8
NP,387,1547,8
NP,396,1384,51
NP,404,1361,21
NP,406,1363,9
NP,432,1525,10
NP,465,1365,22
NP,481,1390,10
NP,508,1447,17
NP,526,1503,6
NP,561,1446,25
NP,564,1303,8
NP,577,1226,13
NP,65,1236,12
NP,716,1400,6
NP,73,113,6
NP,764,1392,7
NP,81,1320,6
NP,86,1392,7
NP,96,1392,7
NP,99,1295,9
NP,99,1381,6
NS,158,730,12
NS,226,569,10
