Segment	Start	End	NGS_read_count
PB2	649	1746	1
PB2	320	2090	1
PB2	341	1772	1
PB2	319	1736	1
PB2	614	1836	1
PB2	544	1925	1
PB2	363	2098	1
PB2	479	1943	1
PB2	641	1897	1
PB2	546	1882	1
PB2	661	2112	1
PB2	358	2073	1
PB2	444	2045	1
PB2	591	1784	1
PB2	350	2050	1
PB2	596	2034	1
PB2	450	1817	1
PB2	451	1995	1
PB2	425	1826	1
PB2	320	1965	1
PB2	629	1879	1
PB2	415	1852	1
PB2	613	1885	1
PB2	327	2052	1
PB2	636	2079	1
PB2	418	1784	1
PB2	681	2055	1
PB2	627	2108	1
PB2	383	1936	1
PB2	634	1816	1
PB2	363	1890	1
PB2	557	1987	1
PB2	671	2121	1
PB2	659	1950	1
PB2	577	1750	1
PB2	574	1963	1
PB2	427	1913	1
PB2	688	2013	1
PB2	675	2018	1
PB2	614	2029	1
PB2	506	2039	1
PB2	510	1981	1
PB2	324	1863	1
PB2	463	2123	1
PB2	613	1753	1
PB2	599	1860	1
PB2	677	2039	1
PB2	344	2015	1
PB2	501	1818	1
PB2	569	1826	1
PB2	540	1774	1
PB2	663	1745	1
PB2	597	2028	1
PB2	624	1855	1
PB2	635	2092	1
PB2	700	1743	1
PB2	638	1997	1
PB2	643	2028	1
PB2	390	1890	1
PB2	526	1867	1
PB2	319	1743	1
PB2	591	2073	1
PB2	686	1983	1
PB2	585	2015	1
PB2	481	1824	1
PB2	675	2060	1
PB2	396	1904	1
PB2	338	1794	1
PB2	557	1940	1
PB2	472	2068	1
PB2	534	2056	1
PB2	488	1996	1
PB2	518	1873	1
PB2	597	2017	1
PB2	693	1914	1
PB2	445	1766	1
PB2	568	2093	1
PB2	521	2054	1
PB2	597	2039	1
PB2	423	1977	1
PB2	672	2019	1
PB2	668	1932	1
PB2	546	1941	1
PB2	468	2069	1
PB2	657	1847	1
PB2	439	1985	1
PB2	636	1953	1
PB2	468	1786	1
PB2	682	2065	1
PB2	464	1772	1
PB2	406	1831	1
PB2	373	1881	1
PB2	517	1788	1
PB2	521	2110	1
PB2	525	1879	1
PB2	407	2078	1
PB2	396	1929	1
PB2	467	1762	1
PB2	578	2075	1
PB2	384	1947	1
PB2	690	2094	1
PB2	638	1913	1
PB2	332	1799	1
PB2	575	2030	1
PB2	434	1814	1
PB2	315	1936	1
PB2	621	1952	1
PB2	541	1973	1
PB2	322	1725	1
PB2	564	2023	1
PB2	327	1890	1
PB2	498	1994	1
PB2	347	2001	1
PB2	306	1966	1
PB2	585	1927	1
PB2	350	1974	1
PB2	654	1861	1
PB2	698	1771	1
PB2	383	1744	1
PB2	420	2009	1
PB2	372	1910	1
PB2	595	1817	1
PB2	350	1847	1
PB2	317	2083	1
PB2	601	1899	1
PB2	546	1991	1
PB2	323	2009	1
PB2	706	1819	1
PB2	539	2029	1
PB2	688	1893	1
PB2	645	1963	1
PB2	564	1890	1
PB2	534	2081	1
PB2	365	1962	1
PB2	451	2031	1
PB2	435	1872	1
PB2	649	1790	1
PB2	428	2088	1
PB2	379	2118	1
PB2	668	1892	1
PB2	582	1773	1
PB2	627	1794	1
PB2	379	2095	1
PB2	522	1918	1
PB2	571	1903	1
PB2	525	1860	1
PB2	620	1799	1
PB2	601	1969	1
PB2	426	2049	1
PB2	442	1915	1
PB2	672	1836	1
PB2	422	2038	1
PB2	339	1857	1
PB2	435	2004	1
PB2	627	1893	1
PB2	616	1874	1
PB2	664	2026	1
PB2	372	1799	1
PB2	461	1817	1
PB2	389	1986	1
PB2	674	2043	1
PB2	585	1915	1
PB2	541	1886	1
PB2	613	1754	1
PB2	535	1737	1
PB2	427	2050	1
PB2	435	1803	1
PB2	359	1802	1
PB2	688	1734	1
PB2	478	2120	1
PB2	492	1871	1
PB2	370	1875	1
PB2	398	1912	1
PB2	624	1892	1
PB2	489	1896	1
PB2	443	1776	1
PB2	554	2099	1
PB2	376	2063	1
PB2	580	2023	1
PB2	367	2034	1
PB2	455	2014	1
PB2	354	1971	1
PB2	624	1919	1
PB2	627	2124	1
PB2	525	2031	1
PB2	511	1815	1
PB2	631	1906	1
PB2	372	1752	1
PB2	326	1904	1
PB2	332	1812	1
PB2	647	1935	1
PB2	676	1986	1
PB2	509	1941	1
PB2	533	2033	1
PB2	613	1885	1
PB2	454	2007	1
PB2	544	1785	1
PB2	402	1978	1
PB2	635	1773	1
PB2	655	2121	1
PB2	447	1988	1
