Segment	Start	End	NGS_read_count
PB2	516	1894	1
PB2	551	1739	1
PB2	340	1699	1
PB2	444	1703	1
PB2	456	1674	1
PB2	287	2017	1
PB2	506	2000	1
PB2	290	1739	1
PB2	504	2039	1
PB2	643	1694	1
PB2	515	2069	1
PB2	331	1866	1
PB2	446	1994	1
PB2	554	1906	1
PB2	613	1709	1
PB2	344	1952	1
PB2	385	2030	1
PB2	630	1781	1
PB2	541	1775	1
PB2	413	1730	1
PB2	381	1978	1
PB2	401	1681	1
PB2	347	1799	1
PB2	408	1825	1
PB2	596	1813	1
PB2	444	2018	1
PB2	424	2007	1
PB2	358	1731	1
PB2	380	1881	1
PB2	378	1866	1
PB2	407	1678	1
PB2	506	1813	1
PB2	500	1678	1
PB2	390	1818	1
PB2	272	1918	1
PB2	667	1801	1
PB2	459	1817	1
PB2	587	1803	1
PB2	557	2069	1
PB2	582	2017	1
PB2	367	1895	1
PB2	553	1765	1
PB2	384	1841	1
PB2	621	1719	1
PB2	646	1998	1
PB2	385	1920	1
PB2	290	2029	1
PB2	343	1674	1
PB2	310	1702	1
PB2	531	1966	1
PB2	493	1839	1
PB2	345	1685	1
PB2	664	1860	1
PB2	602	1872	1
PB2	542	1770	1
PB2	383	1977	1
PB2	445	1853	1
PB2	290	1892	1
PB2	461	1853	1
PB2	579	1986	1
PB2	426	1706	1
PB2	324	1699	1
PB2	553	1944	1
PB2	532	1995	1
PB2	330	1767	1
PB2	459	1719	1
PB2	429	1970	1
PB2	569	1972	1
PB2	379	1803	1
PB2	648	1833	1
PB2	415	1944	1
PB2	455	1685	1
PB2	646	1843	1
PB2	408	1716	1
PB2	581	2060	1
PB2	336	1824	1
PB2	329	1968	1
PB2	417	2057	1
PB2	568	2032	1
PB2	520	1683	1
PB2	419	1801	1
PB2	346	1806	1
PB2	325	2064	1
PB2	339	1677	1
PB2	513	1868	1
PB2	281	1696	1
PB2	482	1846	1
PB2	526	1996	1
PB2	619	1682	1
PB2	392	1781	1
PB2	562	2012	1
PB2	403	1998	1
PB2	287	1753	1
PB2	540	1879	1
PB2	588	1669	1
PB2	583	1962	1
PB2	332	2052	1
PB2	520	1920	1
PB2	624	2023	1
PB2	537	1856	1
PB2	397	2036	1
PB2	388	1843	1
PB2	446	1997	1
PB2	462	1867	1
PB2	557	2052	1
PB2	492	1748	1
PB2	536	1842	1
PB2	600	1876	1
PB2	386	2002	1
PB2	315	1933	1
PB2	473	2047	1
PB2	459	2036	1
PB2	449	1946	1
PB2	278	1710	1
PB2	402	1714	1
PB2	421	1703	1
PB2	372	1900	1
PB2	553	1892	1
PB2	656	1810	1
PB2	378	1805	1
PB2	401	1814	1
PB2	431	2067	1
PB2	564	1874	1
PB2	558	1887	1
PB2	583	1936	1
PB2	530	1827	1
PB2	495	1724	1
PB2	547	1693	1
PB2	537	1754	1
PB2	557	2029	1
PB2	269	1879	1
PB2	267	1731	1
PB2	506	1810	1
PB2	434	1991	1
PB2	395	1721	1
PB2	459	1828	1
PB2	484	2058	1
PB2	597	1817	1
PB2	656	1683	1
PB2	481	1932	1
PB2	658	1852	1
PB2	647	2054	1
PB2	368	1854	1
PB2	579	1678	1
PB2	366	1872	1
PB2	344	1741	1
PB2	649	1839	1
PB2	406	1971	1
PB2	635	1791	1
PB2	435	1828	1
PB2	662	1890	1
PB2	365	2028	1
PB2	502	1865	1
PB2	407	1877	1
PB2	355	1707	1
PB2	457	1985	1
PB2	387	1840	1
PB2	497	1860	1
PB2	412	1786	1
PB2	581	1850	1
PB2	351	1977	1
PB2	279	1812	1
PB2	410	1966	1
PB2	480	2001	1
PB2	654	1903	1
PB2	581	1677	1
PB2	506	1957	1
PB2	458	1750	1
PB2	468	1731	1
PB2	335	1915	1
PB2	313	1795	1
PB2	327	1872	1
PB2	536	1804	1
PB2	410	1853	1
PB2	495	1710	1
PB2	610	1969	1
PB2	542	2037	1
PB2	481	1823	1
PB2	422	1728	1
PB2	382	2065	1
PB2	336	1949	1
PB2	601	1871	1
PB2	605	1831	1
PB2	337	1947	1
PB2	596	1979	1
PB2	496	1874	1
PB2	354	1802	1
PB2	398	1956	1
PB2	370	1692	1
PB2	647	1814	1
PB2	582	1791	1
PB2	400	1782	1
PB2	347	1814	1
PB2	460	1733	1
PB2	510	1831	1
PB2	503	1827	1
PB2	420	2061	1
PB2	435	1861	1
PB2	558	1829	1
PB2	363	1960	1
PB2	577	1691	1
PB2	460	1759	1
PB2	376	1784	1
PB2	359	2023	1
PB2	366	2049	1
PB2	387	1931	1
PB2	434	2027	1
PB2	495	2049	1
PB2	454	2047	1
PB2	465	2045	1
PB2	422	1917	1
PB2	581	1839	1
PB2	620	1816	1
PB2	559	1987	1
PB2	273	1937	1
PB2	573	1898	1
PB2	273	2027	1
PB2	478	1856	1
PB2	574	1685	1
PB2	317	1981	1
PB2	417	1986	1
PB2	306	2069	1
PB2	370	1773	1
PB2	484	1977	1
PB2	640	1771	1
PB2	396	2005	1
PB2	545	1761	1
PB2	437	2002	1
PB2	544	1972	1
PB2	482	2056	1
PB2	370	1784	1
PB2	589	1678	1
PB2	561	1904	1
PB2	317	1681	1
PB2	474	1973	1
PB2	377	1808	1
PB2	268	1733	1
PB2	378	1859	1
PB2	378	1780	1
PB2	449	1732	1
PB2	310	1686	1
PB2	402	1935	1
PB2	515	1672	1
PB2	600	1985	1
PB2	577	1764	1
PB2	358	1697	1
PB2	402	1846	1
PB2	552	1928	1
PB2	538	1822	1
PB2	469	1736	1
PB2	613	1915	1
PB2	521	1905	1
PB2	455	1984	1
PB2	605	1981	1
PB2	488	2049	1
PB2	332	1988	1
PB2	566	2041	1
PB2	601	2021	1
PB2	389	1684	1
PB2	360	1934	1
PB2	322	1993	1
PB2	555	1900	1
PB2	649	1845	1
PB2	623	1745	1
PB2	571	1684	1
PB2	372	1814	1
PB2	656	2037	1
PB2	395	1826	1
PB2	342	1936	1
PB2	350	1728	1
PB2	369	1698	1
PB2	588	1959	1
PB2	645	1937	1
PB2	599	1890	1
PB2	541	1680	1
PB2	598	2069	1
PB2	319	1995	1
PB2	378	1921	1
PB2	449	1778	1
PB2	384	1953	1
PB2	530	1892	1
PB2	277	1792	1
PB2	431	1818	1
PB2	466	1723	1
PB2	430	1903	1
PB2	505	1680	1
PB2	467	1775	1
PB2	604	1942	1
PB2	432	1698	1
PB2	279	1843	1
PB2	538	1793	1
