Segment	Start	End	NGS_read_count
PB2	628	1977	1
PB2	460	1859	1
PB2	452	1879	1
PB2	613	1757	1
PB2	581	1880	1
PB2	554	1866	1
PB2	591	2029	1
PB2	624	1834	1
PB2	529	1877	1
PB2	507	1878	1
PB2	329	1770	1
PB2	571	1983	1
PB2	277	1996	1
PB2	454	1834	1
PB2	619	1761	1
PB2	316	1986	1
PB2	473	2057	1
PB2	381	1981	1
PB2	315	1963	1
PB2	331	1765	1
PB2	438	1893	1
PB2	492	1799	1
PB2	369	1862	1
PB2	604	1731	1
PB2	519	1694	1
PB2	367	2022	1
PB2	357	2005	1
PB2	394	1923	1
PB2	321	1980	1
PB2	367	1699	1
PB2	400	2063	1
PB2	345	1781	1
PB2	303	1930	1
PB2	285	1841	1
PB2	312	1770	1
PB2	343	1779	1
PB2	495	1938	1
PB2	389	2034	1
PB2	329	1703	1
PB2	364	1989	1
PB2	634	1980	1
PB2	307	1790	1
PB2	306	1680	1
PB2	335	1862	1
PB2	428	1810	1
PB2	334	2039	1
PB2	494	1899	1
PB2	598	1841	1
PB2	621	1941	1
PB2	436	1743	1
PB2	618	1757	1
PB2	395	1943	1
PB2	519	1791	1
PB2	481	1988	1
PB2	507	1764	1
PB2	378	1725	1
PB2	288	1933	1
PB2	286	1725	1
PB2	276	2052	1
PB2	611	1767	1
PB2	474	1803	1
PB2	369	1833	1
PB2	529	2010	1
PB2	582	1700	1
PB2	297	1765	1
PB2	512	2039	1
PB2	260	1843	1
PB2	422	1685	1
PB2	477	1783	1
PB2	257	1718	1
PB2	258	1760	1
PB2	515	1862	1
PB2	286	1701	1
PB2	257	1821	1
PB2	471	2047	1
PB2	407	1939	1
PB2	427	1833	1
PB2	419	2034	1
PB2	407	2056	1
PB2	432	1995	1
PB2	632	1954	1
PB2	489	2025	1
PB2	280	1830	1
PB2	381	2051	1
PB2	454	2065	1
PB2	275	1758	1
PB2	630	2000	1
PB2	484	1779	1
PB2	445	1918	1
PB2	359	1786	1
PB2	610	1673	1
PB2	497	1935	1
PB2	575	1826	1
PB2	612	1995	1
PB2	443	1853	1
PB2	323	1819	1
PB2	395	2050	1
PB2	361	1831	1
PB2	346	1736	1
PB2	603	1821	1
PB2	586	1911	1
PB2	598	1873	1
PB2	553	1690	1
PB2	607	1807	1
PB2	599	1982	1
PB2	612	1708	1
PB2	529	1792	1
PB2	428	1916	1
PB2	290	1947	1
PB2	258	1693	1
PB2	448	2017	1
PB2	318	1778	1
PB2	522	1833	1
PB2	292	1868	1
PB2	293	2014	1
PB2	549	2065	1
PB2	606	1977	1
PB2	425	1830	1
PB2	527	1710	1
PB2	569	2031	1
PB2	392	1822	1
PB2	402	1893	1
PB2	299	2008	1
PB2	468	1699	1
PB2	357	1903	1
