Segment	Start	End	NGS_read_count
PB2	529	1831	1
PB2	244	1975	1
PB2	369	1745	1
PB2	394	1788	1
PB2	231	1906	1
PB2	226	2012	1
PB2	525	1723	1
PB2	395	1663	1
PB2	223	1928	1
PB2	320	1841	1
PB2	417	1833	1
PB2	406	1687	1
PB2	211	2013	1
PB2	442	1877	1
PB2	401	1937	1
PB2	535	1643	1
PB2	219	1996	1
PB2	395	1858	1
PB2	352	1704	1
PB2	526	1832	1
PB2	396	1961	1
PB2	291	1978	1
PB2	177	1905	1
PB2	465	1705	1
PB2	378	1902	1
PB2	305	1835	1
PB2	557	1941	1
PB2	244	1876	1
PB2	257	1997	1
PB2	571	2001	1
PB2	540	1713	1
PB2	540	1677	1
PB2	567	1632	1
PB2	299	1754	1
PB2	288	1829	1
PB2	236	1918	1
PB2	357	1943	1
PB2	351	1805	1
PB2	418	1896	1
PB2	534	1851	1
PB2	527	1755	1
PB2	276	1960	1
PB2	408	2003	1
PB2	406	1786	1
PB2	418	1857	1
PB2	220	1746	1
PB2	555	1926	1
PB2	342	1758	1
PB2	387	1691	1
PB2	538	1994	1
PB2	272	1706	1
PB2	317	1627	1
PB2	219	1656	1
PB2	321	1704	1
PB2	535	1924	1
PB2	208	1621	1
PB2	350	1906	1
PB2	208	1722	1
PB2	259	1837	1
PB2	430	1996	1
PB2	522	2001	1
PB2	490	1739	1
PB2	491	1655	1
PB2	351	1729	1
PB2	199	1939	1
PB2	260	1918	1
PB2	377	1814	1
PB2	461	1633	1
PB2	569	1713	1
PB2	301	1926	1
PB2	574	1879	1
PB2	226	1944	1
PB2	301	1808	1
PB2	230	1813	1
PB2	304	1643	1
PB2	489	1942	1
PB2	217	1780	1
PB2	214	1707	1
PB2	269	1761	1
PB2	301	1928	1
PB2	268	1822	1
PB2	404	1916	1
PB2	355	1758	1
PB2	314	1768	1
PB2	502	2018	1
PB2	513	1899	1
PB2	383	1876	1
PB2	559	1916	1
PB2	532	1810	1
PB2	473	1669	1
PB2	485	1635	1
PB2	495	1818	1
PB2	197	1996	1
PB2	438	1878	1
PB2	429	1727	1
PB2	432	1759	1
PB2	230	2006	1
PB2	530	1749	1
PB2	410	2009	1
PB2	315	1847	1
PB2	509	1941	1
PB2	445	1881	1
PB2	193	1664	1
PB2	230	1935	1
PB2	326	2009	1
PB2	340	1775	1
PB2	325	2018	1
PB2	288	1713	1
PB2	568	1816	1
PB2	447	1671	1
PB2	286	1942	1
PB2	337	1624	1
PB2	313	1783	1
PB2	299	1796	1
PB2	352	1670	1
PB2	544	1709	1
PB2	483	2010	1
PB2	241	1644	1
PB2	209	1785	1
PB2	210	2011	1
PB2	556	1982	1
PB2	432	1747	1
PB2	489	1705	1
PB2	466	1763	1
PB2	278	1869	1
PB2	521	1719	1
PB2	182	1700	1
PB2	288	1966	1
PB2	572	1903	1
PB2	177	1685	1
PB2	256	1817	1
PB2	329	1888	1
PB2	574	1727	1
PB2	477	1931	1
PB2	548	1854	1
PB2	543	1901	1
PB2	372	1716	1
PB2	385	1992	1
PB2	182	1945	1
PB2	356	1821	1
PB2	406	1982	1
PB2	488	1936	1
PB2	381	1755	1
PB2	341	2007	1
PB2	201	1812	1
PB2	389	1812	1
