Segment,Start,End,NGS_read_count
PA,329,2022,2731
PA,329,1941,48
PA,329,2009,6
PA,329,437,47
PA,329,2085,2
PA,329,377,6
PA,329,2056,2
PA,329,2098,8
PA,329,1948,1
PA,329,1976,1
PA,329,1724,2
PA,322,1919,92
PA,322,1995,2
PA,278,2090,1941
PA,278,2039,2
PA,602,1778,270
PA,602,1672,1
PA,602,1802,2
PA,602,2051,1
PA,253,1990,6387
PA,253,1991,4
PA,253,2062,1
PA,253,2076,2
PA,471,1782,1405
PA,471,1824,720
PA,471,1781,1
PA,471,1822,1
PA,471,1940,1
PA,262,2053,321
PA,262,2050,20
PA,262,2098,7
PA,262,292,1
PA,537,1789,640
PA,537,1868,4
PA,537,1784,27
PA,537,596,2
PA,537,1714,2
PA,537,1713,1
PA,286,2022,809
PA,286,2012,13
PA,286,1992,3
PA,328,2097,8793
PA,328,2024,2
PA,328,2017,2
PA,328,1885,2
PA,591,1717,800
PA,591,1697,2
PA,454,1731,2
PA,454,1931,3
PA,454,1928,2
PA,454,1700,3
PA,454,1904,7
PA,454,1895,2
PA,454,1862,1
PA,454,1951,3
PA,454,1918,1
PA,454,1841,1
PA,618,1701,358
PA,618,1634,1
PA,605,1903,600
PA,605,1743,4
PA,605,1590,1
PA,255,2103,229
PA,255,2054,2
PA,255,2055,2
PA,255,2094,2
PA,255,2013,1
PA,245,2031,439
PA,245,2064,8
PA,245,2030,1
PA,281,2095,524
PA,281,2026,163
PA,281,2074,6
PA,281,2023,1
PA,281,1879,5
PA,281,2042,1
PA,538,2010,441
PA,538,1877,33
PA,538,1678,13
PA,538,1777,1
PA,279,2020,1578
PA,279,2092,1
PA,279,1909,4
PA,279,2093,1
PA,388,1929,1167
PA,388,1810,2
PA,388,1893,1
PA,388,1876,2
PA,334,1953,2
PA,334,1819,3
PA,334,1841,1
PA,334,1984,2
PA,334,1993,2
PA,334,1865,2
PA,334,2058,2
PA,334,1946,4
PA,334,1770,1
PA,334,2019,1
PA,334,1714,1
PA,334,2035,2
PA,334,2016,2
PA,334,1976,2
PA,334,2073,1
PA,334,1936,1
PA,268,2022,76
PA,268,2046,3
PA,268,2109,3
PA,268,2116,2
PA,268,2067,17
PA,268,1975,2
PA,268,1993,2
PA,436,1766,348
PA,436,1897,1
PA,436,1725,1
PA,654,1760,2
PA,365,1931,2
PA,365,1915,3
PA,365,1983,2
PA,475,1857,255
PA,475,1916,1
PA,475,1817,2
PA,475,1746,1
PA,475,540,1
PA,167,184,62
PA,283,2044,385
PA,283,2016,2
PA,283,2053,6
PA,283,1956,1
PA,283,1934,3
PA,562,1784,378
PA,409,2044,743
PA,409,1802,2
PA,409,2050,4
PA,409,2073,2
PA,409,1901,1
PA,409,1957,1
PA,409,1793,2
PA,480,1841,5
PA,480,1801,3
PA,568,1151,3
PA,568,1784,7
PA,568,1152,5
PA,307,2052,142
PA,307,1778,6
PA,307,2040,2
PA,307,2073,2
PA,307,1880,2
PA,307,2017,2
PA,307,1999,1
PA,221,2070,162
PA,221,1998,2
PA,221,2091,4
PA,221,2041,1
PA,221,2052,1
PA,221,2034,2
PA,479,1790,504
PA,479,1919,2
PA,479,1791,1
PA,390,1941,247
PA,390,2023,1
PA,390,1911,9
PA,390,1986,4
PA,760,1735,23
PA,760,1807,1
PA,760,1483,2
PA,760,1620,1
PA,275,2146,79
PA,275,2123,521
PA,275,2044,10
PA,275,2020,2
PA,275,2026,1
PA,275,2056,2
PA,275,2062,4
PA,275,1926,1
PA,389,1960,1
PA,389,1988,21
PA,389,2054,2
PA,536,1914,1
PA,536,1783,1
PA,536,1639,2
PA,263,2027,599
PA,263,2147,10
PA,263,2024,2
PA,263,2089,2
PA,263,2034,3
PA,294,2025,76
PA,294,2051,2
PA,294,2076,1
PA,294,2016,2
PA,294,1961,1
PA,161,1985,188
PA,161,2033,8
PA,290,314,251
PA,290,2047,11
PA,290,1956,18
PA,290,2001,5
PA,290,1782,1
PA,523,1932,212
PA,523,2022,1
PA,318,2056,9
PA,318,2118,25
PA,318,2041,3
PA,318,2015,2
PA,318,1952,1
PA,297,2045,171
PA,297,2038,26
PA,297,309,2
PA,352,2032,29
PA,352,1976,7
PA,352,1925,6
PA,352,2009,2
PA,352,1961,1
PA,352,1935,1
PA,352,2012,1
PA,266,1894,2
PA,266,2089,2
PA,266,2066,4
PA,266,2116,3
PA,266,2025,1
PA,266,1974,2
PA,266,2045,1
PA,266,2000,1
PA,229,2054,2
PA,229,2096,2
PA,229,2132,2
PA,377,2000,6
PA,377,1071,2
PA,377,1988,3
PA,377,1923,2
PA,377,485,1
PA,308,2012,59
PA,308,1995,8
PA,308,2100,3
PA,308,2021,19
PA,308,320,1
PA,424,1882,47
PA,424,1853,2
PA,424,669,1
PA,620,1888,1
PA,620,1808,9
PA,560,1859,16
PA,560,1658,1
PA,525,1837,99
PA,525,1823,9
PA,525,1780,2
PA,525,1803,2
PA,525,1943,8
PA,525,1811,2
PA,525,1883,1
PA,622,1717,15
PA,622,1811,1
PA,252,2030,38
PA,252,1989,22
PA,252,2083,4
PA,252,2049,2
PA,488,1874,7
PA,488,1725,1
PA,488,1902,1
PA,488,1774,1
PA,998,1041,2
PA,315,1957,4
PA,816,1704,3
PA,403,2068,13
PA,481,1826,15
PA,406,2031,25
PA,406,1987,2
PA,397,2019,2
PA,397,2067,2
PA,397,1845,89
PA,397,1897,10
PA,397,1958,1
PA,397,1973,2
PA,397,1956,1
PA,331,2024,2
PA,331,1997,2
PA,331,1973,1
PA,1260,1832,2
PA,284,2028,2
PA,284,2047,4
PA,284,2009,2
PA,552,1821,52
PA,552,1779,1
PA,249,2099,23
PA,249,1876,51
PA,249,2082,1
PA,249,1299,2
PA,249,2057,4
PA,249,2097,1
PA,825,859,2
PA,375,2043,2
PA,375,1597,1
PA,375,1946,2
PA,411,1868,26
PA,411,1653,5
PA,411,472,1
PA,677,1112,2
PA,677,1146,3
PA,677,1645,1
PA,224,1876,88
PA,224,1971,2
PA,224,1981,2
PA,336,1892,3
PA,347,2001,1
PA,347,2036,2
PA,508,1581,42
PA,438,1838,51
PA,438,1909,3
PA,438,1931,1
PA,438,1882,3
PA,438,1862,1
PA,438,1980,1
PA,427,1826,9
PA,427,1922,2
PA,427,2031,2
PA,427,1954,1
PA,427,1933,2
PA,427,1825,1
PA,427,1958,1
PA,427,2100,1
PA,427,442,1
PA,246,2060,31
PA,246,1996,2
PA,246,2016,3
PA,246,2004,2
PA,303,2106,1
PA,303,1882,2
PA,303,2053,2
PA,303,1997,2
PA,303,2066,1
PA,303,2010,2
PA,163,1697,2
PA,172,1936,163
PA,172,1977,43
PA,172,2151,1
