Segment,Start,End,NGS_read_count
PB2,109,2152,887
PB2,115,2012,852
PB2,117,2139,5268
PB2,118,2153,368
PB2,123,2154,494
PB2,130,2026,255
PB2,148,2137,2960
PB2,152,1975,126
PB2,152,2139,915
PB2,154,2056,325
PB2,157,2066,258
PB2,158,2140,870
PB2,159,2139,4413
PB2,177,2042,340
PB2,191,2152,3799
PB2,191,2159,1766
PB2,191,2195,3229
PB2,199,2152,880
PB2,199,2195,335
PB2,207,2140,259
PB2,208,2139,1605
PB2,216,2107,1769
PB2,217,2007,197
PB2,217,2196,1674
PB2,217,2204,2443
PB2,223,2242,137
PB2,238,2153,1869
PB2,249,2215,180
PB2,258,1975,317
PB2,265,2139,1310
PB1,107,2029,122
PB1,113,2110,579
PB1,113,2141,152
PB1,113,2165,775
PB1,115,2056,379
PB1,117,1968,149
PB1,137,2085,856
PB1,137,2105,131
PB1,137,2110,3844
PB1,137,2141,1179
PB1,137,2165,4180
PB1,138,2072,1772
PB1,138,2092,1102
PB1,139,2056,52748
PB1,139,2129,2037
PB1,139,2141,929
PB1,139,2177,2046
PB1,142,2094,116
PB1,143,2111,1209
PB1,148,2061,897
PB1,148,2085,3146
PB1,148,2110,6993
PB1,148,2129,4726
PB1,148,2165,617
PB1,149,2055,1670
PB1,149,2092,1344
PB1,149,2140,544
PB1,150,2073,1835
PB1,155,2062,279
PB1,157,2085,420
PB1,158,2130,1508
PB1,162,2037,521
PB1,162,2056,647
PB1,162,2061,855
PB1,162,2085,1485
PB1,162,2129,2806
PB1,163,2017,908
PB1,164,2056,2047
PB1,164,2071,943
PB1,164,2091,585
PB1,164,2129,4281
PB1,165,1898,649
PB1,165,1972,1237
PB1,165,2111,2526
PB1,165,2166,544
PB1,167,2054,3423
PB1,167,2056,1029
PB1,167,2071,1936
PB1,167,2110,8423
PB1,167,2158,1965
PB1,168,2130,5631
PB1,170,2129,510
PB1,183,2110,767
PB1,184,2071,1779
PB1,188,2081,475
PB1,192,2054,2599
PB1,192,2091,1056
PB1,192,2129,2087
PB1,192,2165,1082
PB1,193,2062,724
PB1,194,2072,803
PB1,195,2054,2110
PB1,195,2071,1272
PB1,195,2091,1781
PB1,195,2129,2464
PB1,195,2165,903
PB1,196,2057,816
PB1,197,2087,660
PB1,197,2096,386
PB1,199,2037,1325
PB1,199,2056,2076
PB1,199,2061,1545
PB1,199,2085,2190
PB1,199,2110,9256
PB1,200,2055,1900
PB1,200,2072,5519
PB1,200,2140,522
PB1,207,2081,420
PB1,212,2102,583
PB1,213,2061,191
PB1,213,2110,720
PB1,213,2129,2091
PB1,223,2110,1721
PB1,240,1928,347
PB1,240,2129,656
PB1,240,2141,185
PB1,242,2073,174
PB1,25,2116,177
PB1,262,2062,247
PB1,269,2091,128
PB1,269,2129,404
PB1,270,2111,639
PB1,270,2159,225
