Segment,Start,End,NGS_read_count
HA,30,362,1
HA,30,1687,1
HA,40,1431,1
HA,49,701,1
HA,50,153,1
HA,50,813,1
HA,53,1461,1
HA,59,1803,1
HA,61,974,1
HA,62,1286,1
HA,63,794,2
HA,66,344,1
HA,66,1639,2
HA,69,401,1
HA,71,105,1
HA,73,815,1
HA,74,1254,1
HA,108,360,1
HA,108,400,1
HA,112,1315,1
HA,113,735,2
HA,116,1068,2
HA,123,1684,1
HA,124,1685,1
HA,128,701,1
HA,129,1259,1
HA,132,627,1
HA,133,1071,1
HA,133,1261,2
HA,135,265,1
HA,137,170,5
HA,144,870,1
HA,145,701,1
HA,175,1428,1
HA,180,700,1
HA,180,994,1
HA,182,934,1
HA,182,1532,2
HA,182,1548,1
HA,185,400,2
HA,186,1335,1
HA,194,1270,1
HA,195,1176,1
HA,195,1629,8
HA,195,1673,2
HA,195,1728,2
HA,208,1260,1
HA,209,1558,3
HA,211,1686,1
HA,212,1532,1
HA,213,687,1
HA,216,1487,3
HA,219,1651,1
HA,220,1565,11
HA,220,1587,23
HA,220,1631,13
HA,221,1645,2
HA,229,1562,2
HA,230,921,2
HA,230,1589,5
HA,232,1556,7
HA,232,1654,12
HA,233,1081,2
HA,233,1488,137
HA,233,1651,5
HA,234,1653,1
HA,236,689,2
HA,236,1556,17
HA,236,1648,1
HA,236,1654,13
HA,237,260,15
HA,237,1561,17
HA,237,1631,16
HA,237,1645,7
HA,237,1670,4
HA,238,1684,25
HA,239,978,1
HA,242,1578,2
HA,269,795,1
HA,271,1545,23
HA,272,1457,10
HA,278,771,1
HA,278,1479,10
HA,278,1484,3
HA,278,1529,4
HA,278,1560,10
HA,278,1562,19
HA,278,1644,1
HA,279,486,1
HA,279,1481,10
HA,280,1184,1
HA,280,1483,10
HA,280,1560,2
HA,280,1589,6
HA,281,1415,1
HA,281,1419,2
HA,281,1730,1
HA,282,816,2
HA,293,801,1
HA,294,1316,1
HA,363,1486,2
HA,366,1444,4
HA,366,1450,26
HA,366,1588,4
HA,367,1288,3
HA,367,1442,8
HA,367,1470,36
HA,367,1480,2
HA,367,1561,13
HA,368,1168,1
HA,369,1489,2
HA,370,1250,2
HA,375,795,2
HA,375,1084,1
HA,377,979,2
HA,377,1329,2
HA,382,1085,2
HA,388,1252,1
HA,388,1726,2
HA,389,1544,1
HA,390,701,2
HA,391,1480,21
HA,392,1168,5
HA,392,1436,1
HA,392,1453,6
HA,392,1555,1
HA,394,1577,24
HA,395,1335,2
HA,407,1470,2
HA,408,490,2
HA,410,1184,2
HA,410,1484,1
HA,412,1076,2
HA,413,1147,3
HA,414,1329,7
HA,414,1438,2
HA,416,869,1
HA,416,984,2
HA,416,1670,2
HA,418,1648,3
HA,420,1257,2
HA,422,734,1
HA,424,1062,1
HA,425,1031,1
HA,490,829,1
HA,492,735,1
HA,492,1436,2
HA,494,696,2
HA,498,1163,2
HA,502,1273,1
HA,508,1253,1
HA,509,1200,1
HA,510,1327,17
HA,510,1450,5
HA,510,1468,8
HA,511,1288,3
HA,649,1426,1
HA,708,780,1
HA,708,847,2
HA,712,810,1
HA,714,1084,2
HA,714,1108,1
HA,716,1676,1
HA,719,1486,2
HA,722,1525,2
HA,731,1414,1
HA,768,838,2
HA,784,918,1
HA,787,1016,1
HA,788,984,1
HA,788,1431,1
HA,802,1248,1
HA,806,1412,1
HA,809,972,2
HA,814,1481,2
HA,815,1034,1
HA,817,1071,2
HA,817,1472,2
HA,819,1848,1
HA,820,1034,2
HA,822,1808,1
HA,827,1252,4
HA,833,989,2
HA,835,1053,2
HA,839,1319,2
HA,839,1328,2
HA,840,984,2
HA,840,1014,2
HA,841,1472,2
HA,842,984,1
HA,845,1733,1
HA,848,1177,1
HA,848,1489,2
HA,856,1557,2
HA,866,1155,2
HA,866,1332,2
HA,876,1076,2
HA,879,1462,1
HA,881,1534,1
HA,885,1167,2
HA,886,984,21
HA,889,927,1
HA,890,1641,1
HA,891,1200,1
HA,896,1451,1
HA,943,1077,1
HA,946,1802,1
HA,948,1535,1
HA,951,1153,1
HA,956,1159,2
HA,963,1687,2
HA,966,1198,2
HA,999,1087,2
HA,1007,1414,1
HA,1008,1474,2
HA,1021,1471,1
HA,1022,1089,2
HA,1023,1670,1
HA,1026,1081,2
HA,1038,1163,2
HA,1059,1673,1
HA,1061,1671,1
HA,1067,1170,1
HA,1080,1318,2
HA,1082,1323,2
HA,1085,1429,1
HA,1087,1687,2
HA,1088,1533,2
HA,1091,1304,1
HA,1095,1300,2
HA,1095,1457,2
HA,1103,1461,1
HA,1115,1170,1
HA,1117,1527,1
HA,1120,1488,1
HA,1124,1581,1
HA,1125,1249,2
HA,1126,1559,2
HA,1128,1267,2
HA,1175,1303,1
HA,1176,1724,1
HA,1178,1305,1
HA,1179,1466,3
HA,1181,1333,2
HA,1184,1475,1
HA,1187,1333,1
HA,1189,1839,1
HA,1192,1666,1
HA,1206,1335,1
HA,1206,1559,1
HA,1206,1639,2
HA,1212,1580,1
HA,1271,1845,1
HA,1279,1322,1
HA,1292,1323,1
HA,1298,1485,1
HA,1299,1322,2
HA,1324,1422,1
HA,1332,1482,2
HA,1343,1640,2
HA,1347,1554,2
HA,1347,1689,2
HA,1355,1686,1
HA,1358,1479,1
HA,1437,1802,1
HA,1453,1851,1
HA,1458,1574,2
HA,1458,1631,2
HA,1483,1523,1
HA,1498,1556,1
HA,1503,1725,2
HA,1555,1735,2
HA,1576,1637,8
HA,1579,1632,1
HA,1586,1646,4
HA,1595,1628,2
HA,1682,1736,4
M,25,73,71
M,25,82,11
M,27,77,1
M,30,636,1
M,34,450,1
M,37,560,1
M,37,749,1
M,37,978,1
M,38,109,2
M,39,362,2
M,40,619,1
M,45,70,22
M,49,617,1
M,50,407,1
M,51,210,1
M,53,692,1
M,60,382,1
M,61,161,1
M,61,437,1
M,62,89,2
M,63,102,2
M,63,109,3
M,64,644,1
M,66,117,2
M,76,177,1
M,77,230,2
M,77,563,1
M,78,564,1
M,80,245,1
M,80,737,1
M,80,1026,1
M,82,614,1
M,83,696,2
M,85,116,2
M,85,196,19
M,86,484,1
M,87,166,1
M,87,201,2
M,87,230,1
M,88,699,1
M,89,230,1
M,89,407,1
M,90,647,1
M,91,117,2
M,91,197,2
M,91,352,6
M,91,699,1
M,93,570,1
M,94,386,1
M,95,122,2
M,95,554,1
M,95,1017,2
M,96,713,1
M,96,1029,1
M,100,362,2
M,100,563,2
M,101,363,2
M,102,1050,1
M,103,991,30
M,105,288,1
M,105,569,2
M,105,586,2
M,107,1013,7
M,108,162,3
M,108,917,1
M,108,1059,2
M,109,1114,1
M,113,715,1
M,114,989,2
M,115,1029,11
M,116,230,1
M,116,291,1
M,116,323,1
M,117,1018,2
M,120,1027,1
M,121,224,1
M,121,1010,4
M,121,1028,113
M,122,981,2
M,122,1018,2
M,122,1029,1
M,123,201,1
M,123,1028,5
M,125,450,2
M,127,224,2
M,128,157,1
M,128,694,1
M,128,1030,1
M,128,1034,7
M,129,1029,144
M,130,158,13
M,130,161,1
M,130,1030,1
M,131,1030,6
M,132,172,1
M,132,452,1
M,132,1029,6
M,132,1034,19
M,134,243,1
M,134,700,1
M,134,1013,1
M,134,1032,8
M,135,1025,1
M,135,1058,22
M,137,1029,1
M,137,1063,2
M,138,582,1
M,138,728,1
M,139,1065,1
M,140,652,1
M,140,1066,324
M,141,572,1
M,141,1009,2
M,141,1011,2
M,141,1029,50
M,141,1059,1
M,142,209,1
M,142,617,1
M,142,820,2
M,142,1009,2
M,142,1030,2
M,143,1029,2
M,144,228,2
M,146,591,1
M,147,1055,3
M,148,1028,2
M,152,1058,18
M,152,1067,2
M,153,1014,37
M,154,188,1
M,154,930,1
M,155,222,2
M,156,1008,870
M,156,1050,2
M,156,1071,603
M,157,1009,1
M,157,1028,2
M,158,619,1
M,159,284,1
M,159,493,2
M,159,713,1
M,159,920,2
M,159,1026,2
M,160,392,1
M,160,397,1
M,160,749,2
M,161,587,2
M,161,688,2
M,161,689,2
