Segment,Start,End,NGS_read_count
HA,26,1196,1
HA,26,1695,1
HA,36,86,1
HA,37,73,1
HA,39,568,1
HA,39,1508,1
HA,40,97,1
HA,41,75,3
HA,51,1617,1
HA,52,746,1
HA,62,1092,2
HA,65,1033,3
HA,65,1527,1
HA,68,1601,3
HA,68,1657,1
HA,68,1671,1
HA,68,1672,1
HA,68,1725,2
HA,69,1308,7
HA,69,1510,1
HA,69,1524,1
HA,69,1695,1
HA,70,1676,1
HA,71,1699,1
HA,72,1272,1
HA,72,1727,1
HA,72,1732,1
HA,72,1733,1
HA,75,1547,13
HA,79,1672,1
HA,79,1682,1
HA,79,1736,1
HA,80,177,1
HA,83,1669,1
HA,84,1559,15
HA,85,114,2
HA,85,1644,9
HA,85,1662,1
HA,85,1672,1
HA,85,1711,1
HA,93,644,1
HA,93,1497,1
HA,94,1677,1
HA,95,1160,1
HA,95,1215,2
HA,95,1596,2
HA,95,1597,5
HA,95,1681,1
HA,95,1696,1
HA,95,1715,1
HA,96,1679,1
HA,96,1706,1
HA,97,1707,1
HA,98,1491,15
HA,98,1560,19
HA,99,1697,2
HA,101,1582,12
HA,102,1472,3
HA,105,1469,4
HA,106,1584,6
HA,106,1695,6
HA,107,1564,1
HA,107,1711,2
HA,108,405,1
HA,108,752,1
HA,111,1512,5
HA,111,1655,2
HA,112,1651,2
HA,117,1226,1
HA,118,1677,10
HA,119,626,1
HA,122,1536,3
HA,123,1653,2
HA,124,1696,1
HA,125,1678,5
HA,126,1643,9
HA,126,1652,2
HA,127,1676,1
HA,128,1542,4
HA,129,1614,1
HA,129,1661,3
HA,129,1675,2
HA,129,1679,3
HA,130,1651,2
HA,130,1667,1
HA,132,1662,1
HA,133,1648,1
HA,134,1625,1
HA,135,1681,1
HA,135,1736,1
HA,136,1567,1
HA,136,1659,3
HA,137,1529,1
HA,137,1572,2
HA,137,1707,2
HA,137,1735,1
HA,138,1668,1
HA,139,174,1
HA,139,1485,1
HA,139,1548,2
HA,139,1649,2
HA,141,1474,1
HA,141,1586,1
HA,141,1658,2
HA,142,1535,11
HA,143,1575,1
HA,143,1606,1
HA,143,1666,2
HA,144,660,2
HA,144,1480,1
HA,144,1656,2
HA,145,177,2
HA,145,1477,1
HA,145,1515,9
HA,145,1619,3
HA,145,1740,3
HA,146,863,5
HA,146,1541,1
HA,146,1651,1
HA,146,1737,1
HA,147,1512,2
HA,147,1538,1
HA,147,1569,2
HA,148,1515,1
HA,148,1695,1
HA,149,1470,5
HA,149,1491,5
HA,149,1616,10
HA,149,1665,1
HA,149,1679,15
HA,151,1504,165
HA,151,1614,6
HA,152,1075,11
HA,152,1496,80
HA,152,1571,1
HA,153,1349,5
HA,153,1676,1
HA,153,1765,1
HA,154,1513,1
HA,154,1662,2
HA,155,1507,9
HA,155,1617,1
HA,155,1625,2
HA,155,1636,3
HA,155,1675,18
HA,156,1556,1
HA,156,1569,1
HA,156,1592,15
HA,156,1616,1
HA,156,1656,11
HA,156,1665,2
HA,156,1751,1
HA,157,1003,2
HA,157,1408,2
HA,157,1618,16
HA,157,1637,1
HA,158,1286,1
HA,158,1614,2
HA,158,1644,1
HA,158,1657,3
HA,158,1678,1
HA,160,1512,1
HA,186,1592,8
HA,186,1735,2
HA,187,1628,1
HA,187,1676,261
HA,188,1470,1
HA,188,1522,1
HA,188,1631,10
HA,188,1678,369
HA,190,1480,2
HA,190,1724,2
HA,191,1514,1
HA,191,1593,1
HA,194,1625,1
HA,194,1649,1
HA,194,1657,2
HA,194,1694,1
HA,195,1677,2
HA,195,1725,3
HA,196,1358,18
HA,196,1507,1
HA,196,1637,1
HA,197,1487,161
HA,197,1493,1
HA,197,1670,1
HA,198,1270,1
HA,198,1422,5
HA,198,1572,4
HA,198,1644,1
HA,199,1678,2
HA,199,1730,3
HA,200,1641,1
HA,200,1651,1
HA,202,1434,3
HA,202,1491,1
HA,202,1724,2
HA,203,385,1
HA,203,1496,1
HA,203,1606,57
HA,203,1679,1
HA,204,1498,1
HA,204,1508,2
HA,204,1509,8
HA,206,1506,1
HA,206,1573,1
HA,206,1586,30
HA,206,1615,2
HA,207,1561,3
HA,208,1653,17
HA,209,1647,2
HA,210,1381,1
HA,211,1507,1
HA,211,1532,10
HA,211,1540,1
HA,211,1558,1
HA,211,1572,2
HA,211,1679,5
HA,212,1464,1
HA,212,1470,8
HA,212,1528,1
HA,212,1571,1
HA,212,1678,1
HA,212,1705,1
HA,213,1416,1
HA,213,1496,1
HA,213,1604,1
HA,213,1678,1
HA,213,1706,407
HA,213,1734,1
HA,214,1420,7
HA,214,1486,2
HA,214,1570,2
HA,214,1624,2
HA,214,1707,1
HA,215,1265,3
HA,215,1334,1
HA,215,1381,1
HA,215,1480,1
HA,215,1509,1
HA,215,1534,1
HA,215,1596,2
HA,215,1603,1
HA,215,1619,1
HA,215,1709,1
HA,216,1191,2
HA,216,1469,1
HA,216,1496,1
HA,216,1523,1
HA,216,1529,1
HA,216,1592,3
HA,216,1625,1
HA,216,1637,1
HA,216,1662,1
HA,216,1675,1
HA,216,1715,1
HA,217,1528,2
HA,217,1558,1
HA,217,1573,2
HA,217,1583,2
HA,217,1617,1
HA,217,1620,5
HA,217,1661,1
HA,217,1678,24
HA,217,1704,2
HA,218,1483,121
HA,218,1598,1
HA,218,1625,2
HA,218,1647,1
HA,218,1658,1
HA,219,1468,1
HA,219,1485,1
HA,219,1492,1
HA,219,1542,51
HA,219,1695,1
HA,219,1704,1
HA,219,1713,2
HA,220,1469,11
HA,220,1504,2
HA,220,1574,2
HA,220,1600,1
HA,220,1619,2
HA,220,1680,1
HA,220,1745,2
