Segment,Start,End,NGS_read_count
HA,33,1471,1
HA,37,1377,1
HA,37,1503,8
HA,41,1722,1
HA,42,1499,1
HA,43,1503,1
HA,47,93,1
HA,47,1440,1
HA,47,1447,2
HA,47,1722,1
HA,52,1537,1
HA,59,1507,1
HA,60,1483,6
HA,62,1564,1
HA,68,1617,1
HA,69,1472,1
HA,71,1447,1
HA,72,1713,10
HA,72,1718,1
HA,74,96,1
HA,74,98,1
HA,74,103,2
HA,77,1434,1
HA,78,1578,1
HA,79,1559,1
HA,79,1719,9
HA,83,1726,1
HA,85,1532,1
HA,85,1719,11
HA,86,1514,5
HA,87,1428,2
HA,87,1532,7
HA,89,1577,2
HA,90,1518,2
HA,90,1519,1
HA,91,1476,2
HA,91,1500,1
HA,91,1530,2
HA,91,1551,1
HA,91,1604,2
HA,92,1518,1
HA,93,1417,2
HA,93,1548,3
HA,94,1495,1
HA,95,1389,1
HA,95,1545,4
HA,95,1548,4
HA,95,1551,1
HA,96,1504,1
HA,96,1551,7
HA,96,1560,1
HA,96,1570,2
HA,96,1574,5
HA,96,1581,1
HA,97,1461,1
HA,97,1471,1
HA,97,1565,2
HA,97,1584,1
HA,97,1610,1
HA,98,1447,1
HA,98,1511,2
HA,98,1518,2
HA,98,1613,1
HA,98,1677,1
HA,100,1569,1
HA,102,1504,1
HA,103,138,1
HA,103,1428,2
HA,106,1487,2
HA,107,1496,10
HA,107,1530,1
HA,107,1534,4
HA,108,1525,2
HA,110,1491,1
HA,110,1516,103
HA,110,1548,2
HA,111,1484,1
HA,112,1490,2
HA,113,1514,2
HA,113,1571,2
HA,114,1484,1
HA,114,1570,1
HA,114,1581,1
HA,116,1477,3
HA,116,1546,5
HA,118,1665,4
HA,120,1503,3
HA,120,1542,4
HA,122,1529,5
HA,122,1545,4
HA,124,1370,2
HA,124,1543,1
HA,124,1545,3
HA,125,1500,2
HA,126,1345,1
HA,126,1538,1
HA,128,1483,2
HA,131,1481,1
HA,131,1537,1
HA,132,1515,4
HA,133,1544,46
HA,133,1598,1
HA,135,1602,2
HA,135,1613,1
HA,135,1698,1
HA,136,1505,6
HA,137,1522,5
HA,137,1538,10
HA,138,1510,2
HA,138,1626,1
HA,139,161,1
HA,139,1533,1
HA,139,1614,1
HA,140,1514,2
HA,140,1538,2
HA,140,1547,4
HA,140,1560,1
HA,140,1581,1
HA,141,1485,2
HA,142,1504,4
HA,142,1546,20
HA,146,1513,2
HA,147,1722,1
HA,148,1547,1
HA,150,1556,1
HA,151,1517,1
HA,151,1544,2
HA,152,1483,7
HA,152,1488,3
HA,152,1559,9
HA,154,1357,2
HA,154,1443,2
HA,155,1475,5
HA,156,1502,1
HA,157,1665,2
HA,158,1489,2
HA,161,1600,1
HA,163,1524,2
HA,164,1498,2
HA,164,1529,6
HA,165,1392,2
HA,166,1447,49
HA,166,1458,2
HA,166,1508,4
HA,167,1417,4
HA,167,1501,2
HA,167,1502,1
HA,168,1446,2
HA,169,1544,2
HA,170,1446,2
HA,171,1468,7
HA,174,1484,1
HA,174,1547,4
HA,174,1609,10
HA,175,1429,2
HA,176,1637,1
HA,177,1543,1
HA,178,1502,6
HA,180,1496,1
HA,182,1481,1
HA,182,1501,4
HA,183,1525,8
HA,184,1482,3
HA,185,1465,2
HA,186,1558,1
HA,187,1465,1
HA,187,1581,6
HA,189,1722,3
HA,191,1404,19
HA,191,1465,2
HA,191,1511,2
HA,193,1464,2
HA,193,1523,1
HA,194,1476,2
