Segment,Start,End,NGS_read_count
HA,54,1518,23
HA,105,1518,312
HA,105,1547,1118
HA,106,1555,154
HA,116,1508,10
HA,123,1513,22
HA,128,1453,27
HA,129,1492,15
HA,132,1425,13
HA,134,1523,115
HA,140,1434,17
HA,141,1639,13
HA,142,1482,150
HA,152,1132,21
HA,152,1524,139
HA,153,1458,20
HA,158,1579,15
HA,162,1490,47
HA,170,1523,39
HA,173,1491,42
HA,190,1536,569
HA,191,1450,17
HA,191,1466,16
HA,196,1369,16
HA,199,1407,15
HA,200,1444,29
HA,202,1585,17
HA,210,1272,43
HA,211,1638,20
HA,219,1440,16
HA,226,1461,33
HA,229,1518,29
HA,231,1461,76
HA,233,1436,11
HA,243,1518,161
HA,245,1487,10
HA,255,1476,49
HA,262,1414,10
HA,269,1384,440
HA,271,1412,75
HA,272,1381,12
HA,272,1537,24
HA,283,1276,26
HA,285,1400,109
HA,302,1528,22
HA,304,1433,35
HA,310,1438,13
HA,331,1462,18
HA,339,1463,10
HA,343,1413,13
HA,368,1383,19
HA,420,1381,14
HA,440,1399,65
HA,442,1449,12
HA,477,1503,52
HA,615,1132,171
M,343,917,25
M,424,586,17
NA,65,1201,33
NA,68,134,16
NA,70,1241,11
NA,75,1178,97
NA,98,1196,73
NA,111,1176,46
NA,111,1196,36
NA,116,1046,26
NA,124,1217,72
NA,125,1198,79
NA,127,1138,86
NA,127,1356,13
NA,134,1261,65
NA,135,1192,12
NA,144,1202,60
NA,144,1357,21
NA,148,1143,47
NA,153,1176,103
NA,154,1201,44
NA,161,1108,18
NA,163,1259,15
NA,171,1202,144
NA,171,1214,12
NA,172,1264,159
NA,175,1177,11
NA,175,1237,27
NA,175,1363,35
NA,176,1157,11
NA,177,1254,1052
NA,179,1246,74
NA,182,1061,339
NA,184,1178,38
NA,197,1213,14
NA,199,1275,257
NA,202,1279,19
NA,205,1111,68
NA,207,1251,1301
NA,209,1264,10
NA,213,1200,128
NA,220,1225,76
NA,220,1248,42
NA,224,1205,219
NA,233,1273,12
NA,249,1320,1424
NA,250,1367,156
NA,256,1101,17
NA,257,1167,10
NA,259,1296,28
NA,260,1112,42
NA,260,1177,58
NA,261,1362,123
NA,270,1212,637
NA,273,1063,39
NA,274,1076,53
NA,275,1238,18
NA,276,900,41
NA,278,1147,408
NA,278,1165,354
NA,278,1168,56
NA,280,1116,33
NA,286,1008,10
NA,286,1086,258
NA,286,1096,16
NA,286,1113,279
NA,286,1185,227
NA,286,1278,12
NA,287,1091,53
NA,287,1256,108
NA,288,1019,13
NA,288,1041,47
NA,288,1159,72
NA,289,1081,111
NA,289,1218,18
NA,291,1177,20
NA,292,1159,87
NA,293,1228,22
NA,296,1100,16
NA,297,1176,11
NA,303,1270,12
NA,306,1077,14
NA,306,1269,351
NA,308,1082,112
NA,313,1127,13
NA,314,1240,35
NA,317,1257,213
NA,318,1214,55
NA,319,1114,35
NA,319,1338,164
NA,320,1121,49
NA,324,1134,10
NA,324,1179,14
NA,324,1277,196
NA,326,1261,16
NA,327,1316,143
NA,328,1170,130
NA,329,1273,30
NA,338,1139,49
NA,340,1201,11
NA,347,1306,128
NA,358,1272,143
NA,359,1186,17
NA,359,1261,12
NA,361,1008,26
NA,364,1127,27
NA,370,1200,301
NA,371,1224,30
NA,373,1195,51
NA,376,1203,37
NA,381,1276,204
NA,400,1341,29
NA,403,1177,14
NA,403,1225,27
NA,454,1197,19
NA,480,1205,11
NP,195,1187,30
PA,85,1734,43
PA,91,2054,25
PA,93,1673,90
PA,175,377,66
PA,177,1906,649
PA,180,1860,347
PA,186,1878,37
PA,189,1929,74
PA,190,1965,48
PA,204,1939,47
PA,213,1935,953
PA,214,1859,814
PA,214,1994,33
PA,215,1924,28
PA,216,1839,77
PA,216,1927,150
PA,218,1855,391
PA,219,1924,1403
PA,220,1938,28
PA,220,1982,613
PA,221,1888,278
PA,231,1904,67
PA,237,2096,32
PA,238,1902,41
PA,242,1873,163
PA,245,1775,313
PA,246,1649,37
PA,247,1839,26
PA,254,1878,65
PA,254,1940,367
PA,256,1922,653
PA,260,1829,679
PA,268,1838,2152
PA,269,2054,99
PA,270,1891,53
PA,271,1934,34
PA,278,1777,29
PA,279,1740,25
PA,281,1865,1679
PA,283,1920,155
PA,285,1772,34
PA,285,1804,254
PA,291,1712,92
PA,293,1729,35
PA,293,1934,536
PA,308,1824,25
PA,309,1924,96
PA,316,1992,263
PA,317,1763,81
PA,318,1772,56
PA,324,2006,551
PA,328,1736,31
PA,339,1788,206
PA,341,1761,68
PA,346,1684,39
PA,355,1705,113
PA,363,1785,30
PA,375,1705,73
PA,377,1659,59
PA,380,1841,148
PA,390,1860,313
PA,391,1731,155
PA,404,1673,39
PA,404,1699,28
PA,405,1786,43
PA,406,1733,36
PA,415,1771,144
PA,415,1820,62
PA,417,1734,50
PA,422,1752,36
PA,465,1705,27
PA,473,1620,53
PA,475,1697,33
PA,476,1720,45
PA,476,1788,357
PA,476,1824,728
PA,505,1604,46
PA,524,1855,46
PA,533,1745,67
PA,549,1723,71
PB1,56,2127,317
PB1,59,2090,640
PB1,74,1691,45
PB1,93,2154,36
PB1,98,2127,113
PB1,118,2143,244
PB1,119,2008,26
PB1,120,2084,227
PB1,125,2041,15
PB1,125,2067,18
PB1,126,2005,21
PB1,128,2027,22
PB1,129,2095,154
PB1,129,2172,227
PB1,131,1975,33
PB1,134,2164,29
PB1,135,2180,424
PB1,136,2033,6068
PB1,136,2098,27
PB1,136,2194,22
PB1,138,1972,21
PB1,138,2039,184
PB1,142,2085,38
PB1,145,2023,390
PB1,150,1959,33
PB1,152,2098,1007
PB1,153,2033,310
PB1,154,2031,410
PB1,156,2085,23
PB1,157,2029,558
PB1,158,2018,117
PB1,161,2180,164
PB1,162,2033,267
PB1,164,1905,28
PB1,164,2036,169
PB1,165,2099,67
PB1,166,1997,88
PB1,167,1899,19
PB1,170,2051,31
PB1,170,2054,20
PB1,175,2017,404
PB1,175,2048,445
PB1,178,2098,1249
PB1,183,2098,35
PB1,186,2042,53
PB1,187,2049,589
PB1,198,2072,35
PB1,210,2088,18
PB1,214,2180,19
PB1,215,1893,41
PB1,217,1990,25
PB1,219,2081,513
PB1,223,2189,15
PB1,226,1932,81
PB1,229,1971,26
PB1,229,1977,110
PB1,234,2032,422
PB1,236,2061,39
PB1,237,2063,16
PB1,239,1960,36
PB1,243,1949,623
PB1,248,1890,116
PB1,248,1900,113
PB1,248,2002,28
PB1,248,2014,63
PB1,252,1963,52
PB1,252,2048,323
PB1,259,1899,51
PB1,264,1899,123
PB1,264,2051,208
PB1,271,2005,51
PB1,271,2034,266
PB1,279,1902,19
PB1,286,1800,107
PB1,290,1953,58
PB1,291,1930,79
PB1,291,1988,336
PB1,293,1931,120
PB1,294,2085,17
PB1,295,1800,208
PB1,296,1928,86
PB1,297,1971,28
PB1,299,1977,32
PB1,299,2082,108
PB1,300,1890,30
PB1,303,1782,29
PB1,304,1805,74
PB1,304,2050,54
PB1,306,1833,20
PB1,308,1898,17
PB1,308,1972,598
PB1,309,1851,199
PB1,310,1883,65
PB1,312,1917,26
PB1,316,2039,24
PB1,318,2044,127
PB1,322,2025,123
PB1,323,1811,59
PB1,327,1851,534
PB1,327,1878,39
PB1,329,1798,55
PB1,331,1929,30
PB1,333,1843,39
PB1,340,2245,24
PB1,344,1888,177
PB1,346,1896,356
PB1,358,1939,680
PB1,359,1895,83
PB1,361,2038,1529
PB1,373,2117,68
PB1,375,1802,310
PB1,378,1832,15
PB1,387,1819,76
PB1,389,1919,34
PB1,406,1864,17
PB1,411,1885,37
PB1,411,1899,35
PB1,411,1901,44
PB1,425,1682,30
PB1,450,1840,115
PB1,453,1801,119
PB1,518,1651,26
PB1,536,1651,19
PB1,538,1890,55
PB1,545,1783,18
PB1,555,1783,28
PB1,557,1651,27
PB1,567,1847,28
PB1,572,1864,30
PB1,578,1772,101
PB1,651,1804,17
PB1,657,1807,35
PB1,664,1569,23
PB1,726,1651,15
PB1,926,2039,19
PB2,70,2134,36
PB2,78,2148,383
PB2,86,2088,333
PB2,97,127,391
PB2,98,2072,31
PB2,101,131,25
PB2,106,2035,194
PB2,106,2152,916
PB2,107,2124,56
PB2,108,2018,808
PB2,111,2087,114
PB2,111,2152,130
PB2,114,2152,177
PB2,115,2149,212
PB2,121,2139,57
PB2,122,2194,43
PB2,123,2127,11158
PB2,124,2000,164
PB2,124,2152,121
PB2,131,2055,458
PB2,139,2113,137
PB2,141,2097,217
PB2,155,2183,573
PB2,156,2043,45
PB2,157,2039,57
PB2,164,2019,1047
PB2,172,2085,997
PB2,173,2011,465
PB2,175,2151,36
PB2,178,2145,249
PB2,178,2152,61
PB2,178,2154,561
PB2,184,2191,120
PB2,186,2138,21
PB2,193,1882,57
PB2,195,2029,29
PB2,196,2098,79
PB2,198,2008,52
PB2,199,2062,207
PB2,199,2111,155
PB2,200,2066,296
PB2,201,1975,1326
PB2,201,2006,64
PB2,203,2066,68
PB2,205,2123,829
PB2,209,2087,373
