Segment,Start,End,NGS_read_count
HA,32,92,1
HA,37,989,1
HA,40,1655,1
HA,41,1480,1
HA,43,1538,1
HA,44,1141,1
HA,45,1341,2
HA,46,1465,4
HA,46,1515,2
HA,47,1176,5
HA,48,93,1
HA,50,82,1
HA,50,1472,29
HA,51,92,3
HA,51,1557,8
HA,54,1502,1
HA,54,1518,27
HA,56,1539,1
HA,57,228,2
HA,58,1527,9
HA,58,1536,1
HA,60,1302,1
HA,62,1477,4
HA,64,1458,5
HA,67,1513,1
HA,67,1561,1
HA,70,1485,1
HA,70,1526,1
HA,71,1522,6
HA,73,1528,3
HA,75,1419,3
HA,75,1523,3
HA,75,1557,2
HA,78,1489,1
HA,78,1526,1
HA,81,1555,3
HA,82,1411,3
HA,84,1533,1
HA,84,1547,5
HA,84,1562,2
HA,86,1541,1
HA,87,1518,1
HA,91,1420,5
HA,92,1537,1
HA,93,1524,2
HA,94,1560,2
HA,95,1205,1
HA,95,1521,1
HA,95,1537,9
HA,95,1546,1
HA,96,1413,10
HA,96,1500,4
HA,96,1546,3
HA,97,1442,2
HA,99,1487,3
HA,100,1431,2
HA,100,1461,1
HA,102,1526,1
HA,103,154,2
HA,103,461,1
HA,103,1402,3
HA,103,1519,1
HA,103,1533,43
HA,103,1534,4
HA,104,1546,1
HA,104,1580,2
HA,105,1479,1
HA,105,1515,2
HA,105,1518,355
HA,105,1533,33
HA,105,1547,1426
HA,105,1548,1
HA,105,1552,2
HA,105,1556,2
HA,105,1580,30
HA,106,1519,1
HA,106,1527,9
HA,106,1548,1
HA,106,1555,170
HA,107,1478,1
HA,107,1574,1
HA,108,1449,22
HA,108,1550,1
HA,110,1480,3
HA,112,1419,5
HA,113,1485,3
HA,114,220,2
HA,114,1399,1
HA,114,1468,2
HA,114,1494,1
HA,116,1508,8
HA,119,1444,3
HA,119,1523,2
HA,119,1526,6
HA,120,160,2
HA,122,1424,1
HA,123,1103,1
HA,123,1513,22
HA,123,1520,15
HA,123,1527,2
HA,123,1539,4
HA,124,1527,10
HA,124,1549,1
HA,125,1521,1
HA,126,1179,1
HA,126,1493,1
HA,126,1538,24
HA,127,1395,2
HA,127,1407,1
HA,128,1453,32
HA,128,1523,13
HA,129,1383,6
HA,129,1492,15
HA,129,1493,1
HA,129,1503,69
HA,129,1529,16
HA,130,1521,1
HA,130,1524,9
HA,131,1432,3
HA,132,1425,11
HA,132,1521,1
HA,133,1574,2
HA,134,1517,17
HA,134,1523,119
HA,135,1526,2
HA,135,1574,1
HA,136,1482,3
HA,136,1514,2
HA,136,1523,2
HA,136,1536,12
HA,138,1228,1
HA,138,1490,4
HA,138,1538,120
HA,138,1548,1
HA,139,1426,1
HA,139,1547,3
HA,140,304,1
HA,140,1434,14
HA,140,1471,2
HA,141,1496,6
HA,141,1564,2
HA,141,1639,11
HA,142,1482,166
HA,142,1520,3
HA,143,1475,6
HA,144,1434,1
HA,144,1461,5
HA,144,1481,21
HA,144,1524,1
HA,145,1490,2
HA,145,1524,2
HA,146,1522,4
HA,146,1540,3
HA,147,1562,2
HA,148,1496,19
HA,149,1523,3
HA,150,1498,1
HA,151,1461,6
HA,151,1462,1
HA,151,1529,1
HA,151,1536,1
HA,151,1539,1
HA,152,1132,20
HA,152,1427,1
HA,152,1462,9
HA,152,1523,7
HA,152,1524,148
HA,152,1525,1
HA,152,1528,37
HA,152,1536,5
HA,152,1555,20
HA,152,1579,10
HA,152,1640,2
HA,153,1326,4
HA,153,1458,20
HA,153,1492,6
HA,153,1493,4
HA,153,1508,5
HA,153,1523,6
HA,153,1524,4
HA,153,1529,2
HA,154,1482,1
HA,154,1518,3
HA,154,1522,2
HA,154,1523,1
HA,154,1551,2
HA,154,1587,2
HA,155,1432,3
HA,156,1528,7
HA,157,1477,17
HA,157,1497,2
HA,157,1530,1
HA,158,1579,15
HA,160,1533,15
HA,162,1490,54
HA,162,1529,2
HA,162,1545,3
HA,162,1566,1
HA,164,1408,5
HA,164,1520,211
HA,165,1524,10
HA,165,1531,1
HA,166,1537,6
HA,167,1406,2
HA,167,1411,2
HA,167,1483,7
HA,167,1520,3
HA,167,1556,4
HA,168,1403,38
HA,168,1479,2
HA,168,1518,5
HA,168,1544,4
HA,168,1595,3
HA,169,1473,1
HA,170,1491,4
HA,170,1523,36
HA,170,1526,1
HA,170,1538,15
HA,171,1377,1
HA,171,1446,2
HA,171,1505,1
HA,172,1388,2
HA,172,1521,2
HA,172,1538,2
HA,173,1491,43
HA,174,1424,1
HA,175,1568,4
HA,176,1526,5
HA,177,1470,3
HA,177,1498,2
HA,179,1598,2
HA,180,1539,1
HA,180,1607,2
HA,181,1316,2
HA,181,1441,2
HA,182,1043,2
HA,182,1471,3
HA,182,1515,1
HA,183,1284,3
HA,183,1445,1
HA,183,1521,6
HA,183,1529,2
HA,183,1572,1
HA,184,1342,2
HA,184,1465,3
HA,184,1482,5
HA,184,1523,1
HA,185,1560,1
HA,187,1460,4
HA,187,1533,2
HA,189,858,1
HA,189,1395,2
HA,189,1464,5
HA,190,1499,2
HA,190,1536,630
HA,191,1371,1
HA,191,1445,4
HA,191,1450,18
HA,191,1466,16
HA,192,1458,8
HA,192,1491,3
HA,193,1566,3
HA,194,1538,1
HA,195,530,2
HA,195,1557,5
HA,196,1296,2
HA,196,1369,19
HA,196,1411,2
HA,196,1573,9
HA,197,1452,2
HA,198,1478,2
HA,199,1407,20
HA,200,1408,2
HA,200,1431,8
HA,200,1444,35
HA,200,1462,57
HA,200,1482,4
HA,200,1553,1
HA,201,1547,2
HA,201,1560,5
HA,202,1404,2
HA,202,1440,2
HA,202,1462,1
HA,202,1495,1
HA,202,1529,2
HA,202,1536,2
HA,202,1585,15
HA,202,1647,1
HA,203,1499,5
HA,203,1519,1
HA,203,1529,1
HA,203,1639,4
HA,204,1362,7
HA,204,1461,3
HA,204,1511,6
HA,206,1466,3
HA,206,1510,11
HA,206,1559,2
HA,206,1579,3
HA,208,1314,7
HA,208,1479,2
HA,210,1272,43
HA,210,1273,2
HA,210,1493,1
HA,210,1499,11
HA,211,1470,3
HA,211,1638,13
HA,212,1581,5
HA,214,1273,2
HA,216,1464,1
HA,217,1146,2
HA,218,1371,1
HA,218,1402,1
HA,218,1448,10
HA,218,1462,1
HA,218,1519,2
HA,219,1440,54
HA,219,1443,3
HA,219,1515,1
HA,219,1524,6
HA,219,1562,2
HA,220,1441,3
HA,220,1471,2
HA,221,1341,2
HA,221,1469,2
HA,222,1373,1
HA,222,1446,3
HA,223,1286,3
HA,223,1467,2
HA,223,1504,5
HA,224,1526,2
HA,224,1591,1
HA,224,1595,1
HA,225,1448,2
HA,225,1462,1
HA,225,1624,3
HA,226,1357,1
HA,226,1430,9
HA,226,1438,1
HA,226,1461,38
HA,226,1514,4
HA,226,1528,3
HA,226,1539,1
HA,227,1494,11
HA,228,1329,3
HA,228,1342,2
HA,229,1518,32
HA,230,1240,1
HA,230,1374,4
HA,231,1221,31
HA,231,1461,83
HA,231,1523,10
HA,231,1529,1
HA,233,1223,1
HA,233,1436,13
HA,233,1535,2
HA,233,1583,1
HA,234,1476,4
HA,235,1366,2
HA,235,1443,3
HA,239,1373,2
HA,239,1585,2
HA,240,1606,3
HA,241,1410,6
HA,241,1437,2
HA,241,1444,5
HA,241,1524,8
HA,241,1559,1
HA,242,1332,1
HA,242,1522,2
HA,242,1608,2
HA,243,1369,5
HA,243,1518,167
HA,244,1432,6
HA,244,1447,1
HA,244,1492,1
HA,244,1528,2
HA,245,1331,2
HA,245,1374,2
HA,245,1405,2
HA,245,1463,2
HA,245,1465,4
HA,245,1487,10
HA,245,1639,1
HA,248,1434,3
HA,250,1387,1
HA,251,1351,3
HA,251,1429,1
HA,252,1322,1
HA,252,1402,1
HA,252,1412,1
HA,252,1431,1
HA,252,1490,3
HA,252,1589,1
HA,253,1474,1
HA,253,1682,6
HA,254,860,3
HA,254,1274,2
HA,254,1309,2
HA,254,1343,12
HA,254,1348,3
HA,254,1391,1
HA,254,1468,1
HA,254,1491,1
HA,254,1553,2
HA,255,1336,1
HA,255,1386,2
HA,255,1476,61
HA,255,1491,4
HA,256,1335,1
HA,256,1398,2
HA,256,1465,4
HA,257,1573,2
HA,257,1638,1
HA,258,1409,4
HA,258,1431,2
HA,258,1472,1
HA,258,1532,1
HA,261,1322,6
HA,261,1436,2
HA,262,1341,6
HA,262,1362,50
HA,262,1363,2
HA,262,1414,12
HA,262,1432,4
HA,262,1433,1
HA,263,1233,1
HA,263,1430,1
HA,264,396,3
HA,264,1391,1
HA,266,1268,2
HA,266,1403,2
HA,267,1396,1
HA,267,1415,3
HA,268,1372,1
HA,268,1413,2
HA,268,1432,1
HA,269,1359,1
HA,269,1384,463
HA,269,1545,1
HA,270,1355,2
HA,270,1463,1
HA,271,1215,5
HA,271,1244,459
HA,271,1311,2
HA,271,1355,2
HA,271,1367,1
HA,271,1370,1
HA,271,1386,2
HA,271,1408,1
HA,271,1410,1
HA,271,1412,79
HA,271,1423,2
HA,271,1432,2
HA,271,1434,1
HA,271,1453,2
HA,271,1479,8
HA,271,1492,9
HA,271,1512,2
HA,271,1639,3
HA,272,1316,3
HA,272,1325,3
HA,272,1381,15
HA,272,1406,3
HA,272,1537,20
HA,273,1246,2
HA,273,1316,2
HA,273,1351,2
HA,273,1587,4
HA,274,1190,1
HA,275,1367,2
HA,276,1196,2
HA,276,1386,1
HA,276,1411,3
HA,276,1419,2
HA,276,1556,6
HA,276,1571,2
HA,279,1285,2
HA,279,1557,6
HA,280,1429,2
HA,280,1461,4
HA,280,1528,1
HA,281,662,1
HA,281,1430,2
HA,281,1481,9
HA,281,1531,2
HA,282,1187,1
HA,282,1381,2
HA,282,1404,1
HA,282,1430,2
HA,282,1462,4
HA,282,1465,2
HA,282,1512,5
HA,283,1276,26
HA,283,1331,1
HA,283,1342,3
HA,283,1345,18
HA,283,1349,7
HA,283,1384,2
HA,283,1585,2
HA,284,1214,1
HA,284,1316,6
HA,284,1322,4
HA,284,1373,1
HA,284,1375,2
HA,285,1278,1
HA,285,1400,117
HA,285,1558,4
HA,286,1318,1
HA,286,1364,2
HA,286,1373,2
HA,286,1386,6
HA,286,1459,7
HA,286,1515,2
HA,287,1371,2
HA,287,1381,10
HA,288,1494,9
HA,291,1394,40
HA,292,1358,2
HA,293,1333,3
HA,293,1360,5
HA,293,1420,7
HA,293,1432,1
HA,293,1500,4
HA,294,1271,1
HA,294,1368,3
HA,294,1462,7
HA,295,1390,2
HA,295,1476,2
HA,296,1297,2
HA,296,1353,8
HA,296,1512,1
HA,297,1431,1
HA,297,1434,15
HA,298,1134,2
HA,298,1280,1
HA,298,1356,2
HA,298,1398,11
HA,299,1366,15
HA,300,1308,5
HA,301,1343,5
HA,301,1433,1
HA,302,1235,2
HA,302,1276,2
HA,302,1415,2
HA,302,1441,2
HA,302,1528,24
HA,303,1529,2
HA,304,1277,3
HA,304,1351,2
HA,304,1433,48
HA,304,1461,2
HA,305,1359,1
HA,306,1596,1
HA,307,1225,1
HA,307,1528,2
HA,308,1321,10
HA,308,1357,2
HA,308,1429,2
